"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"TG(18:3_18:2_18:3)",382153.68,518618.0475,76430.736,620254.3383,65100000,2265289.799
"TG(16:1_16:1_22:6)",50700000,29800000,22300000,17400000,37500000,15200000
"TG(16:0_18:1_22:0)",757574.3568,16800000,4387205.598,1468782.673,1450995.198,1186150.935
"TG(14:0_20:4_22:6)",14900000,11300000,5701895.462,4482354.196,10800000,4566674.651
"TG(18:0_16:0_22:4)",72500000,5.4e+07,41400000,17500000,18300000,13900000
"TG(56:5e)",19900000,12800000,13400000,5131869.083,3123016.42,9266350.599
"TG(18:0_18:1_20:5)",96600000,79900000,90100000,2.1e+07,31800000,13300000
"TG(16:0e_18:1_22:5)",1.06e+08,74100000,84300000,18200000,20200000,21300000
"TG(18:1_18:2_20:5)",6.95e+08,4.75e+08,3.99e+08,1.4e+08,2.71e+08,1.44e+08
"TG(16:1_18:2_22:6)",53900000,39700000,32600000,2.2e+07,43100000,19300000
"TG(18:1_20:4_20:5)",1.77e+08,1.28e+08,1.06e+08,60700000,1.09e+08,48300000
"TG(58:11)",6233.562,399166.846,24600000,31167.81,4498495.652,344533.689
"TG(16:1_20:4_22:6)",4.1e+07,28600000,21700000,15400000,31200000,12200000
"TG(16:0_20:5_22:6)",52600000,37200000,1.6e+07,11300000,11900000,1e+07
"TG(16:0_18:1_24:1)",1.01e+08,94200000,45300000,2686456.264,10600000,7010315.574
"TG(18:1_18:1_22:0)",4.4e+07,55200000,13900000,431714.355,405709.7214,4043110.22
"TG(18:1_18:1_22:2)",7.65e+08,5.67e+08,5.27e+08,88900000,62900000,84100000
"TG(18:0_18:1_22:4)",2.41e+08,1.56e+08,2.54e+08,33700000,3.2e+07,27800000
"TG(20:1_18:1_20:3)",83100000,53100000,59500000,6468543.791,773009.268,5504042.507
"TG(18:0e_18:1_22:5)",23200000,14900000,19100000,5763294.88,2783820.612,5550334.433
"TG(18:1e_18:1_22:5)",73300000,59800000,53900000,6874416.17,6100994.539,7237720.63
"TG(18:0_20:4_22:6)",42200000,35700000,26400000,10700000,8121328.859,8675528.239
"TG(18:1_20:5_22:6)",1.54e+08,85100000,8.1e+07,34900000,85800000,37500000
"TG(26:1_16:0_18:1)",17800000,24900000,4862598.239,145165.442,2006690.768,2250500.001
"TG(18:1_18:1_24:0)",34600000,3.2e+07,27900000,88327.8732,441639.366,13300000
"TG(18:1_20:3_22:1)",5.47e+08,3.29e+08,3.1e+08,68900000,49500000,67700000
