"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"PE(22:1_22:6)",5364720.181,4820963.141,2357130.672,1817537.342,850312.525,1946383.82
"PE(24:1_22:6)",2030357.206,1773136.297,1025772.5,392256.43,65752.821,237164.474
"PG(16:0_14:0)",5258693.592,3969482.685,2700439.005,4392598.807,4455657.115,7719851.554
"PG(18:1_14:0)",9950786.522,7648919.353,4229928.455,8021260.7,8503262.125,16200000
"PG(16:0_16:1)",934273.4031,630028.6935,202572.762,538723.2564,299632.7775,979912.0953
"PG(18:0_16:0)",3655425.271,1734303.18,1958492.015,1727362.147,2920944.773,5388894.423
"PG(18:0_18:1)",40600000,39600000,23900000,23400000,12500000,30600000
"PG(20:1_18:1)",3552876.554,3029914.402,1731459.939,2303733.587,802349.9727,4574815.318
"PG(16:0_22:6)",890487.121,817271.307,429305.63,1559867.436,589462.496,1292473.283
"PG(22:5_18:2)",25433.28,121202.232,101345.8371,735599.691,309749.939,389120.7111
"PG(20:3_20:4)",14292.6678,174902.095,27996.8025,1603810.211,830639.933,550517.496
"PG(20:5_20:4)",75552.7164,256734.667,90180.088,1331444.737,556060.149,1006242.204
"PG(20:3_22:5)",313569.008,246297.197,86051.327,1201957.427,493844.986,1093859.822
"PG(22:4_20:4)",382690.12,76731.87,223899.974,2046133.801,609022.3971,1460652.322
"PG(20:2_22:6)",1351794.895,976538.858,232032.445,1709293.953,829739.154,1831445.119
"PG(22:4_22:5)",332762.153,185232.382,65025.254,1810720.045,626870.774,1403741.737
"PI(12:0e_20:3)",242652.5991,1037411.941,511405.407,479567.2761,762666.537,1480134.603
"PI(16:0_18:1)",8494997.697,3948661.57,3729735.911,1593589.531,7118233.454,27300000
"PI(18:0_18:2)",6312503.196,6501621.659,5666968.648,1817009.063,9278967.475,25200000
"PI(20:0_18:1)",114065.241,21041.73,4208.346,4208.346,357648.1794,1210595.381
"PI(20:1_18:1)",2467523.238,1321481.492,1103544.612,362866.396,3836768.448,11500000
"PI(18:0_20:5)",25600000,27400000,24100000,21400000,11900000,4486477.556
"PI(18:2_20:4)",4647041.343,3003776.679,2376602.827,3666600.647,3843822.121,9214022.995
"PI(20:0_20:4)",625919.6199,567221.117,436538.004,319451.2575,980428.936,1442273.927
"PI(18:1_22:4)",2029210.1,773258.2512,1009334.192,130837.0725,2568868.029,7658209.763
"PI(18:0_22:5)",9580629.584,6045243.454,5016476.914,2123049.181,6660383.486,1.7e+07
"PI(18:1_22:6)",5319648.008,3426418.556,2866899.388,2900260.295,3372167.468,8340161.847
"PI(40:9)",3356953.314,3651025.01,2395923.079,2829083.529,1689535.66,3516448.7
"PS(4:0_18:0)",491093.446,781109.598,340618.809,26612.5746,133062.873,510620.633
"PS(24:1e)",16862.742,19724.3016,20836.752,62238.6189,15658.4886,60112.3482
"PS(28:0)",1051.2294,15027.2688,1051.2294,1051.2294,5256.147,28515.6192
"PS(34:2)",3421536.704,2556519.032,2411102.055,2621410.115,1773443.762,3116953.595
"PS(36:1e)",1461718.297,921833.603,564148.356,5066920.986,1661448.255,3763972.584
"PS(18:1_18:1)",6344030.565,640628.0325,1145494.085,877699.4811,103238.5974,21700000
"PS(36:2)",3852119.311,2963323.433,2752685.212,1941641.823,2473782.933,3551254.917
"PS(36:2e)",1523501.258,1339931.922,728160.507,571690.537,2069169.859,1760201.516
"PS(36:3)",46600000,43200000,35700000,36400000,2.9e+07,44600000
"PS(36:4e)",17100000,16100000,9755169.438,14800000,7778644.551,1.7e+07
"PS(38:1)",87700000,70400000,38400000,76200000,36200000,69500000
"PS(38:3)",1.08e+08,1.02e+08,70400000,72900000,58100000,1.02e+08
"PS(38:5)",6802723.318,6131359.555,3361626.233,3977337.881,862100.6235,4273073.658
"PS(38:6)",12800000,11300000,6428743.981,11900000,5289017.792,11300000
"PS(38:7e)",36800000,34700000,24300000,32900000,15600000,31800000
"PS(40:1)",38700000,33800000,18200000,2.9e+07,1.3e+07,2.6e+07
"PS(40:4)",20700000,17500000,11900000,12100000,8867206.637,16300000
"PS(40:4e)",7251755.022,6927070.362,4039117.111,7206415.721,1832971.528,5318811.382
"PS(18:1_22:5)",209382.872,177996.483,162533.947,45005.0181,159502.3764,5924871.478
"PS(40:6)",89600000,81300000,59900000,74400000,4.8e+07,82900000
"PS(18:1_22:6)",992115.4275,304532.1507,114624.1746,2857.96992,14289.8496,5004005.878
"PS(40:7e)",18200000,16700000,10100000,14300000,6394322.669,14900000
"PS(40:8e)",51900000,45500000,31500000,42500000,19900000,39500000
"PS(40:9e)",12500000,11500000,7575467.186,7934657.306,3326846.903,7526625.559
"PS(42:10e)",13700000,12500000,7903464.487,5594132.877,2175718.808,5285678.59
"PS(42:6)",4990197.231,4238888.009,2499419.356,4292442.046,2699295.434,6092209.572
"PS(42:7)",15100000,14300000,8411023.343,13700000,8283256.622,15200000
"PS(42:8)",13600000,12400000,7048384.474,1.5e+07,6677259.108,13400000
"PS(42:8e)",10800000,9810660.424,5813027.218,9021833.986,3930008.422,9399233.215
"PS(42:9)",19700000,20600000,14200000,17800000,8613253.747,16400000
"Cer(d18:0_16:0)",32900000,22400000,31400000,62300000,1.23e+08,55500000
"Cer(d18:0_24:1)",40200000,2.6e+07,24500000,24600000,20800000,23800000
"Cer(d18:1_14:0)",19800000,11700000,14100000,29700000,60700000,24700000
"Cer(d18:1_16:0)",2.34e+08,1.48e+08,1.88e+08,2.75e+08,5.71e+08,2.27e+08
"Cer(d18:1_18:0)",26200000,16300000,28100000,20700000,47900000,1.8e+07
"Cer(d18:1_18:1)",9698468.363,10200000,7453606.59,30300000,57200000,29600000
"Cer(d18:1_20:0)",7462930.365,6079497.876,14800000,6786790.069,9298810.928,6417113.436
"Cer(d18:1_22:0)",63300000,42200000,97600000,47700000,61400000,4.5e+07
"Cer(d18:1_22:1)",23700000,15200000,13700000,19500000,37700000,17900000
"Cer(d18:1_24:0)",1.34e+08,8.8e+07,1.33e+08,83500000,97800000,73800000
"Cer(d18:1_24:1)",6.47e+08,4.49e+08,3.73e+08,2.32e+08,3.76e+08,2.39e+08
"Cer(d18:1_24:4)",1951521.912,841114.233,1053394.235,13900000,35100000,1.2e+07
"Cer(d18:1_26:1)",24900000,18300000,18400000,15900000,4203118.512,1e+07
"Cer(d18:2_16:0)",16200000,10800000,10900000,24200000,44900000,21300000
"Cer(d18:2_22:0)",11400000,6431649.029,6600135.51,6487858.223,6715736.095,5855694.881
"Cer(d18:2_24:0)",2.7e+07,18300000,18100000,21900000,18600000,1.7e+07
"Cer(d18:2_24:1)",80700000,59900000,5.7e+07,47600000,77200000,43100000
"Cer(d20:2_24:1)",35800000,23300000,16200000,1.1e+07,5947279.531,10400000
"Cer(d30:0)",7953968.87,6837045.672,14700000,12900000,8513927.335,6053213.475
"Cer(d32:0)",65300000,54700000,1.13e+08,8.7e+07,74200000,47900000
"Cer(d34:0)",60200000,46900000,92900000,75100000,64200000,42400000
"Cer(d34:1)",74900000,45400000,62700000,85100000,1.79e+08,71200000
"Cer(d34:2)",4615470.184,3241209.909,2870786.883,6748927.976,1.4e+07,6236338.601
"Cer(d40:0)",22600000,18700000,33500000,17100000,19800000,15200000
"Cer(d42:1)",25600000,17700000,22800000,14200000,19100000,13900000
"Cer(d42:2)",1.22e+08,81700000,68300000,42400000,73900000,39100000
"Cer(d42:3)",15200000,12700000,7783585.995,7016548.679,11400000,6448700.931
"Cer(t18:0_16:0)",2.34e+08,1.48e+08,1.88e+08,2.75e+08,5.71e+08,2.27e+08
"Cer(t18:0_22:0)",63300000,42200000,97600000,47700000,61400000,4.5e+07
"Cer(t18:0_24:0)",1.34e+08,8.8e+07,1.33e+08,83500000,97800000,73800000
"Cer(t18:0_24:1)",6.47e+08,4.39e+08,3.73e+08,2.32e+08,3.76e+08,2.39e+08
"Cer(t18:1_16:0)",16500000,10800000,10900000,24100000,42800000,20200000
"Cer(t18:1_24:0)",27700000,19400000,19100000,18100000,15900000,17600000
"Cer(t18:1_24:1)",81400000,60500000,5.7e+07,47600000,77200000,43100000
"Cer(t44:1+O)",955481.608,243743.427,586211.129,35200000,1138332.18,186218.986
"ChE()",919964.724,334519.8615,29400000,306611.0886,460599.957,824093.7975
"Co(Q10)",4.8e+08,3.15e+08,3e+08,3.32e+08,2.49e+08,2.46e+08
"DG(16:0_18:1)",92100000,60900000,7.62e+08,1.01e+08,2.58e+08,1.01e+08
"DG(16:0_18:2)",86160.5733,17232.11466,15800000,17232.11466,17232.11466,17232.11466
"DG(18:0_16:0)",2.85e+08,62800000,1.81e+08,83300000,3.11e+08,95900000
"DG(18:0_18:0)",1.35e+09,1.28e+08,4.13e+08,1.54e+08,1.12e+09,2.51e+08
"DG(18:0_18:1)",3.63e+08,2.69e+08,3.28e+08,1.83e+08,4.68e+08,1.63e+08
"DG(18:1_18:1)",1.18e+09,7.84e+08,1.08e+09,1.67e+09,3.98e+09,1.58e+09
"DG(18:1_18:2)",31700000,20300000,33100000,35400000,2.86e+08,37700000
"DG(18:1_18:3)",1348023.227,1838159.996,763815.953,439711.6869,42100000,1626621.638
"DG(18:1_20:4)",69200000,45900000,58600000,93400000,3.26e+08,90200000
"Hex1Cer(d18:1_14:0)",9815259.419,7202580.452,1.5e+07,24700000,43500000,23100000
"Hex1Cer(d18:1_16:0)",1.97e+08,1.42e+08,2e+08,4.52e+08,1.09e+09,4.14e+08
"Hex1Cer(d18:1_18:0)",4.2e+07,30700000,3.6e+07,67800000,1.15e+08,58500000
"Hex1Cer(d18:1_18:1)",55500000,42200000,46800000,2.26e+08,3.22e+08,1.92e+08
"Hex1Cer(d18:1_22:0)",88100000,68900000,1.1e+08,1.18e+08,1.91e+08,1.09e+08
"Hex1Cer(d18:1_22:1)",38700000,26700000,20600000,54100000,1.3e+08,49700000
"Hex1Cer(d18:1_24:0)",1.9e+08,1.42e+08,1.72e+08,2.03e+08,1.61e+08,1.75e+08
"Hex1Cer(d18:1_24:0+O)",23200000,22400000,16400000,15400000,12600000,14400000
"Hex1Cer(d18:1_24:1)",4.39e+08,2.95e+08,2.85e+08,2.75e+08,6.35e+08,2.42e+08
"Hex1Cer(d18:1_26:1)",20600000,15300000,21100000,1.8e+07,25500000,17300000
"Hex1Cer(d18:2_24:1)",38400000,23700000,50400000,27300000,72500000,24900000
"Hex1Cer(d36:1)",3262099.907,2319163.475,6539032.341,5529398.039,9952896.418,5061369.752
"Hex1Cer(d42:2)",1.4e+08,22100000,2.64e+08,23800000,54500000,21300000
"Hex1Cer(d42:3)",24800000,20200000,13400000,26500000,11700000,21600000
"Hex1Cer(t18:0_24:1)",4.39e+08,2.95e+08,2.85e+08,2.75e+08,6.35e+08,2.42e+08
"Hex1Cer(t18:1_24:0)",2131238.886,218860.1796,1.42e+08,1578684.824,1.41e+08,525690.6675
"Hex1Cer(t42:1)",15400000,14900000,6791197.922,11600000,4620866.411,8310348.376
"Hex2Cer(d18:1_16:0)",1.74e+08,1.12e+08,1.56e+08,2.48e+08,4.33e+08,2.15e+08
"Hex2Cer(d18:1_18:1)",30900000,24300000,33900000,72400000,1.44e+08,63100000
"Hex2Cer(d18:1_22:0)",62600000,4.6e+07,89200000,63800000,1.49e+08,54200000
"Hex2Cer(d18:1_24:0)",1.4e+08,1.06e+08,1.42e+08,1.39e+08,1.08e+08,1.16e+08
"Hex2Cer(d18:1_24:1)",3.19e+08,2.24e+08,2.83e+08,1.98e+08,5.72e+08,1.71e+08
"Hex2Cer(d32:1)",78900000,69600000,4e+07,1.37e+08,6.4e+07,1.31e+08
"Hex2Cer(d34:1)",26900000,23400000,13400000,63500000,29600000,59600000
"Hex2Cer(d34:2)",3699215.245,3353416.69,2032384.114,9511436.867,4057582.392,8566639.203
"Hex2Cer(d36:1)",21600000,18700000,12400000,2.4e+07,16200000,27900000
"Hex2Cer(d40:2)",35400000,2.7e+07,15700000,40700000,17600000,37500000
"Hex2Cer(d42:2)",9514780.494,6640903.488,5640008.476,5213751.234,14500000,5535546.341
"Hex2Cer(d42:3)",2.4e+07,18400000,11600000,25400000,1.2e+07,24200000
"Hex2Cer(t18:0_24:1)",3.17e+08,2.29e+08,2.84e+08,1.93e+08,5.59e+08,1.7e+08
"LPC(14:0)",3487795.143,2700369.782,6866427.247,58663.43916,293317.1958,3225886.872
"LPC(16:0)",8.39e+08,1.1e+08,3.44e+09,1.79e+08,6.39e+08,2.3e+08
"LPC(16:1)",8685960.689,5008432.255,21700000,104828.925,102004.5324,134826.8157
"LPC(18:0)",6e+08,1.58e+08,1.83e+09,3.11e+08,6.45e+08,2.56e+08
"LPC(18:1)",1.46e+08,9.1e+07,1.62e+08,2.4e+08,3.61e+08,1.94e+08
"LPC(18:1e)",23700000,16100000,20500000,20800000,30300000,17500000
"LPC(20:0)",9959623.793,5107573.739,23300000,10600000,19200000,7999092.681
"LPC(20:1)",7703610.779,3884466.049,9506514.185,10600000,11700000,6034839.463
"LPC(20:3)",3826492.708,3444089.492,1312410.633,5090691.748,8042640.712,4040032.153
"LPC(20:4)",24700000,16200000,22800000,28700000,39200000,21600000
"LPC(22:0)",6529739.978,1475201.96,21700000,2934388.366,11100000,1917128.223
"LPC(22:5)",1190663.938,8601664.357,2774369.803,15100000,2886739.889,4807173.428
"LPC(22:6)",1110321.799,7629013.119,4902186.712,11600000,17600000,9952216.3
"LPC(24:0)",115302.583,73890.7227,25456.665,87327.679,32948.703,106886.083
"LPC(28:1)",2134919.242,1182092.526,5017172.86,1217708.588,2518546.347,1330116.468
"LPC(34:1)",1.24e+08,60600000,74700000,77400000,1.16e+08,69200000
"LPE(16:0)",7289170.34,3806722.206,6045390.745,8976036.394,10200000,6359496.954
"LPE(18:0)",13900000,5075462.623,30900000,9553315.549,13900000,7539809.474
"LPE(18:1)",30300000,17300000,20400000,42200000,61100000,35300000
"LPE(20:4)",40800000,35400000,1.7e+07,38200000,18200000,45900000
"LPE(22:4)",6613896.389,3777701.69,4442302.269,7282282.7,10400000,5158985.867
"LPE(22:5)",25200000,14200000,17500000,25400000,4.5e+07,21800000
"LPE(22:6)",14400000,13300000,6145012.201,10800000,5157927.838,11500000
"LPG(18:1)",950915.62,1128754.562,26659.7568,1602483.492,1130931.295,1218185.303
"PC(16:0_14:0)",1.46e+08,1.27e+08,87700000,1.22e+08,7e+07,1.15e+08
"PC(16:0_16:0)",9.22e+08,7.36e+08,4.7e+08,5.85e+08,4.82e+08,6.84e+08
"PC(16:0_16:1)",8.86e+08,7.65e+08,4.49e+08,5.44e+08,3.94e+08,6.64e+08
"PC(16:0_18:1)",3.23e+09,2.98e+09,2.38e+09,2.92e+09,1.84e+09,2.96e+09
"PC(16:0_18:2)",2.72e+09,2.36e+09,1.55e+09,1.67e+09,1e+09,1.88e+09
"PC(16:0_18:3)",45800000,2.2e+07,29500000,1.65e+08,1.96e+08,84400000
"PC(16:0_20:2)",2.62e+08,2.29e+08,1.58e+08,1.54e+08,1.03e+08,1.91e+08
"PC(16:0_20:3)",81900000,66800000,38700000,53700000,29900000,65400000
"PC(16:0_20:4)",1.49e+08,1.51e+08,9.9e+07,1.4e+08,6.4e+07,1.09e+08
"PC(16:0_22:6)",57900000,43500000,31200000,62500000,26200000,50700000
"PC(16:1_18:1)",6.84e+08,5.64e+08,3.2e+08,6.26e+08,3.06e+08,5.48e+08
"PC(16:1_20:5)",20700000,17700000,10300000,23100000,11500000,23600000
"PC(16:1e_16:1)",11800000,12100000,6683843.323,1.7e+07,6832290.969,14600000
"PC(18:0_16:0)",3.98e+08,3.6e+08,1.82e+08,3.56e+08,1.4e+08,2.62e+08
"PC(18:0_18:0)",97700000,66600000,1.03e+08,64600000,1.18e+08,60800000
"PC(18:0_18:1)",1.08e+09,8.21e+08,5.32e+08,9.28e+08,4.85e+08,9.05e+08
"PC(18:0_20:4)",1.64e+08,1.5e+08,92300000,1.45e+08,74300000,1.32e+08
"PC(18:0_22:5)",3.64e+08,2.31e+08,2.4e+08,2.51e+08,4.86e+08,2.14e+08
"PC(18:0)",1064645.899,71037.7656,34700000,40794.9669,342412.8378,98472.791
"PC(18:1_14:0)",539860.2687,1191483.293,277684.227,330969.923,76288.554,303175.995
"PC(18:1_18:1)",7.1e+09,6.38e+09,4.19e+09,6.19e+09,3.7e+09,5.97e+09
"PC(18:1_18:2)",3.28e+08,2.73e+08,1.46e+08,2.89e+08,1.31e+08,2.48e+08
"PC(18:1_20:3)",79800000,70400000,4.3e+07,1.6e+08,77200000,1.57e+08
"PC(18:1_20:4)",3.69e+08,3.19e+08,1.96e+08,4.6e+08,2.25e+08,4.25e+08
"PC(18:1_20:5)",20500000,20300000,9327475.469,59200000,32400000,5.2e+07
"PC(18:1_22:1)",1254482.408,1401421.24,617630.942,3033766.389,418907.458,812881.712
"PC(18:1_22:4)",55700000,40900000,24800000,1.18e+08,57900000,1.13e+08
"PC(18:1)",542420.781,41247.585,61300000,8249.517,3461102.94,8249.517
"PC(18:1e_18:1)",1.69e+08,1.37e+08,72100000,1.22e+08,58200000,1.19e+08
"PC(18:1e_20:4)",9e+07,77900000,46300000,67100000,28200000,64100000
"PC(20:0)",6074039.476,813985.551,15600000,92751.517,2529441.392,1469210.449
"PC(20:1_18:1)",2.26e+09,1.13e+09,1.45e+09,1.11e+09,3.38e+09,1.28e+09
"PC(30:0)",9.56e+08,6e+08,9.28e+08,6.21e+08,1.06e+09,6.45e+08
"PC(30:1)",1152623.125,1471647.189,408822.8082,11800000,6408868.249,1.1e+07
"PC(30:1e)",82200000,50100000,63300000,55400000,1.15e+08,54800000
"PC(32:0)",5.32e+09,3.88e+09,5.07e+09,3.85e+09,5.4e+09,3.75e+09
"PC(32:0e)",4.1e+08,2.59e+08,4.21e+08,3.1e+08,5.28e+08,3.06e+08
"PC(32:1)",2.95e+09,1.69e+09,2.14e+09,1.86e+09,3.55e+09,1.84e+09
"PC(32:1e)",1.86e+08,1.07e+08,1.48e+08,1.49e+08,3.94e+08,1.41e+08
"PC(32:2)",4803162.64,4942761.155,5007035.439,43900000,1.75e+08,86500000
"PC(32:2e)",21900000,14200000,14100000,17300000,38100000,17500000
"PC(32:3)",1094119.371,771569.956,863066.805,7599549.027,4458025.161,5854719.359
"PC(34:0)",376735.377,0.238,5402615.6,23215.748,313235.306,187021.601
"PC(34:1)",2.01e+10,1.56e+10,1.74e+10,1.73e+10,2.27e+10,1.61e+10
"PC(34:1e)",1.33e+09,7.84e+08,1.05e+09,9.14e+08,1.96e+09,8.67e+08
"PC(34:2)",2.65e+09,2.21e+09,3.5e+09,3.47e+09,6.3e+09,3.37e+09
"PC(34:2e)",8.96e+08,5.5e+08,7.13e+08,7.1e+08,1.99e+09,7.52e+08
"PC(34:3)",1.79e+08,1.56e+08,1.73e+08,1.62e+08,1.58e+08,1.59e+08
"PC(34:3e)",41500000,22300000,27500000,24200000,70300000,24400000
"PC(34:4)",30900000,20200000,26900000,62900000,1.24e+08,58400000
"PC(34:4e)",15100000,12500000,18800000,13600000,2.1e+07,13100000
"PC(34:5e)",15600000,10300000,15700000,7758363.239,18500000,8054712.479
"PC(36:0e)",45503.018,9100.6036,90743.448,9100.6036,42200000,85478.25
"PC(36:1)",4.36e+09,2.57e+09,3.87e+09,3.26e+09,7.57e+09,3.03e+09
"PC(36:1e)",73400000,46400000,70400000,59800000,1.33e+08,56800000
"PC(36:2)",234304.8606,301258.6983,861270.0102,639112.749,372406.6125,217443.63
"PC(36:3)",4.33e+09,2.59e+09,2.45e+09,2.44e+09,4.29e+09,2.45e+09
"PC(36:3e)",2.28e+08,1.43e+08,1.71e+08,1.86e+08,5.74e+08,2.14e+08
"PC(36:4)",1.39e+09,9.35e+08,1.05e+09,1.04e+09,1.89e+09,8.5e+08
"PC(36:4e)",2.78e+08,1.64e+08,2.18e+08,1.35e+08,3.06e+08,1.3e+08
"PC(36:5)",58900000,41300000,52900000,75300000,1.46e+08,63900000
"PC(36:5e)",7.05e+08,5.18e+08,6.45e+08,5.53e+08,9.36e+08,5.86e+08
"PC(36:6)",11700000,5055299.522,5542807.757,1.5e+07,563478.465,14200000
"PC(36:6e)",1.82e+09,1.44e+09,1.66e+09,1.49e+09,2.81e+09,1.42e+09
"PC(36:7e)",3960649.699,1961345.922,4316295.813,1339034.949,3383863.289,2240401.482
"PC(38:1)",84600000,67200000,60300000,1.34e+08,2.67e+08,32500000
"PC(38:2)",59500000,3.4e+07,3e+07,25500000,57300000,29900000
"PC(38:2e)",21500000,13600000,3e+07,14200000,29400000,1.6e+07
"PC(38:3)",5.88e+08,3.4e+08,3.48e+08,4.37e+08,8.96e+08,4.26e+08
"PC(38:4)",1.25e+09,8.37e+08,8.4e+08,9.18e+08,1.56e+09,7.32e+08
"PC(38:4e)",46700000,26500000,37300000,29900000,61600000,27200000
"PC(38:5)",2.36e+09,1.51e+09,1.81e+09,2.38e+09,5.2e+09,2.08e+09
"PC(38:5e)",6.34e+08,2.89e+08,3.62e+08,2.28e+08,5.21e+08,2.02e+08
"PC(38:6)",2.84e+08,1.88e+08,2.06e+08,2.01e+08,4.08e+08,1.84e+08
"PC(38:6e)",5.22e+08,3.18e+08,3.83e+08,2.68e+08,8.06e+08,3e+08
"PC(38:7e)",4.04e+08,2.49e+08,2.47e+08,1.32e+08,2.93e+08,1.52e+08
"PC(40:1)",47100000,27400000,1278427.382,2.5e+07,17100000,18500000
"PC(40:3)",52200000,27600000,30200000,36200000,97100000,42500000
"PC(40:4)",34400000,20900000,23900000,47300000,1.27e+08,44900000
"PC(40:4e)",61600000,46900000,45500000,4.3e+07,81600000,35900000
"PC(40:5)",2.44e+08,1.39e+08,1.74e+08,4.3e+08,9.85e+08,4.03e+08
"PC(40:5e)",31700000,15900000,15100000,1.5e+07,41900000,17400000
"PC(40:6)",5.2e+08,3.44e+08,3.4e+08,7.04e+08,1.36e+09,6.58e+08
"PC(40:6e)",1.37e+08,77700000,91700000,61500000,1.59e+08,66700000
"PC(40:7)",7.26e+08,4.44e+08,5.32e+08,1.14e+09,2.4e+09,1.1e+09
"PC(40:7e)",1.19e+08,67900000,83800000,32400000,73400000,32900000
"PC(40:8e)",1.76e+08,1.01e+08,1.1e+08,58100000,1.42e+08,72600000
"PC(42:10)",1.8e+07,11100000,15300000,3.6e+07,69500000,3.5e+07
"PC(42:3)",25500000,15800000,8038663.412,3754542.149,33400000,16700000
"PC(42:4)",10400000,6928874.848,7504529.851,18200000,63900000,17300000
"PC(42:5)",77500000,45800000,47700000,1.55e+08,4.05e+08,1.58e+08
"PC(42:6)",1.94e+08,1.23e+08,1.3e+08,3.09e+08,6.99e+08,3.18e+08
"PC(42:6e)",46300000,21500000,32300000,22700000,40300000,14200000
"PC(42:7)",22500000,12700000,11400000,11700000,28700000,12600000
"PC(42:7e)",11500000,8459988.608,14300000,4757767.895,16700000,5242281.895
"PC(42:8)",993632.2071,260610.198,36055.90224,510127.3092,1761841.515,180279.5112
"PC(42:9)",9203474.934,5163916.18,6832452.743,16800000,46400000,12200000
"PC(44:10)",1507861.18,884539.225,1368686.276,3635476.731,9183040.703,3307569.153
"PC(44:5)",9127732.731,6086707.185,7230672.966,21500000,62300000,21100000
"PC(44:6)",12200000,7788808.031,7752380.867,1.7e+07,49600000,19600000
"PE(14:0_20:4)",860110.153,575841.288,606152.084,1376286.102,3931809.901,1134836.353
"PE(16:0_16:0)",59300000,4e+07,49700000,44600000,70400000,45100000
"PE(16:0_16:1)",47300000,18100000,4.6e+07,35700000,46300000,44400000
"PE(16:0_18:1)",9.02e+08,6.54e+08,5.65e+08,6.69e+08,1.06e+09,6.02e+08
"PE(16:0_18:2)",9559308.283,6412984.96,7564913.794,8319248.851,19200000,8330769.566
"PE(16:0_20:4)",6.22e+08,4.26e+08,4.18e+08,4.7e+08,6.54e+08,4.31e+08
"PE(16:0_22:6)",88500000,54300000,62800000,74600000,1.54e+08,72300000
"PE(16:0p_18:1)",1.9e+08,1.41e+08,1.49e+08,1.41e+08,3.2e+08,1.55e+08
"PE(16:0p_20:4)",5.3e+08,3.32e+08,3.77e+08,2.95e+08,7.77e+08,3.36e+08
"PE(16:1_18:1)",52800000,61400000,81800000,66200000,1.4e+08,63500000
"PE(16:1e_20:4)",4.71e+08,4.25e+08,2.55e+08,3.92e+08,1.59e+08,3.93e+08
"PE(16:1e_22:4)",78300000,61200000,39600000,78100000,31100000,80400000
"PE(16:1e_22:5)",2366767.091,581247.012,116249.4024,869587.2408,116249.4024,1521800.3
"PE(18:0_16:0)",45300000,31200000,31500000,34300000,48700000,33400000
"PE(18:0_16:1)",12100000,5074367.248,18200000,6907630.059,7098097.372,1744844.051
"PE(18:0_18:1)",1.24e+09,8.13e+08,8.82e+08,8.51e+08,1.9e+09,7.52e+08
"PE(18:0_20:2)",2.34e+08,1.71e+08,1.72e+08,2.02e+08,4.82e+08,1.84e+08
"PE(18:0_20:3)",81900000,66800000,38700000,53700000,29900000,65400000
"PE(18:0_20:4)",1.25e+09,8.22e+08,9.26e+08,8.33e+08,1.91e+09,7.81e+08
"PE(18:0_20:5)",94300000,83900000,51100000,83200000,38200000,86400000
"PE(18:0_22:3)",4646774.253,4425288.04,2385771.336,3692832.642,1958161.364,4359555.372
"PE(18:0_22:4)",56600000,3.7e+07,44100000,50600000,1.2e+08,43200000
"PE(18:0_22:5)",2.37e+08,1.79e+08,1.8e+08,2.04e+08,4.87e+08,2.02e+08
"PE(18:0_22:6)",3.57e+08,2.39e+08,2.51e+08,2.43e+08,4.97e+08,2.53e+08
"PE(18:1_14:0)",37600000,2020234.088,15800000,4127739.981,35100000,22500000
"PE(18:1_18:1)",3.32e+09,2.08e+09,2.06e+09,1.79e+09,3.51e+09,1.55e+09
"PE(18:1_18:2)",1.35e+08,82900000,86400000,72600000,1.42e+08,69400000
"PE(18:1_20:2)",4.87e+08,3.13e+08,2.84e+08,3.97e+08,6.3e+08,3.72e+08
"PE(18:1_20:3)",5.16e+08,3.22e+08,3.49e+08,2.81e+08,7.27e+08,2.9e+08
"PE(18:1_20:4)",1.81e+09,1.21e+09,1.16e+09,1.25e+09,1.78e+09,1.22e+09
"PE(18:1_20:5)",2.4e+07,15800000,17100000,21600000,50100000,2e+07
"PE(18:1_22:1)",1.26e+08,90400000,93300000,59200000,1.01e+08,49900000
"PE(18:1_22:2)",25700000,14700000,1.4e+07,18500000,45600000,18900000
"PE(18:1_22:4)",90600000,65600000,6.8e+07,86300000,1.71e+08,81400000
"PE(18:1_22:5)",4.87e+08,3.13e+08,2.84e+08,3.97e+08,6.78e+08,3.72e+08
"PE(18:1_22:6)",5.16e+08,3.22e+08,3.49e+08,2.8e+08,6.89e+08,2.89e+08
"PE(18:1_24:0)",1.6e+07,9971455.602,8718799.531,7572302.068,2442381.764,4422054.229
"PE(18:1e_18:1)",41700000,36900000,24800000,42700000,19200000,46800000
"PE(18:1e_22:5)",1.12e+08,95500000,57900000,1.07e+08,40600000,1.03e+08
"PE(18:1p_22:4)",70100000,44200000,46800000,2.7e+07,1.08e+08,37600000
"PE(18:1p_22:5)",2.5e+08,1.66e+08,1.67e+08,1.11e+08,3.57e+08,1.33e+08
"PE(18:2_22:6)",7841798.104,6853042.851,3796419.501,8579072.008,3108517.585,7052010.84
"PE(20:0_18:1)",2.2e+07,50700000,31800000,10800000,5941785.834,12200000
"PE(20:0_20:4)",11700000,8883339.03,7703594.821,9804674.567,20400000,7167051.413
"PE(20:1_18:1)",2.64e+08,1.8e+08,1.68e+08,1.57e+08,3.18e+08,1.38e+08
"PE(20:1_22:6)",37500000,25200000,25600000,24500000,51100000,27300000
"PE(22:1_20:4)",12100000,6945484.318,6498275.949,3996982.772,10500000,5683697.795
"PE(34:1)",1e+08,79100000,65500000,8.1e+07,85200000,77900000
