Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
3-phospho-serine,79315.51232,39530.33171,42488.29606,26440.4843,20145.01958,36065.65163,N/A,N/A,N/A,N/A,N/A,N/A,6795.030287,18217.70181,N/A,14023.66167,8957.0118,20594.07212
N6-Acetyl-L-lysine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetyllysine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl-glutamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl-glutamate,1736729.478,1640170.402,2021003.566,1934035.565,2341037.054,2524637.917,1436484.178,1239177.092,1748540.706,1788321.122,1952711.944,1563860.715,2112207.353,1959290.58,1104200.57,2468944.959,2897685.935,2214458.827
"Ng,NG-dimethyl-L-arginine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylcarnitine DL,1684637.257,1177325.295,1245542.647,1257654.704,1249158.121,1211292.338,4672919.656,3963482.471,6101332.903,8313986.411,6945966.646,6097328.322,8045473.218,7181161.844,4467425.419,8226048.294,7140962.889,4008741.045
tryptophan,184592.9691,168386.1637,206422.903,228680.4978,348673.5107,298049.0221,231101.5165,192610.5223,383796.4838,234738.2156,287115.5178,127834.7656,293951.3254,343331.5538,145635.5126,410322.283,523063.1794,272292.682
Kynurenine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl-glucosamine,40241.29818,10962.52621,31207.50719,50320.28947,84328.15184,94922.72752,48498.21411,45940.87029,87312.59966,40493.45047,61421.90018,17031.91539,54532.4152,65693.16615,N/A,59147.97139,28556.19709,26864.53574
Flavone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cystathionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-methoxytryptophan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cystine,23049.51587,9315.421774,16236.83014,4722.116667,N/A,N/A,4730.895321,N/A,14006.5896,N/A,N/A,N/A,7080.563699,21832.53518,10451.3244,13805.32732,16940.9044,6713.131112
cytidine,N/A,36787.00146,17286.29304,N/A,103002.6069,56568.33381,73992.79061,155881.5124,94501.73873,35090.28391,54188.05286,29933.94874,92494.28839,249144.8295,474416.2385,112575.6593,135690.8544,128832.9832
biotin,58990.22661,21920.95028,N/A,N/A,69242.04277,31261.9724,N/A,N/A,N/A,83909.84957,288159.0705,226521.0235,24851.0085,101097.6963,1213275.832,69706.18798,135761.8294,87636.21122
deoxyadenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerophosphocholine,19757868.9,14599322.42,15704658.43,9352331.326,8799600.823,10594841.23,27904916.68,31878741.7,36803765.2,42526898.32,45300679.7,29976573.11,30206661.95,30211693.26,16544824.26,39424397.92,32782427.16,35508695.54
acadesine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-glucosamine-6-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-glucosamine-1-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
thiamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-ribosyl-L-homocysteine-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deoxyguanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
adenosine,145161.3061,152699.7161,95882.77736,99129.13773,306616.4777,305103.6488,472794.9135,904888.5082,611016.2335,298922.9036,332383.4718,149539.6372,659836.9364,1272134.313,2109136.318,677254.6798,571177.553,561349.0263
1-Methyladenosine,144845.8423,112254.2521,130001.6683,147384.1464,209738.5976,198665.7141,330797.3149,247478.0976,313066.2274,285710.2798,337806.7919,215866.5319,288529.0462,283922.1443,198688.3018,470186.7195,501439.7574,314759.1178
guanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-arginino-succinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-methyl-5-thioadenosine,221741.9646,306404.4839,308675.851,403336.8494,267403.1347,291066.0549,135056.7541,380433.1785,332939.53,193969.4042,311153.5587,235835.8991,430878.2965,227257.9982,143022.7403,336303.6854,462801.6995,224312.9138
7-methylguanosine,29626.38011,17955.47783,16369.8617,7071.35,15733.58983,25924.31539,25205.83817,7690.694789,7583.764616,10223.895,11194.22137,N/A,N/A,N/A,41510.15372,N/A,10936.6159,7071.35
dCMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
