LipidIon,D0_1,D0_2,D0_3,D4_1,D4_2,D4_3
DG(24:1e),0,0,0,1078166.638,2814824.585,2324398.214
DG(24:2e),0,369577.549,418563.075,1203778.285,1474435.102,0
DG(26:0e),0,2581389.811,1978087.637,48800000,58400000,37800000
DG(26:1e),0,0,307023.67,14800000,21200000,12400000
DG(28:0e),0,13400000,17900000,2.23E+08,3.35E+08,2.18E+08
DG(28:1e),0,4871321.333,5621060.308,1.14E+08,1.50E+08,1.01E+08
DG(28:2e),0,3615504.584,7255584.023,29300000,30100000,27400000
DG(28:3e),0,2581361.485,1979053.692,48700000,58700000,37700000
DG(30:1e),24600000,38300000,41500000,5.01E+08,8.22E+08,6.04E+08
DG(30:2e),659061.538,37700000,41700000,1.51E+08,1.62E+08,2.29E+08
DG(30:3e),0,13600000,18100000,2.24E+08,3.45E+08,2.22E+08
DG(32:0e),8.10E+07,2.54E+08,2.92E+08,1.17E+09,1.03E+09,1.34E+09
DG(32:1e),8180505.704,1.54E+08,2.11E+08,9.21E+08,1.11E+09,1.29E+09
DG(32:2e),4279730.619,92400000,95600000,3.50E+08,4.17E+08,5.48E+08
DG(32:3e),53800000,1.26E+08,1.70E+08,9.03E+08,1.06E+09,1.35E+09
DG(34:0e),1.90E+08,3.36E+08,3.10E+08,2.87E+08,2.94E+08,2.73E+08
DG(34:1e),7862742.906,1.93E+08,2.19E+08,9.10E+08,7.43E+08,8.92E+08
DG(34:2e),486347.715,25200000,34400000,89200000,71700000,98300000
DG(34:3e),7443336.228,2.53E+08,2.94E+08,2.50E+09,1.10E+09,1.25E+09
DG(34:4e),5153307.266,1.54E+08,2.10E+08,9.24E+08,1.09E+09,1.54E+09
DG(36:1e),0.418,13200000,15400000,50300000,50300000,53800000
DG(36:4e),7862742.906,1.93E+08,2.19E+08,9.10E+08,7.43E+08,8.92E+08
DG(38:1e),0,2542296.016,2884393.915,14500000,8586604.651,12900000
DG(38:2e),11800000,4065787.201,3461426.837,19500000,9921184.801,9815872.703
DG(38:4e),37100000,32200000,42900000,1.57E+08,1.30E+08,1.30E+08
DG(40:1e),0,1921486.157,1391360.342,7246353.994,4420672.119,7597510.903
Hex1Cer(d18:1_16:0),7.03E+08,5.91E+08,6.20E+08,6.53E+08,5.72E+08,5.57E+08
Hex1Cer(d18:1_18:0),29500000,41100000,21100000,48100000,40300000,31300000
Hex1Cer(d18:1_22:0),47800000,79500000,74400000,87900000,80900000,60400000
Hex1Cer(d18:1_24:1),2.89E+08,1.94E+08,1.59E+08,4.73E+08,3.94E+08,4.11E+08
Hex1Cer(d18:2_16:1),633218.1975,2345158.757,1110180.067,5317229.825,5752680.735,6162970.272
Hex1Cer(d18:2_24:1),13300000,12500000,14600000,27200000,25100000,28900000
Hex1Cer(d22:1_18:1),0,0,0,0,0,0
Hex1Cer(d34:0),9548555.27,13200000,15900000,6619936.093,6053649.145,4234494.779
Hex1Cer(d34:1),5.50E+08,4.47E+08,2.37E+08,5.23E+08,4.28E+08,4.14E+08
Hex1Cer(d40:1),28300000,41800000,48700000,5.20E+07,46700000,23300000
Hex1Cer(d42:2),1.81E+08,3.24E+08,1.52E+08,4.42E+08,3.73E+08,3.70E+08
Hex1Cer(d44:2),2309122.454,4574224.686,4165587.098,7739338.582,8778881.955,6490033.873
Hex1Cer(t18:0_22:0),25400000,35800000,21700000,87900000,80900000,60400000
