,DGAT1i+2i,DGAT1i+2i,DGAT1i+2i,DGAT1i,DGAT1i,DGAT1i,DGAT2i,DGAT2i,DGAT2i,OA,OA,OA
Metabolite.name,1i_2i_01,1i_2i_02,1i_2i_03,1i_01,1i_02,1i_03,2i_01,2i_02,2i_03,OA_01,OA_02,OA_03
PG 40:9|PG 20:4_20:5,1941103,3238769,2491916,1031009,1065409,1983384,569842,631143,615857,479615,546397,472952
SM 8:0;2O/32:9,1080523,801955,499583,697000,1418512,25743,274062,1273456,1328659,617746,655381,1206929
PC 16:4_20:5,4312514,4475049,3305884,5109261,5515382,4257516,5476324,5480776,4372624,4695214,4697542,5199044
PE 18:1_24:6,23528418,24071886,21571710,4187477,4487240,6095058,5835921,3224156,3006888,5074606,5465994,4731285
PE 42:7|PE 20:1_22:6,6861218,2586649,2627003,4590274,5411318,8885216,4266696,633831,1626571,2883329,3116971,3906762
PE 8:0_34:7,1974869,1465195,1154812,1973365,1721392,2555153,881062,1172230,779691,643880,748444,614455
PG 40:8|PG 18:2_22:6,3324702,4557062,3125248,3640554,5245818,5644820,4493526,3461508,2910760,4898516,3458958,3774949
PG 40:8|PG 20:4_20:4,5332264,6898010,6724372,2275905,2415452,3801733,2807516,1906642,1758184,4095131,1697823,1858431
PG 16:4_24:4,2430682,3417372,3856501,2297423,2367078,3225213,1466520,2140326,1783414,716406,1751801,1244200
PE 18:1_24:5,12928578,13214885,13199883,6176359,7604286,8314756,7176434,6589250,5986190,5620806,6573116,1956209
PG 40:7|PG 20:3_20:4,848623,1045817,1242599,492310,219068,889654,314591,536941,470636,495219,502850,153607
SM 16:3;2O/24:4,575444,145296,52742,33687,18676,254119,16445,89376,162526,40722,24791,265938
PE 20:1_22:4,4121628,3913058,5563797,975732,1235178,397751,253554,645486,403634,588414,245982,600196
PI 16:3_18:5,271244,175081,211376,386038,422823,873238,314918,310946,354264,621319,992605,516529
PG 16:2_24:4,305071,312431,587667,280046,256518,621244,381619,600257,393196,506269,656208,409576
SM 8:0;2O/32:6,1001986,1501434,1167608,254382,252962,716412,25477,60774,47490,15071,48964,64193
PC 16:1_20:5,2629969,2391300,1887150,1546879,1602542,1997209,1434065,1459604,1631436,1561008,1351330,733925
PC 14:1_22:5,1743192,2696298,2472302,1066004,1171674,1956894,1357805,1497076,1172152,1621168,1451647,1632488
PE 42:4|PE 22:0_20:4,1056042,2045281,1219151,1284132,1204386,1776605,1518803,1622324,1462770,1473650,1701237,1896709
PA 24:4_22:6,167030,258118,412728,98109,165932,403785,338543,345178,467327,1254957,1115242,129195
PG 40:5|PG 18:1_22:4,12795638,16028257,14949826,9547877,10413418,14434736,9923197,11392232,9428310,8920433,9147453,9781103
PG 40:5|PG 18:0_22:5,20971008,25001876,22468284,22080228,24128960,24993748,23598204,22323050,23874924,25950660,25122496,25894180
SM 8:0;2O/32:5,2032444,2076704,2471064,102440,549161,625668,62780,88723,0,0,0,255744
PC 16:0_20:5,5423386,9859952,7680200,3776234,3768684,3444315,3823559,3613875,4186764,3278869,3857310,3975824
PC 14:0_22:5,11074376,4711642,3727137,4084103,4251915,6542106,1920183,5157624,1579620,3822882,6402704,2430911
PE 8:0_34:3,2861150,2452979,2612048,1937844,2645459,2659166,2076780,2237153,1444276,1643396,1553968,1567713
SM 40:4;2O,2263622,2360266,2593003,1577881,2100396,2220317,1378590,1332376,1160436,1167503,1416657,912298
PS 18:4_22:6,1444730,3504712,2936074,1192835,4266221,5345064,3651260,2237290,2043375,1174150,1054036,1849038
PE 24:0_18:2,1257270,3105028,3295925,716652,364803,261249,870382,2203270,2917454,4980616,4657037,5150318
PE 20:1_22:1,2582653,3331135,3672285,738936,500138,1165690,209437,199312,600035,339999,311560,381261
SM 8:0;2O/32:3,1116694,1718699,1329421,0,269036,209394,11067,155176,182754,59718,147297,125049
PC 18:1_18:2,4652322,4923862,5329738,3064691,3722836,3461549,4802852,4138041,3222192,3665134,3150419,3973976
PC 8:0_28:3,423600,1281773,908529,1052281,1381104,2252034,1107043,1569955,1049448,1035156,1125321,965522
PE 42:1|PE 24:0_18:1,1261052,1137678,747858,1527618,1307877,2174879,927873,696329,994086,823573,858433,1349419
PA 20:3_26:4,58819748,66053744,60879540,48509136,53541960,68194760,65975596,63709988,63055972,60386060,63390068,60948804
SM 40:2;2O|SM 18:1;2O/22:1,178295760,195707408,185216864,205576608,227703072,265712192,237961728,266456496,229816864,248557792,259406112,248906496
SM 40:9;3O,4904689,2746511,4908970,3688704,5852973,6016708,5205350,2777404,5550804,4250526,2591980,4626468
PA 20:2_26:4,863182,922366,2947731,1983733,861220,671062,3071717,3353410,3225842,2723672,3240876,2641876
SM 40:1;2O|SM 26:0;2O/14:1,3320244,3648886,4155444,3364326,3535786,5077784,3603288,4245080,3726048,4188214,4431968,4405844
PI 8:0_26:2,2221381,2494156,2157936,2294866,2271189,3104646,2168847,2023305,1933140,2535652,2170822,1917636
PE 22:6_22:6,1773852,2130553,1752423,1653896,1908583,1220104,1981274,2642643,1911478,2409506,2199974,1749342
PE 44:12|PE 22:6_22:6,2150184,2466311,2261950,2102690,2083627,3170570,2200738,2366840,2133740,2393357,2348661,2414338
PI 34:1|PI 16:0_18:1,14365655,50805628,24321360,24359336,32821368,95158432,53412080,100246000,109368088,57308552,58994644,125734640
PE 16:4_28:7,2743394,2030959,2178868,2328258,2359785,1995562,1908403,2653641,1967353,2572453,1889579,1675774
PE 44:11|PE 22:5_22:6,1093170,1066709,1033788,480358,326063,831708,930806,887971,741292,485683,778566,1014451
PG 42:11|PG 20:5_22:6,8580408,9497073,8953523,4576005,5585176,7101452,3001833,2722683,2500772,2802754,2435166,2154750
SM 40:5;3O,2815754,2473524,2766514,2346358,2838263,2685411,3419129,2897958,2583922,2267496,2244083,2182414
PG 42:10|PG 20:5_22:5,2026640,3442142,3421967,958882,1119941,1419007,526833,484685,574094,372141,155893,181299
SM 8:1;2O/34:9,10544268,7741398,9203135,8278888,8933540,7008962,10188878,8151912,8254589,8852174,9559221,7502879
SM 8:0;2O/34:9,115226,532223,1756652,0,0,0,18992,81819,300293,538876,662830,381076
PG 42:8|PG 20:4_22:4,3430749,3670273,3708847,1079313,1551720,1763195,558794,914961,532376,439884,479692,470889
SM 40:2;3O,6643856,8888019,8002698,9131422,7418115,9421522,8570526,7470474,9642011,7854749,6797578,9576400
PE 8:0_36:6,801087,1199812,1172970,689834,998560,1268757,615494,676094,449145,431677,641471,620099
PE 22:1_22:5,2744310,3887442,2260349,138738,1208015,7558,60083,1930450,3190201,2439493,2574100,3446240
PI 16:4_20:5,3893695,5770061,5571984,3741220,4008142,7150538,4466710,4612532,4838962,6862809,6117382,7272054
SM 8:0;2O/34:7,1535151,1861005,275491,2239350,2061581,1835725,1721717,1628039,1540090,200409,1431356,809773
PC 18:2_20:5,9553882,12351492,8216149,955110,1359977,4770688,3709968,1429105,3836549,1247329,3057756,2758299
PC 16:1_22:6,1021942,9954423,272400,3090645,4950845,684042,382227,2996772,287562,5413760,141875,143764
LPC 38:0,12845719,13898627,13751936,11884102,14246076,12670803,11808019,10293500,10074783,10968836,11199852,11870392
PI 16:3_20:5,3125319,3132179,2437712,3213689,2909989,2653379,3638878,3207928,2840529,3392806,3016013,2823068
PG 16:2_26:4,2671825,1291684,799564,2103544,1310086,30975,2084730,2063752,1854016,1851657,1214839,1688208
SM 42:6;2O|SM 16:2;2O/26:4,9039420,8446939,8245264,4575650,4243495,5783992,1531726,1827595,2039170,1898966,1853042,1556670
SM 40:0;3O,197112,643267,141377,342210,462411,706816,705222,960591,1251500,912233,1299090,1028245
PC 38:6|PC 18:2_20:4,12304656,20476110,16365514,11174803,9809321,17451824,10009948,12182964,2026221,11064299,12701293,11404822
PC 16:1_22:5,2090207,678478,2045598,256534,311930,273930,266523,283012,332871,214363,362946,727125
PE 8:0_36:4,1332706,845877,223106,336707,188124,935125,609493,441910,295278,197398,132160,440995
PI 14:1_22:6,71060,1687071,1418823,1520908,1860894,1897559,1377480,1749696,1601678,1847255,1812040,1525129
PA 26:4_22:6,2458476,1907420,1934562,2754143,2835569,2244609,2673396,2598936,2388542,2463938,2082800,2414486
PC 18:1_20:4,24698896,33153032,25431416,14545297,4627313,19073750,13398598,14823457,15992625,9221526,6766916,4264458
PC 38:5|PC 16:1_22:4,26730862,32777614,25431414,14586951,14520636,19772102,11750079,15945311,15660146,6228716,10809985,16053002
PC 18:0_20:5,8864216,9890988,10141376,7304413,7955732,9695373,11345115,10829308,11023862,10626603,12163029,10650341
PG 16:0_26:4,435464,560740,723955,366932,275722,125581,755391,563926,270607,265041,307683,568930
PC 18:0_20:4,52768940,62988688,60873924,47165848,52345288,57460888,71376544,71180904,64996760,71003808,68941176,77693416
PI 36:5|PI 16:0_20:5,4536836,4972920,4116481,4419236,5587047,7035544,4630838,4751993,4173373,4141632,4159426,3784411
SM 8:0;2O/34:3,420930,2567947,578178,429636,605739,2793285,1746328,1583749,1809349,2005318,2830156,1741928
PI 10:0_26:4,1249718,477093,721785,1737414,1218714,792923,1439444,762372,1026914,528094,1292207,1259834
PI 36:4|PI 16:0_20:4,7252034,9039931,4805637,12417643,8176292,23175998,11910474,17261384,22710760,10487381,11618956,28753334
SM 42:2;2O|SM 18:2;2O/24:0,37147528,49817324,46446596,32915506,33118406,42423504,48765504,48612004,51738164,54119340,59638248,55548372
SM 8:0;2O/34:2,2909941,4182391,421766,3002273,4796398,4552234,5333902,1191775,451456,4224082,226493,5198170
PI 14:0_22:3,2191318,4034134,2286304,4417568,3344911,11424100,4695389,7447111,4745452,5576094,2572776,8822552
SM 42:1;2O|SM 24:0;2O/18:1,2695780,4424446,3713686,2742049,1895619,4341046,3331789,3475866,3791484,3202250,3154142,4004608
LPC 40:8,24016010,24555614,22749872,24586516,27908320,32136860,26380080,26551022,24451296,23189412,25061938,25747944
PC 38:1|PC 16:0_22:1,10686232,12511778,13063151,9791098,10379974,14378262,4998211,12903756,8336013,10708119,14290091,14327357
PC 20:0_18:1,1454756,5295560,1379888,68529,9626,158828,2164825,1356112,4838600,6752090,619799,9192690
PI 36:2|PI 18:1_18:1,363870944,1016813568,599409344,572702976,478056576,1147006336,700582592,1211796736,1281252608,818531968,808234944,1395332736
SM 8:0;2O/34:0,855032,791003,340927,299145,924169,497997,406912,480340,120022,6716,1364,100396
PC 38:0|PC 16:0_22:0,5158460,7209148,6830460,4720409,4198348,6654658,5576436,5890354,5018518,4951896,4985814,4757874
PI 10:0_26:1,763097,1012178,693069,695419,859969,1936367,754395,1179997,1225642,1067862,737313,1169223
PA 22:0_26:4,31479,445062,264752,25799,0,0,42470,295569,668465,693003,403044,708278
PE 16:3_30:8,3238481,2049061,3013350,3197051,4090382,3194505,3851196,3962234,2895024,4331577,3378384,2959356
PG 44:12|PG 22:6_22:6,84194080,97771504,93811024,51777576,56916060,74432776,35347536,38270628,34063360,37718232,39596624,38431392
PA 22:1_26:2,512050,686817,652928,524695,557452,785474,476940,525424,370338,144137,332473,511002
PE 8:0_38:9,4769932,3073846,3699891,3622256,3270721,2575560,3344803,3144405,3112024,3250649,3272710,3278611
PG 22:5_22:5,13858498,16162076,15421963,16840414,17640300,18648718,18001000,15811618,16114789,16773984,17903152,17010848
PG 44:10|PG 22:4_22:6,10093126,12102438,11259786,4089910,4804546,6437373,2460548,3019619,2265767,2606038,2417574,2759224
PG 44:10|PG 22:5_22:5,1271111,1844399,2250786,488834,635926,1129684,334001,395508,295053,294150,307206,205883
SM 42:4;3O,1788904,1745785,1731210,2009966,2063692,2554923,2306106,2372011,2186504,1853522,1907969,2005292
PG 44:9|PG 22:4_22:5,1175472,1594307,1003053,528413,622428,667957,239970,237200,143773,283655,144407,14212
SM 42:3;3O,19458560,21779124,20667598,23940682,24731498,35377944,33842984,34218172,29512328,26579204,30844706,32219860
PE 8:0_38:7,2116615,2403172,2011668,2724910,3150914,3629217,1628216,3712547,3104534,2218298,1930946,2952628
PI 38:10,2211242,3084374,2613046,2964206,2817730,2847842,2701559,2285338,2407048,2651788,3027846,3019536
PG 18:4_26:4,2866655,2447140,3058227,1118940,3161599,2798149,2631704,3055630,3118757,3335556,2822300,2682477
PC 18:2_22:6,4236363,3039220,301574,304207,45251,406456,656682,355163,584703,339721,924185,793075
PG 18:3_26:4,2741918,66975,29029,1457210,365604,1787330,2008162,133616,1256411,120964,31440,86860
SM 42:1;3O,278698,457446,559789,808416,602443,720791,15056,206752,7818,42921,686060,10056
PC 20:3_20:4,3045907,3409301,2298314,2043776,1582541,2471440,3035295,3239824,3465269,3151712,3105414,3891117
PI 16:2_22:6,62205,1177101,896211,1264771,1214084,1268425,1057767,1270679,1114612,994334,917808,1344921
SM 8:0;2O/36:6,1232777,1454008,1203244,1162589,936280,1438475,0,555108,259165,559023,727333,439822
PI 16:1_22:6,1146149,972942,915896,1505836,1135303,67435,779309,1391282,1392643,1094623,1086478,1600532
SM 44:5;2O,1879645,2105583,1605928,992174,1174497,726606,785253,736490,586202,676985,746970,699461
PI 38:6|PI 18:2_20:4,4138737,15434006,8636652,3208353,2588264,7144473,2632014,3851133,2984151,3456963,3534900,4250027
PG 20:2_24:2,296772,516561,193592,302938,18631,113046,588461,636478,859175,1428573,1179556,170404
SM 8:0;2O/36:4,887688,725186,523703,580017,793680,932777,495473,561304,559675,574887,646971,219032
LPC 42:11,488569,739996,439415,367312,405806,522359,363356,161850,81511,123310,166865,163838
PC 20:1_20:3,3061811,3676240,2596148,783280,3598353,2167853,2115075,4755021,3552832,4852246,4158918,3151385
PE 8:0_38:2,2832489,4323370,4124214,2196308,2027054,3572744,3865902,4063425,3501990,3586254,4541544,4107724
PI 14:1_24:4,123703,595609,1589215,262940,363009,1193434,276684,218502,305461,212513,544450,272396
PI 38:5|PI 18:0_20:5,44335904,90161160,57734036,54960676,51668132,94213864,48216656,67247696,74969888,57791892,55609888,80789232
PG 18:1_26:2,3795698,4398006,3519881,4451784,4805487,5569720,4323621,5758938,4704351,2961256,4087893,4403854
SM 44:3;2O,2024019,2993093,1965019,435643,2513394,691143,5348246,5772714,5084388,5397320,6109283,5803039
PS 26:4_18:5,7103258,6100098,5638892,8550536,8745726,8750196,8663366,8557359,8178231,7873010,8248877,8812359
PC 18:1_22:2,8180572,9947682,8159468,1961730,2242292,2473513,725245,3324449,3363835,2746898,3009590,3252796
SM 44:2;2O,4856006,7272988,6165022,4170760,2578796,6692456,6755462,6865166,6676454,6125006,5357678,5494906
PI 38:2|PI 18:1_20:1,8040280,25270218,13253047,10890585,8677264,22353408,16210895,29438776,30345772,15641353,13763749,35043636
PG 22:0_22:0,1760215,2879366,2017658,1385213,1211864,1772938,1512046,1578319,1350172,1343494,1159523,1007762
PI 38:1|PI 18:0_20:1,772872,4500900,1464556,1253813,1335302,2628516,1981098,8089006,8015744,2421468,3028053,9527263
PI 12:0_26:1,584224,1224819,900782,1332542,1152432,1058685,1163671,459316,777023,167622,1124065,159949
PA 24:0_26:4,84126,192380,173467,179588,272886,250795,224174,55794,170013,16636,188662,34307
PE 8:0_40:10,256873,3359414,2708893,301288,275846,3775350,3188061,3265167,3696018,3200644,3473725,3908847
SM 44:5;3O,9316305,11379937,9523541,9365457,12207409,13190228,10456921,11844165,10767198,8031879,8985389,10440824
PC 20:5_22:6,532324,997726,759971,65839,30867,211266,536620,365236,552680,425703,233453,360989
SM 16:3;2O/30:7,306933,3302593,6435917,257696,100502,126321,1398769,4232884,767512,3907303,5334376,1937506
PC 20:4_22:6,7913632,9584010,8386591,3426319,3397290,4692110,6320502,5872758,6298306,5889284,6383960,5602755
PC 16:3_26:7,939368,1070902,821767,1310522,1456563,1394056,1028629,819148,1058909,703078,1192388,1102632
PE 8:0_40:8,2256615,4397514,5116638,688321,1054138,530491,1786744,3164733,3867213,5891556,5701974,4260245
SM 8:0;2O/38:9,1087086,1163672,2035548,0,0,72484,616415,1084266,1643074,2394822,2311068,1131594
PC 20:3_22:6,3447077,6867502,4711954,1465505,1203367,2387133,3155501,2666034,2701901,2963375,3224820,3910827
PC 8:0_34:9,486441,546153,539366,583998,756814,530596,242951,244420,173654,127289,331307,498565
SM 8:0;2O/38:8,7909099,10553545,16345417,574115,914122,2777411,3368028,8250590,10626972,18121244,12904120,7759081
PE 8:0_40:6,232588,1164072,1573492,136460,164927,165208,557101,1267065,936602,1279355,2066592,2307875
PC 20:1_22:6,2265336,2244368,2272188,599193,1235762,1333568,1802671,1900792,890882,1442892,960892,1505531
PE 8:0_40:5,1425942,1921318,4874076,948057,555997,429828,1608085,2204465,4443392,4423479,3756121,4372900
PI 40:8|PI 20:4_20:4,737040,1188348,1085589,682176,643217,1041254,931688,1280450,888601,457613,1174422,1084341
PG 20:2_26:4,841269,869124,997798,167651,276206,300621,50840,23857,38631,0,31095,0
PC 18:1_24:5,9979486,10084059,10243536,3083303,2851507,3739983,925925,784528,906537,685286,747544,1060451
PC 20:1_22:5,1605990,1764558,1388157,602566,851200,1664351,1356243,1524552,1182316,1020243,1395636,1251264
PI 40:7|PI 18:1_22:6,5245770,16459996,10769015,6065260,6688287,11106824,8504951,10889671,10973791,9794204,11004559,12766393
PG 20:1_26:4,2423376,2545808,2097476,1439746,1777272,1606195,500983,4144090,4006104,3325040,3493941,4425323
PC 18:1_24:4,14223061,14663201,11607207,2700764,2331506,402851,1107916,1411412,1050878,1046892,1265652,1150935
PI 40:6|PI 18:0_22:6,26245410,63910052,37235892,39086272,35078120,84925736,43072700,65820096,64787712,45925868,50335476,78071896
PI 16:2_24:4,1211262,574120,539572,1278102,1475709,805563,285336,594894,373066,69556,212706,885040
PC 18:1_24:3,867179,1268836,816552,0,0,197355,165146,180835,0,45304,123289,30440
PI 14:1_26:4,778386,2561308,1286812,969216,500526,2624873,388205,2026440,1952667,1170457,1237358,2751217
PI 40:5|PI 18:0_22:5,37233996,92333704,58074248,57469240,48965800,103739160,59414464,89482928,91910440,69083840,66765088,107417104
PI 40:5|PI 18:1_22:4,12913180,34103224,21923222,11030858,10343442,21792822,12427264,20953700,18708316,14886887,15724901,24341764
PI 40:4|PI 20:0_20:4,446233,2461547,875580,363822,85244,262211,302860,1100228,1282867,877199,601038,1986648
PI 40:4|PI 18:0_22:4,17292828,44797588,26755728,20492168,16553828,40493432,21619938,40283552,40479080,24925474,22263872,43277908
PI 40:3|PI 18:0_22:3,76306,4007848,1625430,1205275,723021,3639656,1904036,3835424,3669526,1839450,1690375,4172249
LPC 44:8,317622,219549,275490,52799,362779,779009,357727,230045,483559,380895,596792,293748
PC 8:0_34:1,431306,486515,209233,577287,442485,498824,129507,125883,91170,78442,255315,14047
PI 14:0_26:2,253127,335966,282473,480448,659664,577554,293256,458916,321213,527277,516811,423615
LPC 44:7,817320,830866,759756,688394,844584,879254,1232230,950055,1537376,1403020,1098572,1227368
PI 18:0_22:1,617290,1821334,1073524,546121,479147,997246,223968,225898,251480,177468,241025,226017
SM 46:7;3O,0,2221,1415446,0,0,0,0,3173,0,0,19855,59493
SM 46:6;3O,401825,329675,377510,384688,501647,353633,452692,647238,328695,467310,843713,733974
PC 22:6_22:6,1495131,1543758,1668421,507386,427651,920534,1129076,1163645,1144974,1068462,1640628,978400
PC 22:5_22:5,643326,1137020,728634,195082,268417,729396,544733,562576,408739,495418,663628,329129
PC 8:0_36:10,772271,1180812,765765,179606,215613,381777,0,246554,103618,0,182705,154068
PG 26:4_22:5,317587,1047785,1419732,257891,150572,572634,819704,531155,689431,1336740,336238,371680
PE 8:0_42:7,748922,420372,720738,546823,599874,833007,1075355,1159294,790480,378462,1347873,1015070
SM 8:0;2O/40:8,2648,1610155,1846785,1885009,180231,151441,1145561,6428660,2043456,1398695,5048160,7083451
PC 8:0_36:7,15167787,15899302,14791813,9242000,13280541,14148474,5953135,7137482,6034624,5391165,6238787,6057912
PG 22:0_26:4,9067215,11489778,27623838,4995984,3844796,3874989,8404739,13101135,22852634,25171046,21451468,21933366
PE 8:0_42:2,298954,1093172,356074,576692,741998,1082138,317448,979875,985973,321592,548515,1132090
PI 16:1_26:4,1731017,1869507,1624562,2065328,2298143,2178740,1538943,2195389,1880234,1010487,1569060,1876900
SM 48:10;3O,2537634,2768661,2726698,3341418,3522652,3929324,3983787,4263870,4711942,3776373,4082691,3918351
PI 16:1_26:2,396178,414743,650122,682857,565479,632825,636001,882810,1002612,698897,534666,780036
PE 16:3_36:10,110471,165469,320839,636805,524786,603650,652477,573021,744146,841412,1149920,731797
PI 16:0_26:2,1616904,1522417,1505010,1451970,1632953,1829942,1459983,1831944,1750159,1340727,1307879,1780163
PE 8:0_44:10,1055266,1767020,3167710,0,0,149134,165008,1704248,1502972,2430267,2882482,1250928
SM 8:0;2O/42:10,1350,450238,2354405,0,0,0,69935,425519,882574,975272,686876,1332076
SM 8:0;2O/42:8,3578,0,1641997,0,0,0,0,0,0,0,103839,0
PE 8:0_44:6,321616,963517,286275,759357,1254258,826848,803208,103610,85970,506936,39200,781552
PI 26:4_18:5,4167842,11436862,5298134,5832790,4503041,11094199,5618764,13405328,13619428,5667582,5224819,14470373
PC 8:0_38:7,3822871,5122913,4227475,3123659,3023156,4221436,1522561,1959365,901649,1425583,596897,1252119
PE 32:1_20:4,853886,2023718,1195401,676584,824904,1144143,1021902,1922502,1781546,1440620,1320923,1536251
SM 8:0;2O/42:6,613814,918573,531791,315902,535758,712331,438739,808665,838875,812554,643429,976625
PC 8:0_38:6,5375274,6365162,5720144,5337259,6206561,7713774,4094122,5042093,3688674,3642159,3743385,3898431
PI 18:3_26:4,532350,482637,361492,531126,273207,602779,98792,921217,829987,385984,586818,1131205
PE 18:1_34:2,415530,1142203,733717,909528,634556,1670219,782158,1773147,1538589,774365,781779,1910693
PG 24:0_26:4,273154,1056713,1604237,133072,143388,0,369454,482576,819547,1395181,1703084,1594536
PG 24:1_26:2,2756644,2586880,2884036,2892558,2386558,3218194,3353795,2845510,2992966,3174283,2991519,2962737
PE 8:0_44:1,17988,0,0,735750,24833,62347,245989,242398,0,16799,0,101680
PC 8:0_38:2,0,0,634773,0,0,0,0,116308,0,306186,170565,0
PI 18:1_26:2,5918517,6611431,6127997,6422966,7662400,8778819,8328968,8362546,7893372,8792770,8471661,8537953
PE 16:3_38:10,4044619,4425781,3927968,4306723,4591332,5173046,5747723,5228798,4573480,1866123,2038934,6362546
PE 10:0_44:12,1012250,1073276,631424,853800,908532,1180277,938030,1150519,933004,448847,742851,612278
PI 44:1,1214532,9190849,24155136,1778940,782364,1011437,5852746,6129850,3102558,12043983,11580488,6813794
PC 16:4_32:9,734301,888333,495637,594576,328904,944141,97147,149130,142287,0,109262,0
SM 8:0;2O/44:11,0,337358,1916317,2814,0,0,242188,301950,0,667593,392117,460443
SM 12:0;2O/40:10,66003,796005,1035302,105860,64922,137221,527001,850764,265471,1474921,1136292,568140
PC 8:0_40:10,125782,2589168,413802,515866,433815,922471,1461933,1444891,1753174,694044,1086525,222193
PE 10:0_44:7,409568,986057,384577,553934,463648,650999,436521,1121661,798954,682449,645195,838936
SM 14:0;2O/38:8,0,197775,1954740,14651,0,0,1089,330287,98198,564849,387564,91193
SM 50:2;3O,773725,998570,1030365,1177002,1187916,1325797,1119795,972444,836750,642299,807078,1336530
PE 34:2_20:4,1802018,3524157,2515960,726796,1284046,2000855,2498184,3944584,3096563,3240016,2799490,3715710
PE 34:1_20:4,854276,1429935,712185,1414180,771525,2319584,958106,1728435,1663388,1096746,1047438,1932639
PG 26:2_26:4,1013264,1310190,483876,1844563,1279365,509789,2919877,1735132,2599002,1820410,2573331,1969066
PI 20:3_26:4,1384535,1441585,1163043,1046636,1183798,1249918,330360,2456703,2003523,1549785,1745872,2398340
PE 10:0_44:2,233495,0,0,279505,250742,372071,0,0,43855,0,43600,70846
PC 8:0_40:2,322184,139184,362365,826122,311605,1054050,66011,319755,619859,275522,207302,185817
PG 26:0_26:1,903787,181223,521636,1010179,594536,914977,339692,457998,468479,255292,451121,228052
SM 8:1;2O/44:0,70655,243854,531062,554420,324520,199700,334837,290276,273835,612509,535540,709123
PC 8:0_40:1,198490,65149,126274,328145,107114,80785,46699,71818,99390,23018,16300,43227
PE 12:0_44:11,484523,1565108,650530,58207,37086,20562,135695,886353,516593,1318392,926450,75828
SM 52:6;3O,2075,508385,703483,0,0,0,165689,935094,184333,323018,815269,67052
PC 20:2_30:8,0,1033875,4836202,74051,0,0,545321,167867,127082,1132238,603200,402350
SM 52:3;3O,2266153,2285570,1801600,2908222,2341183,2781241,2688856,2440653,1930910,1427634,2402573,2751040
PE 12:0_44:7,563223,1704720,883036,1318709,1277869,1444028,1483789,3523160,3270928,2220422,1722815,3170114
PE 34:2_22:5,719792,1654007,1590111,353487,852384,900451,1190866,1908869,1780973,1453343,1354726,1774678
SM 52:2;3O,886317,645290,624218,1331394,1296624,1786430,815362,973910,1465050,775362,119772,1032115
PE 34:1_22:5,958576,1973838,1024072,1761504,1414699,2652703,1180114,2092618,1976093,1429650,1061235,2235785
PC 8:0_42:6,19897010,30658238,26921394,16887160,14661856,22471080,16721596,20969330,17647500,13752301,13165388,12941469
PI 22:3_26:4,782800,37242,11584,272942,66910,698413,0,0,0,65143,0,3558
PI 22:0_26:4,226368,204739,0,38672,180460,222788,66689,0,0,0,0,0
SM 14:3;2O/42:12,0,112974,3476745,0,0,0,0,0,132761,389907,306437,679254
SM 54:9;3O,1819640,2176320,1961326,1678421,2068974,2327486,2434827,1795579,2125406,1950679,1779517,2211264
PE 14:0_44:12,12724,254472,399220,66036,5703,59249,1985,288650,235684,378431,717322,83603
PC 8:0_44:10,798673,588663,790697,695929,699637,1081756,641428,957308,535857,409120,835181,559993
SM 12:0;2O/44:9,185277,1083029,908243,455329,480150,1671027,1110997,2254091,1583942,1239694,1453078,2375478
PE 14:0_44:6,120303,471593,764004,0,0,0,63900,157896,92419,185501,388317,761189
PC 8:0_44:7,781646,1146477,732082,672494,642369,995009,912598,1052048,460522,570181,579766,523926
PC 8:0_44:5,454392,1732715,3121819,0,7421,59487,509317,2294818,1828644,2861050,2823642,2589280
SM 56:12;3O,852465,1079487,746795,1513185,924854,442036,2345932,1700561,2343156,895596,2305840,1817260
PE 16:4_44:12,1530708,1473886,1855153,1615689,2669110,1275937,1579721,1595143,1267256,1137079,697255,991182
PC 8:0_44:4,431515,958975,1653582,54444,80094,0,393310,1073296,1254974,2141702,1752554,2159081
PC 8:0_44:3,604682,2196591,3160674,528568,259040,270989,668393,1227999,582542,1518350,2765078,2773836
SM 12:0;2O/44:2,540282,944303,569175,1147412,607219,284811,676841,381101,458668,333221,664891,416939
PC 18:5_36:10,423528,4634592,4640973,4318850,4771098,6006445,3324932,4072168,3638607,3439605,3564868,3124942
PC 16:4_38:10,3323259,3542186,3522923,3238213,3426925,4277132,2638033,2896531,2404322,1687887,1886209,2086656
SM 56:1;3O,619950,366412,225975,512190,563915,557033,248865,1074664,712691,202650,396333,258284
PC 16:4_40:11,9192885,12372952,10868877,9828485,11741111,16471381,7826984,11709030,8363648,6774985,10232759,11524605
PC 14:1_42:12,213389,1627990,2531214,119739,188472,102959,659526,987434,562655,1218435,711466,536370
SM 58:3;3O,587533,464969,349603,302550,281691,169517,181647,162233,430675,383091,295548,478338
PE 22:6_42:12,596966,214100,520980,538851,116039,422292,604557,240497,458481,402723,549905,436713
PC 14:0_44:12,129754,706066,1244613,992955,129955,117786,2824960,429104,968423,2740879,2030616,2695233
PE 20:0_44:6,165395,166943,1018918,38662,0,0,0,355407,520417,722986,679364,519687
PE 22:6_44:12,511938,4641978,3839814,4511312,4177680,4999237,4678122,4703934,4350632,4408906,4827523,4607064
PC 14:0_44:5,162496,322433,731612,75534,0,59373,163958,376457,384981,871387,885590,848786
PE 22:4_44:12,2539553,2718254,545040,2038642,2808725,1532192,555018,698008,1119169,330914,399438,446454
