,DGAT1i+2i,DGAT1i+2i,DGAT1i+2i,DGAT1i,DGAT1i,DGAT1i,DGAT2i,DGAT2i,DGAT2i,OA,OA,OA
Metabolite.name,1i_2i_01,1i_2i_02,1i_2i_03,1i_01,1i_02,1i_03,2i_01,2i_02,2i_03,OA_01,OA_02,OA_03
DG 34:2|DG 16:1_18:1,165130672,307632320,249293248,792836608,762938624,665480768,487704128,445448032,360396256,477209984,407052224,480545248
DG 34:1|DG 16:0_18:1,472102816,919771008,825467392,464241376,491377056,490592864,1167080320,1038867392,927217536,1323739392,1120520704,1328318208
DG 34:0|DG 16:0_18:0,92997592,144161936,158587760,77535960,78375560,67377576,138171744,125329192,109853256,158785600,202997152,291761504
SM 8:0;2O/20:3,39339764,15576395,91353848,18360704,16716914,11725811,25652254,14253878,11749578,19029954,28277616,19694974
LPE 28:2,2534553,1510529,1539037,1162288,906860,3358086,2253116,2055101,2423824,1149084,2743864,766658
TG 8:0_8:0_18:5,10783265,36067840,89692248,2360074,2504881,2535448,20405806,37078940,46988988,65351740,113699464,78463160
DG 34:0,2541186,12496758,31721564,2403786,95912,0,14393346,9466549,10672721,41459696,17823636,25171326
PC 8:0_16:1,6802730,8641522,19286008,11382459,12603495,16820854,8693485,11573006,9525371,10815723,9299458,10521526
SM 8:0;2O/20:0,10275492,28271610,25965236,3055819,2903646,353108,16075804,12375128,17520716,46318700,23219254,19015022
LPC 26:4-SN1,3084767,17169788,16694945,1865980,1157004,919109,12444775,8244526,6452120,25824236,15701778,13459045
DG 8:0_28:7,60778652,50655620,84276992,51578372,42095316,36047144,55115464,119161608,100650064,101704440,93429384,102661992
PE 10:0_18:3,13190545,36852260,34867412,6399870,3894210,2684286,41395672,27313566,26277108,53703704,49212412,51249220
LPC 26:3-SN1,4983534,6167772,11396678,0,0,0,2679973,2419993,9677869,11386969,9091717,5049988
LPC 26:2-SN1,5590526,21529186,14164362,4497634,2991770,2567857,14257149,15270371,8882694,26581626,18799732,23674792
SM 28:5;2O,11562592,9275243,11351138,17646294,12131559,6098092,9813492,553142,7044634,18957290,240398,9177652
LPE 30:8,5260180,4554346,4834438,5719148,5357440,2962467,4555566,4916759,5387315,5423689,4779246,6917324
SM 8:1;2O/22:6,5655538,1075344,1149796,10142639,7562254,8897753,8093450,10869282,10406011,8515670,18234786,11985683
LPE 30:7,3688522,3688048,3173741,2450337,3172368,2609846,3285094,3030913,3397985,2210174,2770266,2811809
LPC 26:0,13075643,16129673,14131365,12102995,13226584,16716553,10108204,9711943,8699749,10819843,11003113,10906650
SM 28:3;2O,10422628,8708343,8917253,2029851,5920612,7473469,0,0,0,902836,0,0
DG 36:2|DG 18:1_18:1,2817232128,3605376512,3121163520,4585371648,5341163520,5509790208,9434144768,8383029248,7677341696,8803962880,8774172672,10342281216
DG 36:2|DG 18:0_18:2,1103913216,3222847232,3140462592,761678592,630801216,420493696,2855628032,2098090112,1922549888,4181376512,2864376320,3510129920
DG 8:0_28:2,830514,69941,1923334,2831727,43028584,12526045,25390988,19450844,13328552,17633902,416691,810859
DG 36:4,11738637,32732076,41146828,10755024,7113019,1460273,30503342,17689396,31054890,62607920,32032582,41444256
DG 36:1|DG 18:0_18:1,990553152,1832980864,1812580096,871604416,938903744,838886464,2019846528,1802839552,1606229632,2402453248,1967922944,2219327232
SM 8:0;2O/22:4,19151992,10533366,13820252,17904118,37111988,29250478,0,1025821,723814,615677,851030,0
DG 36:0|DG 18:0_18:0,86252392,115262848,138197968,72091232,72878048,53317780,115820136,109395056,97136408,120739112,136943456,189935328
LPC 26:7,2170536,2116471,987331,1268806,1146148,2100162,0,0,0,0,0,167115
LPC 26:6,1689415,2014095,1292528,1316244,1755482,1840070,0,0,0,0,0,0
DG 36:0,35195736,33763620,43071872,27782372,26870846,25842882,32344058,37056404,27497016,28046488,42524140,56040628
DG 36:0,25652126,46919464,46915476,11571177,11088372,8434554,24390044,33620432,45986292,64675504,54012688,20471584
