"Cer(34:3)",2.5e+07,49900000,31200000,28500000,47500000,28500000,7917556.673,13600000,19600000,24100000,"Cer(d18:2_16:1)","Cer"
"Cer(36:4)",7400189.717,9300019.472,6362470.165,7259812.383,6475926.907,900699.658,2460623.251,3924997.986,5380936.928,5324077.228,"Cer(d18:2_18:2)","Cer"
"Cer(36:8)",3274103.525,4793264.666,4409458.277,3441103.908,2599006.395,4884745.825,3744849.589,2499988.649,3909474.235,2299225.852,"Cer(d36:8)","Cer"
"Cer(44:1)",36200000,37800000,9340678.612,38400000,38900000,81900000,71100000,52900000,77800000,52400000,"Cer(t44:1)","Cer"
"ChE(20:3)",32500000,31900000,20200000,21700000,39500000,1.71e+08,1.23e+08,1.22e+08,1.58e+08,71800000,"ChE(20:3)","ChE"
"ChE(20:5)",1.39e+08,1.54e+08,1.25e+08,1.09e+08,1.68e+08,1.35e+08,83600000,1.21e+08,1.4e+08,1.25e+08,"ChE(20:5)","ChE"
"ChE(22:4)",12900000,1.6e+07,10800000,6063620.856,22800000,1.8e+08,1.21e+08,1.14e+08,1.6e+08,8.2e+07,"ChE(22:4)","ChE"
"DG(18:1)",12200000,23400000,34300000,26100000,23500000,2388727.324,4909704.611,3212910.692,8912111.282,13900000,"DG(18:1e)","DG"
"DG(22:1)",5806854.788,10700000,22600000,17600000,22400000,3860852.39,6859817.095,7785206.413,11200000,21500000,"DG(22:1e)","DG"
"DG(22:3)",21700000,4.8e+07,31800000,31900000,44300000,51800000,47300000,61800000,74600000,5.8e+07,"DG(22:3)","DG"
"DG(22:4)",1.3e+07,14100000,34900000,36500000,21900000,7532004.393,12800000,8504355.886,15500000,15500000,"DG(22:4e)","DG"
"DG(24:1)",25300000,39900000,20400000,56800000,60800000,13600000,25700000,14800000,41100000,1.15e+08,"DG(24:1e)","DG"
"DG(24:4)",6301968.483,11800000,25800000,20200000,2.6e+07,3865049.157,6866486.068,7784402.441,11500000,23900000,"DG(24:4e)","DG"
"DG(26:0)",23700000,27100000,11100000,26300000,22500000,709387.9588,7004319.922,16100000,11900000,21300000,"DG(26:0)","DG"
"DG(26:1)",67100000,1.38e+08,9.7e+07,1.25e+08,1.41e+08,4.4e+07,5.1e+07,88300000,1.16e+08,2.03e+08,"DG(26:1e)","DG"
