"subclass","48hrs_1","12hrs_1","24hrs_1","24hrs_2","24hrs_3","24hrs_4","24hrs_5","Veh_1","Veh_2","Veh_3","Veh_4","48hrs_2","Veh_5","48hrs_3","48hrs_4","48hrs_5","12hrs_2","12hrs_3","12hrs_4","12hrs_5"
"ChE(22:4)",1.8e+08,2543418.197,12900000,1.6e+07,10800000,6063620.856,22800000,2205477.72,13200000,7085391.779,8414483.597,1.21e+08,9475024.268,1.14e+08,1.6e+08,8.2e+07,2209860.656,882493.4013,1797954.594,176498.6803
"ChE(22:6)",9.94e+08,3.04e+08,7.33e+08,6.07e+08,4.94e+08,5.02e+08,6.83e+08,4.1e+08,5.7e+08,4.93e+08,4.74e+08,9.84e+08,4.77e+08,9.73e+08,1.2e+09,1.05e+09,2.46e+08,3.75e+08,2.3e+08,2.16e+08
"CL(64:0)",3933485.841,11100000,6560481.984,5630891.219,6185647.957,5903297.868,5845172.561,1004355.02,1447361.024,1840676.287,1596517.705,3269401.951,2456264.591,2537133.447,3833043.26,4429919.389,7116082.236,9350572.759,10300000,10400000
"CL(66:3)",2513314.952,1794840.051,3064062.574,2373229.74,2563239.098,2372672.936,3025231.632,1593205.164,1804180.362,3739132.481,2923234.149,2477406.09,2453149.891,2066729.132,3303625.438,1718144.077,1719053.244,2001125.408,1971152.575,1127305.137
"CL(68:6)",12400000,3139734.46,6927874.971,4630238.586,5209505.691,8251162.59,10400000,5039104.286,4804156.425,4982812.686,6932284.035,8243930.674,6574408.048,4412025.147,3541263.578,4679603.2,3457445.068,2307129.028,4286894.256,2734285.003
"CL(70:0)",3.02e+08,8.66e+08,5.41e+08,3.77e+08,5.74e+08,5.15e+08,5.57e+08,3.86e+08,4.44e+08,3.3e+08,3.97e+08,3.29e+08,4.19e+08,4.52e+08,4.36e+08,4.44e+08,6.51e+08,7.24e+08,9.9e+08,7.65e+08
"CL(70:1)",6267808.885,13100000,9946120.653,6532802.654,12700000,6228302.464,12400000,9783722.443,9696340.391,10700000,10100000,7470389.218,8319338.946,10500000,11700000,12300000,11700000,13700000,14300000,12400000
"CL(70:17)",19300000,3694787.434,12700000,9726980.049,11400000,20300000,10900000,11300000,2361255.173,27700000,2.2e+07,7928778.369,17700000,7445017.839,9758144.796,5814446.061,16500000,4327999.084,4692005.312,11900000
"CL(70:2)",33600000,1.15e+08,72500000,66300000,91800000,9.2e+07,95600000,84400000,1.02e+08,78800000,73500000,41100000,67600000,72500000,85100000,93100000,85100000,1.26e+08,1.27e+08,1.05e+08
"CL(70:4)",61900000,2.36e+08,1.05e+08,1.37e+08,1.68e+08,1.39e+08,1.54e+08,3.04e+08,1.94e+08,2.05e+08,2.51e+08,61900000,2.81e+08,70200000,69300000,42500000,2.26e+08,2.11e+08,3.79e+08,2.73e+08
"CL(70:6)",51500000,8005899.896,21300000,15300000,12500000,20800000,27900000,16200000,1.5e+07,12700000,14500000,37300000,16800000,21100000,14600000,13600000,9685521.444,5681172.798,9411376.365,6780410.23
"CL(70:7)",144302839.02,41660671.223,83024524.587,73261340.3,74700000,99060069.74,111759691.904,69641042.406,71739724.155,69574025.32,76969499.301,100339495.21,91498794.633,62798517.255,51644281.164,65050625.25,55862266.451,32132968.185,49260896.02,36288328.44
"CL(70:8)",8636261.351,1104834.545,5627076.524,4239147.241,3180992.374,5595967.212,7241186.135,8240654.698,6008712.496,5895307.1,6348789.608,8575383.224,6071110.525,4212658.886,2623444.238,3121966.398,2145677.801,1740998.838,2540188.255,1246580.039
"CL(72:0)",10600000,2406919.534,8198953.197,6335166.939,2730095.334,7138551.749,7342672.263,4416741.386,1979669.634,880035.6957,4355982.111,9377006.845,4299614.975,1.4e+07,17200000,1.7e+07,7291457.221,1537290.477,6684251.752,5880135.943
"CL(72:1)",12200000,6637048.665,12900000,13900000,10400000,1.4e+07,11500000,2893712.061,2166673.768,3871061.855,1632130.693,17900000,3513406.342,20500000,28400000,33300000,5454663.568,7611033.514,6285703.764,5361158.541
"CL(72:10)",14700000,4080843.876,9381920.663,6904222.295,6382291.816,11400000,11800000,7545222.356,6869002.346,4292883.451,7259586.379,7145910.354,9041671.537,7459664.375,6304623.504,7074186.429,4779838.656,1704043.949,3682642.57,2970424.354
"CL(72:4)",42800000,1.82e+08,1.01e+08,1.25e+08,1.39e+08,1.27e+08,1.46e+08,1.67e+08,2.04e+08,1.69e+08,1.51e+08,55700000,1.78e+08,96900000,82500000,1e+08,1.17e+08,1.76e+08,2.83e+08,2.05e+08
"CL(72:6)",80700000,1945076.528,16200000,17300000,5958015.525,23200000,28400000,6048969.117,6354551.817,4827413.177,17200000,48600000,14900000,22500000,18100000,15300000,8531843.517,3879932.702,7310788.412,1999400.879
"CL(72:7)",384900000,44489140.0065,131845537.6547,92725950.343,67275152.378,127955316.418,161657771.2451,134133174.663,132585194.402,113214757.983,123001857.226,252009130.53,105445692.903,116726113.5977,126760373.367,94511138.6883,72713023.911,45849517.924,49251666.0146,39217828.0013
"CL(72:8)",1058800000,304700000,715900000,552200000,437600000,615900000,8.44e+08,621200000,8.27e+08,670600000,609700000,8.06e+08,553500000,527900000,482500000,588500000,404300000,369500000,299300000,248500000
"CL(72:9)",1.2e+08,3.7e+07,7.8e+07,6.7e+07,45400000,96200000,75500000,8e+07,100400000,114400000,9.8e+07,126400000,9.6e+07,64200000,73400000,61600000,60400000,41800000,4.3e+07,28800000
"CL(74:10)",82100000,24300000,56800000,54600000,32400000,45400000,65700000,56700000,86100000,72400000,61600000,35600000,46500000,45800000,48500000,43900000,38900000,28100000,25300000,19100000
"CL(74:11)",70700000,27655649.031,74285384.791,60483236.39,40639497.231,61397467.734,78700000,69118968.016,66300000,53700000,6.6e+07,75500000,66314385.464,51466081.958,60187894.293,59236462.989,45907680.754,35675521.026,31612195.086,23333363.057
"CL(74:2)",53100000,62200000,82800000,76500000,86500000,87500000,78800000,66900000,91900000,62500000,66100000,58800000,48400000,71300000,78300000,90200000,56800000,72900000,89600000,57300000
"CL(74:3)",3.48e+08,4.15e+08,3.17e+08,3.95e+08,3.58e+08,3.78e+08,3.39e+08,5.7e+08,4.79e+08,4.78e+08,4.78e+08,3.83e+08,4.76e+08,3.46e+08,2.87e+08,3.32e+08,3.74e+08,3.52e+08,5.54e+08,4.51e+08
"CL(74:4)",227558.1522,3515867.418,3007990.496,5563360.904,2162266.882,5540000.535,4880725.671,1732768.976,3164002.551,4181320.322,3269625.921,227558.1522,3813824.672,1137790.761,1476749.294,2095530.981,4350796.535,3452249.562,6130430.804,3319774.33
"CL(74:5)",3.32e+08,3.37e+08,2.72e+08,3.42e+08,3.06e+08,2.95e+08,2.97e+08,7.25e+08,6.17e+08,4.43e+08,5.64e+08,3.12e+08,4.21e+08,2.98e+08,2.75e+08,2.75e+08,2.68e+08,2.95e+08,3.41e+08,3.68e+08
"CL(74:6)",8.8e+09,5.82e+09,5.13e+09,5.58e+09,5.69e+09,5.09e+09,5.55e+09,7.87e+09,7.3e+09,8.42e+09,7.26e+09,6.87e+09,6.83e+09,7.43e+09,9.12e+09,5.16e+09,5.04e+09,5.35e+09,5.62e+09,5.66e+09
"CL(74:7)",1573942.091,16400000,11500000,27100000,11200000,26600000,3.4e+07,14200000,21500000,1573942.091,12500000,1573942.091,1573942.091,1573942.091,7869710.455,1573942.091,18400000,9080079.632,65700000,22400000
"CL(74:8)",3844598.119,3231920.628,3038601.991,3270489.012,3160367.739,2450299.445,7100380.301,6201242.879,7418170.425,1.4e+07,5117218.773,6123184.463,6413530.942,2340528.304,6197785.099,3424651.651,3628533.541,5480442.829,2826916.84,4112481.465
"CL(74:9)",105187077.3088,27902880.064,90110707.719,69959354.23,47955292.12,80956038.189,102226348.89,81941349.035,86402745.933,79770163.737,72964727.488,125403959.851,73131645.437,74885231.743,66564759.928,63336769.817,48656513.637,28235386.544,32112127.999,29547737.533
"CL(76:0)",31400000,39200000,36500000,37500000,32900000,29900000,35300000,48300000,40600000,40200000,48100000,3.4e+07,44100000,38100000,3.5e+07,3.3e+07,34800000,45700000,40600000,33600000
"CL(76:1)",13200000,11700000,13100000,14800000,12300000,11900000,13700000,15300000,18100000,14600000,16300000,12400000,12800000,1.4e+07,13200000,1.7e+07,12100000,14400000,15600000,12700000
"CL(76:10)",84700000,1.05e+08,88800000,92400000,81200000,78700000,89200000,1.3e+08,1.41e+08,1.44e+08,1.26e+08,79800000,1.13e+08,89700000,1.03e+08,1.03e+08,77600000,95500000,8.5e+07,86500000
"CL(76:12)",49300000,9470971.95,29400000,24700000,14500000,26500000,36100000,32800000,54700000,37100000,3.5e+07,37400000,3.1e+07,24700000,26100000,24900000,17300000,10300000,12200000,9080785.959
"CL(76:13)",2697955.037,692684.048,3012576.207,1745317.033,1016891.825,1522118.444,3644665.5,2066011.699,2716012.884,1906930.88,1502660.909,1551652.812,1801738.823,2297640.372,1314346.532,1330682.081,560928.418,81492.8624,407464.312,81492.8624
"CL(76:2)",22100000,31100000,22400000,24300000,22400000,21500000,28400000,31300000,31200000,2.9e+07,27300000,23400000,26700000,20800000,27800000,26200000,25700000,27700000,30300000,26200000
