"subclass","48hrs_1","12hrs_1","24hrs_1","24hrs_2","24hrs_3","24hrs_4","24hrs_5","Veh_1","Veh_2","Veh_3","Veh_4","48hrs_2","Veh_5","48hrs_3","48hrs_4","48hrs_5","12hrs_2","12hrs_3","12hrs_4","12hrs_5"
"O-PS(40:5)",30700000,19500000,4445693.842,3.3e+07,2984354.333,13200000,8911552.18,21400000,34200000,24700000,4055466.868,40100000,25800000,12400000,28800000,27200000,20800000,11900000,28900000,25900000
"O-PS(40:7)",148400000,126400000,132100000,129700000,106100000,129500000,149800000,91200000,109200000,103500000,108700000,134200000,9e+07,125800000,148400000,161700000,1.21e+08,1.25e+08,1e+08,122500000
"O-PS(40:8)",15900000,95200000,1.05e+08,1.17e+08,93300000,1.02e+08,85700000,81400000,86900000,23800000,1e+08,60700000,90600000,6689569.116,46100000,61300000,42600000,16400000,99500000,71400000
"O-PS(42:9)",27600000,15500000,20700000,16900000,1.6e+07,22600000,17200000,18100000,23600000,18500000,18300000,22300000,15800000,25400000,3.3e+07,24800000,17100000,19200000,16100000,12400000
"O-TG(32:1)",1.01e+08,1.44e+09,4.71e+08,7.03e+08,8.58e+08,7.79e+08,5.33e+08,1.52e+08,56700000,82700000,1.3e+08,53500000,1.42e+08,68800000,1.05e+08,1.39e+08,1.17e+09,1.11e+09,1.47e+09,2.09e+09
"O-TG(32:4)",34400000,9542747.594,23800000,14300000,4806045.178,14500000,11200000,10400000,6821616.641,10700000,4411434.995,19800000,4339682.956,24800000,28900000,29600000,11200000,13400000,10200000,13400000
"O-TG(32:5)",1.37e+08,1.25e+08,1.96e+08,1.43e+08,1.37e+08,1.74e+08,1.54e+08,1.29e+08,1.2e+08,1.27e+08,1.42e+08,1.42e+08,1.22e+08,1.5e+08,1.47e+08,1.8e+08,1.71e+08,1.58e+08,1.45e+08,1.5e+08
"O-TG(34:1)",268600000,1648800000,833500000,1046900000,1052300000,1026700000,901500000,267200000,142900000,250600000,225700000,255500000,2.83e+08,323200000,3.84e+08,389100000,1320100000,1376100000,1437500000,1.833e+09
"O-TG(34:3)",186500000,215600000,3.36e+08,3.68e+08,2.8e+08,200400000,3.82e+08,185600000,135900000,2.3e+08,2.87e+08,147500000,3.91e+08,206100000,270400000,4.36e+08,4.52e+08,5.35e+08,306800000,4.44e+08
"O-TG(34:4)",239731096.029,1760500000,734700000,990100000,1.159e+09,1035200000,817800000,273088375.4404,152143778.1794,224688375.4404,278388375.4404,150819092.834,451199528.56,289088375.4404,259988375.4404,322400000,1496400000,1511600000,1872400000,2596800000
"O-TG(34:6)",2.96e+08,43100000,23700000,31900000,73300000,65500000,7739267.433,2060205.724,1e+07,33200000,3.9e+07,2.46e+08,23300000,1.38e+08,1.34e+08,63300000,1559998.211,1.91e+08,2.84e+08,4.08e+08
"O-TG(36:1)",3.6e+07,73500000,44300000,62900000,63100000,58900000,39300000,19100000,5023099.656,20500000,1.1e+07,2.2e+07,1.7e+07,17400000,24700000,32400000,60100000,47200000,54900000,78700000
"O-TG(36:2)",374900000,1.086e+09,8.48e+08,1.223e+09,1.094e+09,1.124e+09,8.06e+08,328900000,149300000,248600000,247400000,260700000,333400000,232600000,333300000,4.39e+08,1.006e+09,8.06e+08,1.095e+09,1.242e+09
"O-TG(36:3)",1571900000,3.876e+09,3.327e+09,4.785e+09,4.113e+09,4.101e+09,3.504e+09,1619100000,806500000,1350600000,1315800000,1108800000,1427500000,1049400000,1526100000,2254500000,4.168e+09,3.611e+09,4.305e+09,4.866e+09
"O-TG(36:4)",2.188e+09,6.09e+09,4.46e+09,6.11e+09,5.53e+09,5.48e+09,4.84e+09,2.473e+09,1.468e+09,2.21e+09,2.042e+09,2.07e+09,2.28e+09,1.628e+09,2.07e+09,2.907e+09,6.59e+09,5.97e+09,7.07e+09,7.13e+09
"O-TG(36:5)",2108400000,6829400000,6384800000,7.215e+09,5.948e+09,7.381e+09,6.081e+09,2.124e+09,1762500000,2182600000,2196600000,1986400000,2265700000,2406700000,3043200000,3911200000,8.308e+09,8.411e+09,9.137e+09,1.0243e+10
"O-TG(36:6)",5.6e+07,1.98e+08,1.84e+08,1.8e+08,1.54e+08,1.86e+08,1.98e+08,91200000,80100000,1.24e+08,1.65e+08,56100000,1.99e+08,1e+08,90600000,1.47e+08,1.8e+08,2.58e+08,2.3e+08,2.81e+08
"O-TG(38:2)",28100000,64600000,41800000,62400000,47800000,73600000,38600000,18500000,3615327.663,2e+07,14600000,17700000,16700000,15500000,18400000,18800000,53400000,41600000,51400000,70200000
"O-TG(38:3)",88700000,55700000,1.99e+08,2.68e+08,2246266.53,2.9e+08,94300000,74600000,6846563.128,23500000,60100000,33800000,6.4e+07,9974800.605,55100000,98700000,2.96e+08,17500000,3.24e+08,3.47e+08
"O-TG(38:4)",2.904e+09,2.63e+09,2.422e+09,3.269e+09,3.073e+09,2.995e+09,2.569e+09,1.743e+09,1.589e+09,1.696e+09,1.442e+09,2.965e+09,1.831e+09,2.516e+09,2.987e+09,2.642e+09,3.14e+09,2.595e+09,2.83e+09,2.84e+09
"O-TG(38:5)",6.65e+08,2.22e+09,1.03e+09,1.54e+09,1.52e+09,1.33e+09,1.35e+09,6.3e+08,3.75e+08,6.85e+08,5.94e+08,5.62e+08,7.07e+08,4.71e+08,5.67e+08,7e+08,1.7e+09,1.56e+09,2.17e+09,2.24e+09
"O-TG(38:6)",61900000,1.86e+08,1.07e+08,1.65e+08,1.53e+08,1.01e+08,1.24e+08,69100000,38500000,90600000,65800000,38800000,77500000,49400000,56100000,94500000,2.08e+08,2.11e+08,3.05e+08,2.56e+08
"O-TG(38:8)",35100000,12900000,15500000,24100000,10400000,14200000,28200000,35500000,17300000,2.9e+07,18500000,1e+07,16300000,28500000,37400000,30500000,2867539.764,2.2e+07,25100000,17800000
"O-TG(40:11)",1.23e+09,1.27e+09,6.51e+08,1.18e+09,1.08e+09,1.11e+09,1.13e+09,1.97e+09,1.58e+09,1.68e+09,1.79e+09,1.28e+09,1.9e+09,1.02e+09,9.88e+08,1.03e+09,1.3e+09,1.33e+09,1.51e+09,1.34e+09
"O-TG(40:4)",62200000,3.6e+08,1.8e+08,2.72e+08,2.9e+08,3.12e+08,2.49e+08,52600000,20400000,63600000,3.4e+07,38500000,36900000,41300000,44300000,79300000,3.75e+08,3.23e+08,4.64e+08,4.76e+08
"O-TG(40:5)",754100000,1882500000,1010800000,1521300000,1292700000,1759100000,1483700000,552800000,263584631.286,665803218.785,455778592.48,673900000,456600000,495500000,607100000,706900000,1568200000,1453500000,1.458e+09,1928300000
"O-TG(40:6)",8.02e+08,1.599e+09,1.346e+09,1.644e+09,1.629e+09,1.564e+09,1.355e+09,4.37e+08,316400000,4.48e+08,3.96e+08,8.66e+08,4.37e+08,7.38e+08,9.05e+08,1.032e+09,1.542e+09,1.477e+09,1.251e+09,1.566e+09
"O-TG(40:7)",6.45e+08,1.2e+09,9.93e+08,1.58e+09,1.27e+09,1.34e+09,1.19e+09,4.03e+08,2.21e+08,3.39e+08,2.91e+08,4.07e+08,3.62e+08,4.5e+08,6.7e+08,1.01e+09,1.34e+09,1.09e+09,1.46e+09,1.51e+09
"O-TG(42:5)",19500000,1.4e+08,28800000,52500000,62700000,83200000,51400000,11100000,2264256.755,13900000,11200000,15200000,15100000,11800000,1.6e+07,20900000,75200000,59500000,85100000,1.09e+08
"O-TG(42:6)",144700000,8.26e+08,4.7e+08,6.56e+08,5.06e+08,5.49e+08,4.4e+08,103200000,59400000,75500000,100500000,171500000,84100000,297900000,266700000,374900000,8.58e+08,6.23e+08,7.91e+08,7.03e+08
"O-TG(42:7)",173200000,1.223e+09,5.59e+08,8.03e+08,8.82e+08,9.56e+08,7.63e+08,154600000,63400000,193600000,103500000,114600000,142400000,1.18e+08,128200000,229700000,1.049e+09,9.8e+08,1.474e+09,1.459e+09
"O-TG(42:9)",25100000,22400000,3e+07,2.3e+07,7054508.246,26400000,20300000,35100000,9772651.614,37200000,30200000,33800000,22300000,27600000,37500000,21200000,15600000,6071815.99,1214363.198,13300000
"O-TG(44:5)",5e+07,57900000,53500000,49200000,2e+07,63200000,30700000,53700000,25200000,4.8e+07,48900000,47900000,42400000,46400000,43200000,18900000,44800000,23200000,57200000,42200000
"O-TG(48:0)",62500000,3493100.926,1.4e+07,10600000,5978445.828,8525539.295,15200000,3.4e+07,61900000,44500000,43800000,43500000,28600000,72500000,67800000,3.5e+07,445465.8582,7007288.331,2227329.291,445465.8582
"O-TG(48:2)",19500000,1.7e+07,35800000,30100000,1903414.363,17400000,19800000,29100000,1903414.363,13300000,17700000,9517071.817,39700000,1903414.363,3e+07,1.3e+07,24700000,21200000,38800000,64200000
"O-TG(50:1)",6.14e+08,76700000,1.67e+08,1.16e+08,81200000,97900000,1.63e+08,3.87e+08,5.79e+08,4.35e+08,4.32e+08,5.08e+08,2.85e+08,6.11e+08,5.85e+08,3.74e+08,61500000,75900000,49400000,45600000
"O-TG(50:2)",93800000,84400000,77700000,6.1e+07,72600000,1.01e+08,1.06e+08,79600000,7.7e+07,94600000,1.08e+08,65500000,1.23e+08,70100000,9.2e+07,7e+07,82300000,76500000,85100000,72100000
"O-TG(50:3)",1.1e+08,1.58e+08,1.28e+08,1e+08,1.15e+08,1.08e+08,1.2e+08,1.17e+08,95800000,1.02e+08,1.17e+08,96100000,9.7e+07,69600000,1.01e+08,1.03e+08,1.03e+08,1.09e+08,1.02e+08,1.43e+08
"O-TG(50:4)",31400000,56700000,47400000,59700000,70700000,78400000,57100000,22900000,2080000,14900000,66400000,10400000,23600000,17700000,45400000,2080000,62100000,78500000,75100000,1.25e+08
"O-TG(50:5)",15670072.466,62800000,53700000,4.1e+07,38494904.554,34400000,32100000,41600000,2364977.02,23175781.31,32700000,4344595.236,53100000,2364977.02,40600000,22350362.33,59900000,57800000,63200000,81800000
"O-TG(50:7)",46600000,1.95e+08,1.77e+08,1.33e+08,81600000,1.56e+08,1.57e+08,28800000,10900000,28500000,5.8e+07,36800000,80800000,95900000,97300000,1.34e+08,1.01e+08,2.05e+08,1.74e+08,2.69e+08
"O-TG(52:2)",8.68e+08,1.12e+08,2.79e+08,2.02e+08,1.45e+08,1.51e+08,2.59e+08,5.16e+08,6e+08,4.47e+08,7.98e+08,7.36e+08,4.39e+08,8.51e+08,8.1e+08,4.98e+08,80400000,9.8e+07,76300000,70100000
"O-TG(52:3)",1.39e+08,4029800.735,44200000,33200000,16300000,11300000,4.2e+07,99800000,1.22e+08,1.4e+08,1.17e+08,1.32e+08,71400000,1.36e+08,1.1e+08,86200000,18700000,14400000,4729321.935,805960.147
"O-TG(52:4)",2.4e+08,15400000,35600000,24900000,26900000,17300000,57100000,98300000,1.12e+08,1.26e+08,1.12e+08,2.1e+08,61600000,2.12e+08,2.2e+08,96500000,7739371.395,11100000,4979218.869,995843.7738
"O-TG(52:5)",159200000,124300000,103800000,1.27e+08,124500000,161800000,190700000,162400000,105400000,128900000,155100000,122700000,164300000,97700000,158400000,119400000,149500000,78050005.872,176800000,112100000
"O-TG(52:6)",1.22e+08,1.56e+08,1.32e+08,1.03e+08,1.15e+08,1.07e+08,1.2e+08,1.18e+08,98200000,1.03e+08,1.25e+08,90600000,1.06e+08,69600000,97700000,1.03e+08,1.13e+08,1.19e+08,96900000,1.38e+08
"O-TG(52:7)",35541707.485,180900000,72200000,111300000,106100000,140700000,91700000,34200000,6135240.16,22853092.31,95500000,14749631.574,46900000,3.9e+07,92900000,57280000,145800000,213300000,277500000,201400000
"O-TG(54:13)",8.29e+08,4.78e+08,6.2e+08,4.74e+08,4.85e+08,5.65e+08,6.14e+08,7.75e+08,7.62e+08,7.61e+08,6.65e+08,8.88e+08,5.95e+08,8.19e+08,8.99e+08,5.91e+08,4.09e+08,3.66e+08,3.44e+08,3.51e+08
"O-TG(54:2)",170300000,18219509.404,58400000,58500000,20406730.269,25449005.834,77300000,293800000,828500000,537600000,244800000,131900000,281200000,204900000,183100000,100200000,9953311.014,27417480.339,12202658.61,14300531.722
"O-TG(54:3)",95700000,1.5e+07,10400000,14100000,14800000,13500000,14400000,45900000,16500000,61200000,37800000,1.41e+08,15800000,96300000,56900000,54200000,26100000,7889291.081,10900000,7915255.623
"O-TG(54:5)",8.37e+08,81600000,1.62e+08,1.02e+08,86300000,1.07e+08,1.8e+08,3.77e+08,4e+08,4.22e+08,4.24e+08,7.79e+08,2.73e+08,7.72e+08,6.15e+08,3.72e+08,63500000,91300000,65400000,44800000
"O-TG(54:6)",30700000,49700000,34600000,57400000,36500000,65500000,78900000,48500000,27900000,38500000,3.8e+07,16500000,13800000,1767148.626,48600000,53400000,31400000,8835743.13,14600000,4.3e+07
"O-TG(54:7)",22600000,22500000,39200000,46600000,38600000,26900000,39400000,31700000,24200000,2.2e+07,29100000,22600000,50700000,14500000,22500000,53200000,69800000,51400000,57700000,3.2e+07
"O-TG(56:10)",2.52e+08,2.14e+08,2.56e+08,2.15e+08,1.67e+08,2.23e+08,1.91e+08,2.84e+08,2.66e+08,2.78e+08,2.44e+08,2.72e+08,2.47e+08,2.15e+08,2.82e+08,2.06e+08,1.65e+08,1.41e+08,1.23e+08,1.52e+08
"O-TG(56:4)",56900000,4331357.354,15200000,8034596.643,2133143.254,4263721.664,12200000,42500000,80800000,75700000,58100000,40300000,28800000,87700000,63700000,31700000,3770772.354,5298477.497,3023245.79,426628.6508
"O-TG(56:5)",3.43e+08,1.02e+08,80200000,1.37e+08,66900000,1.12e+08,2.34e+08,5.64e+08,7.09e+08,6.32e+08,6.26e+08,2.93e+08,4.06e+08,8.87e+08,8e+08,4.63e+08,22800000,78900000,68600000,65600000
"O-TG(56:6)",8.77e+08,1.01e+08,1.97e+08,1.43e+08,1.11e+08,1.07e+08,2.05e+08,4.34e+08,4.82e+08,2.52e+08,4.7e+08,8.16e+08,3.31e+08,7.83e+08,6.33e+08,3.98e+08,54800000,72300000,83600000,44100000
"O-TG(58:10)",1.86e+08,2.69e+08,5.82e+08,1.69e+08,2.66e+08,1.08e+08,3.73e+08,4.31e+08,1.49e+08,2.22e+08,1.93e+08,98300000,4.8e+08,1.28e+08,2.04e+08,5.06e+08,3.06e+08,2.9e+08,1.04e+08,6.44e+08
"O-TG(58:5)",3.95e+08,21600000,1.1e+08,45500000,30800000,29200000,89100000,2.36e+08,4.14e+08,2.07e+08,3.11e+08,1.98e+08,1.26e+08,2.76e+08,2.49e+08,1.48e+08,1.5e+07,27800000,11100000,17200000
"O-TG(58:6)",1.79e+08,49400000,1.14e+08,1.18e+08,73200000,68600000,51100000,1.17e+08,87200000,79400000,3.69e+08,1.48e+08,2.31e+08,1.52e+08,1.18e+08,54400000,7469869.307,61400000,48800000,38300000
"O-TG(58:7)",2.56e+08,66200000,64100000,67500000,44800000,4.8e+07,76400000,1.27e+08,4.21e+08,4.35e+08,2.53e+08,6.24e+08,1.17e+08,2.28e+08,5.4e+08,1.58e+08,64400000,73400000,53600000,40800000
"O-TG(60:3)",2.97e+08,3.1e+08,3.18e+08,3.1e+08,2.31e+08,2.92e+08,2.99e+08,1.86e+08,1.65e+08,1.73e+08,1.84e+08,2.06e+08,2.52e+08,2.83e+08,2.92e+08,2.92e+08,2.9e+08,2.84e+08,2.53e+08,2.72e+08
"O-TG(60:5)",4.17e+08,4.02e+08,3.94e+08,3.92e+08,4.33e+08,3.98e+08,3.89e+08,4.78e+08,5.59e+08,5.19e+08,4.98e+08,4.3e+08,4.59e+08,3.74e+08,3.95e+08,3.75e+08,4.29e+08,3.94e+08,3.62e+08,4.29e+08
"O-TG(62:6)",2.41e+08,3.17e+08,3.21e+08,3.06e+08,2.31e+08,2.99e+08,3.04e+08,1.86e+08,1.67e+08,1.69e+08,1.87e+08,2.03e+08,2.51e+08,2.77e+08,2.86e+08,2.98e+08,2.87e+08,2.86e+08,2.57e+08,2.74e+08
"O-TG(62:7)",1.74e+08,3.87e+08,2.91e+08,1.07e+09,3.27e+08,6.82e+08,2.2e+08,1.45e+08,2.13e+08,3.91e+08,2.13e+08,2e+08,3.12e+08,6.09e+08,5.31e+08,2.24e+08,3.34e+08,8.22e+08,2.72e+08,2.41e+08
"O-TG(62:8)",4.43e+08,4.25e+08,4.29e+08,4.26e+08,4.93e+08,4.39e+08,4.44e+08,5.59e+08,6.6e+08,6.1e+08,1.86e+08,5.08e+08,4.92e+08,1.47e+08,1.32e+08,3.75e+08,4.59e+08,4.33e+08,3.91e+08,4.63e+08
"O-TG(62:9)",3.82e+08,3.24e+08,4.5e+08,3.63e+08,4.22e+08,3.69e+08,3.73e+08,5.22e+08,4.26e+08,4.53e+08,5.02e+08,3.78e+08,4.22e+08,4.02e+08,3.82e+08,2.99e+08,3.38e+08,3.82e+08,3.57e+08,3.17e+08
"O-TG(64:8)",1.66e+08,1.05e+08,99800000,2.01e+08,1.38e+08,1.51e+08,1.59e+08,1.61e+08,1.26e+08,1.41e+08,1.32e+08,1.87e+08,1.62e+08,1.54e+08,1.47e+08,1.49e+08,1.48e+08,1.28e+08,1.14e+08,1.39e+08
"P-PE(34:1)",4.43e+08,1.67e+08,1.84e+08,2.24e+08,2.46e+08,2.08e+08,2.46e+08,1.65e+08,1.62e+08,1.8e+08,1.7e+08,4.97e+08,1.75e+08,4.48e+08,3.96e+08,3.62e+08,1.48e+08,1.62e+08,1.77e+08,1.84e+08
"P-PE(34:2)",88100000,34900000,56100000,69300000,75900000,54700000,75700000,62400000,47800000,41400000,43800000,1.35e+08,40800000,1.03e+08,1.11e+08,1.16e+08,42200000,45500000,31700000,41600000
"P-PE(36:2)",2.54e+08,1.12e+08,1.34e+08,1.56e+08,1.67e+08,1.37e+08,1.98e+08,1.15e+08,1.56e+08,1.36e+08,1.13e+08,2.78e+08,1.1e+08,2.83e+08,2.39e+08,2.32e+08,97800000,1.69e+08,1.2e+08,1.1e+08
"P-PE(36:4)",2.78e+09,1.75e+09,1.65e+09,1.55e+09,1.75e+09,1.68e+09,1.77e+09,2.35e+09,2.26e+09,2.24e+09,2.29e+09,2.85e+09,2.16e+09,2.25e+09,2.45e+09,1.83e+09,1.6e+09,1.91e+09,2.09e+09,1.66e+09
"P-PE(36:5)",41400000,21600000,35600000,41100000,23500000,30300000,33300000,56800000,53100000,49100000,46200000,63500000,5.2e+07,64900000,17200000,19900000,17600000,44700000,36400000,28300000
"P-PE(38:2)",38900000,21500000,21900000,17500000,25500000,14900000,21500000,18500000,33900000,22900000,19900000,32400000,17400000,4.7e+07,29300000,20400000,20900000,22200000,18300000,29500000
"P-PE(38:3)",3.9e+08,2.2e+08,213700000,2.25e+08,197800000,2.28e+08,210100000,2.68e+08,3.12e+08,2.89e+08,2.92e+08,3.4e+08,2.54e+08,4.09e+08,3.31e+08,2.41e+08,162900000,193600000,173300000,174800000
"P-PE(38:4)",5.18e+09,2.62e+09,2.771e+09,3.024e+09,2.871e+09,2.961e+09,3.051e+09,3.109e+09,3.455e+09,3.585e+09,3.064e+09,5.12e+09,2.821e+09,4.7e+09,4.86e+09,4e+09,2.362e+09,2.632e+09,2.582e+09,2.172e+09
"P-PE(38:5)",1.36e+09,6.8e+08,6.26e+08,6.4e+08,7.14e+08,6.55e+08,6.76e+08,8.79e+08,9.25e+08,8.13e+08,8.64e+08,1.24e+09,8.31e+08,9.85e+08,1.08e+09,8.01e+08,6.08e+08,6.1e+08,7.97e+08,6.87e+08
"P-PE(38:6)",4.14e+09,2.13e+09,2.52e+09,2.04e+09,2.35e+09,2.24e+09,2.33e+09,1.8e+09,2.42e+09,2.26e+09,2.05e+09,3.82e+09,1.73e+09,3.71e+09,4.05e+09,3.18e+09,1.78e+09,1.9e+09,1.71e+09,1.78e+09
"P-PE(40:4)",1.057e+09,6.38e+08,5.46e+08,5.85e+08,5.07e+08,6.33e+08,5.43e+08,7e+08,6.7e+08,8.47e+08,7.02e+08,1.151e+09,5.79e+08,9.2e+08,9e+08,6.87e+08,5.15e+08,5.08e+08,5.08e+08,4.78e+08
"P-PE(40:5)",6.36e+08,2.66e+08,3.09e+08,3.43e+08,3.47e+08,3.2e+08,3.14e+08,4.47e+08,4.71e+08,4.1e+08,4.04e+08,5.9e+08,3.26e+08,5.7e+08,5.73e+08,4.68e+08,2.86e+08,3.12e+08,3.08e+08,2.51e+08
"P-PE(40:6)",2.75e+09,1.46e+09,1.64e+09,1.52e+09,1.03e+09,1.77e+09,1.53e+09,1.74e+09,1.89e+09,1.9e+09,1.72e+09,2.54e+09,1.42e+09,2.58e+09,2.73e+09,2.5e+09,1.47e+09,1.45e+09,1.27e+09,1.22e+09
"P-PE(40:7)",2.38e+09,9.38e+08,1.06e+09,1.14e+09,1.28e+09,1.06e+09,1.17e+09,9.84e+08,1.14e+09,1.03e+09,1.21e+09,2.55e+09,1e+09,2.01e+09,2.38e+09,1.89e+09,9.07e+08,1.01e+09,9.49e+08,9.26e+08
"P-PE(42:6)",4.79e+08,3.81e+08,3.28e+08,3.17e+08,3.5e+08,3.91e+08,2.79e+08,4.3e+08,4.91e+08,5.01e+08,4.38e+08,6.38e+08,3.82e+08,4.92e+08,4.49e+08,3.61e+08,3.68e+08,3.72e+08,2.89e+08,2.98e+08
"PA(28:6)",1710316.763,2145734.867,812405.02,3809799.751,954204.712,1360090.454,486401.451,2241988.557,1210840.778,3104108.448,1981823.902,2085270.803,2444771.881,1882404.239,1763958.315,1335183.717,2380141.901,1370817.327,1913219.556,1452346.297
"PA(34:0)",69200000,17600000,25200000,33800000,24800000,35200000,28800000,27900000,28400000,7046821.399,1.2e+07,41700000,15400000,30900000,59300000,44800000,45100000,3.3e+07,27600000,17200000
"PA(34:1)",20700000,2922741.2,242073.3962,8196488.388,7719728.867,6214129.431,6899529.309,6663081.755,1539617.046,1210366.981,2693110.158,11300000,2836583.795,9105143.001,19600000,3901747.204,15200000,3550881.09,7572429.583,2519725.878
"PA(36:0)",5702180.937,1629276.962,2227314.937,3435921.973,3579449.089,4159315.263,3772283.052,3329463.216,1720177.084,718602.602,979432.055,5136851.919,828551.999,2885280.225,5732066.559,5792538.865,4527229.555,2394852.607,2556473.471,834051.959
"PA(36:1)",1.92e+08,95400000,97600000,1.28e+08,1.69e+08,1.3e+08,1.77e+08,91500000,61700000,32300000,44700000,99400000,52100000,87400000,1.97e+08,1.39e+08,1.7e+08,82100000,1.08e+08,70500000
"PA(36:2)",454649257.008,373372597.895,339404193.519,676525526.303,639255219.306,545785494.382,736670847.777,314870072.189,212580431.836,119995168.487,129948397.054,254388694.79,167447343.46,230609544.13,534919158.775,474418466.082,510667072.25,353800000,453412995.213,299349631.98
"PA(38:1)",21100000,9958398.644,10900000,19800000,19700000,14400000,17300000,11700000,6142588.009,3175345.349,4622067.939,7369544.456,6294545.289,5382640.184,18100000,15400000,22300000,8122970.805,13400000,7525978.882
"PA(38:2)",1.88e+08,96800000,1.45e+08,2.66e+08,2.39e+08,2.04e+08,2.19e+08,1.22e+08,91600000,42600000,47600000,9.4e+07,63700000,91700000,2.13e+08,1.71e+08,1.71e+08,96100000,1.35e+08,85500000
"PA(38:3)",120200000,67800000,63100000,1.3e+08,101100000,101700000,90300000,8.6e+07,61900000,18281575.882,24095623.496,57600000,44700000,61800000,99300000,81600000,95100000,6e+07,98100000,58900000
"PA(38:4)",5.13e+08,1.3e+08,1.34e+08,2.58e+08,2.21e+08,1.69e+08,2.11e+08,1.41e+08,97200000,66100000,52500000,2.25e+08,86800000,1.63e+08,4.19e+08,2.69e+08,2.54e+08,1.29e+08,1.51e+08,1.12e+08
"PA(38:5)",6130958.559,12900000,14700000,32800000,27300000,20500000,22700000,7359877.796,4237857.402,2412567.59,2145688.372,4644304.171,5140709.095,1535911.192,9781270.371,16500000,20900000,8079937.204,19100000,13100000
"PA(38:6)",8294788.041,668884.3392,3494785.289,1322206.639,5726374.21,1337242.786,3625934.266,6396686.849,4215820.002,6177509.868,5034003.085,7712948.342,4701091.786,5287960.18,4752362.111,3871694.286,457881.2688,1761089.681,1301506.68,91576.25376
"PA(40:5)",71800000,19700000,32200000,43900000,41300000,35500000,35200000,24300000,18500000,15100000,13700000,43100000,1.7e+07,2.5e+07,52300000,41600000,46800000,22500000,30500000,16600000
"PA(40:6)",1.64e+08,7.7e+07,1.09e+08,2.15e+08,1.92e+08,1.8e+08,1.7e+08,67600000,50500000,31200000,21100000,75600000,40900000,82600000,2.24e+08,2.31e+08,1.71e+08,93300000,8.9e+07,67200000
"PA(42:6)",63400000,4.2e+07,65800000,1.17e+08,1.46e+08,1e+08,1.02e+08,16200000,2.4e+07,11600000,9599868.285,36200000,11300000,40500000,1.09e+08,1.26e+08,1.01e+08,38600000,46800000,34700000
"PA(44:4)",8.89e+08,8.1e+08,7.01e+08,6.89e+08,8.17e+08,7.57e+08,8e+08,8.59e+08,7.8e+08,7.86e+08,8.49e+08,8.31e+08,7.9e+08,9.21e+08,8.53e+08,8.42e+08,8.19e+08,7.72e+08,8.38e+08,7.99e+08
"PA(44:6)",40900000,1.07e+08,54300000,75500000,74100000,79300000,42800000,81600000,49300000,61400000,73100000,38700000,1.03e+08,37600000,92300000,1.64e+08,85500000,7.2e+07,54500000,78700000
"PA(46:4)",2.84e+08,3.25e+08,2.43e+08,2.71e+08,3.02e+08,2.65e+08,2.42e+08,3.42e+08,2.95e+08,2.68e+08,3.1e+08,2.63e+08,3.34e+08,2.64e+08,2.73e+08,2.68e+08,3e+08,2.86e+08,3.04e+08,2.94e+08
"PA(46:6)",1.93e+08,1.81e+08,1.82e+08,2.19e+08,1.98e+08,1.94e+08,1.87e+08,2e+08,1.89e+08,1.7e+08,1.76e+08,2.23e+08,2.13e+08,1.57e+08,1.64e+08,1.73e+08,2.15e+08,1.76e+08,2.29e+08,1.84e+08
"PA(46:7)",1.47e+08,2.21e+08,2.02e+08,2.56e+08,2.39e+08,2.45e+08,2.43e+08,3.09e+08,2.52e+08,2.58e+08,2.61e+08,1.6e+08,2.77e+08,1.31e+08,1.33e+08,1.52e+08,1.81e+08,2.18e+08,2.69e+08,2.15e+08
"PC(18:0)",46100000,24800000,16200000,19100000,5941512.306,24600000,8068511.732,41300000,2.6e+07,33500000,3.9e+07,22800000,32900000,10600000,36900000,2e+07,58400000,30500000,20400000,28400000
"PC(20:0)",49100000,6485418.854,9866154.477,9963590.784,4079414.696,12600000,2758508.128,39400000,25800000,37100000,35500000,14800000,23900000,7732873.041,21400000,18400000,36700000,1.2e+07,6175398.83,10900000
"PC(20:1)",1.1e+07,7312109.431,5141537.435,8119419.207,6233611.942,9621967.408,4353302.705,8317756.152,5482485.564,6746535.565,7831979.372,7377389.748,6741339.195,5359214.624,11500000,6458321.454,12900000,6292715.056,4958905.637,7254720.652
"PC(20:2)",29200000,1.8e+07,17100000,22700000,12500000,28600000,8835330.317,18900000,14800000,13500000,21600000,13300000,16500000,8789844.008,29200000,18300000,39200000,24100000,8632287.726,22100000
"PC(22:0)",4411090.404,17900000,3876442.968,6274082.78,17900000,8367076.914,3695668.851,6568114.613,8845510.653,8228570.371,7672754.331,5736236.091,8492328.111,4590505.446,7535004.657,8599510.984,12900000,17600000,16300000,17500000
"PC(22:4)",14400000,8258963.551,4092206.695,8044937.448,6090655.393,8435967.235,3125414.305,9496623.309,5094136.88,6999814.343,8611648.429,7660727.753,9302681.578,4372243.31,15100000,7871713.786,16200000,7248276.878,4101351.7,11100000
"PC(24:0)",8999261.388,50664250.252,8497141.9294,13874228.7804,55423098.16,14298953.81,8661880.228,12958964.405,12982783.135,11353114.512,14721630.647,11274228.7804,15521210.936,9205741.7694,9928163.4934,9039666.274,21986850.143,65649685.016,48443921.562,47347515.95
