"","Sample270","Sample429","Sample430","Sample439","Sample191","Sample197","Sample428","Sample433","Sample464"
"PC 36:6",36235,296213,100126,62092,62736,284234,24990,1906707,28859
"PC 38:1|PC 18:0_20:1",3526539,3207342,2172588,2223532,2084692,6954104,99911,8363704,1124557
"PC 38:2|PC 18:1_20:1",2574904,7756094,4688904,4898367,6883727,1446640,140088,10181033,1435030
"PC 38:3|PC 18:0_20:3",29370620,93466112,20584868,32833294,80679120,191295712,453890,295280256,13296685
"PC 38:4|PC 16:0_22:4",16896494,47054640,12949686,15891097,27071082,55434580,2749572,68366584,6368312
"PC 38:4|PC 18:1_20:3",5376684,18997618,6223429,6117720,12955231,27774414,640205,44244168,3808013
"PC 38:6",580917,2255998,652362,617041,1574471,3774126,31059,12406017,1363061
"PC 38:6|PC 16:0_22:6",21680798,94229344,53430816,37870032,75221784,234684080,10860801,690998080,17663820
"PC 38:6|PC 18:2_20:4",670302,6837561,1736767,1098624,2565036,8624869,63732,28565642,737023
"PC 40:7|PC 18:1_22:6",2841955,10547194,5011801,4373418,9582471,17226570,1163715,30042632,2086890
"PC 42:0",229479,240677,248604,138850,142656,80140,1944,47298,60009
"PC 42:1",45847,144795,212920,1075776,113965,928979,188,175954,135053
"PC 42:10",85812,957092,161305,177282,354971,1122757,42380,2495452,74417
"PC 42:4|PC 14:0_28:4",1205,5717,4427,72081,99,1121616,2111,7467,19.8
"PC 42:8|PC 22:3_20:5",276782,1517010,268563,580544,614343,1603704,44283,1218658,88289
"PC 44:10",87030,441891,80046,253161,248544,407528,2406,425029,9104
"PC 44:11",7071,59381,7342,20666,30637,57533,540.8,73333,2704
"PC 44:12|PC 22:6_22:6",19323,185060,55093,90719,131271,333569,11777,266253,17138
"PC 44:2",71306,234016,128582,113030,78986,238757,92978,171542,115326
"PC 44:7",32207,56489,12663,182711,20277,162846,90784,35574,9509
"PC 44:9",27425,112122,67236,3141,32284,114137,14658,38837,17478
"PC 46:10",20393,131030,46562,81430,50081,104707,5629,65715,6441
"PC 46:5",76590,373190,99537,407791,114599,234165,15815,198312,61556
"PC 46:8",74666,324666,81184,293275,73946,429126,74347,158844,44556
"PC 46:9",124108,170339,210875,90430,158326,143869,7764,41434,45119
"PC 48:7",46393,70337,51822,379087,23762,294861,130742,103485,50096
"PC 48:8",30836,10553,27807,101777,7123,160169,689449,13637,12677
"PC 48:9",22995,26867,79143,201132,27254,113473,15767,4526,10192
"PC 56:10",13448,44095,6264,34971,35717,37518,4224,10932,30812
"PC 62:9",28,1869,5005,4246,8790,2839,1996,4159,1087
"PE 32:0",66118,67046,65796,22618,412179,68109,29896,46748,117428
"PE 34:1|PE 16:0_18:1",538730,1227295,500270,312410,1472959,1089640,91686,2375740,102476
"PE 34:2|PE 16:0_18:2",66900,388119,92224,35884,386521,740439,1598,2592092,75624
"PE 36:3|PE 18:1_18:2",80726,453915,72095,46537,422155,471616,639,2470447,54823
"PE 36:4",14962,44065,33993,6438,83973,42115,1980,493136,4454
"PE 38:5",13389,43896,40283,15207,56560,83893,4272,246867,90409
"PE 38:6|PE 16:1_22:5",1077509,4232275,1445734,1053880,6365048,6272886,265416,8304938,643966
"PE 40:4",993200,3909662,982736,968799,4529608,1995154,116697,380398,177037
"PE 40:7",416569,1097763,477124,240070,2016915,1332151,98030,1568604,197543
"PI 36:1",48837,243938,139529,48718,253727,291620,63,460198,11052
"PI 38:2",1433,20930,19954,16475,18456,6199,9954,13323,581
"PI 40:4",555,7957,13.6,260,7109,19092,68,28375,13.6
"PI 40:7",5519,28488,5804,6239,9422,18900,28,42774,248
"PS 38:2",25397,72823,14478,38035,98427,61386,3854,48440,7932
"PS 40:6",40459,56718,2094,3462,42882,23298,13755,37134,3379
"SM 30:1;2O",179347,521472,356653,179061,130658,913450,47240,1561988,113848
"SM 32:0;2O",137426,583570,519359,166345,125613,279539,8287,957121,38801
"SM 32:0;3O",82715,35787,92771,112848,157221,47137,37300,41139,19131
"SM 32:1;3O",182392,228540,253835,198903,179650,267244,44121,94496,174636
"SM 34:1;2O|SM 18:1;2O/16:0",172201120,394706592,190911344,142647184,215820032,530326176,46018248,682430976,67947024
"SM 34:2;2O|SM 18:2;2O/16:0",12576361,39244612,18520966,11795950,13558885,28741892,5785622,70168640,5723096
"SM 34:4;3O",30369,18066,52806,12725,25579,3810,9513,20391,14824
"SM 34:5;3O",357055,191244,280555,105819,139498,108198,101796,69407,68990
"SM 36:4;3O",73289,134084,121292,54068,40533,13661,39376,39737,67954
"SM 36:6;2O",50085,12502,7273,2579,2100,119,769165,10148,2658
"SM 36:7;3O",614491,443470,587354,465475,1700756,173212,189609,214711,191744
"SM 36:8;3O",102820,54595,70995,171378,80550,20053,100384,47083,50607
"SM 38:2;2O|SM 18:2;2O/20:0",5327994,16267531,10843321,5455860,12391623,5033232,1557216,27373436,3690206
"SM 38:4;2O|SM 18:1;2O/20:3",2620118,1027819,3223342,1861536,1200780,117353,54495,1000957,3562478
"SM 38:6;3O",38702,43859,86022,36142,66627,349520,8297,509901,14754
"SM 38:7;2O",70288,37212,50109,13836,4784,19807,386114,321188,5525
"SM 38:8;3O",115987,145742,116763,184117,106117,134166,46052,189198,49241
"SM 40:1;3O",553744,353987,831818,343658,491731,1917639,6796,1811176,293753
"SM 40:10;2O",41310,327518,135324,124037,300088,593197,12919,315718,8884
"SM 40:2;2O|SM 16:1;2O/24:1",2939152,11986956,1777233,5386942,2011540,12982719,73203,35675756,3602182
"SM 40:3;2O|SM 18:2;2O/22:1",2050736,4590142,4764296,1599625,3056375,7392340,61010,11108898,1507836
"SM 40:5;2O",4344,102679,39116,311568,24515,1216448,2757,473,3018
"SM 40:6;3O",2402315,2663587,476217,912373,222538,9142299,4764,3899944,263032
"SM 42:0;3O",19460,358530,622593,324155,170410,9485,34663,124998,10559
"SM 42:10;2O|SM 14:3;2O/28:7",73183,202186,47610,81233,731610,603545,9994,40654,36341
"SM 42:2;2O|SM 18:2;2O/24:0",13182162,36280640,29587260,11555912,19698534,65467036,226978,68089296,11932079
"SM 42:5;2O|SM 16:1;2O/26:4",75644,285141,357428,436708,161731,260945,25803,399621,102487
"SM 42:5;2O|SM 16:2;2O/26:3",256221,367479,517878,1643948,379475,2645942,70860,182515,248353
"SM 42:7;2O",60254,107147,131304,205717,94647,130012,8912,12654,53779
"SM 42:7;3O",2384688,3634272,1311478,1427378,2125330,1900402,426719,12196688,688196
"SM 42:8;3O",40209,81757,48491,39442,6939,715932,4565,972968,1748
"SM 44:10;3O",17387,21740,25687,8542,39283,3924,22532,10220,136117
"SM 44:2;2O|SM 18:1;2O/26:1",185207,1325121,1205860,786055,493535,465249,305660,851692,634041
"SM 44:3;2O|SM 18:1;2O/26:2",112373,1878461,1654088,1280490,661814,208712,14433,1399430,254071
"SM 44:3;2O|SM 18:2;2O/26:1",26527,1892483,1952366,1324241,665092,81750,75545,252267,303415
"SM 44:4;2O",61587,634230,618979,815742,476524,1576354,13201,1598070,56590
"SM 44:6;3O",479611,832699,387560,308901,407383,315230,24307,3306872,177649
"SM 44:8;2O",2606,12634,69600,2921254,8085,1957312,6251,40037,8215
"SM 44:9;2O",64388,35732,120486,2359714,87771,150963,143063,13554,202480
"SM 46:10;3O",26276,2043,11454,14442,38174,16827,35773,3141,152203
"SM 46:11;2O",14824,4276,15652,27446,1105,3067,72317,631,3910
"SM 46:7;3O",105855,53897,89667,81822,154271,256506,88518,682046,9495
"SM 46:8;3O",46726,68296,40053,100386,72400,108788,5637,70490,6675
"SM 46:9;3O",2126,16155,28579,42865,37849,18742,2347,13404,8573
"SM 48:11;2O",47858,41098,27399,20820,15623,9094,24629,7704,91289
"SM 48:5;2O|SM 18:2;2O/30:3",74562,990875,2240419,1320517,2628614,55149,184180,19807,43738
"SM 48:6;2O",24915,44733,13573,26966,82349,21033,13806,62276,13038
"SM 48:6;2O|SM 18:3;2O/30:3",70895,110361,207849,139805,101867,36293,19081,28800,238667
"SM 48:6;3O",139980,333508,113215,114643,41301,55230,4191206,324330,18723
"SM 48:8;3O",50213,167664,139714,173212,151931,66949,5583,426525,4895
"SM 50:11;2O",259354,67565,20777,1892,193,15102,1322530,2484,312
"SM 50:13;2O",43422,63842,59952,18429,26472,18302,10967,130890,145754
"SM 52:12;2O",875.2,4376,15204,72003,875.2,875.2,2177684,875.2,875.2
"SM 54:3;3O",60167,62787,65123,286545,146267,49634,32602,17121,79466
"TG 24:0|TG 8:0_8:0_8:0",959513,590997,3328136,452140,497217,763396,892261,1570023,545226
"TG 26:0|TG 8:0_8:0_10:0",99006,121475,458661,55482,39326,15088,2064133,108531,24768
"TG 28:0|TG 8:0_10:0_10:0",226990,156963,199154,13000,33237,19839,888427,317950,14816
"TG 28:0|TG 8:0_8:0_12:0",35698,27909,1328199,3540,28773,10893,105191,47972,11382
"TG 30:0|TG 8:0_10:0_12:0",13059,34894,2891512,143,6490,536,33368,44325,601
"TG 30:0|TG 8:0_8:0_14:0",239050,8926,1770980,9500,15372,10069,188925,151916,22977
"TG 36:0|TG 10:0_12:0_14:0",86249,208905,1661067,2266,14585,2574,233464,21759,12218
"TG 36:0|TG 12:0_12:0_12:0",660749,825294,26806682,74220,154059,5695,4463028,732916,67566
"TG 38:0|TG 12:0_12:0_14:0",611488,1877841,27675790,97859,344356,50943,4213192,753884,172490
"TG 40:0|TG 8:0_16:0_16:0",1512480,6878737,20888450,396514,836154,223547,1828669,458915,286484
"TG 40:1|TG 10:0_14:0_16:1",2079024,3481273,2109228,75036,483269,34448,18704662,1758886,50324
"TG 42:0|TG 10:0_16:0_16:0",33196,535728,256428,105693,315693,314044,41667,2786808,80629
"TG 42:1|TG 8:0_16:0_18:1",276799,8960229,407338,1401364,1770964,937134,594134,355118,397719
"TG 44:0|TG 12:0_14:0_18:0",222006,324132,9402423,228796,267399,68211,318296,460842,397694
"TG 44:1|TG 12:0_16:0_16:1",225510,2957882,202776,102813,1337579,199719,62861,2580028,1729980
"TG 46:0|TG 10:0_18:0_18:0",88239,127218,53582,261061,71411,122268,283162,138572,54820
"TG 46:1|TG 12:0_16:0_18:1",921974,491153,140852,6190,114980,17801,97907,587484,32183
"TG 46:2|TG 10:0_18:1_18:1",159557,79222,247128,646074,139051,765300,101754,393064,105915
"TG 46:2|TG 12:0_16:1_18:1",1802336,5920082,2994087,1177542,1821351,1879733,339395,5979306,1916809
"TG 46:3|TG 10:0_18:1_18:2",16741,25125,49405,2251038,53009,215553,40640,24503,7869
"TG 46:3|TG 12:0_16:1_18:2",698926,2404375,993800,172012,248294,216067,385217,924236,403200
"TG 46:3|TG 14:1_14:1_18:1",79741656,82859048,91226456,93626880,87482136,62068672,78372944,55515928,94164496
"TG 46:3|TG 14:1_16:1_16:1",816728,2588274,922076,171580,422020,217556,2240536,727230,81401
"TG 46:5|TG 8:0_16:0_22:5",20395,489083,34190,37401,27738,124,92073,11122,3423
"TG 46:6|TG 10:0_18:3_18:3",126998,97775,138334,1445942,167355,208129,100863,98059,97195
"TG 46:8|TG 10:0_18:4_18:4",61482,124599,122932,1290521,5216,973241,4573,10405,17438
"TG 48:3|TG 12:0_18:1_18:2",104890,809961,1245528,275617,353791,237373,735227,825431,142939
"TG 48:3|TG 14:1_16:1_18:1",239360,1224921,637400,326355,349713,434233,3226162,1348105,240371
"TG 48:4|TG 12:0_18:2_18:2",429019,2573804,861573,83975,469341,978586,1001796,2180826,336841
"TG 50:1|TG 16:0_18:0_16:1",110594,371338,323270,38649,89113,188488,2621420,760543,126045
"TG 50:3|TG 16:0_16:0_18:3",239184,770233,1173371,116306,1186562,981781,4001730,6641835,492366
"TG 50:3|TG 16:1_16:1_18:1",9594385,37156268,29466584,3438874,9729773,44655524,26186778,75623832,28814884
"TG 50:5|TG 14:0_18:2_18:3",512246,3665780,984109,53390,880535,1334836,5294070,4019357,600548
"TG 50:6|TG 16:0_16:3_18:3",183488,1262675,60853,218687,179314,166510,404083,358717,19978
"TG 52:0|TG 16:0_16:0_20:0",8698,85444,633801,6159164,29004,2861204,45394,54368,593376
"TG 52:1|TG 10:0_24:0_18:1",138741,572347,72889,95611,389425,280413,141794,693459,285183
"TG 52:2|TG 16:0_16:0_20:2",5591,175505,108675,2682810,5916,320723,564428,6359,6866
"TG 52:2|TG 16:0_18:0_18:2",12970419,45159892,7628186,5903644,2174425,82314096,17087644,101458472,44086404
"TG 52:2|TG 18:0_16:1_18:1",2220,67173,155151,11792226,1480,12407937,296,10689,19711
"TG 52:2|TG 8:0_18:1_26:1",101915,123951,497085,18001996,1747,23792260,4075,34085,152908
"TG 52:3|TG 16:1_18:1_18:1",4018,44968,60758,977491,3452,92546,11443,4115,1850
"TG 52:4|TG 16:0_16:0_20:4",416118,2354222,140478,37156,64024,757018,189333,926386,1272173
"TG 52:4|TG 16:0_18:1_18:3",25305,11023,1479644,2196036,29981,854925,242006,135662,278125
"TG 52:5|TG 14:0_18:0_20:5",3347,74003,61956,24162,1224,124,961786,1447,169
"TG 52:6|TG 14:0_16:0_22:6",55918,179970,89216,41948,74795,191078,189020,438114,30646
"TG 52:6|TG 16:0_18:2_18:4",234564,2996486,496901,2475946,879391,2296350,118118,3309693,346034
"TG 52:6|TG 16:1_18:2_18:3",579890,2533833,780435,73825,404206,1684552,8069380,2504838,283861
"TG 54:1|TG 16:0_20:0_18:1",2602102,5003992,680764,5556074,1161309,23380876,15255561,9919499,14380750
"TG 54:4|TG 16:0_18:2_20:2",13250,36310,70563,57630,4200,34760,1745270,19255,29843
"TG 54:4|TG 18:0_18:1_18:3",46595,95850,348292,23411,30923,238230,2660089,607655,84497
"TG 54:4|TG 18:0_18:2_18:2",3831420,6651126,17701326,1414591,2494906,16755849,69228552,18551900,4135424
"TG 54:5|TG 16:0_20:2_18:3",43102,66775,13774,13748,15925,6079,2558768,13721,386441
"TG 54:5|TG 18:1_18:1_18:3",15297,27446,235098,902035,81638,361941,55381,120322,78743
"TG 54:6|TG 16:0_16:0_22:6",211811,706015,78005,118526,189223,1274506,629688,2027666,222124
"TG 54:6|TG 16:0_18:2_20:4",1517293,13431934,1695404,1242077,3327799,15904049,6461387,19136810,1545681
"TG 54:7|TG 16:0_18:2_20:5",332772,3502188,124179,1288284,908856,3730111,342544,3917774,252865
"TG 54:8|TG 14:0_20:3_20:5",17792,29379,54882,78955,4151,135996,252076,10723,1028
"TG 54:9|TG 18:3_18:3_18:3",43653,44210,23394,81110,15601,45505,562167,45778,4064
"TG 56:1|TG 16:0_22:0_18:1",458773,91531,41217,1515063,64534,5228901,2975437,1015433,895272
"TG 56:10|TG 18:2_18:3_20:5",24211,12526,68371,60751,2296,6390,748998,38429,1871
"TG 56:2|TG 16:0_16:1_24:1",298795,181746,27127,244409,21894,1092561,3407051,337238,89276
"TG 56:4|TG 18:0_18:0_20:4",51981,340343,31520,82253,108914,393802,111907,326228,134051
"TG 56:5|TG 16:0_18:1_22:4",617328,4238178,802566,286205,833455,4696282,1927411,4675204,1948971
"TG 56:5|TG 18:0_18:0_20:5",35161,121774,71439,39795,47138,16414,3133794,13654,221018
"TG 56:5|TG 18:0_18:1_20:4",717906,3921040,548065,139762,587993,7753750,3523642,5984738,183192
"TG 56:6|TG 16:0_18:0_22:6",39,19319,75778,1425080,2828,580163,2746352,7.8,4839
"TG 56:6|TG 16:0_18:1_22:5",1465,119416,1513626,4629524,5851,7846856,66241,21388,344708
"TG 56:7|TG 16:0_18:2_22:5",4036,10386,8372,448599,1882,265032,3921,12955,11448
"TG 56:7|TG 18:0_18:2_20:5",122557,350505,29959,48936,14526,150367,29816380,170461,168597
"TG 56:7|TG 18:0_20:2_18:5",19720,69955,36287,115167,8119,6811,9856629,64,9725
"TG 56:7|TG 18:2_18:2_20:3",51052,39405,180297,380977,5390,1309977,17609754,47858,18663
"TG 56:7|TG 18:2_20:2_18:3",67729,176901,111812,123390,33564,357208,1694077,34664,202309
"TG 56:7|TG 20:1_18:3_18:3",132953,263239,62196,81009,9433,15881,11087404,55457,41316
"TG 56:8|TG 16:0_16:2_24:6",3032,38,190,13172,38,11876,978484,38,38
"TG 56:8|TG 16:0_20:3_20:5",45210,227548,37683,275997,4536,7633,28792904,4780,4953
"TG 56:8|TG 18:0_18:3_20:5",48973,78141,48356,216853,2911,3276,4943196,971,14015
"TG 56:8|TG 18:1_18:2_20:5",488901,583937,622459,622860,239844,3192106,153485,676019,115349
"TG 56:8|TG 20:2_18:3_18:3",7573,15998,12581,39368,1514.6,21480,1534711,1514.6,1514.6
"TG 56:9|TG 16:1_18:2_22:6",31823,252376,172908,63502,205060,441939,228880,604639,24249
"TG 56:9|TG 18:1_18:3_20:5",13003,49946,31107,31443,2403,16032,1866418,10678,50384
"TG 58:10|TG 18:2_18:2_22:6",108335,1034916,22629,61259,51531,1055098,182711,1241772,95985
"TG 58:10|TG 18:2_20:4_20:4",108983,974792,239123,384316,199958,1090979,22262,1292378,114172
"TG 58:10|TG 20:2_20:3_18:5",1976,14678,50406,106302,1795,10685,2592010,2984,15191
"TG 58:11|TG 22:3_18:4_18:4",18635,3673,5849,109217,830,147485,574299,9183,701
"TG 58:2|TG 18:0_20:1_20:1",13644,80492,60123,655063,8487,238380,19023,48237,665669
"TG 58:2|TG 22:0_18:1_18:1",232702,114670,4718,3993920,11300,14216251,517861,635497,375825
"TG 58:3|TG 18:1_18:1_22:1",185727,253640,61151,120446,63695,552953,1509962,734446,6821116
"TG 58:3|TG 22:0_18:1_18:2",121607,112805,39075,598795,89081,2215885,1108375,247253,75767
"TG 58:4|TG 18:1_20:1_20:2",162002,259217,361036,19444,39883,589643,203106,65541,1441688
"TG 58:4|TG 18:1_22:1_18:2",23669,24652,148491,10872,58862,101251,904020,438941,225311
"TG 58:4|TG 22:0_18:2_18:2",73475,62369,28952,185730,23595,452833,1330796,110583,42333
"TG 58:5|TG 18:0_18:1_22:4",100217,517666,49297,59401,82846,471412,267535,270033,76634
"TG 58:5|TG 18:1_18:1_22:3",158075,263277,271034,59496,112797,280753,1823687,385131,728446
"TG 58:6|TG 16:0_18:1_24:5",107617,631129,462143,94646,157550,878838,48296,741633,64396
"TG 58:6|TG 18:0_18:0_22:6",24903,42956,95394,46081,9210,13651,1582702,20203,225591
"TG 58:6|TG 18:1_18:1_22:4",301814,686114,82786,88456,193559,281774,2104276,207291,349113
"TG 58:7|TG 18:0_18:2_22:5",25040,20751,11426,212149,8177,64328,635942,12223,35127
"TG 58:9|TG 18:1_16:2_24:6",21461,33.8,169,51421,5608,6488,1763002,33.8,33.8
"TG 58:9|TG 18:1_18:3_22:5",9590,21256,3896,29988,21878,46797,8856463,85255,2920
"TG 58:9|TG 18:3_20:3_20:3",47,22289,13613,539446,3.2,59495,379257,3.2,16
"TG 60:1|TG 18:0_24:0_18:1",484,2420,30932,269629,68436,22389,7240,22561,13634
"TG 60:10|TG 18:0_20:5_22:5",21742,43912,11069,21957,3859,34308,9259007,31415,50114
"TG 60:11|TG 20:3_20:3_20:5",2159,7406,20129,40085,1118,30775,443488,195,2440
"TG 60:2|TG 18:0_24:0_18:2",19115,40485,44165,715978,59496,99613,7114,73121,60411
"TG 60:3|TG 24:0_18:1_18:2",33972,53858,73108,166513,13620,598662,367355,117086,6250
"TG 60:4|TG 24:0_18:2_18:2",9928,12299,5858,17880,7437,217326,473372,60443,2244
"TG 60:8|TG 20:2_20:3_20:3",8889,6937,27284,297414,2726,7222,11092392,793,525
"TG 60:9|TG 20:3_20:3_20:3",57640,50059,38692,23138,588,27197,4263673,15273,973
"TG 62:12|TG 18:1_22:5_22:6",320402,240163,31274,83086,6972,61431,1294963,51300,709
"FA 16:0",193242,217487,219288,160365,130546,131815,226818,161505,111836
"FA 16:1",15283,23711,17424,14135,19558,11968,23240,14351,23002
"FA 18:0",209388,318906,294585,227523,247252,214311,284944,211905,203277
"FA 18:1",137414,151351,151358,118349,146210,91798,167997,105585,98482
"FA 18:2",15481,24920,17977,16518,20239,12766,28290,17999,20034
"FA 26:2",47710,5883,1203,45,60,31,28303,5563,54
"FA 28:2",13448,10008,13361,4,2,43,258665,8483,30
"FA 28:3",15041,12577,3450,17,3.4,3.4,22184,12601,69
"FA 28:7",5658,8109,6520,6599,6863,6155,7413,7025,7046
"FA 30:1",13534,16365,30724,190,594,5957,319460,56963,2152
"FA 30:3",16678,65915,3903,13,204,126,112628,23600,2.6
"FA 32:2",27980,30108,12318,77,196,283,131892,4855,272
"FA 38:5",26644,36936,47771,41032,44545,41359,44815,47315,45489
"FA 42:10",748,1651,895,1817,1313,2672,4217,1311,21522
"FA 42:8",1626,14726,12529,1812,2556,11857,7076,16389,12275
"FA 44:10",236,10259,2641,24109,30301,7845,10386,6159,4928
"FA 44:7",312,32817,6815,101,316,3991,305,10687,101
"PE 36:2|PE 18:0_18:2",1025,23726,8803,1516,20203,70899,2016,163304,10502
"PE 38:3|PE 18:0_20:3",6630,13427,7443,5846,16271,18673,5392,25760,8905
"DG 16:0",567771,212188,227436,504267,46762,357188,192958,42982,57441
"DG 20:0",1094047,701224,489347,9234,24751,10116,46808980,1383268,36723
"DG 22:1",199689,201686,19421,2675,40,8691,280482,408,3623
"DG 24:0",273,41145,8106,1403982,54.6,25183,61783,54.6,15977
"DG 24:1",1772776,2271018,1059698,1767691,811463,1014500,1240336,1540435,528462
"DG 24:2",1298,2428,126,415,605,13.8,48284,7257,69
"DG 24:3",87580,393491,75814,75590,509.8,103777,76707,2549,509.8
"DG 26:1",590298,2937766,1561952,2108289,24244,11187,33760,67452,8808
"DG 26:3",26829,22213,30309,6814,18973,39315,16101,28104,4490
"DG 26:5",134841,205281,99431,81416,143708,32380,154754,218285,60285
