,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 36:10,841066,873274,0,484546,5145006,0,0,17214910,18896868,6535702,14214405,12662074,12013801,11000368,11027820,0,2102503,554358,818187,1999994,1158714,6672280
DG 36:10,159106,781246,0,529035,11024788,0,0,7282177,1419040,304224,840379,542412,414045,327174,164624,0,304495,8258,151535,460232,207690,67638
DG 36:10,709785,1637228,0,134716,4031012,0,0,17257990,4112531,6628594,14214405,12662074,12013801,10993525,11027820,0,1775438,554358,529534,1503942,904032,6672280
DG 36:10,528822,110437,0,989482,4210026,0,4121,20262666,22733454,10778575,16856342,17873598,13106971,14836640,15178468,0,805457,172989,319531,1159196,86490,5627600
DG 36:10,1731824,6464404,0,5063456,7067160,0,0,1692593,1765298,127958,392974,540368,251235,75207,147735,0,15078341,4465946,9590246,16148499,8160260,70915
DG 36:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448089,0,0,0,0,0,0
DG 36:1,0,0,266231344,372645,0,0,280166,289156,0,0,98091,0,0,0,0,0,0,0,0,0,0,0
DG 36:1,0,0,364044320,591345,901464,0,577005,638959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 36:1,0,0,447787968,1210435,734880,281464,270720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 36:1,0,0,184231024,3030688,3824954,0,370788,15717,0,302174,0,300858,0,0,0,0,0,0,0,0,0,0
DG 36:1,0,0,453317440,4028405,2018884,482068,0,9454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 36:1,0,0,687076992,12720266,1779144,342341,1206605,327675,0,367513,0,0,0,0,0,0,0,0,0,0,0,0
DG 36:1,0,0,325975872,2507621,1174693,436744,0,698105,0,0,0,0,0,0,0,0,0,0,0,8728,0,0
DG 37:7,0,0,0,170744944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843556,8534324
