,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 37:7,14820555776,0,0,0,0,0,0,0,0,0,0,0,44334,0,0,0,1214359808,956477056,1433428608,952857472,527969088,0
DG 37:7,177947984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32430322,17497188,19410906,96991096,1541534,0
DG 37:7,384916672,8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74124432,125695560,541941696,123703536,114566968,0
DG 37:7,191876624,327369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74226512,87301136,28914150,131490736,161085856,0
DG 37:7,72444752,0,38918,0,0,0,0,0,0,0,0,0,0,0,0,0,28215950,155691232,212961744,131838288,161151440,0
DG 37:7,85535240,10232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107531552,131473872,168107120,54146192,207332032,0
DG 37:7,26109812,26348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118999888,159628352,164704592,159766096,247577072,0
DG 37:7,252607376,184879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796024320,2189989376,4404405760,2168249856,12964712448,0
DG 37:7,28190804,0,1246872,0,0,254068,0,0,0,0,0,0,0,0,0,0,163097408,156087936,107455200,124928984,31343292,0
DG 37:7,48812604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125884784,176247120,231194128,30369490,162309472,0
DG 37:7,63540592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330484,223806192,250888256,202225072,206686176,211987072,0
DG 37:7,902234688,280234,0,341951,0,0,0,0,0,0,0,0,0,0,0,0,11718963200,11620302848,20841308160,11506552832,2466279424,0
DG 37:7,64340460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282622016,249413904,289315776,253808096,265233808,0
DG 37:7,137400016,410443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145505760,70101336,116274112,170580064,55431780,0
DG 36:0,19834096,0,0,628712,0,0,0,0,55941,419741,832712,2330594,3005803,1303653,3330600,0,122581432,252679072,258798304,202624720,529566304,789597
DG 36:0,254752144,0,0,0,0,0,854515,0,825265,0,285555,1549915,1982267,0,3626701,0,15678046,26654438,31172564,21424396,15602713,24704
LPC 28:4,0,0,0,79218,0,0,0,0,0,0,0,0,1181349,0,0,0,0,0,0,0,0,2418364
DG 38:9,0,0,0,56744200,0,0,1235399,0,0,0,1327218,1866760,0,1584721,0,0,0,0,0,0,0,799785
DG 38:9,0,0,0,4156897,735586,13837674,68311056,1732039,0,0,531030,1809790,0,149307,1718482,0,0,0,0,0,0,4543334
DG 38:9,91807120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257496272,89607256,189471776,240503040,177542016,0
DG 38:9,23431994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258302112,81905080,166911648,230103568,147907680,0
DG 38:9,15902428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58127072,18134690,53416172,63350196,45087520,0
DG 38:9,92070976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259345168,89459184,192195008,240983392,177036416,0
DG 38:9,0,0,0,0,654766,11899395,46469660,0,0,0,10003424,12729042,0,1971065,930534,0,0,0,0,0,0,0
DG 37:0,12409541,0,0,0,0,0,0,0,0,0,0,8284,0,0,0,0,136207936,121666576,118691544,129378408,114291496,0
DG 38:1,6272748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121798512,58370724,83597936,38629464,157426912,0
PG 28:1|PG 7:0_21:1,0,0,21542132,77080568,45240364,80333384,42061616,82907528,43081700,16297367,70582256,28963964,40546140,70176648,40224060,46144596,0,0,0,0,0,76908952
DG 40:6|DG 16:0_24:6,0,2291851,3567223,5530196,6876874,41883216,58639708,42787636,15359694,19513570,11532369,15460241,13254228,24660272,33646396,66702936,0,0,0,0,0,46238904
DG 40:6|DG 16:0_24:6,0,192661,102041712,4189828,1630764,0,877223,564303,2178819,2241472,0,1485440,172484,0,0,0,0,0,0,0,0,0
DG 40:6|DG 16:0_24:6,0,0,0,81647872,93014,288389,0,255233,236289,1229494,138632,97091,0,0,0,0,0,0,0,0,0,1816929
DG 40:2,99824512,9308717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230697600,1214841600,1118323456,1202146560,1269565184,0
PC 30:2,0,30507868,23667808,12485657,8158069,7781628,7299024,1258336,7416300,20871792,6030652,20015526,17967054,2791861,14532922,30404290,0,0,0,0,0,21814942
DG 41:7,0,0,18729694,15185215,9713159,12483666,74343256,67488872,33545798,28417478,31494884,14598103,27065172,6829630,18585142,189763,0,0,0,0,0,84307008
DG 41:7,0,0,17650804,31065426,42846724,31374344,40528852,38130756,8618164,42565288,31403558,84785560,38621852,49607924,7060344,12792658,0,0,0,0,0,58519832
DG 41:7,0,0,1603784,10535323,13066704,31374344,47894732,41529552,52867152,30139976,31403558,12030388,8156145,15641128,55740484,62310068,0,0,0,0,0,11205004
DG 41:7,0,0,14792098,53177228,51946284,48832068,9204731,19088778,27107122,10137657,7642099,5959136,4571260,6013889,2066223,8631856,0,0,0,0,0,24915568
SM 34:1;2O,0,0,0,0,18614596,8844274,111521112,2012496,21226904,83386696,48554972,7695639,4915530,66906888,118483264,154970128,0,0,0,0,0,10802860
SM 34:1;2O|SM 18:1;2O/16:0,0,0,0,0,63656544,34570312,16250031,16045082,21226904,39456844,137268720,23191716,4915530,24384736,118483264,17485148,0,0,0,0,0,1192898
SM 34:1;2O|SM 18:1;2O/16:0,0,0,0,0,15902,166803872,135646544,14888502,70085112,51327208,221583584,20916356,2930157,23483954,50537096,10289411,0,0,0,0,0,852226
SM 34:1;2O|SM 18:1;2O/16:0,0,0,0,0,0,84209096,265902656,58901960,55782392,130306216,367333184,5863348,8329968,14847146,27047634,2407970,0,0,0,0,0,1210091
SM 34:1;2O|SM 18:1;2O/16:0,0,0,0,0,34560480,51525680,111521112,9886538,17780950,83208560,65943036,4107028,3920994,50640936,246004128,154843152,0,0,0,0,0,9557370
DG 40:0,1295852928,17902297088,42919192,34086532,19172924,27151464,9113119,8349448,4280582,11316182,76198680,33222710,46373824,122398712,15464358,124323368,961795392,753710912,1767698432,1757246848,1534863872,13230813
DG 40:0,2646646272,14189669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509569856,665621760,505898592,196401888,774842944,0
DG 40:0,968580864,8438166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475834240,252214256,1700834176,366204704,632433600,0
DG 40:0,2110745984,1985200128,274932928,234211552,105882144,130784024,51454732,53732176,13186522,54022948,64334848,32141130,63740664,123034392,20503208,123990184,1006372224,571130880,1798880512,784588992,964462592,70817696
DG 40:0,1814328576,65923276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979336192,1452830464,1451988224,1904905344,1443425408,0
DG 41:0,76953408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195760528,162812928,171871312,126533624,124537960,0
SM 36:6;2O,0,0,0,0,0,830380,0,0,18186070,68738712,54192416,57579872,196242720,149842112,256443088,204459904,0,0,0,0,0,0
SM 36:2;2O|SM 28:2;2O/8:0,0,0,0,0,0,0,1955772,2210500,0,11031,1474680,24931,61939,0,0,0,17765396,39896004,9731099,7236056,42520120,0
SM 36:2;2O,0,5498502,0,0,0,55386008,37360040,9339773,4809083,11622692,14735362,19470672,0,0,4801810,28406460,3180797,0,2147075,0,2690114,10231306
SM 36:1;2O|SM 18:1;2O/18:0,46670684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114631208,141364256,55210424,56925624,90363152,0
PC 32:1,0,499999680,322322816,272670208,152675728,132406000,141982864,111301552,148967328,195627360,301117920,168082048,187748240,133297008,260479136,313283072,18181460,6606690,2276428,575687,4638260,356605952
PC 32:1|PC 16:0_16:1,947649,2209263,7774611,18951918,8008381,4713477,2262380,2650460,2897192,11836440,12409762,2582056,2813292,3540798,5670304,5196084,90113312,24936252,140259088,125796024,116570648,4162892
PC 32:1|PC 16:0_16:1,65394216,596027,606888,511187,70790,116244,58419,34307,206534,158032,2103163,481370,30236,90759,1751536,11341,57454112,25616582,80781408,13877625,73226168,1116268
PC 32:1|PC 16:0_16:1,55824808,14718848,389351,1973138,181227,1419183,100930,14134,1975296,2660128,538571,388283,212884,1792185,2365358,0,24571978,288502816,62193816,75625592,32850926,1393467
PC 32:1|PC 16:0_16:1,10936095,1555385,837674,1276763,875460,3473176,942510,510360,1060683,1037048,2103163,504123,3042700,496404,1751536,2463102,17738918,142563328,62675620,85898736,73226168,2847266
PC 32:1|PC 16:0_16:1,0,16649630,26712364,3538792,8008381,3946282,5957100,2650460,2542450,6117102,12409762,10772143,973436,4530536,1480184,2010133,34429176,132576456,28883928,27667820,32793836,13960451
PC 32:1|PC 16:0_16:1,3730673,896349,1231259,1424090,511304,1954286,1681374,324113,605338,3914134,1394312,1701172,1134359,1491778,4426488,582220,98453568,123082960,10072749,14184277,31013296,1005865
PC 32:1,0,3611997,4632207,1287499,2188218,492982,1887994,2643781,41805024,230805152,19954134,71771408,23966808,58113196,58319080,4163012,0,1529538,1715545,0,0,1305252
PC 32:1|PC 16:0_16:1,5996172,172296,557488,1941319,923538,719218,431166,270780,936712,478591,340451,314887,998271,1469359,0,1999182,34483288,89157296,28691732,37250560,194347824,1024881
SM 37:7;2O|SM 15:2;2O/22:5,8801187,0,0,0,0,0,0,0,0,0,245752,0,0,0,0,0,130326984,131397960,69066184,87567568,29287066,0
SM 37:7;2O|SM 15:2;2O/22:5,22077852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52142500,79675208,21957838,35529232,44381844,0
SM 37:7;2O|SM 15:2;2O/22:5,89083,0,0,185279,0,0,0,0,0,195734,0,0,0,0,0,0,43907484,34847144,0,18988180,1647648,0
PC 32:0|PC 16:0_16:0,119576712,0,0,0,0,0,0,72867,0,0,0,243461,0,2897662,452308,50331680,0,17946990,0,1154971,53457404,0
PC 32:0|PC 16:0_16:0,3278316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249031,80022000,42228744,152968912,36224884,58861280,0
PC 32:0|PC 16:0_16:0,140959408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459351136,823005312,354879040,301339008,438500960,0
PC 32:0|PC 16:0_16:0,132006024,0,0,0,0,0,0,0,0,0,0,0,0,2715218,0,27514516,49039456,198400704,29890022,21438334,171454352,0
PC 32:0|PC 16:0_16:0,106738296,0,0,0,0,0,0,455770,0,0,0,0,12481,1996517,4075972,80863616,26320956,87515840,19688606,11988326,156335184,0
DG 44:6|DG 18:0_26:6,0,617249,0,35539024,0,0,1796,137693,88539,0,0,0,0,0,0,0,0,0,0,0,0,0
PC 33:1,0,12425114,12350804,78201056,62966572,24611880,11242252,7218878,39318976,5237662,20457150,28113206,22717380,4099670,24398348,46086496,0,0,0,1550490,0,30883474
PC 33:1,0,126002864,120842296,131893392,87111984,77380296,98987688,66246976,86638904,94190720,230885440,68046992,90364272,97001488,89479264,161413920,0,0,16712,0,0,127269160
PC 32:0,1381834,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,67337248,72454688,92632864,49880368,32730668,0
PC 34:2|PC 16:0_18:2,0,0,0,0,0,0,463256,0,10929479,53622492,102160728,166511696,145682416,466330944,390275584,70493840,0,15407456,203810,1966016,3736467,0
PC 34:2|PC 16:0_18:2,0,0,0,0,0,0,0,0,40772548,9195752,364416320,46112640,177560320,466330944,160977952,69807736,1415002,15610462,0,1966016,3736467,0
PC 34:2|PC 16:0_18:2,0,50905,0,0,0,0,0,0,44608616,13014129,498964544,35269936,157138384,533880000,364165696,54544580,2486359,15253166,0,73456,597555,1463722
PC 34:2,173784480,0,0,0,0,0,0,0,0,0,5962087,9074498,1264132,1342687,5785010,4043952,52902852,192791264,33609592,199268336,795283200,0
PC 34:2|PC 16:0_18:2,0,0,0,0,0,0,0,0,13838370,20621024,482339552,81747824,67297488,57710608,261836784,123428384,4906235,15653889,3585568,10527392,17090834,0
PC 34:2|PC 16:0_18:2,18794944,0,0,0,0,0,0,0,0,3627208,476488256,54180084,37138712,47463416,58412192,6414124,6910488,10249723,864331,2039489,179597,0
PC 34:2|PC 16:0_18:2,94045,0,0,0,0,0,0,0,0,9160092,349896608,39307600,8582018,57941392,91921024,31270304,2142457,86412504,23072726,13132154,38728036,0
PC 34:2|PC 16:0_18:2,149955168,0,0,0,0,0,0,0,0,339939,9987763,1315202,1531781,4086248,5262977,9697252,269974816,204404848,49146108,229782880,101031112,0
PC 34:2,0,0,0,0,769367,0,0,0,94621,1157256,54179312,125502496,57451152,14471262,18818818,10373226,27114714,86412504,9197288,14912254,8470478,0
PC 34:2|PC 16:0_18:2,0,0,0,0,0,0,0,0,0,128119,128595344,3186174,442241,19069516,40016096,1848122,160427792,571903104,178904400,89909880,221254432,0
PC 34:2|PC 16:0_18:2,5321950,0,0,0,0,0,0,0,0,0,0,0,0,4560,7511,0,57139524,143991952,51244408,53109204,66070540,0
PC 34:2|PC 16:0_18:2,41418572,0,0,0,0,0,0,0,0,10636,15112418,10449457,633458,3658387,1488911,6924430,78691320,976233536,282214432,55508252,357467936,0
PC 34:2|PC 16:0_18:2,2752960,0,0,0,0,0,0,0,0,0,11406864,2158195,565754,7484926,3423652,6497044,51839564,883319552,175621440,270892000,718128192,0
PC 34:2|PC 16:0_18:2,13191919,0,0,0,0,0,0,0,0,0,4511996,4564540,370955,2638112,2618626,3056820,304554912,395006944,179591456,53493732,245555552,0
PC 34:2|PC 16:0_18:2,45185720,0,0,0,0,0,0,0,0,0,4213989,13633959,2268058,5876441,7349316,3447936,326951712,476212448,26722598,54487184,140073472,0
PC 34:1|PC 16:0_18:1,40783688,2402642,653609,2578621,738106,1091666,0,850693,0,1751642,29233172,6717872,8292354,200748880,69710072,408629472,164788832,369388832,135637632,127501560,138855376,0
PC 34:1|PC 16:0_18:1,59349844,419597344,216929984,221879648,102948080,85721696,97726872,61089896,109858040,116335960,371682176,139389872,219541728,194349952,520483488,2188000768,317370592,711459072,232227840,271835264,74338456,250062432
PC 34:1|PC 16:0_18:1,135457280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128174104,181080912,191740128,127735024,134635920,0
PC 34:1|PC 16:0_18:1,33980656,591954,6476260,5128211,4423124,0,0,338595,6634556,1233187,63344500,13039180,10164284,223599728,185103648,2319626752,188899904,471715360,54918928,258727504,115369440,1530687
PC 34:1|PC 16:0_18:1,1090280320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672484,3561743360,4185009664,1847961984,1863408768,2319428864,0
PC 34:1|PC 16:0_18:1,103016016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39230308,167622480,145646992,90637200,23644616,0
PC 34:1|PC 16:0_18:1,125125408,166196,2815481,833799,0,0,0,100133,884081,3120635,16381746,6388729,1012001,9180932,91327912,857943168,212375392,1174175744,121899496,216325760,360511328,3055776
PC 34:1|PC 16:0_18:1,58809808,6484101,5324680,2485594,1606639,0,330537,1263159,65640,1736131,7837896,4026802,3996527,80099248,253179840,2428389632,376217344,385655040,141877456,343624896,883860544,646604
PC 34:1|PC 16:0_18:1,123473792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695729,543655040,211268640,119113472,78883440,78047592,0
PC 34:1|PC 16:0_18:1,1713877888,1025748,52195,12946,515854,0,0,0,16559,0,10661190,350577,267736,1071739,163958112,82947888,641362944,1457468672,362027200,482304992,1710883072,0
SM 38:6;3O,0,0,0,0,0,0,0,0,4430490,5059946,24236332,2728774,164978,10057928,12112094,34445184,0,0,0,0,0,0
TG 44:1|TG 14:0_16:0_14:1,36028476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30649126,56531004,32044424,27557804,29651544,0
TG 44:0|TG 12:0_14:0_18:0,87383616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27124238,28000860,15465013,135730016,18114120,0
TG 44:0|TG 14:0_14:0_16:0,16203917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114137928,128579816,98658672,138507264,125303448,0
SM 39:2;2O,0,168948640,235664384,255903408,168089248,151000240,157161920,141062704,151476032,160606544,170040320,171382880,135753952,132909736,259633568,176072928,0,0,0,0,0,284186688
PC 35:1,0,91426600,38604272,60055196,23400248,22303774,10319825,7009696,21633472,18471072,79099008,3975289,51522000,22791686,210564304,83159808,0,0,0,0,0,51263332
PC 35:1,5492400,0,0,0,0,0,0,0,0,0,0,0,0,185449,0,31498,160434000,112470400,50837416,123798400,110871224,0
TG 45:1|TG 14:0_15:0_16:1,38141904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39659196,121824832,38813752,45197372,35543212,962674
PC 36:4|PC 16:0_20:4,158000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32822508,56028984,33453064,33140430,6687107,0
PC 36:4|PC 16:0_20:4,104524704,0,0,0,0,0,0,0,0,33842492,16012571,12835499,14045125,51351972,37917048,10947075,77504072,83410952,15334246,20899174,141523120,0
PC 36:4|PC 16:0_20:4,135035888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205792480,81485848,76270176,49133508,34532692,0
PC 36:4|PC 16:0_20:4,58818988,0,0,0,0,0,0,0,0,22299,0,0,0,0,0,0,183519312,233183664,110080136,104693280,155708096,0
PC 36:4|PC 16:0_20:4,15313241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247492256,426675232,401038816,234737312,185377440,0
PC 34:1,157720224,0,0,0,450882,0,0,0,9901269,24328778,12420459,12956120,62910924,7728405,7636364,11258780,72810328,134255968,26251468,24822000,175778960,0
PC 36:4|PC 16:0_20:4,137500048,0,0,0,0,0,0,0,84693,3868127,1660643,0,1853857,1220340,2327868,0,0,0,0,0,0,0
PC 36:4|PC 16:0_20:4,248357344,0,0,0,0,0,0,0,147919,1846049,1686955,137990,773369,400834,743486,269027,36968844,260222432,35805808,31276662,239679552,0
PC 36:4|PC 16:0_20:4,4362800,0,2605,1026137,91983,31413,233709,122661144,28141502,144121040,63951024,233244880,75364136,172620352,253328288,21409484,22610940,10057603,17311996,8056452,19305962,125108
PC 36:4|PC 16:0_20:4,97613936,0,0,0,0,0,0,0,1293970,522088,1388554,0,785510,149667,1690893,363446,289121504,788502208,215852800,82415360,116718712,0
PC 36:4|PC 16:0_20:4,79625904,0,0,0,0,0,0,0,669291,3780474,1377090,218172,1282374,402522,1511079,309672,63111916,262630176,22704696,123168688,611743872,0
PC 36:4|PC 16:0_20:4,92277456,0,0,0,0,0,0,0,81593,2680775,3413605,1622047,536306,1861308,3406508,0,66636624,258898512,106001640,111415408,88252816,0
PC 36:4|PC 16:0_20:4,10801264,0,0,0,0,0,0,0,941920,2901476,482104,54293,38177,4858731,4033466,0,215372096,192169904,89788496,41667328,124133792,0
PC 36:4|PC 16:0_20:4,113460296,0,0,0,0,0,0,0,157785,1571153,508697,748876,566783,394210,3442533,311826,112368944,711932416,205475584,100305504,49362468,0
PC 36:4|PC 16:0_20:4,23221764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201143904,311886048,332286464,176087024,145654864,0
PC 36:4|PC 16:0_20:4,4753237,0,9131,113373,329086,101636,50504,40899908,183393824,224952736,56160364,111714560,230385776,225953648,188476320,13369508,6481359,18379978,2844924,5867260,3433014,0
PC 36:4|PC 16:0_20:4,2187589,0,0,0,0,0,0,0,340591,1895654,4450553,3828610,658310,1153362,1383119,479911,74711952,227809184,108085120,90710896,121155248,0
PC 36:4|PC 16:0_20:4,77035184,0,0,0,0,0,0,0,5012294,6081346,3555250,14675942,28671056,9714756,26637768,8738050,16531230,91918384,8714219,31339294,67574512,0
PC 36:4|PC 16:0_20:4,167331872,0,0,0,0,0,0,0,1272938,1391067,1461093,434636,785510,320791,377853,0,279432512,115492904,52714048,77226416,60364596,0
PC 36:4|PC 16:0_20:4,263435,0,190992,291060,244304,296250,8708,113879880,46997240,208205440,8674162,102657464,258451552,105344904,73445168,67013716,20649342,20228366,8132292,1744633,16922434,358849
TG 45:0|TG 14:0_15:0_16:0,30036698,0,0,3113581,0,0,0,0,0,0,382749,0,0,0,0,0,223658608,224412112,86735528,96107656,161237840,128719
PC 36:3|PC 16:0_20:3,0,509703,0,0,0,0,381101,2608636,6322912,37350632,67648032,123918248,61721952,68345840,61276984,70740424,0,0,0,1406211,0,0
PC 36:3|PC 16:0_20:3,21120940,0,0,0,0,0,0,0,0,23535,0,9236455,2493483,500377,621716,1114726,64340692,25395182,31233934,55375048,190261440,0
PC 36:3|PC 16:0_20:3,0,0,0,1454699,0,0,0,0,0,2078021,3137260,30458148,77579024,19243200,37037048,6974971,12906653,19406074,0,15613978,11330317,0
PC 36:3|PC 18:1_18:2,0,10792,0,0,0,0,896893,5900368,9556124,7965474,235064128,163117008,36386508,9581706,74542864,22329900,0,0,0,0,0,0
PC 36:3|PC 16:0_20:3,6551931,0,0,0,0,0,0,0,0,377290,0,3635095,231535,1596345,1425199,1628264,73143904,207507392,33892152,27582144,211260128,0
SM 41:9;2O,32149064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101776736,134714144,18783040,28160758,26153854,0
PC 36:2|PC 18:0_18:2,119480656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373257760,861176320,316458432,308822048,557499392,0
PC 36:2|PC 18:0_18:2,6715774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18265232,44195288,141264608,24700454,42078524,0
PC 36:1|PC 18:0_18:1,72241704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12091687,13294267,37374928,13650693,22576504,0
PC 36:1,25811144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180574720,176743856,190345360,114077456,164269568,0
PC 36:1,12959003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94575456,56011208,37030760,47461044,26882668,0
PC 36:1|PC 18:0_18:1,63203456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003724,2697752,848791,1336232,0,0
SM 41:7;2O|SM 15:2;2O/26:5,23453102,0,0,0,0,0,0,0,0,0,0,0,0,7429,0,0,294144160,321087840,363241952,261944736,290849248,0
SM 41:7;2O|SM 15:2;2O/26:5,91968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200755824,213261488,37124952,130987832,135459856,0
SM 41:7;2O|SM 15:2;2O/26:5,925309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61363352,75261480,8128774,47700020,39333148,0
SM 41:7;2O|SM 15:2;2O/26:5,279551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61179660,75331112,8162816,47350712,39983612,0
SM 41:7;2O|SM 15:2;2O/26:5,1356195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83706248,75004440,16886708,48818712,58675268,0
SM 41:7;2O|SM 15:2;2O/26:5,3472071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205243600,213816768,37320644,130288408,31450594,0
PE 40:6,0,0,0,156029,2625,0,78110272,35184844,1946832,48464,0,0,128050,0,0,1780651,0,0,0,0,0,0
TG 46:2|TG 16:0_14:1_16:1,8145984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41945556,111239528,44080740,47922080,31713684,0
TG 46:1|TG 14:0_16:0_16:1,129559008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189425536,307055200,179791472,176824752,178624128,0
TG 46:0|TG 14:0_15:0_17:0,47611240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373498816,356509120,286961344,277782944,263265600,0
PC 38:6|PC 16:0_22:6,0,0,0,0,0,101844,7513840,74997336,250582640,37693000,49268060,24059090,2542164,17949546,0,36192972,0,0,0,0,0,2754
PC 38:6|PC 16:0_22:6,0,0,0,0,0,0,0,0,229079,1114915,442427,1896408,0,0,0,0,9611180,72779960,13513456,19255004,98400704,0
PC 38:6|PC 16:0_22:6,0,0,0,0,0,0,0,110613,22016992,67984576,1897525,3051653,9501328,7050864,0,0,0,1620638,0,0,0,0
PC 38:6|PC 16:0_22:6,0,0,0,0,592136,0,31071370,118932248,281289856,36588060,9061826,7389411,20691586,19940028,0,20527704,0,0,202766,0,0,162435
PC 38:6|PC 16:0_22:6,30113346,0,0,0,0,0,89466,0,778231,1121922,0,0,0,529505,0,0,16132592,21747030,8349968,24725766,126575096,0
PC 38:6|PC 16:0_22:6,10655709,0,0,3895,2100,0,0,33470,551296,1289069,0,309576,0,0,0,0,11515457,124947760,49274748,6941230,15930463,0
PC 38:6|PC 16:0_22:6,19676196,206853,38304,207514,47257,67738,0,2401,254873,2597472,14054,365910,6673,0,0,5534,109652024,17218134,32646588,7362706,38830752,118231
TG 47:2|TG 15:0_15:1_17:1,40375068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48625316,146147936,54592720,57212740,50831872,0
PC 38:5|PC 18:0_20:5,26691266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45232120,49260652,104383712,17413042,44584788,0
PC 36:2,18501084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41034656,47383680,114157456,55674096,41961220,0
TG 47:1|TG 15:0_16:0_16:1,165728848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208167216,347451328,144475408,212056800,200534544,0
PC 38:4|PC 18:0_20:4,100777336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28898548,22040808,8244989,31791426,4570999,0
PC 38:4|PC 18:0_20:4,4844673,0,0,615657,0,128982,0,0,0,0,496221,6039464,12332874,34227424,104789272,109568056,22755228,27323746,12442445,6406516,8950886,0
PC 38:4|PC 18:0_20:4,183205872,0,0,0,0,0,2103383,2926590,0,1271206,0,0,2300152,2241422,3236081,8385311,166627472,361043776,52266868,75683560,76966840,0
PC 38:4|PC 18:0_20:4,100428048,0,0,0,0,0,0,17425,0,0,0,0,0,0,337430,1728020,29994252,297599584,27295904,21011468,425299712,0
PC 38:4|PC 18:0_20:4,39395568,0,0,0,0,0,211952,503374,0,1366266,0,0,42868,2304103,6553790,8385311,51242412,103628808,64579424,75683560,343700128,0
PC 38:4|PC 18:0_20:4,63388748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240704608,276622752,158741264,129324808,220689664,0
PC 38:4|PC 18:0_20:4,129213856,0,0,0,0,0,0,555924,0,0,0,0,0,1756059,3715706,0,152926480,279351968,120650096,91709136,270790944,0
TG 47:0|TG 15:0_16:0_16:0,35673752,0,0,0,0,0,0,0,0,0,0,1082364,0,0,0,0,100299464,89380464,141777952,79087040,70358400,0
TG 47:0|TG 14:0_16:0_17:0,55910656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403614816,349662496,129897400,333580864,289528544,0
TG 47:0|TG 14:0_16:0_17:0,199262752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49467188,41498540,36330312,40547652,19936874,0
PC 39:6|PC 11:0_28:6,6166686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36739928,56154744,1880898,23707876,24240228,0
TG 48:2|TG 14:0_16:0_18:2,177375664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208589280,385319296,313808096,191164896,257959888,0
