"lipidName","SXY_FDUhhuang_191_pos","SXY_FDUhhuang_197_pos","SXY_FDUhhuang_221_pos","SXY_FDUhhuang_270_pos","SXY_FDUhhuang_283_pos","SXY_FDUhhuang_428_pos","SXY_FDUhhuang_429_pos","SXY_FDUhhuang_430_pos","SXY_FDUhhuang_433_pos","SXY_FDUhhuang_439_pos","SXY_FDUhhuang_444_pos","SXY_FDUhhuang_445_pos","SXY_FDUhhuang_450_pos","SXY_FDUhhuang_454_pos","SXY_FDUhhuang_461_pos","SXY_FDUhhuang_464_pos","SXY_FDUhhuang_472_pos"
"PC 36:0|PC 18:0_18:0",464039,201831,242342,307701,517009,61339,181988,975211,211615,257338,239148,61188,174562,1952020,152405,178467,374088
"PC 36:2|PC 16:0_20:2",75086,996264,46075,136108,173389,2813,110882,168780,1363526,409929,20582,58334,118229,115359,279561,103868,121503
"PC 36:3|PC 16:0_20:3",87352184,209574304,22458572,33092506,88064728,6712955,133962440,36896660,417042848,42022464,35362888,18374714,83839024,95408928,49555192,26905950,21466562
"PC 36:4|PC 18:2_18:2",8634403,15771651,1285285,1995078,9602718,522946,13373060,3650322,85435728,3033295,3509407,1931174,2047516,10136109,7338824,1789642,1761567
"PC 36:5|PC 16:0_20:5",4759936,10127686,639011,672410,2694552,162973,6672390,2809727,33713452,1728131,1840310,538234,2397551,5169358,2560512,1316559,1517456
"PC 36:6",62736,284234,21759,36235,38604,24990,296213,100126,1906707,62092,93408,24899,42772,96703,35037,28859,26531
"PC 38:1|PC 18:0_20:1",2084692,6954104,1556241,3526539,11309451,99911,3207342,2172588,8363704,2223532,470354,1032220,8168934,3413634,636379,1124557,1134959
"PC 38:2|PC 18:1_20:1",6883727,1446640,3284079,2574904,10599033,140088,7756094,4688904,10181033,4898367,1816644,2733993,8376670,9455621,3610046,1435030,3094613
"PC 38:3|PC 18:0_20:3",80679120,191295712,14368535,29370620,83243944,453890,93466112,20584868,295280256,32833294,20706054,9219542,63325220,77195040,34542916,13296685,14548809
"PC 38:4|PC 16:0_22:4",27071082,55434580,9607830,16896494,38517612,2749572,47054640,12949686,68366584,15891097,12816696,9774853,30021228,34285100,18935744,6368312,7272298
"PC 38:4|PC 18:1_20:3",12955231,27774414,4913502,5376684,16599942,640205,18997618,6223429,44244168,6117720,2874167,2046085,13199181,14041913,8078230,3808013,3320644
"PC 38:6",1574471,3774126,416067,580917,2470535,31059,2255998,652362,12406017,617041,369772,1392932,3312350,1339459,370657,1363061,813568
"PC 38:6|PC 16:0_22:6",75221784,234684080,24347528,21680798,71907576,10860801,94229344,53430816,690998080,37870032,47460460,19636820,55436120,101443552,50303460,17663820,22565708
"PC 38:6|PC 18:2_20:4",2565036,8624869,300928,670302,2304210,63732,6837561,1736767,28565642,1098624,868510,490457,1191739,4053666,2130844,737023,555965
"PC 40:7|PC 18:1_22:6",9582471,17226570,3197057,2841955,8309409,1163715,10547194,5011801,30042632,4373418,3479234,2718131,5294758,10123828,5159213,2086890,2350796
"PC 42:0",142656,80140,88980,229479,172266,1944,240677,248604,47298,138850,978,39150,46733,118689,66714,60009,79857
"PC 42:1",113965,928979,49710,45847,608746,188,144795,212920,175954,1075776,2623,66627,523583,752403,834170,135053,147344
"PC 42:10",354971,1122757,72366,85812,222317,42380,957092,161305,2495452,177282,52978,48559,244874,197422,148115,74417,53476
"PC 42:4|PC 14:0_28:4",99,1121616,NA,1205,2418,2111,5717,4427,7467,72081,3787,226,40,4217,47581,NA,534
"PC 42:8|PC 22:3_20:5",614343,1603704,184006,276782,649307,44283,1517010,268563,1218658,580544,178760,154431,686906,501086,315782,88289,66780
"PC 44:10",248544,407528,59738,87030,259693,2406,441891,80046,425029,253161,10747,49202,225686,141042,34139,9104,52146
"PC 44:11",30637,57533,10765,7071,11885,NA,59381,7342,73333,20666,NA,2696,15746,4519,4273,2704,2528
"PC 44:12|PC 22:6_22:6",131271,333569,26714,19323,69176,11777,185060,55093,266253,90719,17531,19346,56632,81483,94380,17138,27901
"PC 44:2",78986,238757,109602,71306,470457,92978,234016,128582,171542,113030,53382,80476,416125,207492,92158,115326,107812
"PC 44:7",20277,162846,15784,32207,76779,90784,56489,12663,35574,182711,16095,5617,100834,40627,89386,9509,12726
"PC 44:9",32284,114137,35764,27425,54427,14658,112122,67236,38837,3141,68238,38771,31937,26333,55900,17478,2417
"PC 46:10",50081,104707,4203,20393,49140,5629,131030,46562,65715,81430,3973,30548,77792,79655,174134,6441,8086
"PC 46:5",114599,234165,89629,76590,570785,15815,373190,99537,198312,407791,5788,117716,571960,187062,63689,61556,80540
"PC 46:8",73946,429126,64623,74666,226481,74347,324666,81184,158844,293275,59315,53235,121938,180927,93553,44556,52871
"PC 46:9",158326,143869,85534,124108,211086,7764,170339,210875,41434,90430,11590,89565,45875,313117,67541,45119,48861
"PC 48:7",23762,294861,14870,46393,100531,130742,70337,51822,103485,379087,64667,17641,117694,44167,121648,50096,13468
"PC 48:8",7123,160169,5450,30836,43031,689449,10553,27807,13637,101777,1547769,167,18356,16572,336038,12677,4899
"PC 48:9",27254,113473,31222,22995,37210,15767,26867,79143,4526,201132,7278,14348,5358,96174,157296,10192,28876
"PC 56:10",35717,37518,19210,13448,26052,4224,44095,6264,10932,34971,3207,41069,46568,36757,44856,30812,35182
"PC 62:9",8790,2839,3141,28,NA,1996,1869,5005,4159,4246,NA,1743,NA,1410,1351,1087,1559
"PE 32:0",412179,68109,34456,66118,36875,29896,67046,65796,46748,22618,8351,99322,47650,56678,17086,117428,16976
"PE 34:1|PE 16:0_18:1",1472959,1089640,384027,538730,718385,91686,1227295,500270,2375740,312410,117937,506029,706400,894749,309622,102476,354945
"PE 34:2|PE 16:0_18:2",386521,740439,30612,66900,87312,1598,388119,92224,2592092,35884,64573,40871,106954,152596,111494,75624,60694
"PE 36:3|PE 18:1_18:2",422155,471616,59654,80726,312627,639,453915,72095,2470447,46537,13192,96363,250133,247092,118961,54823,56930
"PE 36:4",83973,42115,3431,14962,14800,1980,44065,33993,493136,6438,11400,2492,8174,66822,38810,4454,7835
"PE 38:5",56560,83893,19947,13389,51914,4272,43896,40283,246867,15207,10466,37743,32821,34285,11267,90409,31364
"PE 38:6|PE 16:1_22:5",6365048,6272886,2399311,1077509,2450844,265416,4232275,1445734,8304938,1053880,489622,2579061,2887242,3955001,1521490,643966,1167660
"PE 40:4",4529608,1995154,1739720,993200,1499394,116697,3909662,982736,380398,968799,217711,2464313,2131884,1990825,1437209,177037,902024
"PE 40:7",2016915,1332151,853496,416569,814091,98030,1097763,477124,1568604,240070,130391,1015990,943170,868540,387377,197543,251129
"PI 36:1",253727,291620,85619,48837,234511,63,243938,139529,460198,48718,8887,67553,76761,291864,130627,11052,68719
"PI 38:2",18456,6199,17874,1433,28735,9954,20930,19954,13323,16475,21434,3653,5427,73074,19123,581,24981
"PI 40:4",7109,19092,2205,555,8769,68,7957,NA,28375,260,11207,7695,6713,49087,4832,NA,3775
"PI 40:7",9422,18900,9528,5519,35556,28,28488,5804,42774,6239,1862,11099,4700,26183,12314,248,6726
"PS 38:2",98427,61386,40652,25397,62671,3854,72823,14478,48440,38035,2398,48370,22453,43770,28360,7932,19739
"PS 40:6",42882,23298,15811,40459,36220,13755,56718,2094,37134,3462,54303,57619,36829,3580,22567,3379,26346
"SM 30:1;2O",130658,913450,54270,179347,99751,47240,521472,356653,1561988,179061,59953,140225,135726,606016,210052,113848,27161
"SM 32:0;2O",125613,279539,32029,137426,275345,8287,583570,519359,957121,166345,31316,59239,135708,1211638,166320,38801,100616
"SM 32:0;3O",157221,47137,61842,82715,284907,37300,35787,92771,41139,112848,22613,20145,329906,529652,112179,19131,97903
"SM 32:1;3O",179650,267244,75147,182392,189194,44121,228540,253835,94496,198903,421003,49561,476091,766117,85819,174636,165580
"SM 34:1;2O|SM 18:1;2O/16:0",215820032,530326176,99857496,172201120,468700224,46018248,394706592,190911344,682430976,142647184,226829328,69514480,189621312,482641952,151341120,67947024,86262032
"SM 34:2;2O|SM 18:2;2O/16:0",13558885,28741892,8000180,12576361,29152854,5785622,39244612,18520966,70168640,11795950,19966222,6634499,11445523,50993264,19594292,5723096,7132990
"SM 34:4;3O",25579,3810,7850,30369,21871,9513,18066,52806,20391,12725,60978,3036,5633,27646,38041,14824,22287
"SM 34:5;3O",139498,108198,214745,357055,379058,101796,191244,280555,69407,105819,335219,108528,65505,215091,381776,68990,269838
"SM 36:4;3O",40533,13661,58414,73289,250600,39376,134084,121292,39737,54068,178134,34242,379761,87132,27279,67954,46691
"SM 36:6;2O",2100,119,2603,50085,1474,769165,12502,7273,10148,2579,488055,2637,1766,80774,210243,2658,2419
"SM 36:7;3O",1700756,173212,674526,614491,671065,189609,443470,587354,214711,465475,506546,319660,229516,625553,368441,191744,603459
"SM 36:8;3O",80550,20053,210662,102820,87796,100384,54595,70995,47083,171378,192338,55524,54557,100568,167732,50607,164636
"SM 38:2;2O|SM 18:2;2O/20:0",12391623,5033232,5108804,5327994,11970106,1557216,16267531,10843321,27373436,5455860,9550383,4326368,6351445,23592818,10564800,3690206,6185238
"SM 38:4;2O|SM 18:1;2O/20:3",1200780,117353,3792699,2620118,412644,54495,1027819,3223342,1000957,1861536,869658,3686102,122817,3110278,1921160,3562478,3051654
"SM 38:6;3O",66627,349520,4412,38702,21684,8297,43859,86022,509901,36142,56189,6015,60997,101839,18801,14754,20989
"SM 38:7;2O",4784,19807,2180,70288,2336,386114,37212,50109,321188,13836,195611,1269,2410,30027,876520,5525,2758
"SM 38:8;3O",106117,134166,110503,115987,82466,46052,145742,116763,189198,184117,398785,95908,199049,79403,107797,49241,142190
