"lipidName","SXY_FDUhhuang_191_pos","SXY_FDUhhuang_197_pos","SXY_FDUhhuang_221_pos","SXY_FDUhhuang_270_pos","SXY_FDUhhuang_283_pos","SXY_FDUhhuang_428_pos","SXY_FDUhhuang_429_pos","SXY_FDUhhuang_430_pos","SXY_FDUhhuang_433_pos","SXY_FDUhhuang_439_pos","SXY_FDUhhuang_444_pos","SXY_FDUhhuang_445_pos","SXY_FDUhhuang_450_pos","SXY_FDUhhuang_454_pos","SXY_FDUhhuang_461_pos","SXY_FDUhhuang_464_pos","SXY_FDUhhuang_472_pos"
"DG 40:6",25081,71309,87059,604777,266947,418113,1049754,493666,208334,168203,873114,4611,29244,173698,779785,36649,157518
"DG 40:7",625,NA,760,11472,NA,458808,4961,22019,498,NA,1813994,234,1197,2316,24372,3839,2056
"DG 40:8",6021,1360776,3049,148334,1721,103006,68943,158225,15523,947833,2251969,NA,850,107451,1316226,7300,7487
"DG 40:9",8196,140347,2090,201340,2166,965689,179467,71650,42030,121993,1527513,946,41,523326,1543606,1964,NA
"DG 42:6|DG 16:0_26:6",745186,276761,269702,339825,559629,43552,178737,674230,389710,207954,103567,171270,260678,446361,67460,112870,313904
"DG 44:7|DG 18:1_26:6",36347,2523753,4809,66856,24596,90218,221646,519555,182953,1268473,44468,13313,11246,295500,1335459,381238,119386
"FA 22:0",11288,35994,10780,697,230,32931,42542,61193,18495,29591,5245,6699,6600,20875,277,10082,13070
"FA 24:0",16231,11734,15496,17247,19819,19460,13208,23722,17179,13450,22677,27580,31789,15067,11690,24962,21013
"FA 26:0",20522,20511,26104,714,3697,5797,39677,59166,15933,12401,5676,13941,14643,13419,253,7857,14125
"FA 26:1",NA,4,162,3589,28,3184,8055,3962,1275,18,3590,1,41,503,28607,32,45
"FA 28:0",13871,11145,14746,5825,2108,35131,33688,24325,23855,16180,50659,11029,15462,46304,9390,17464,15881
"FA 28:1",337,435,567,108760,442,200631,171048,7636,5543,18,227617,588,200,33455,19828,44,151
"FA 30:0",28654,11096,23187,66271,3260,10726,70604,23194,15990,25894,16481,15814,21423,71198,40571,18611,25028
"FA 30:2",27,669,358,13945,22,291236,6531,5266,45616,93,172017,38,4,24067,51122,140,318
"FA 30:5",65,258,14,7425,16,10717,21052,23233,2757,76,6689,39,NA,976,1924,10,1363
"FA 32:0",7472,20826,3093,1205,1987,304,2333,1010,18947,2057,403,1026,1209,2077,1294,9975,3637
"FA 32:1",150,171,316,8272,671,31679,39863,4032,4828,343,149836,260,88,30153,8469,353,309
"FA 40:5",706244,2942859,4147538,13675,13720,1284543,3526672,3048292,2444706,3738088,429905,2818246,3464311,3624810,6507,2662394,3839022
"FA 42:5",4349328,3312374,5414739,37582,52012,1051889,4233116,3524874,3161785,3799308,552857,4030651,3726884,4419174,17055,4154196,5547549
"FA 44:5",1548154,654479,1428702,16776,12809,214487,1110440,831671,787210,1076707,150036,988763,743057,1097681,4795,1255977,1587882
"LPC 16:0",359740,415315,45452,29755,7518,361,164168,237451,3272280,135699,NA,40030,24299,277804,34299,76818,182812
"LPC 18:0",5328420,9974309,2940279,1195133,6899888,3767525,6503430,1274245,30558694,2792644,7294866,262542,1017563,7614251,6137514,3248020,4471821
"LPC 18:1",404801,2036444,464021,724530,1773470,505909,1689130,553035,2120486,767358,1071546,468289,747258,1219569,1035182,442632,708670
"LPC 18:2",36049,478711,17338,75490,137847,29890,289925,116900,770176,180582,80423,40007,57675,158298,194287,43921,43117
"LPC 20:3",809349,975558,870079,783515,1343391,297898,874990,567368,701780,661732,244174,834043,901848,803351,867114,918797,910486
"LPC 24:0",49489,516117,14216,7314,76905,34673,336511,17202,1335982,121269,97536,18560,167630,222936,72312,20543,6439
"MG 16:0",6390795,7724388,708278,6186606,2678302,496892,4432708,9900489,30202516,4056456,10149266,14626329,2090238,1477377,4763206,1766189,1296369
"MG 18:2",15942,202772,109741,1903365,74978,4373429,1872332,180084,326128,220943,13741497,30664,31979,711317,4731800,97792,56218
"MG 18:3",804098,854726,699468,1133140,1048226,623488,1320250,2431097,1998492,838593,2211950,609967,674932,667652,781375,581477,1180561
"MG 20:3",35050,37051,22141,192358,4981,2312593,98283,41609,161940,5177,4366586,15258,23282,942964,1373743,31544,5306
"PC 30:1",48444,1101316,38898,304296,418863,106190,1225697,572314,3582056,126311,44996,119388,111945,637213,185874,69505,90502
"PC 32:0",335104,654165,69425,779187,210520,18727266,809613,148609,823084,242166,51474920,70512,303850,660312,4741224,51563,63695
"PC 32:0|PC 16:0_16:0",256109376,391136096,128081472,185168800,288843360,8567852,393910592,204633136,462874400,237733760,124162752,160992992,329171904,310414112,185505424,97084336,119736680
"PC 32:1",1492224,6780416,504719,3012847,4196438,43615,5327918,932112,4631954,2704682,71690,1382847,6623968,4066999,317616,256274,60877
"PC 32:1|PC 16:0_16:1",37598460,87961392,14970154,57585812,57745228,2348256,44539772,25363462,142072960,8264203,17013786,18954562,54632564,15252058,30448454,4662319,5058464
"PC 32:2",1030564,3770144,315958,766769,1169602,76646,2166411,1206681,17713086,549926,405101,470949,720024,2507526,810891,486553,249885
"PC 34:0",551223,57705,776613,144360,1056346,33567,1763473,543781,856323,509745,142252,1252226,2084957,937761,323066,285615,541241
"PC 34:0|PC 16:0_18:0",47775252,45971660,18180404,16457255,39955868,930985,58607020,23295766,69475688,32042764,11618750,21846616,47751256,49061276,25754396,8628813,17254200
"PC 34:1",8360538,68039368,2881758,5270323,11994460,881292,24354378,12140929,146857904,6267132,14729068,3868824,12576235,22423540,11433278,6908922,4682072
"PC 34:1|PC 16:0_18:1",1341714816,2172340480,785224256,978446336,1575121792,59864296,1713384448,1169368064,2105769984,1121064704,695694464,879561408,1362996992,1707273600,1067363520,545733824,740878592
"PC 34:2",336408,7973124,268749,401451,2061974,47728,4630488,2035787,18603666,643736,403484,112174,2186436,681764,1990789,1103918,743237
"PC 34:3",2410929,842762,296980,47922,1262845,5741,3287939,567336,29312800,771556,67805,396516,106019,1689725,1431540,461277,590079
"PC 36:0",4031797,4067014,2011444,1718855,2824062,1052279,2403431,2365138,782974,6289826,1248286,945331,966951,3738259,4559340,1437642,1611657
"PC 36:1",4638936,242876,4381398,1611336,10777087,121547,9778362,3816749,5550070,3324644,1065383,6166738,12028102,6810434,1977576,1802853,3288345
"PC 36:1|PC 18:0_18:1",242379184,38096028,100630624,65018708,315976480,3896020,302804928,128845288,357746592,162679184,58802128,103637808,267048992,291131168,126680144,47811220,94928712
"PC 36:2",4627644,7896612,308977,1399211,8227086,8804,11509359,3512707,20723352,1673090,378653,430906,7363128,6219586,2361579,569764,344290
"PC 36:2|PC 18:0_18:2",246616800,524770272,41061204,61681860,220233136,16638690,358642400,134467680,1296041216,91336600,103519200,43859924,143472512,304414880,166798944,53296508,63643808
"PC 36:2|PC 18:1_18:1",70664944,151734256,40098944,56244444,101919848,2748512,100024480,58144740,163450224,53900532,6863130,41597780,79331560,98122568,59426536,26368028,31415922
"PC 36:3",26011054,70010864,11292274,16183716,35250292,4967137,54021156,22802252,125360112,18452564,16581604,13010742,32437988,36433272,18156524,13661117,12513295
"PC 36:3|PC 18:1_18:2",8455941,58988544,2579481,5434714,7594976,1806045,32528338,9208370,130932800,2970880,18089024,5517858,14960853,19668484,16366721,3471952,4306606
"PC 36:4",4243892,6632331,1917233,3375287,8959296,72711,10264909,4668868,15291928,2003555,1957079,4181368,9388435,6608410,1615243,3965658,2878234
"PC 36:4|PC 16:0_20:4",202664480,560171008,82814144,125536800,285248896,38213820,436749408,184221792,1104869760,138503344,135389616,99642400,270893568,301627904,146696624,102952432,92936944
"PC 36:5",895965,1740609,493035,440675,1410050,89930,1862817,534829,7310529,437042,188960,486262,751634,1239864,477679,465520,437812
"PC 36:7|PC 14:1_22:6",4083488,835403,1988130,1210512,1810348,375257,2526202,1250928,980642,1114758,850156,1019571,2689309,4236159,109474,526749,1308151
"PC 38:0",11138,46993,5721,535538,10853,2259224,79347,19836,258324,22809,6810595,1821,4808,382224,1350088,3176,6311
"PC 38:1",315200,195373,846878,257652,1073079,151480,514834,1185415,414964,385751,395300,798213,795328,2285998,269702,79327,410236
"PC 38:2",105391,169154,80140,40406,240427,NA,185302,62258,465983,182276,1078,64523,442021,174188,33811,117904,83924
"PC 38:3",13753499,24331110,15274272,4910806,13209310,2679015,15136573,3676952,45072396,5044756,20789052,9931465,11929202,13036730,6179662,2452283,15134349
"PC 38:4",4889444,8745804,3311831,4318395,8665204,79425,9800060,4193940,6083326,2759042,2795258,4565833,9320488,6711072,3154988,4271474,3395749
"PC 38:4|PC 18:0_20:4",232379376,678785216,75161824,146877888,306429216,7558508,405986784,162576848,851672640,141339280,149719744,79268072,244166496,312759520,161688288,69095392,79090448
"PC 38:5",428023,954182,206308,324606,872547,56213,1306049,574028,2253486,187067,371674,498869,1021575,943173,221025,464855,216525
"PC 38:5|PC 16:0_22:5",15920514,46303372,5853168,6431374,15130116,1031535,27724104,9611072,78824336,6502658,1528699,5189393,12991728,21092026,11011440,5375780,1005926
"PC 38:5|PC 18:1_20:4",30449562,114255472,15199235,18364888,41413912,4944368,68261392,28387266,175254928,20641562,24237732,17497764,39236636,52060244,25214120,19535154,12785046
"PC 38:7",246351,459951,71703,78677,220321,20667,643586,128484,3442461,195047,38337,32490,154421,120714,207821,63636,67766
"PC 40:1",78983,126154,81617,89445,491435,35970,279428,253803,293649,106037,64951,26044,125901,747758,150869,121566,94776
"PC 40:2",58866,3083413,4580,50831,6694,13617,168783,320016,5819,2623236,21555,6570,11473,304517,1779280,7175,21258
"PC 40:3",650412,1545500,13986,418543,1052779,7487,757252,435531,716736,605032,4109,145890,138844,723087,14568,90215,143406
"PC 40:4",1326978,3267565,432335,1387744,4019044,NA,2078510,547008,4094769,1016453,35748,393942,1461464,1926275,183831,237773,404357
"PC 40:4|PC 18:0_22:4",16985620,41696116,944516,11000071,28672022,120759,27885790,6254486,43653512,13677225,669229,766525,22351410,19153690,9333210,2520226,691276
"PC 40:5",1079756,4599715,1338306,2285130,2072622,158531,1847718,814233,3863483,881099,416040,875791,1268740,1583826,838449,335521,805555
"PC 40:5|PC 18:0_22:5",12261408,46275020,2185021,4531575,16355651,481323,19411028,6940512,51460884,8015563,6509324,2537712,13575938,17864504,9118883,2782964,3200669
"PC 40:6",2080763,312476,909695,722824,1437329,154329,1510413,968732,3735072,961515,597997,569775,1145344,2834213,899645,122626,1052898
"PC 40:6|PC 18:0_22:6",56138396,167808080,15893996,20371680,55030504,5282458,61431656,31957958,290941760,30875788,23500046,16116508,42059620,66171340,31514760,13338024,17769784
"PC 40:7",768744,1885944,80072,113174,546270,6671,1299323,81600,3480839,362791,18124,64139,576967,618564,153871,141971,133021
"PC 40:8",317034,2965513,78938,121008,702722,37574,3097246,396774,9625561,483625,255442,123550,227534,647471,324950,222442,133027
"PC 42:2",233306,358959,312471,83903,942426,51377,491352,369306,503724,497864,143562,228282,814810,459119,95205,162512,267080
"PC 42:3",42277,51291,90742,70052,878863,8816,798784,206314,101951,202168,44794,63718,728757,427989,95308,24328,162107
"PC 42:4",698146,542768,175349,515889,3094578,16569,2378114,452168,3162689,1536537,99774,196836,2160038,1360848,390142,66928,261977
"PC 42:5",429881,919696,281096,549232,1180869,2809,759873,512089,626536,321759,128150,283623,687280,971095,153063,58539,127271
"PC 42:6",78148,68892,83175,144141,428987,4875808,108445,271527,743353,247419,5684491,111782,354084,685064,1683233,31199,93595
"PC 42:7",1066336,1741454,478781,438168,1374621,33797,903570,302869,1659934,697105,183087,339926,896403,964658,584812,169000,320241
"PC 42:8",301502,639676,31991,56255,459796,8799,328753,210938,989787,222574,82718,26607,243364,244940,124692,21948,19971
"PC 42:9",198434,336469,53868,52460,141938,9993,283755,72325,531436,88294,64535,30503,136480,116510,85592,21957,25614
"PC 44:0",91805,1057646,91399,120353,184169,38908,117758,243388,39720,1232824,259139,44638,87784,224305,412182,87586,114020
"PC 44:4",1613,147232,4631,38252,3833,562069,46389,53724,28349,470133,979382,444,1692,57188,461996,4720,6474
"PC 44:5",247783,182347,88216,151355,740498,35861,677862,145515,1136715,300671,58726,111115,900157,346008,94646,72907,100414
"PC 44:8",425683,700186,188300,102295,617619,36798,1338973,336906,407196,434441,218626,263491,851691,525246,306532,200907,163146
"PC 46:7",84954,206323,12860,32240,231613,2946,57602,39553,255795,97895,48057,17180,196142,91822,45714,15326,14370
"PE 36:1|PE 18:0_18:1",1752773,1802091,513631,435896,1116823,NA,1888435,616264,3406786,375465,5277,704554,1052750,1266247,381047,201781,359700
"PE 36:2|PE 18:1_18:1",2130653,895522,562720,237826,747790,27753,1017633,119921,1794810,131598,22967,440704,732859,1038829,212582,163492,182390
"PE 38:4|PE 18:0_20:4",9296790,8517466,2446948,2190893,5001138,323780,8561718,2673905,13975556,2257117,717342,3320803,4359428,9247924,2978576,782687,1826466
"PE 40:4|PE 18:0_22:4",7930,10211,31481,926,2067,20649,45420,25530,39279,21179,4140,43884,40459,4966,1220,17049,13301
"PE 40:5|PE 18:0_22:5",29788,33675,22953,2391,2051,21237,31167,18860,54889,9399,4929,24549,21499,20161,1434,14248,7967
"PE 40:6|PE 18:0_22:6",21903800,12349665,6844902,7461134,7814178,1261530,15355387,6026219,9194146,4601764,1663817,11422841,11027841,11518809,7073100,1972900,4254901
"PI 34:2",263460,216787,36417,55707,267577,6870,204585,102077,1011833,66877,77058,18648,49404,378620,121259,23023,80230
"PI 36:2",19090,84979,1234,770,NA,1449,52,11625,658890,108,3244,NA,10208,2524,7283,1902,573
"PI 36:3",115906,103440,29350,26304,173391,3051,96791,63016,365879,25456,24957,18526,22366,203237,58896,14993,47174
"PI 36:4",626348,660970,232189,145907,901818,67399,978478,320445,1240726,280987,79521,266184,299249,1009165,475153,74017,315305
"PI 38:3",673648,709434,258068,107644,697033,9413,566755,305009,1408167,201658,94576,158229,309242,1069211,316551,54228,186747
"PI 38:4",2717315,2810602,2329412,2210330,4208524,385324,2566470,3829516,6420632,1967614,1194098,4018754,2620509,6405852,3087202,906892,2178872
"PI 38:5",678259,448400,308304,223047,864737,60471,722875,262299,765781,202011,135303,298672,284855,997144,462515,33121,283802
"PI 38:6",158645,129661,78298,52932,242079,16940,159526,70848,377138,75107,18613,48593,36341,212443,85197,10459,71459
"PI 40:6",291034,256624,222394,140519,328449,37244,264721,241269,274158,235024,69499,289806,230047,438211,160438,39020,132427
"PS 36:1",125945,23188,303242,75330,1347742,38174,1605175,536999,240119,1271767,108399,319538,892586,1884754,384728,6549,589433
"PS 38:4",180462,74283,75090,63883,414897,40680,323370,117636,601050,62556,89488,198861,383554,592059,218161,61898,193709
"PS 40:4",428832,415386,366972,287433,481006,536037,507785,465978,285094,495221,564698,144684,204117,592955,813846,146473,252815
"SM 32:1;2O",1999727,2682837,202824,132770,10284,39148,21447,1599514,20336668,90991,212181,6533,2056870,3738593,6525,234733,9047
"SM 32:1;2O|SM 18:1;2O/14:0",5598442,11883697,3054848,8532443,12858943,3037399,22196776,13367301,38076036,6142500,13871041,3049116,5687712,28995976,10254797,2457376,3728718
"SM 34:0;2O",21609526,53572584,10077680,17968944,41011092,1007719,37940456,19698256,72557936,14085544,21606218,7105616,19868426,46782512,15434256,7524394,8734945
"SM 34:0;3O",63510,228392,14222,20440,78293,65842,100104,97889,655542,57261,95581,19757,53003,144674,198166,15882,15276
"SM 34:1;2O",2982488,45686704,615277,86846,276839,1507,151171,661108,142655616,41330,325841,51275,3987853,385493,27505,1023764,123979
"SM 34:1;3O",6077338,1543596,2066025,994173,1939708,353344,1350822,5277829,3365328,1039104,5498398,1226113,9843871,2548686,2224426,2162735,3102074
"SM 34:2;2O",711700,2348560,111983,99866,10581,14263,50995,954680,34095916,13875,102016,2309,1699388,814468,24991,72144,4061
"SM 34:2;3O",74091,99988,129702,93656,297669,22865,368431,914891,117185,125226,213704,54625,357835,2245181,164110,378169,311776
"SM 34:7;3O",15484379,11083262,15484287,15639693,10531941,3589714,14375156,15895069,8397142,12645027,2858934,16267201,14489940,14511827,12956102,7107642,15997053
"SM 36:0;2O",4033619,3696235,1358311,226682,7967800,644118,5080362,3419009,6926560,2617974,2766611,1378663,3462651,8104068,2641300,169953,1832576
"SM 36:0;3O",1486620,2217513,673046,931082,2794178,22055,2244668,1235411,2898131,718181,46945,614001,2356248,2152136,707165,236448,673980
"SM 36:1;2O",1608012,531470,697588,488635,2257818,393496,1417489,534151,859039,268085,423455,1578754,965752,1336632,231235,605853,748286
"SM 36:1;2O|SM 18:1;2O/18:0",152357456,228260448,87665240,97633800,152179856,8508967,165773424,128638408,219630976,95304584,94596856,85083192,105198056,197381376,128599248,50340268,70581192
"SM 36:1;3O",24338476,7357584,1488771,17237338,44000888,1160371,23211858,20750602,56074796,14369028,2688640,6495942,22185662,49107676,11878039,9199356,12687019
"SM 36:2;2O",720715,4521578,34379,25192,2875,7685,58194,132564,13249204,16166,31290,4123,330513,25412,138666,275194,7360
"SM 36:2;2O|SM 18:2;2O/18:0",27435160,99524544,19380770,24192210,44590496,12963659,53452752,35944220,74133648,22641852,38864332,22485342,27717956,59261092,32941068,17831952,17961354
"SM 36:2;3O",2864,328680,2894,26193,4754,1188,72985,85788,8038,810506,22439,1146,NA,28198,512187,3389,1234
"SM 36:3;2O",47402,176198,11378,42854,76060,5044,46099,152267,854174,12892,11651,1455,32511,298694,9819,7193,26268
"SM 36:3;3O",2167548,1525032,548272,1678589,3940263,454938,5556880,4114540,21747330,1367613,4833039,440280,1649319,7756624,1536805,1139288,1242806
"SM 36:7;2O",247743,86621,151697,135060,304433,46642,323128,317004,245598,266318,154272,49720,99833,275204,181622,88845,110596
"SM 38:0;2O",581585,742462,1430565,108531,607699,59041,715825,509403,5013036,259844,623498,1414384,1955075,8476103,806662,82014,1150103
"SM 38:0;3O",4352,11148,4308,722021,4261,2091719,481072,311573,548242,20319,2233790,347,3389,888168,694464,5004,449
"SM 38:1;2O",2876800,30273158,1261358,3986708,8657851,77752,12407660,2392670,38351400,4154260,273514,909516,1786421,6142242,5062407,3531020,5706271
"SM 38:1;2O|SM 18:1;2O/20:0",32508308,4050446,11015165,1281500,23173810,1248791,28610238,25249098,47690968,15194625,8431812,11797486,20154292,43266768,15916854,3033625,10027042
"SM 38:1;3O",1902303,4010209,653427,1264579,3636731,58071,1528850,883907,4793550,1183128,295357,510681,902182,2096542,144252,226731,384824
"SM 38:2;2O",12567785,21878382,1046341,6077269,13078388,1558681,17962178,11232437,27115180,5110479,10572646,4545670,7508978,5387042,10915547,4018696,6204314
"SM 38:2;3O",3066182,1121473,1117404,2728667,7154780,42998,2863430,2560456,8150568,336103,1675390,142372,2481246,5977076,1346356,1210893,1357880
"SM 38:3;3O",4549801,6202458,297686,2951970,6160835,77644,3942585,3390813,5780602,2125878,290384,1142842,444401,6784824,1716939,1393268,289294
"SM 38:4;3O",309167,989156,66535,447848,561802,70316,863760,187914,3085309,181884,179487,52335,806126,388491,98661,96140,194966
"SM 38:6;2O",76830,112987,38874,1718344,121107,4396529,1507809,168089,280520,68319,3602143,123402,106683,4857164,5381888,7746,94745
"SM 40:0;2O",803159,2575551,593763,295628,1400573,30044,999131,1176849,2957034,366622,49339,494453,1421946,1727655,104436,565465,790293
"SM 40:0;3O",982433,146573,381620,305706,625354,12189,1026674,934163,570620,999439,63909,91746,700225,1259472,141018,117728,281755
"SM 40:1;2O",5339808,37425576,15907052,3360700,10809251,1492553,8836043,6848620,16716317,3206768,22952420,12800819,7346071,11970306,2341035,2028168,20636550
"SM 40:1;2O|SM 18:1;2O/22:0",37256464,13595923,20430232,18937672,69909920,332995,69319736,45536124,132914816,19456532,22840492,16110660,41524056,78039744,13261669,8225299,26853098
"SM 40:2;2O",3881200,8339478,1501028,1932816,4591428,1557538,4611862,3798326,12924262,1443038,7213243,1164380,2456972,8850850,2509320,1062348,2331858
"SM 40:2;2O|SM 18:1;2O/22:1",9404690,2015875,4951112,3021726,13814026,145768,9827903,9145852,35816988,4504359,5084872,2342830,8275454,22163280,5331264,3491760,6751496
"SM 40:2;2O|SM 18:2;2O/22:0",26218302,17408710,8641312,11790119,33137474,309600,40489536,22158098,97152160,10453207,11269185,6309824,15722199,53958040,14490935,6572501,11805203
"SM 40:3;2O",3062132,7249010,222349,2011398,4657687,36226,4618397,4543864,12207475,1681964,561831,134247,1766448,1605403,492977,1673502,349638
"SM 40:3;3O",394849,430288,81964,829247,3320081,1803,147797,122130,2362316,262802,34289,9266,1551035,459780,73313,66321,53980
"SM 40:4;3O",2134964,8000676,728699,4946518,13234376,27581,5926018,1721295,8284928,2187556,1306552,434110,4332420,5983694,1165109,544966,650730
"SM 40:5;3O",1157654,3764187,147446,329370,4271456,17429,2510132,1297235,4933516,1346781,85622,28329,423914,640408,198115,79412,79069
"SM 40:6;2O",2306759,2140054,1519549,1204848,2269683,884177,2346909,1950558,2601092,2791222,1730754,615182,1124680,2662298,2474960,909714,1081842
"SM 40:7;2O",1571746,805372,422558,1288748,1779144,42542,1434366,388296,1678186,1266573,436276,204714,1954610,2644330,1341889,395588,448323
"SM 40:7;3O",284793,5040610,184898,397175,1336826,84759,279854,481748,5973082,201480,877002,50658,1966912,720587,225447,116975,110426
"SM 40:8;2O",2524,282636,9738,5695,6194,846,38946,8726,3518,946498,5729,3381,4845,23703,203990,26550,2480
"SM 42:0;2O",2502744,1540038,1798533,306584,6906161,198401,1388866,3490200,2429406,1903232,834028,1536375,4989962,7570374,1484558,2031951,1948638
"SM 42:1;2O",311234,2291345,263181,305172,1290090,63783,1911558,852544,2982012,307453,113891,277698,1298874,1827448,650875,472371,373120
"SM 42:1;2O|SM 18:1;2O/24:0",19458218,63313872,13336258,8549552,46942356,1001918,42178052,24327788,81161464,15168440,16919528,11960121,32596022,54202916,10251936,17965272,14987677
"SM 42:1;3O",1651093,2302242,894641,842393,1957332,48953,1907770,1624961,3793011,1013469,107469,671367,1365237,3107424,1246904,410345,189859
"SM 42:2;2O",9921758,4169170,4010515,4569340,15923415,147656,2913147,10615984,32376828,6737932,2295052,2378685,7603698,23922452,6690730,3620716,5510284
"SM 42:2;2O|SM 18:1;2O/24:1",115439152,222537488,70205448,73947296,259797856,1386312,172467216,134606896,422504544,64312264,57238936,38415456,150172048,223778992,37029844,75690656,83409344
"SM 42:2;3O",243314,1070993,80820,21849,676027,1256,116508,186600,596245,69402,29519,33442,221513,519920,229729,6999,67048
"SM 42:3;2O",57897580,10781164,20759614,4506028,14817956,1826691,11323153,55478840,33317062,4024042,13450656,11920755,38304904,25870522,3744324,21107968,28164806
"SM 42:3;2O|SM 18:1;2O/24:2",73311776,127347136,28516226,34902120,119454352,563884,95553384,71262552,237073328,33893648,28665874,16852196,56037304,170356816,34943948,27510590,40215592
"SM 42:3;3O",34101,1091514,10496,122974,34437,20501,333321,92537,266601,592159,8187,5392,15327,224297,142431,3594,19165
"SM 42:4;2O",1270144,2618794,269227,607136,543227,10965,1736976,450149,5378152,368046,371052,247911,228397,1154463,371792,292295,207516
"SM 42:4;2O|SM 18:2;2O/24:2",5068211,12778830,380722,2583094,11648929,105147,7990703,8360834,18890026,7894710,5496455,281663,5240874,14932262,6165802,1772059,568781
"SM 42:4;3O",305078,401728,63577,443912,937804,9953,374989,382078,1191053,348912,5362,63414,612457,1046140,275510,152814,155199
"SM 42:5;2O",146447,374794,294066,276360,668667,NA,1293911,1858714,617035,1180773,481910,285596,346052,2697532,1432035,38204,248755
"SM 42:5;2O|SM 18:2;2O/24:3",175452,1298237,179176,106930,850022,4582,1019919,386143,534154,38345,62290,24572,380006,711531,20541,100365,33761
"SM 42:5;3O",508292,2488508,148018,996965,3291534,6182,1333567,200627,899609,838227,57130,93652,910773,1796230,512860,81304,110312
"SM 42:6;2O",23017,3200980,19376,42947,55989,27954,21094,93167,58142,8220937,12894,5057,24046,225174,3886905,34538,3549
"SM 42:6;3O",2067234,1654887,552529,3183855,7086672,70848,3619442,1519252,10637119,2816775,614446,324230,4099432,4770938,397394,532647,694896
"SM 42:9;3O",286888,557929,424142,294371,238791,488828,511733,538574,187725,539878,530405,638461,494831,313050,175280,383962,403656
"SM 44:3;3O",30511,155135,74298,4821036,89882,4911900,6062696,621763,825762,53730,14118135,11192,88871,2762876,9007491,23699,39052
"SM 44:4;3O",35589,164498,6145,124930,488466,283933,764046,132013,118297,1389606,325320,6215,82019,738023,1239000,12816,11214
"SM 44:5;2O",489020,553790,150286,176234,258930,8337,754233,879483,397295,495711,269135,103400,392162,1650196,105053,151884,325717
"SM 44:5;3O",328298,1899545,100678,1279921,4442621,4122,1005818,260956,3876593,637698,10479,251103,1266128,2859156,125228,207280,101746
"SM 44:6;2O",398119,129591,240986,193329,674802,21375,213572,248193,70879,278903,19346,343010,291312,245264,102613,246970,460423
"SM 46:4;3O",42834,282584,3414,48095,540206,4996338,135265,276259,91069,70748,13234225,5747,300673,373799,129899,74941,40763
"SM 46:5;3O",2107375,864220,1236260,779448,12504607,194430,3337583,495247,2605323,2396856,2820289,1293678,5740213,1754897,235527,1793444,1172629
"SM 46:6;3O",1749421,4062200,70671,1951482,7568913,73548,2846518,1181517,8169195,1022893,166659,72608,420414,4383418,244525,703079,107562
"SM 48:7;3O",371816,1171848,205697,620532,3160667,21400,813177,691208,2137468,829229,108009,180223,1610441,1528404,149099,285450,269693
"TG 32:0|TG 8:0_12:0_12:0",55452,46098,69581,88230,26273,477126,156754,18146850,414414,48872,731741,76227,44895,314236,160521,43648,42895
"TG 34:0|TG 10:0_12:0_12:0",63240,7329,39757,46297,116742,101340,204470,11191737,332850,11543,242587,69158,46467,84784,94212,2946,13932
"TG 42:0|TG 12:0_14:0_16:0",648044,190765,958134,358001,61326,368636,740748,13747891,389195,329135,401815,131597,107540,1375764,894849,938300,832718
"TG 42:2|TG 8:0_16:0_18:2",1332017,307178,141067,98868,163059,572919,5479261,204074,87517,447777,385722,79787,465344,101159,531812,24868,47627
"TG 44:0|TG 14:0_14:0_16:0",2110760,965180,2240528,3444516,173467,2749234,5443254,1251832,3662308,2150326,1832869,2315573,1430318,3555338,2455920,2266034,2428158
"TG 44:1|TG 10:0_16:0_18:1",977790,1155053,999540,1519705,495722,83472,4770896,1865967,2965566,1238773,163276,1124940,1073889,973840,322886,1526899,738017
"TG 44:2|TG 8:0_18:1_18:1",1237034,1364709,362846,468362,239631,1727258,4312908,1506396,1341015,1758327,1481740,394572,464398,1368234,2465247,530404,326472
"TG 44:3|TG 8:0_18:1_18:2",17798,94485,7616,50105,6833,412215,511261,227278,45401,430535,1532454,56104,26592,766183,1064699,148479,39978
"TG 46:0|TG 14:0_16:0_16:0",4756706,3801089,3830182,5435117,319212,10633453,9545523,10326689,6916403,3855131,10114558,4217605,3884644,4603867,5480468,3477203,3660974
"TG 46:1|TG 10:0_18:0_18:1",179190,735411,139453,84237,228794,40829,195061,222430,438628,998239,47121,78524,153201,463721,149134,188880,157939
"TG 46:1|TG 14:0_16:0_16:1",2262356,3586177,2315097,2954031,428417,7324621,8416099,1003622,8947612,1935778,5327306,2568991,2684154,2071271,3365531,3717013,450762
"TG 48:0|TG 14:0_16:0_18:0",1281097,365403,163664,288879,175585,6494538,557430,3948996,6650848,152417,4509428,616909,235843,1601999,385173,496423,844250
"TG 48:0|TG 16:0_16:0_16:0",6484662,11715031,5027770,7892370,451686,20439208,24174856,18890968,21435412,4905398,16074082,5061736,5585924,6390036,5837621,6384244,5371562
"TG 48:1|TG 14:0_16:0_18:1",6802790,17201100,3344316,7068550,690728,30857428,24531718,19695020,37280764,3248610,22671042,3103660,6177512,5420041,6608326,13780516,3492610
"TG 48:2|TG 14:0_16:0_18:2",5216242,14788611,2616518,4455244,501635,11834555,20244758,12956354,29736394,2625794,6555943,2626357,4991500,4533540,4247920,11157884,2217004
