,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,B,B,,
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,SXY_FDUhhuang_164_pos,SXY_FDUhhuang_165_pos,SXY_FDUhhuang_166_pos,SXY_FDUhhuang_167_pos,SXY_FDUhhuang_170_pos,SXY_FDUhhuang_181_pos,1,1
4772,10.366,487.32425,DG 25:3,[M+Na]+,found in higher mz's MsMs_5983,1,TRUE,3.51,487.33939,C28H48O5,DG,GOCMJOHPORSMKL-BBDKIWCZNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,94.8,99.8,7.2,75,100,80.81,SXY_FDUhhuang_167_pos,487.33374:34490 488.33709:19394 489.34045:4698,209.01747:40 263.07312:121 319.12979:40 319.14484:769 375.17245:40 375.20776:1615 375.23224:120 426.33023:35 431.26273:161 441.29828:40 487.31195:121 487.33984:121 487.40488:81,269795,369006,474927,271834,563148,340989,381616.5208,116641.7292
4773,8.077,487.32916,DG 25:3,[M+Na]+,found in higher mz's MsMs_21755; found in higher mz's MsMs_17472,0.333,TRUE,3.51,487.33939,C28H48O5,DG,GOCMJOHPORSMKL-BBDKIWCZNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,96.5,99.9,11.2,75,100,13.8,SXY_FDUhhuang_164_pos,487.33444:3753 488.33779:0 489.34115:2778,102.12298:81 146.97733:40 188.08006:35 245.14624:40 254.14931:35 324.14435:35 406.3754:35 434.37445:35 487.2662:324 487.35602:81,36598,244,66055,52667,8127,18766,30409.59707,25870.16147
4774,7.802,487.33121,DG 25:3,[M+Na]+,,0.5,TRUE,3.51,487.33939,C28H48O5,DG,GOCMJOHPORSMKL-BBDKIWCZNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,56.7,75,100,9.88,SXY_FDUhhuang_164_pos,487.34296:4341 488.34631:1692 489.34967:5492,102.12573:121 363.31232:35 487.32776:81,38465,4236,28871,368925,4731,112317,92924.1001,140900.4458
4776,10.968,487.34979,DG 25:3,[M+Na]+,,1,TRUE,3.51,487.33939,C28H48O5,DG,GOCMJOHPORSMKL-BBDKIWCZNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,88.7,99.7,5.2,75,100,66.8,SXY_FDUhhuang_166_pos,487.34775:49751 488.3511:13531 489.35446:3921,103.12614:35 117.0642:40 119.08086:81 121.09622:81 128.05525:40 131.07632:40 133.10455:121 137.08943:81 141.06975:35 143.08128:121 145.09691:121 145.1138:40 149.09164:40 157.09262:121 159.11049:81 171.10445:40 173.12335:81 185.1207:40 191.13721:40 197.12384:81 205.14917:35 209.08797:40 211.13766:40 231.79129:35 237.15494:40 249.15231:35 252.18399:81 257.24152:40 265.18805:40 278.20773:35 344.24612:35 349.24326:81 429.30548:35 469.32272:40 487.32529:40,500295,378044,453964,456043,352305,498841,439915.1927,61772.20803
4740,2.283,485.32108,DG 25:4,[M+Na]+,,0.333,TRUE,3.17,485.32376,C28H46O5,DG,RZDGNPCJGWQMFO-TZYWDAKQNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,98.6,100,null,75,100,44.11,SXY_FDUhhuang_181_pos,485.32108:69126 486.32443:210315 487.32779:104993,102.12735:121 107.0493:81 111.07794:81 117.06455:40 119.08582:81 121.0966:121 125.09177:81 126.06644:40 129.0657:40 131.09766:81 135.09665:81 141.09027:81 145.09915:81 147.07956:81 149.09737:81 151.12375:81 156.08739:81 158.10942:40 160.12492:81 169.1273:40 173.12965:81 181.08405:40 183.09438:81 191.9516:35 200.14581:81 205.11601:40 209.11133:40 219.11969:40 223.11855:40 234.17142:81 238.12935:40 239.18042:35 250.15334:35 266.17505:35 274.17377:40 274.94315:81 284.15594:35 296.18713:35 305.17752:35 316.15042:40 320.12631:40 335.21158:35 350.20297:40 358.20255:40 362.20416:81 374.25827:81 396.22275:40 400.48697:35 409.50104:35 414.23553:81 427.26743:35 432.24615:81 440.30978:35 467.22525:40 467.35565:81 485.16333:40 485.25601:161 485.29001:347 485.37964:121,3791,1734,51277,339668,1456,931166,221515.5526,371666.2122
4741,9.302,485.32266,DG 25:4,[M+Na]+,,0.333,TRUE,3.17,485.32376,C28H46O5,DG,RZDGNPCJGWQMFO-TZYWDAKQNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,18.8,75,100,34.94,SXY_FDUhhuang_167_pos,485.32266:111613 486.32601:74749 487.32937:38318,105.06953:121 129.09851:40 133.05902:81 134.07068:121 135.07965:1585 159.06787:40 159.07849:81 165.03574:202 167.04764:81 179.04634:40 191.19533:81 243.11562:35 256.26611:334 260.17267:35 277.15134:40 277.16068:121 295.1701:2000 425.13959:81 443.15869:121 485.33398:221 485.35251:410,2681,4309,5548,733489,4852,466110,202831.5626,318904.6119
5218,10.571,505.38864,DG 26:1,[M+Na]+,adduct linked to 21761_[M+H]+,1,TRUE,4.44,505.38635,C29H54O5,DG,KJIDXLFNTLKOKK-YPKPFQOONA-N,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,10.8,75,100,60.81,SXY_FDUhhuang_167_pos,505.38779:37633 506.39114:4941 507.3945:5264,102.12837:310 103.13028:202 107.07937:40 111.11153:40 114.96838:35 121.10077:81 131.07628:40 133.08023:81 139.10719:35 147.11133:40 157.11024:40 157.12431:81 163.10432:40 165.1441:81 181.14:40 182.74649:35 205.19965:35 210.04066:81 217.14024:40 221.16489:81 229.22095:35 245.22029:35 261.20358:40 267.1293:35 279.23645:35 287.19693:81 304.22873:81 325.13687:35 330.22067:35 370.7345:35 399.30728:35 445.08383:35 464.29596:35 469.41238:121 487.39505:81 503.88763:40 505.353:81 505.42554:121 505.50436:642,1493599,621108,113938,321151,259685,869648,613188.0456,509991.8341
5219,10.226,505.39423,DG 26:1,[M+Na]+,,0.333,TRUE,4.44,505.38635,C29H54O5,DG,KJIDXLFNTLKOKK-YPKPFQOONA-N,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,90.6,99.8,10.9,75,100,82.19,SXY_FDUhhuang_167_pos,505.39423:429014 506.39758:1906733 507.40094:732406,102.12712:1041 103.13187:81 107.08389:40 115.12956:35 359.1875:35 503.34698:40 505.29388:162 505.37589:81 505.40427:81 505.49573:727,29023,2753,44723,4465828,8726,2846047,1232849.898,1945611.206
5180,11.393,503.3688,DG 26:2,[M+Na]+,similar chromatogram in higher mz_12564; found in higher mz's MsMs_5182,0.333,TRUE,4.1,503.3707,C29H52O5,DG,BGDIOBIONVKNIY-XVTLYKPTNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.7,64.1,75,100,80.09,SXY_FDUhhuang_165_pos,503.3688:63134 504.37215:21706 505.37551:1653,290.28287:35 421.38098:35 485.47195:81 503.36639:1699 503.47653:162,110577,810003,3313,154,336134,3842,210670.4356,320952.1452
5181,4.961,503.37497,DG 26:2,[M+Na]+,,0.167,TRUE,4.1,503.3707,C29H52O5,DG,BGDIOBIONVKNIY-XVTLYKPTNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,98,100,14.1,75,100,294.47,SXY_FDUhhuang_164_pos,503.37497:165550 504.37832:17870 505.38168:5734,121.05613:40 121.06385:202 133.07552:40 133.0836:162 147.07744:40 163.07939:40 165.0974:202 166.10834:121 177.10548:40 209.10669:40 209.11885:81 245.09532:35 247.20599:81 281.03992:35 291.22897:81 292.22812:81 320.12039:35 336.25937:40 359.20853:81 360.20358:121 362.26724:40 362.27258:81 368.27014:35 375.17508:81 402.36899:35 431.23932:81 460.97729:35 486.36469:161 503.26477:40 503.32141:81 503.37808:121,3226828,297872,9901,440072,13573,257773,707669.9757,1245532.96
