"DG(16:0)",9147397128.4301,21836300000,27285850000,26192550000,26415550000,23605550000,9200029377.9345,9564265706.699,11718203141.3398,13138570314.7245
"DG(16:1)",103500000,519500000,885500000,957500000,899500000,609500000,86300000,72500000,1.24e+08,1.77e+08
"DG(18:0)",5819958991.074,6427500000,7894750000,7535141586.525,7082950000,6050250000,6674750000,5860796128.434,6692700000,6494700000
"DG(18:1)",12928050000,28000500000,3.9405e+10,3.5444e+10,35220500000,2.8945e+10,9.151e+09,8852500000,1.2292e+10,16489050000
"DG(18:2)",14101516836.188,34562784065.768,46122446052.373,41634088908.17,41662852527.033,35556500000,11740200966.5285,11801713409.2625,16327703101.3205,23698143902.704
"DG(18:3)",377708991.074,9.64e+08,1266450000,1347100000,1483750000,1080368891.681,315850000,291146128.434,418150000,571550000
"DG(18:4)",83750000,1.87e+08,1.91e+08,1.85e+08,182500000,203500000,69050000,156500000,1.51e+08,142500000
"DG(20:0)",152450000,195050000,171400000,109200000,240200000,105550000,80650000,48050000,64050000,67750000
"DG(20:1)",392050000,747700000,1060250000,594050000,1376550000,8.25e+08,225600000,182300000,265450000,405950000
"DG(20:2)",55500000,1.86e+08,2.67e+08,295500000,3.26e+08,252500000,38050000,38350000,41950000,7.5e+07
"DG(20:3)",6.99e+08,1.096e+09,1559500000,1.47e+09,1.672e+09,1.203e+09,5.85e+08,501500000,5.01e+08,741500000
"DG(20:4)",5415500000,5156500000,6404500000,6.476e+09,5.764e+09,5484500000,5.73e+09,4874500000,5.459e+09,4919500000
"DG(20:5)",12700000,30950000,5.1e+07,40200000,44500000,38350000,29600000,26200000,27050000,40350000
"DG(22:0)",19900000,23900000,18950000,21700000,28700000,15850000,19800000,6750000,12950000,11600000
"DG(22:1)",42550000,66500000,6.4e+07,7.5e+07,115500000,55500000,21750000,21900000,19300000,27950000
"DG(22:2)",165050000,232500000,437500000,329500000,5.47e+08,480500000,124800000,111200000,131200000,173150000
"DG(22:4)",469950000,699950000,981200000,904441586.525,1.056e+09,8.56e+08,375850000,284400000,323150000,448300000
"DG(22:5)",338550000,743500000,1.097e+09,1073500000,1.054e+09,9.07e+08,213753995.0225,265869975.1125,305250000,5e+08
"DG(22:6)",5972300000,10443900000,13877650000,1.2473e+10,12208550000,11090500000,5501300000,5642350000,7070850000,10329900000
"DG(24:1)",14400000,11450000,9950000,5750000,17850000,9250000,8250000,4085002.4305,4503101.3205,2243902.704
"DG(34:0)",69500000,21800000,16600000,8150000,5650000,2.1e+07,6.2e+07,6.4e+07,5.5e+07,43100000
"FA(22:5)",7.74e+08,7.73e+08,1.05e+09,1.17e+09,1.53e+09,7.6e+08,8.13e+08,3.47e+08,4.04e+08,6.32e+08
"FA(22:6)",8.33e+08,1.1e+09,1.7e+09,1.53e+09,1.38e+09,1.18e+09,7.12e+08,6.42e+08,1.02e+09,1.51e+09
"LPA(16:0)",6875323.246,5378698.098,1937004.135,4591698.669,5886591.242,5311215.952,275539.0101,4705962.31,5709673.591,4087042.603
"LPC(14:0)",75900000,68400000,1.32e+08,98800000,96600000,77700000,71800000,58400000,79900000,56800000
"LPC(16:0)",9.187e+10,6.1082e+10,7.784e+10,7.7184e+10,7.0948e+10,6.1126e+10,7.6942e+10,6.6251e+10,7.1689e+10,5.4567e+10
"LPC(16:1)",5.94e+08,576900000,861400000,709400000,737300000,474500000,4.15e+08,3.26e+08,4.03e+08,3.57e+08
"LPC(16:2)",6.53e+08,4.28e+08,5.4e+08,5.52e+08,5.05e+08,4.04e+08,5.33e+08,4.31e+08,4.83e+08,3.59e+08
"LPC(18:0)",4.2628e+10,3.2533e+10,3.7875e+10,4.2761e+10,3.7254e+10,3.0978e+10,5.528e+10,3.5326e+10,3.3452e+10,3.1489e+10
"LPC(18:1)",5.946e+09,3.421e+09,5.541e+09,5.488e+09,4.596e+09,3.358e+09,4.696e+09,3.142e+09,4.022e+09,2.508e+09
"LPC(18:2)",5.91e+09,6.165e+09,9.525e+09,8.115e+09,7.939e+09,5.998e+09,5.236e+09,4.999e+09,6.906e+09,5.023e+09
"LPC(18:3)",2060300000,412700000,1839200000,1931500000,1864736416.745,1703800000,2022700000,2044700000,1944500000,1940400000
"LPC(20:0)",8.46e+08,495900000,510200000,616300000,617600000,408100000,597400000,5.58e+08,477100000,3.29e+08
"LPC(20:1)",3.34e+08,225208637.867,319300000,357600000,334514648.207,192800000,306739949.176,194300000,213100000,1.63e+08
