"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"TG 58:10|TG 18:1_20:4_20:5",283800,290500,407100,296500,259000,389000,105300,114200,119100,168600,410400,310500
"TG 58:3|TG 18:1_18:1_22:1",1112000,1531000,1522000,783100,773000,810900,118400,142200,151700,656900,1316000,1362000
"TG 58:4|TG 18:0_18:1_22:3",314900,368800,335500,206300,259700,274900,84560,45030,111600,208300,461100,193100
"TG 58:4|TG 18:1_18:1_22:2",1238000,1533000,1440000,767100,662900,743400,152100,139400,158400,756600,1248000,1151000
"TG 58:5|TG 18:1_18:1_22:3",2253000,2507000,2457000,1905000,1720000,1971000,461800,524800,512500,1399000,2061000,1773000
"TG 58:6|TG 18:1_18:1_22:4",2902000,3342000,3258000,2823000,2922000,3117000,827500,922800,933500,1942000,2931000,2649000
"TG 58:7|TG 18:1_18:1_22:5",2419000,8089000,11960000,6450000,6834000,7374000,2088000,2284000,2209000,4744000,10440000,7454000
"TG 58:8|TG 18:1_18:1_22:6",9011000,12410000,12460000,7658000,8706000,9563000,1820000,1927000,2025000,6964000,12210000,11160000
"TG 58:9|TG 18:1_18:2_22:6",1031000,1335000,1350000,963500,1112000,1304000,291600,351500,354400,811000,1539000,1351000
"TG 60:10|TG 18:1_20:4_22:5",510600,574500,609800,700000,820700,613900,246000,188700,303100,510700,668400,574600
"TG 60:11|TG 18:1_20:4_22:6",364500,669600,664000,484500,529900,687300,160800,201000,189800,347300,716500,614200
"TG 60:12|TG 18:1_20:5_22:6",103000,148600,149300,96310,102300,113900,36050,28480,33560,71950,121100,119100
"TG 60:3|TG 18:1_20:1_22:1",231000,264300,284600,125700,98400,117900,24090,23410,23020,133200,236700,223200
"TG 60:4|TG 18:1_18:1_24:2",134800,332500,264600,77350,58840,87130,8495,15180,9319,164100,561500,132800
"TG 60:5|TG 18:1_20:1_22:3",348100,433200,432100,244100,187700,397000,44650,107500,50290,202400,320600,294500
"TG 60:6|TG 18:1_18:1_24:4",396800,440700,428800,356900,351400,392300,120400,132400,136000,231800,335400,326200
"TG 60:7|TG 18:1_18:1_24:5",640600,527400,607900,896600,614200,477100,173100,159800,193500,315800,439900,394900
"TG 60:9|TG 18:1_20:4_22:4",181600,240700,239700,183300,235700,353300,71770,82940,76600,121500,238800,217200
"TG 62:10|TG 18:1_22:4_22:5",74620,87100,162200,125000,114100,168800,50680,86690,78850,60720,117500,156400
"TG 62:11|TG 18:1_22:4_22:6",150400,124400,125200,155000,112300,139400,105800,7899,4441,117400,205600,185900
"TG 62:11|TG 18:1_22:5_22:5",145900,188000,112300,136200,178600,113800,71900,80120,5178,172900,177500,174300
"TG 62:12|TG 18:1_22:5_22:6",145200,182000,214500,123000,182100,175800,49550,51260,61380,119300,234000,164300
"TG 62:13|TG 18:1_22:6_22:6",60710,92840,101000,64960,64680,68310,13490,23010,15980,50180,105700,80700
"TG 62:2|TG 18:0_18:1_26:1",86870,103500,110900,65660,60170,59780,12570,17760,17970,49150,106500,90560
"TG 62:3|TG 18:1_18:1_26:1",782000,841700,717700,615400,614100,653100,133500,157800,160600,584100,784800,555200
"TG 62:6|TG 18:1_20:1_24:4",508600,510700,440600,557100,520500,535700,281700,292500,318000,360000,517200,446000
"TG 62:7|TG 18:1_20:1_24:5",283100,317600,305800,309400,379800,344300,110500,123900,98490,192400,369000,172400
"TG 62:8|TG 18:1_22:1_22:6",95630,116700,102200,76160,80090,117400,15000,16510,19460,60210,140500,88560
"TG 62:9|TG 18:1_20:4_24:4",132100,82030,90470,64470,14590,83070,37300,48130,47140,1955,140100,127900
"TG 64:11|TG 18:1_22:5_24:5",4389,7295,16440,3893,3549,12120,1033,2895,826.2,2247,1434,2041
"TG 64:12|TG 18:1_24:5_22:6",4292,5216,10290,2192,7661,13330,1576,224,2311,7590,11780,4507
"TG 64:13|TG 20:3_22:4_22:6",10060,11190,476.1,6499,7371,11100,1109,831,721.6,1028,1661,5425
"TG 64:15|TG 20:4_22:5_22:6",3902,5485,4945,3045,4795,4188,394.4,1058,1429,597.2,4346,5659
"TG 64:7|TG 18:1_18:1_28:5",144700,133500,156300,263500,242700,9622,98270,160900,93890,218400,108700,221600
"TG O-46:0|TG O-16:0_14:0_16:0",51700,61380,42930,77780,51900,62310,29730,36680,30250,34610,48890,41300
"TG O-48:0|TG O-16:0_16:0_16:0",149100,155000,160400,229300,160700,187400,76600,86680,85780,82610,148700,157500
"TG O-48:1|TG O-18:1_14:0_16:0",295800,323100,335500,267800,254900,273200,101800,141700,126400,200300,346900,306500
"TG O-50:1|TG O-18:1_16:0_16:0",763000,920900,918200,660800,546700,606100,1397,276800,NA,471100,850500,858500
"TG O-50:2|TG O-18:1_14:0_18:1",1225000,1367000,1364000,658400,570800,623500,205500,234700,222000,808000,1486000,1257000
"TG O-52:2|TG O-18:1_16:0_18:1",3554000,4485000,4276000,1314000,1178000,1307000,329200,417400,401600,2309000,4437000,4335000
"TG O-52:3|TG O-18:1_16:1_18:1",1386000,1839000,1598000,736400,709300,724500,226700,202700,179300,1043000,1778000,1546000
"TG O-54:3|TG O-18:1_18:1_18:1",4967000,6873000,6192000,1621000,1531000,1727000,321600,385800,18530,3759000,6972000,6539000
"TG O-56:5|TG O-18:0_16:0_22:5",397300,457100,447000,181600,192200,200600,82330,161800,101000,236300,433600,362000
"TG O-56:5|TG O-18:1_18:1_20:3",276300,312800,545100,301500,130300,147300,204200,73350,149000,203100,604500,328700
"TG O-56:6|TG O-16:0_18:1_22:5",1501000,1823000,1923000,716900,845200,837300,414900,405600,332500,1087000,1913000,1588000
"TG O-58:6|TG O-18:0_18:1_22:5",354400,444200,460100,123400,126200,131900,2377,95280,50550,337500,426500,389400
"TG O-58:7|TG O-18:0_18:1_22:6",1269000,1169000,1294000,297200,253600,315800,94960,149900,124600,801400,1311000,1214000
"FA 16:0",199500,129700,131600,155900,162300,160400,199000,220500,167400,177800,193400,176600
"FA 18:0",217600,148800,183000,166000,193400,190300,249600,315100,166000,207000,241100,198100
"FA 18:1",166600,92460,87810,51840,54150,55700,62420,62830,50870,47890,47580,48700
"FA 18:2",330900,88360,78410,27640,35330,35770,87450,85170,36760,34160,40010,33210
"FA 40:5",584300,680100,625400,714200,557200,584400,788100,558500,529300,524500,655300,624200
