"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"PE P-36:1|PE P-18:0_18:1",583700,743600,612000,984300,656400,824800,564800,571500,438400,535500,717000,648300
"PE P-36:2|PE P-18:1_18:1",873300,1046000,859000,1263000,964400,1057000,693000,717200,671400,746400,1063000,1050000
"PE P-36:4|PE P-16:0_20:4",1604000,1688000,1447000,1449000,1169000,1257000,1258000,1255000,1273000,1237000,1586000,1633000
"PE P-38:4|PE P-16:0_22:4",332900,382500,611000,369500,261700,224000,322200,323500,341300,298700,586100,324300
"PE P-38:4|PE P-18:0_20:4",27650,73580,215700,329100,311000,340300,267200,258800,262700,226900,53940,325000
"PE P-38:5|PE P-16:0_22:5",2217000,2388000,2131000,2234000,1817000,2013000,1880000,1944000,2001000,1709000,2334000,2359000
"PE P-38:6|PE P-16:0_22:6",1563000,1824000,1500000,1723000,1434000,1516000,1513000,1474000,1597000,1322000,1653000,1603000
"PE P-40:4|PE P-18:0_22:4",182300,123600,162300,95490,74100,149600,152300,167000,179000,88550,186300,146500
"PE P-40:5|PE P-18:0_22:5",434800,369300,252900,423800,449900,280500,243000,257300,376500,369400,438700,252100
"PE P-40:6|PE P-18:0_22:6",647800,746700,609900,641400,546000,865000,429500,435400,449000,546300,691000,705500
"PE P-40:6|PE P-18:1_22:5",174300,205200,208500,300400,227600,238200,184400,185400,178300,309400,193800,204500
"PE P-40:7|PE P-18:1_22:6",1528000,1760000,1531000,1842000,1436000,1548000,991400,951300,1004000,1295000,1648000,1581000
"PI 36:1",64710,69570,79790,84400,57930,134600,56200,93580,104600,182900,207100,67380
"PI 36:2",427000,454000,501400,587800,333800,830900,325200,595300,2500,1234000,1389000,420900
"PI 38:5",38310,26980,30010,32240,20640,37100,24400,649.1,28250,388,NA,39730
"SM 32:2;2O",65570,82270,91490,47730,92150,65610,45120,72210,30250,34080,43240,70800
"SM 34:2;2O",3811000,4453000,3559000,3966000,3344000,4099000,3402000,2717000,3233000,2977000,3697000,4090000
"SM 34:4;2O",108400,105800,88030,106100,58890,85500,55380,46370,55210,74780,81930,96330
"SM 36:5;2O",406300,442000,419700,473200,362300,518000,370300,341400,428700,396000,429900,475700
"SM 38:0;2O",11590,11680,3526,16500,3206,3452,3508,1962,2095,6089,428.3,875.6
"SM 38:2;2O",98520,93050,79660,146800,90230,104600,58310,57550,4072,82800,12680,12930
"SM 38:3;2O",57460,97940,89120,39340,41540,42950,82830,55680,92210,74890,105200,80840
"SM 38:5;2O",1576000,1507000,1389000,1344000,1258000,1289000,1243000,1264000,1396000,1256000,1318000,1306000
"SM 40:0;2O",124400,138500,127600,114500,51050,90530,82920,99330,121500,69670,45160,101400
"SM 42:0;2O",298100,245200,233300,287200,169100,316000,250400,231800,223400,203100,153100,221000
"SM 42:4;2O",155000,190100,130700,161900,107600,144000,80720,85090,88360,114200,136600,134900
"SM 42:5;2O",8019,NA,16190,11070,6295,4110,4702,3432,NA,5068,3898,10410
"SM 44:3;2O|SM 18:1;2O/26:2",125900,171700,119100,109600,92330,108800,50890,51880,56500,100500,117700,121900
"SM 44:5;2O",389100,383200,248500,269500,131200,200900,108800,122300,159400,209600,220900,243700
"TG 44:2|TG 8:0_18:1_18:1",112400,26820,22660,28700,32540,20000,52690,47580,14290,20680,26880,993.5
"TG 46:0|TG 14:0_16:0_16:0",171200,136900,173300,178700,122600,163100,133400,204700,193400,95660,228600,115800
