ms2name,DIFF,LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,FA3,FA4,IonFormula,CalMz,RT-(min),VIP,Fold Change,P-value,Cold-1,Cold-2,Cold-3,Cold-4,Cold-5,Cold-6,Cold-7,Cold-8,RT-1,RT-2,RT-3,RT-4,RT-5,RT-6,RT-7,RT-8,QC-1,QC-2,QC-3,QC-4,QC-5
POS1174,,TG(16:0/9:0/18:2)+NH4,TG(43:2)+NH4,TG,(16:0/9:0/18:2),(16:0),(9:0),(18:2),,C46 H88 O6 N1,750.661,18.642,0.0510806,0.93431,0.481090505,2.80E+07,3.50E+07,3.70E+07,3.70E+07,4.40E+07,2.30E+07,3.10E+07,3.50E+07,3.30E+07,4.20E+07,4.30E+07,3.30E+07,3.50E+07,2.50E+07,3.10E+07,4.40E+07,4.10E+07,3.10E+07,3.50E+07,4.30E+07,3.80E+07
POS1175,,TG(6:0/18:2/19:1)+NH4,TG(43:3)+NH4,TG,(6:0/18:2/19:1),(6:0),(18:2),(19:1),,C46 H86 O6 N1,748.645,15.4328,0.0884027,0.96999,0.552922357,6.70E+07,8.00E+07,8.80E+07,8.80E+07,7.10E+07,7.40E+07,7.70E+07,7.00E+07,7.30E+07,7.70E+07,8.70E+07,7.50E+07,7.50E+07,7.50E+07,7.80E+07,9.50E+07,8.90E+07,7.10E+07,7.30E+07,8.30E+07,7.50E+07
POS1176,,TG(43:3)+NH4,TG(43:3)+NH4,TG,(43:3),(43:3),,,,C46 H86 O6 N1,748.645,15.888,0.121161,1.06665,0.439345209,9.80E+07,9.50E+07,8.10E+07,1.10E+08,1.20E+08,1.00E+08,1.00E+08,8.30E+07,8.40E+07,7.10E+07,8.90E+07,7.00E+07,1.00E+08,1.10E+08,1.10E+08,1.10E+08,1.10E+08,1.10E+08,1.00E+08,8.90E+07,1.20E+08
POS1178,,TG(16:1/9:0/18:2)+NH4,TG(43:3)+NH4,TG,(16:1/9:0/18:2),(16:1),(9:0),(18:2),,C46 H86 O6 N1,748.645,17.2576,0.362792,0.69018,0.099721695,4.70E+07,4.40E+07,4.80E+07,4.90E+07,1.50E+08,6.60E+07,5.20E+07,7.20E+07,7.00E+07,1.50E+08,6.60E+07,1.30E+08,7.20E+07,1.10E+08,9.40E+07,7.00E+07,1.50E+08,5.70E+07,5.80E+07,1.40E+08,1.50E+08
POS1179,,TG(16:1/9:0/18:2)+NH4,TG(43:3)+NH4,TG,(16:1/9:0/18:2),(16:1),(9:0),(18:2),,C46 H86 O6 N1,748.645,17.6973,0.262384,0.75095,0.030572872,9.60E+07,9.40E+07,1.10E+08,7.50E+07,1.60E+08,1.20E+08,1.10E+08,8.90E+07,1.00E+08,1.60E+08,1.20E+08,1.40E+08,1.10E+08,1.90E+08,1.40E+08,1.80E+08,1.20E+08,1.10E+08,1.20E+08,1.30E+08,1.30E+08
POS1180,,TG(43:4)+NH4,TG(43:4)+NH4,TG,(43:4),(43:4),,,,C46 H84 O6 N1,746.629,14.447,0.222573,0.88189,0.033510033,7.50E+07,6.50E+07,6.00E+07,7.20E+07,6.20E+07,6.90E+07,8.10E+07,6.60E+07,6.40E+07,8.90E+07,8.30E+07,8.20E+07,6.90E+07,7.90E+07,7.20E+07,8.40E+07,7.30E+07,7.00E+07,7.80E+07,8.20E+07,7.60E+07
POS1181,,TG(15:0/10:2/18:2)+NH4,TG(43:4)+NH4,TG,(15:0/10:2/18:2),(15:0),(10:2),(18:2),,C46 H84 O6 N1,746.629,16.0152,0.149185,0.77145,0.093539606,1.70E+07,1.40E+07,2.00E+07,1.90E+07,2.30E+07,3.20E+07,2.10E+07,2.80E+07,2.30E+07,3.10E+07,2.00E+07,3.10E+07,4.60E+07,2.40E+07,2.20E+07,3.00E+07,2.20E+07,2.50E+07,2.30E+07,1.50E+07,2.20E+07
POS1182,,TG(16:0/11:4/16:0)+Na,TG(43:4)+Na,TG,(16:0/11:4/16:0),(16:0),(11:4),(16:0),,C46 H80 O6 Na1,751.585,16.565,0.0299691,0.83875,0.199292256,1.60E+07,1.60E+07,1.70E+07,1.20E+07,2.20E+07,1.60E+07,2.20E+07,1.30E+07,1.30E+07,2.40E+07,1.70E+07,1.40E+07,1.50E+07,2.70E+07,2.20E+07,2.60E+07,2.00E+07,2.00E+07,1.70E+07,1.90E+07,2.10E+07
POS1184,,TG(16:1/11:3/16:1)+NH4,TG(43:5)+NH4,TG,(16:1/11:3/16:1),(16:1),(11:3),(16:1),,C46 H82 O6 N1,744.614,15.4238,0.05303,0.8545,0.320474429,2.60E+07,2.70E+07,4.70E+07,2.40E+07,6.10E+07,5.10E+07,3.30E+07,2.90E+07,2.80E+07,4.50E+07,3.40E+07,3.90E+07,4.10E+07,4.50E+07,6.20E+07,5.60E+07,4.50E+07,3.20E+07,3.70E+07,3.70E+07,3.40E+07
POS1185,,TG(15:0/10:4/18:2)+NH4,TG(43:6)+NH4,TG,(15:0/10:4/18:2),(15:0),(10:4),(18:2),,C46 H80 O6 N1,742.598,14.5278,0.117241,1.18206,0.118506571,1.90E+07,2.00E+07,2.20E+07,2.10E+07,3.40E+07,2.80E+07,2.20E+07,2.30E+07,1.60E+07,1.90E+07,1.60E+07,1.80E+07,2.00E+07,2.50E+07,2.00E+07,2.60E+07,2.30E+07,2.10E+07,1.90E+07,2.30E+07,2.10E+07
