,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preRes_CSF,preRes_CSF,preRes_CSF,preRes_CSF
metabolites,Sample428,Sample433,Sample464,Sample191,Sample197,Sample429,Sample430,Sample439,Sample270
"7,8-dihydrofolate",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-methyl-THF,N/A,N/A,N/A,N/A,N/A,12742.04211,11794.90887,N/A,N/A
Diiodothyronine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glutathione disulfide-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NAD+_posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9473.934434,N/A
NADH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dephospho-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADP+_posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADPH,6520.401932,14947.78233,31846.86955,21974.62079,N/A,25720.56221,31191.32689,9329.441847,7804.516485
coenzyme A-posi,N/A,N/A,N/A,N/A,17671.273,N/A,N/A,N/A,N/A
FAD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acetyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
propionyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acetoacetyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
malonyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
succinyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sarcosine,3728739.685,3336585.413,3681016.65,2281701.72,2128047.895,3044132.051,3274465.538,3605233.607,2533727.318
putrescine,4819722.493,2549219.92,682876.8961,1799087.572,883442.7414,2705882.876,4644049.507,2913806.102,1093256.378
spermidine,29135.31847,27764.72536,19174.85641,27670.57633,N/A,12016.60485,21596.20291,12730.74758,N/A
spermine,18128.89058,N/A,N/A,N/A,N/A,18985.78217,9267.781382,6196.112726,10016.00591
N-acetyl spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl spermidine,6637.607242,8299.125928,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicotinamide Riboside,N/A,7618.805424,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenylosuccinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cholesterol,1329833.345,1281362.85,953330.1893,651581.6869,666746.8237,1051078.578,2029107.21,1136140.693,903694.8491
arginosuccinic acid,21324.40112,67780.68901,29832.96324,12932.00435,35551.66833,85680.10937,67082.46421,85456.67218,58193.81186
phosphocreatine,145069.7035,29349.76016,96072.67607,26608.31414,109688.0553,31307.90026,52173.75367,29277.01979,53740.17166
retinoic acid,N/A,N/A,N/A,N/A,N/A,N/A,47095.74744,N/A,N/A
N-acetyl-L-alanine,51763913.73,43595940.43,41261820.43,29493654.54,34593152.24,41423478.16,43018531.09,40452454.89,34043988.68
HMG-CoA_pos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cysteine sulfinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6423.726963
glyoxylate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glycolate,N/A,8835.6365,N/A,N/A,N/A,N/A,8030.8635,8030.863104,N/A
pyruvate,9323.798703,N/A,N/A,N/A,N/A,N/A,N/A,11223.11437,N/A
lactate,499877.241,501865.825,387657.521,371092.9041,265337.185,448639.3364,457664.724,605430.2343,458038.2775
2-oxobutanoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acetoacetate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glycerate,34506.93002,42315.13366,25698.44805,37345.6048,24353.44845,44007.66953,32763.6258,65018.53415,43898.24726
uracil,15258.4669,N/A,N/A,11203.64396,9622.040663,17670.60414,9615.045991,11245.1108,11245.40758
fumarate,15976.57442,28660.36073,12632.14964,21235.55593,12305.48242,20298.68554,41596.20081,16569.85433,9811.495705
Maleic acid,18909.84816,24389.17568,N/A,8441.215988,N/A,16985.53378,34490.3265,24618.36009,12165.06669
2-keto-isovalerate,19351.64717,9545.266618,9587.715723,12475.9805,N/A,8238.683221,N/A,20289.60626,11784.25618
Guanidoacetic acid,N/A,N/A,N/A,15258.4833,N/A,6350.823838,33735.4095,N/A,N/A
succinate,9702.22849,34249.39945,9453.983375,10915.84057,11615.78601,N/A,20781.21108,7031.382483,41608.32231
Methylmalonic acid,17916.80117,34892.52694,16300.57354,N/A,N/A,10001.20579,16793.40718,N/A,37836.00455
3-S-methylthiopropionate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nicotinate,N/A,11103.73729,N/A,N/A,N/A,N/A,14430.45644,N/A,N/A
taurine,40166.51219,42081.82054,69867.93327,28017.51864,43380.638,85073.1377,49662.31256,54054.29471,17669.76111
Pyroglutamic acid,10433.61066,14459.34009,10859.36561,8010.840927,9590.732093,12047.4741,14456.99146,N/A,16868.29565
Citraconic acid,224861.6206,217856.9738,189140.4517,198109.2268,115194.6803,121275.2345,278305.716,226636.33,149057.5425
2-ketohaxanoic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6407.669695
N-Acetyl-L-alanine1,396708.5562,256236.7178,179141.2651,243590.8119,252476.8971,324126.4227,273176.9109,188665.9424,336897.1487
oxaloacetate,13192.34969,19039.3279,N/A,N/A,N/A,12043.95798,29308.01312,18031.46103,12534.62664
Hydroxyisocaproic acid,16394.14872,N/A,N/A,N/A,N/A,N/A,N/A,9546.147573,N/A
malate,151741.5439,45365.80643,25139.00333,23782.86113,23212.88111,27889.05019,97026.42545,22018.47561,15010.19244
hypoxanthine,155278.9474,84822.34057,31579.98797,85193.83148,105878.9055,169447.183,149164.3872,278943.4939,181486.6906
anthranilate,N/A,155625.4568,39371.60841,N/A,33149.8873,46911.27131,316331.1019,14758.74879,70541.86216
p-aminobenzoate,15145.76945,126686.9051,28291.03453,9293.921191,44587.83514,70331.23008,263890.2544,14716.95857,59692.5253
p-hydroxybenzoate,N/A,47871.82514,31623.45187,25290.93701,9340.845839,120762.97,496186.1716,9287.622111,49540.47323
acetylphosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carbamoyl phosphate,52964.16736,16307.90042,26068.664,21911.26423,39539.41204,13697.18932,18386.59216,15206.01751,26711.18723
a-ketoglutarate,68058.44933,221020.9148,125133.1672,154729.9244,103574.1021,228469.2967,181282.9517,202860.2764,132975.7163
Phenylpropiolic acid,298218.0982,296645.0254,271303.241,226318.5062,146519.6738,309852.5445,271881.9112,287876.6151,208444.7504
2-oxo-4-methylthiobutanoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxy-2-methylbutanedioic acid,38951.82535,41928.04481,44592.70904,27118.05615,30425.42486,32481.39924,61307.35015,48558.79027,26087.9747
3-methylphenylacetic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xanthine,210658.3611,137926.0694,166267.8715,162150.5569,139512.4531,218182.6979,344725.2055,406385.4874,158259.4662
