Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
PC 34:4,296745,774104,35736,3719966,124217,196101,1057370,323046,264739
PC 36:0|PC 18:0_18:0,464039,201831,61339,211615,178467,307701,181988,975211,257338
PC 36:2|PC 16:0_20:2,75086,996264,2813,1363526,103868,136108,110882,168780,409929
PC 36:3|PC 16:0_20:3,87352184,209574304,6712955,417042848,26905950,33092506,133962440,36896660,42022464
PC 36:4|PC 18:2_18:2,8634403,15771651,522946,85435728,1789642,1995078,13373060,3650322,3033295
PC 36:5|PC 16:0_20:5,4759936,10127686,162973,33713452,1316559,672410,6672390,2809727,1728131
PC 36:6,62736,284234,24990,1906707,28859,36235,296213,100126,62092
PC 38:1|PC 18:0_20:1,2084692,6954104,99911,8363704,1124557,3526539,3207342,2172588,2223532
PC 38:2|PC 18:1_20:1,6883727,1446640,140088,10181033,1435030,2574904,7756094,4688904,4898367
PC 38:3|PC 18:0_20:3,80679120,191295712,453890,295280256,13296685,29370620,93466112,20584868,32833294
PC 38:4|PC 16:0_22:4,27071082,55434580,2749572,68366584,6368312,16896494,47054640,12949686,15891097
PC 38:4|PC 18:1_20:3,12955231,27774414,640205,44244168,3808013,5376684,18997618,6223429,6117720
PC 38:6,1574471,3774126,31059,12406017,1363061,580917,2255998,652362,617041
PC 38:6|PC 16:0_22:6,75221784,234684080,10860801,690998080,17663820,21680798,94229344,53430816,37870032
PC 38:6|PC 18:2_20:4,2565036,8624869,63732,28565642,737023,670302,6837561,1736767,1098624
PC 40:7|PC 18:1_22:6,9582471,17226570,1163715,30042632,2086890,2841955,10547194,5011801,4373418
PC 42:0,142656,80140,1944,47298,60009,229479,240677,248604,138850
PC 42:1,113965,928979,188,175954,135053,45847,144795,212920,1075776
PC 42:10,354971,1122757,42380,2495452,74417,85812,957092,161305,177282
PC 42:4|PC 14:0_28:4,99,1121616,2111,7467,NA,1205,5717,4427,72081
PC 42:8|PC 22:3_20:5,614343,1603704,44283,1218658,88289,276782,1517010,268563,580544
PC 44:10,248544,407528,2406,425029,9104,87030,441891,80046,253161
PC 44:11,30637,57533,NA,73333,2704,7071,59381,7342,20666
PC 44:12|PC 22:6_22:6,131271,333569,11777,266253,17138,19323,185060,55093,90719
PC 44:2,78986,238757,92978,171542,115326,71306,234016,128582,113030
PC 44:7,20277,162846,90784,35574,9509,32207,56489,12663,182711
PC 44:9,32284,114137,14658,38837,17478,27425,112122,67236,3141
PC 46:10,50081,104707,5629,65715,6441,20393,131030,46562,81430
PC 46:5,114599,234165,15815,198312,61556,76590,373190,99537,407791
PC 46:8,73946,429126,74347,158844,44556,74666,324666,81184,293275
PC 46:9,158326,143869,7764,41434,45119,124108,170339,210875,90430
PC 48:7,23762,294861,130742,103485,50096,46393,70337,51822,379087
PC 48:8,7123,160169,689449,13637,12677,30836,10553,27807,101777
PC 48:9,27254,113473,15767,4526,10192,22995,26867,79143,201132
PC 56:10,35717,37518,4224,10932,30812,13448,44095,6264,34971
PC 62:9,8790,2839,1996,4159,1087,28,1869,5005,4246
PE 32:0,412179,68109,29896,46748,117428,66118,67046,65796,22618
PE 34:1|PE 16:0_18:1,1472959,1089640,91686,2375740,102476,538730,1227295,500270,312410
PE 34:2|PE 16:0_18:2,386521,740439,1598,2592092,75624,66900,388119,92224,35884
PE 36:3|PE 18:1_18:2,422155,471616,639,2470447,54823,80726,453915,72095,46537
PE 36:4,83973,42115,1980,493136,4454,14962,44065,33993,6438
PE 38:5,56560,83893,4272,246867,90409,13389,43896,40283,15207
PE 38:6|PE 16:1_22:5,6365048,6272886,265416,8304938,643966,1077509,4232275,1445734,1053880
PE 40:4,4529608,1995154,116697,380398,177037,993200,3909662,982736,968799
PE 40:7,2016915,1332151,98030,1568604,197543,416569,1097763,477124,240070
PI 36:1,253727,291620,63,460198,11052,48837,243938,139529,48718
PI 38:2,18456,6199,9954,13323,581,1433,20930,19954,16475
PI 40:4,7109,19092,68,28375,NA,555,7957,NA,260
PI 40:7,9422,18900,28,42774,248,5519,28488,5804,6239
PS 38:2,98427,61386,3854,48440,7932,25397,72823,14478,38035
PS 40:6,42882,23298,13755,37134,3379,40459,56718,2094,3462
SM 30:1;2O,130658,913450,47240,1561988,113848,179347,521472,356653,179061
SM 32:0;2O,125613,279539,8287,957121,38801,137426,583570,519359,166345
SM 32:0;3O,157221,47137,37300,41139,19131,82715,35787,92771,112848
