"","p.log","fc.log"
"TG(6:0/12:0/18:1)",0.0370002014273982,-0.058482
"TG(10:0/12:0/14:1)",0.468518131578951,0.15886
"TG(6:0/12:0/18:2)",0.187514157247213,0.087185
"TG(4:0/14:1/18:2)",1.31525889878772,0.40024
"TG(4:0/14:1/18:3)",2.30588339923096,-0.76023
"TG(4:0/16:0/17:0)",0.636227534875375,0.22277
"TG(4:0/15:0/18:1)",0.575393710211167,-0.258
"TG(4:0/15:0/18:2)",0.74705434471067,-0.42917
"TG(4:0/15:0/18:3)",1.44163171555429,-0.36171
"TG(12:0/12:0/14:0)",0.0093380868192901,-0.018789
"TG(16:1/10:0/12:0)",0.0270653859014175,-0.0071421
"TG(4:0/16:0/18:2)",0.574662843327338,-0.10595
"TG(4:0/16:1/18:3)",0.298770208684349,-0.11421
"TG(4:0/16:0/18:4)",0.543634009272635,0.59234
"TG(4:0/16:1/18:4)",2.89013804118465,-0.56457
"TG(4:0/16:0/19:0)",1.76428307145331,0.16993
"TG(12:0/13:0/14:0)",0.348365040721859,-0.37615
"TG(39:1)",0.256284178008534,0.077621
"TG(6:0/15:0/18:1)",0.0613351880733545,0.02435
"TG(4:0/17:0/18:2)",1.00412203027618,0.11477
"TG(4:0/17:1/18:2)",0.169962586843349,-0.15697
"TG(4:0/17:1/18:3)",1.48269827834669,-0.20878
"TG(12:0/14:0/14:0)",0.0334270355718296,0.061973
"TG(16:0/8:0/16:0)",0.0331542581762124,-0.01136
"TG(10:0/12:0/18:1)",0.753746660074701,-0.11754
"TG(6:0/16:0/18:2)",0.371277208323814,0.39713
"TG(10:0/12:0/18:2)",2.13449153517276,-0.37924
"TG(4:0/18:1/18:2)",0.147916852224927,-0.052852
"TG(4:0/16:0/20:4)",0.464059194325858,-1.0311
"TG(4:0/18:2/18:3)",5.76938925494919,-0.72062
"TG(19:0/10:0/12:0)",0.324047881745043,0.38831
"TG(16:0/9:0/16:0)",0.195396841518083,-0.20807
"TG(6:0/16:0/19:1)",0.38769843078024,0.1224
"TG(11:0/12:0/18:1)",0.362143244272939,-0.25035
"TG(6:0/17:0/18:1)",0.693606656412002,0.27367
"TG(4:0/18:1/19:1)",0.0997177339893221,0.028249
"TG(41:2)",2.06684073576107,-0.47592
"TG(41:3)",0.626816069304955,-0.26424
"TG(6:0/17:1/18:2)",0.0504837500280577,-0.010148
"TG(11:0/10:1/20:3)",1.7853718030208,-0.35946
"TG(11:0/12:3/18:2)",2.9686708731848,-0.48017
"TG(41:5)",2.07078219571478,0.39032
"TG(16:0/12:0/14:0)",0.0933683741164722,0.13616
"TG(18:1/12:0/12:0)",0.21402143143154,0.30189
"TG(12:0/12:0/18:2)",0.166661191054493,0.26599
"TG(6:0/18:0/18:2)",0.0168031459435768,-0.0066637
"TG(12:0/12:0/18:3)",0.581998868984145,-0.17264
"TG(6:0/18:1/18:2)",1.14947222446432,-0.23563
"TG(6:0/18:1/18:3)",3.09809024025094,-0.24641
"TG(6:0/18:2/18:2)",3.02265319457928,-0.37737
"TG(6:0/18:2/18:3)",1.17421436981578,0.45568
"TG(4:0/18:1/20:4)",0.358176485754889,0.098564
"TG(4:0/16:0/22:6)",2.52028708539597,0.47839
"TG(4:0/18:2/20:5)",1.30059359579336,-0.38074
"TG(4:0/16:1/22:6)",0.98155460892602,0.44703
"TG(6:0/18:2/19:1)",0.274010931765485,-0.04617
"TG(43:3)",0.311887760123563,0.081061
"TG(43:4)",1.43043707473187,-0.17748
"TG(15:0/10:2/18:2)",1.06075296119719,-0.3836
"TG(16:0/11:4/16:0)",0.642163783309628,-0.23769
"TG(16:1/11:3/16:1)",0.498388156202536,-0.23204
"TG(15:0/10:4/18:2)",0.912974933079161,0.24031
"TG(43:6)",0.0505888486309634,0.019951
"TG(43:7)",1.38969150504845,0.41248
"TG(16:0/14:0/14:0)",0.170561365072365,0.1676
"TG(18:1/12:0/14:0)",0.237139424406352,0.25005
"TG(44:2)",0.303931570523934,0.092582
"TG(16:1/10:0/18:1)",0.466067254241192,0.48191
"TG(44:3)",0,0
"TG(16:0/10:2/18:2)",0.287983318102109,0.42084
"TG(6:0/18:2/20:4)",0.831520720041609,0.36818
"TG(6:0/16:0/22:6)",0.337831725187658,-0.11715
"TG(4:0/18:2/22:5)",1.52663676847938,0.42538
"TG(4:0/18:1/22:6)",3.47593050521987,0.52991
"TG(4:0/18:2/22:6)",4.65530965993222,0.77344
"TG(16:0/12:0/17:1)",0.0237689299465678,-0.026581
"TG(11:0/16:0/18:2)",0.265529208985482,-0.1779
"TG(16:0/11:2/18:1)",1.13437044922451,-0.52533
"TG(9:0/18:1/18:2)",0.81123626143743,-0.25716
"TG(16:0/11:1/18:2)",0.379610366074731,0.34945
"TG(45:3)",0.50674458189771,-0.30084
"TG(16:0/11:4/18:2)",0.28327843311949,-0.11641
"TG(45:6)",1.13039751002714,-0.34494
"TG(16:0/14:0/16:0)",0.942061757673114,0.26303
"TG(16:0/12:0/18:1)",0.239194106111807,0.16257
"TG(10:0/18:1/18:2)",0.445666475406502,0.62803
"TG(18:1/10:1/18:2)",0.113422196970907,0.13594
"TG(18:3/10:1/18:2)",0.116804573354638,0.072376
"TG(16:0/8:0/22:6)",1.50299819362407,0.60039
"TG(6:0/18:2/22:6)",3.6539896242793,0.93831
"TG(15:0/16:0/16:0)",0.437022685488843,0.12608
"TG(19:0/14:0/14:1)",0.326393244047375,0.19717
