"","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3"
"PC(40:6)",2.67e+09,4.07e+09,4.64e+09,4.15e+09,4.47e+09,4.47e+09
"PC(40:6e)",3.34e+08,2.23e+08,3.12e+08,5.48e+08,7.06e+08,6.21e+08
"PC(40:7e)",2.22e+08,3.04e+08,4.12e+08,1.3e+08,1.69e+08,4.08e+08
"PC(40:8)",1.46e+08,19300000,30300000,3.9e+07,2.04e+08,2.35e+08
"PC(40:8e)",35700000,5.3e+07,83500000,2.67e+08,3.06e+08,2.76e+08
"PC(42:11)",6025501.221,8943452.758,10200000,8269777.103,7102751.994,6954909.942
"PC(42:2)",1.31e+08,2.4e+08,2.73e+08,2.58e+08,3.09e+08,2.73e+08
"PC(42:3)",75600000,1.24e+08,32100000,1.63e+08,1.87e+08,1.79e+08
"PC(42:4)",25600000,37600000,49700000,1.46e+08,1.82e+08,1.49e+08
"PC(42:4e)",29300000,48100000,51500000,75900000,87400000,83700000
"PC(42:5e)",24700000,26800000,40100000,1.79e+08,2.31e+08,1.99e+08
"PC(42:6)",1.54e+08,3.18e+08,98800000,3.42e+08,3.72e+08,3.38e+08
"PC(42:7)",1.22e+08,96200000,68900000,2.44e+08,2.68e+08,2.44e+08
"PC(42:7e)",25200000,20300000,16900000,75700000,1.07e+08,81200000
"PC(44:10)",17900000,22800000,29700000,18400000,17500000,18200000
"PC(44:4)",8836781.237,16300000,24700000,26700000,3.4e+07,37900000
"PC(44:5)",36100000,1.7e+07,17200000,75200000,1.06e+08,8.6e+07
"PC(44:5e)",11500000,26800000,32700000,2.6e+07,30600000,34900000
"PC(44:6)",7863487.863,25200000,19800000,6.5e+07,78300000,70300000
"PC(44:7)",5576382.496,71400000,14900000,60300000,55400000,61500000
"PE(14:0_20:5)",116540.6276,116540.6276,582703.138,3742780.281,2649825.362,3106341.698
"PE(14:0_22:6)",17400000,6957186.743,7290888.739,32400000,40300000,31200000
"PE(14:1e_20:4)",2631790.412,3693086.442,1277103.648,7781262.884,9448121.376,6902255.996
"PE(16:0_16:0)",51400000,59800000,67300000,86500000,9.1e+07,80100000
"PE(16:0_16:1)",20700000,9.4e+07,3.78e+08,1.15e+09,1.38e+09,1.14e+09
"PE(16:0_18:1)",1.47e+09,1.88e+09,2.12e+09,3.48e+09,4.14e+09,3.12e+09
"PE(16:0_20:4)",1.6e+08,1.89e+08,1.64e+08,7.67e+08,2.36e+09,2.16e+09
"PE(16:0_20:5)",85300000,58200000,1.58e+08,4.13e+08,4.72e+08,4.12e+08
"PE(16:0_22:6)",2.19e+09,1.3e+09,2.65e+09,3.08e+09,3.28e+09,2.97e+09
"PE(16:0e)",19300000,26200000,31800000,84700000,99400000,75800000
"PE(16:0e_18:1)",56300000,89800000,86500000,6.24e+08,7.88e+08,5.44e+08
"PE(16:0e_22:5)",5.9e+08,4.99e+08,7.56e+08,3.01e+09,3.4e+09,2.86e+09
"PE(16:0p_18:1)",7.94e+08,1.07e+09,2.95e+08,1.2e+09,1.56e+09,1.12e+09
"PE(16:0p_20:1)",1.67e+08,2.27e+08,2.35e+08,2.4e+08,2.95e+08,2.05e+08
"PE(16:0p_20:3)",52300000,2.25e+08,75200000,6.24e+08,7.88e+08,5.44e+08
"PE(16:0p_20:4)",1.26e+09,1.65e+09,1.78e+09,3.03e+09,3.27e+09,2.93e+09
"PE(16:0p_20:5)",2.46e+08,2.46e+08,2.47e+08,1.22e+09,1.43e+09,1.27e+09
"PE(16:0p_22:1)",5.6e+07,6.9e+07,71200000,63700000,81100000,34100000
"PE(16:1_16:1)",5822137.471,15900000,6350017.852,3.76e+08,4.89e+08,3.76e+08
"PE(16:1_18:1)",52600000,92600000,30400000,1.72e+09,2.76e+09,5.14e+08
"PE(16:1_20:4)",62400000,41200000,99200000,3.3e+08,3.69e+08,2.99e+08
"PE(16:1_20:5)",7916499.232,9595080.456,8954497.721,55900000,66300000,64400000
"PE(16:1_22:6)",1.04e+08,1.38e+08,54800000,2.7e+08,3.22e+08,2.16e+08
"PE(16:1e_16:0)",4894008.02,6156809.5,3135159.925,8347796.739,12900000,7142336.164
"PE(16:1e_20:3)",77300000,2.25e+08,75200000,6.24e+08,7.88e+08,5.44e+08
"PE(16:1e_20:4)",2.53e+08,4.79e+08,1.63e+08,7.89e+08,1.07e+09,7.38e+08
"PE(16:1e_22:3)",48700000,26600000,19900000,1.18e+08,1.54e+08,1.24e+08
"PE(16:1e_22:4)",4.86e+08,1.87e+08,6.83e+08,9.79e+08,1.23e+09,9.16e+08
"PE(16:1e_22:6)",1.16e+08,1.22e+08,1.85e+08,6.3e+08,7.14e+08,5.98e+08
"PE(18:0_18:0)",7.91e+08,3.17e+08,1.19e+09,1.82e+09,2.22e+09,1.62e+09
"PE(18:0_18:1)",1.28e+09,4.2e+09,4.5e+09,6.83e+09,7.91e+09,6.35e+09
"PE(18:0_20:1)",3.64e+08,1.18e+08,5.45e+08,5.13e+08,6.17e+08,4.14e+08
"PE(18:0_20:2)",1.29e+09,1.92e+09,6.32e+08,2.36e+09,2.73e+09,2.21e+09
"PE(18:0_20:3)",1.86e+09,8.66e+08,7.81e+08,2.78e+09,3.33e+09,2.68e+09
"PE(18:0_20:4)",8.21e+08,4.2e+09,1.32e+09,6.83e+09,7.91e+09,6.35e+09
"PE(18:0_20:5)",4.63e+08,2.27e+08,2.25e+08,1.17e+09,1.39e+09,1.09e+09
"PE(18:0_22:4)",3.64e+08,1.8e+08,5.23e+08,4.98e+08,6.16e+08,4.11e+08
"PE(18:0_22:5)",1.29e+09,1.92e+09,6.32e+08,2.36e+09,2.73e+09,2.2e+09
"PE(18:0_22:6)",1.86e+09,2.49e+09,7.74e+08,2.78e+09,3.33e+09,2.68e+09
"PE(18:0e)",90700000,1.13e+08,1.27e+08,3.34e+08,3.58e+08,2.95e+08
"PE(18:0p_20:4)",1.38e+08,6.41e+08,2.19e+08,9.92e+08,1.21e+09,9.74e+08
"PE(18:0p_20:5)",33600000,24100000,1.8e+07,3.75e+08,4.03e+08,3.48e+08
"PE(18:1_18:1)",7.78e+08,8.89e+08,1.17e+09,4.49e+09,5.35e+09,4e+09
"PE(18:1_18:2)",1.47e+08,88100000,76600000,4.68e+08,5.78e+08,4.52e+08
"PE(18:1_20:3)",2.11e+09,1.17e+09,1.23e+09,2.65e+09,2.74e+09,2.52e+09
"PE(18:1_20:4)",2.38e+09,3.49e+09,1.25e+09,3.7e+09,4.26e+09,3.56e+09
"PE(18:1_20:5)",1.33e+08,1.72e+08,76600000,4.6e+08,5.87e+08,4.66e+08
"PE(18:1_22:1)",2567559.613,4179268.417,75200000,64900000,81400000,5e+07
"PE(18:1_22:3)",6320785.008,7230645.208,21300000,31500000,41100000,28300000
"PE(18:1_22:5)",7.23e+08,4.73e+08,50700000,4.3e+08,1.22e+09,1.04e+09
"PE(18:1_22:6)",2.13e+09,2.63e+09,2.88e+09,2.61e+09,2.57e+09,2.4e+09
"PE(18:1_24:1)",37600000,51800000,45300000,24700000,29700000,17900000
"PE(18:1e)",22600000,28600000,41900000,72800000,72200000,67600000
"PE(18:1e_18:1)",4.43e+08,6.38e+08,7.12e+08,9.7e+08,1.21e+09,9.71e+08
"PE(18:1e_20:4)",1.26e+08,1.99e+08,2.2e+08,3.18e+08,3.68e+08,3.1e+08
"PE(18:1e_22:5)",3.46e+08,52800000,6897648.96,1.48e+08,1.77e+08,3.71e+08
"PE(18:1e_22:6)",85600000,1.32e+08,1.26e+08,1.54e+08,1.75e+08,1.54e+08
"PE(18:1p_18:1)",1.71e+08,2.16e+08,2.73e+08,1.52e+09,1.88e+09,1.35e+09
"PE(18:1p_20:1)",86900000,1.44e+08,1.73e+08,1.76e+08,2.28e+08,1.48e+08
"PE(18:1p_20:2)",1.44e+08,2.18e+08,2.26e+08,2.3e+08,2.98e+08,2.08e+08
"PE(18:1p_20:3)",4.83e+08,1.87e+08,6.83e+08,8.62e+08,1.22e+09,9.13e+08
"PE(18:1p_20:4)",7.58e+08,9.5e+08,7.16e+08,5.75e+09,6.64e+09,5.61e+09
"PE(18:1p_22:5)",1.35e+09,1.39e+09,6.15e+08,1.47e+09,1.59e+09,2.13e+09
"PE(18:1p_22:6)",5.05e+08,7.84e+08,7.56e+08,3.01e+09,3.4e+09,2.86e+09
"PE(18:2_18:2)",1.04e+08,1.4e+08,54800000,2.34e+08,2.67e+08,2.23e+08
"PE(18:2e_16:0)",2.21e+08,4.03e+08,4.37e+08,4.55e+08,5.59e+08,4.13e+08
"PE(18:2e_16:1)",20700000,13300000,14900000,1.01e+08,1.25e+08,1.6e+08
"PE(18:2e_18:1)",2.04e+08,89600000,8.9e+07,4.79e+08,5.78e+08,4.34e+08
"PE(18:2e_20:4)",2.09e+08,3.17e+08,2.54e+08,1.87e+09,2.09e+09,1.75e+09
"PE(18:2e_20:5)",2.07e+08,2.92e+08,2.86e+08,3.29e+08,7.9e+08,6.96e+08
"PE(18:2e_22:1)",19400000,40100000,7517868.625,39200000,50300000,4125054.056
"PE(18:2e_22:5)",1.05e+08,1.52e+08,1.8e+08,5.38e+08,5.81e+08,4.98e+08
"PE(18:2e_22:6)",1.34e+08,1.54e+08,2.27e+08,6.75e+08,7.5e+08,6.37e+08
"PE(20:1p_22:5)",66500000,91800000,1.09e+08,7624288.886,1.07e+08,23300000
"PE(20:3e)",6654046.725,15700000,1.6e+07,18900000,18700000,9762209.123
"PE(22:5e)",12100000,18300000,1.4e+07,9478723.325,7267569.382,7652774.765
"PE(32:1)",4513167.18,902633.436,902633.436,5.6e+07,42300000,49600000
"PE(32:2)",58734.56148,487417.3275,293672.8074,3.1e+07,47700000,39100000
"PE(34:2e)",7.97e+08,9.17e+08,9.63e+08,1.2e+09,1.56e+09,1.12e+09
"PE(36:5e)",30700000,40900000,38400000,80700000,84400000,66700000
"PE(38:0e)",73100000,97500000,86400000,4741660.605,1.14e+08,1.16e+08
"PE(38:4e)",1.44e+08,6.5e+07,81500000,2.3e+08,2.98e+08,2.08e+08
"PE(38:7)",7379474.707,11300000,16800000,26400000,26800000,23300000
"PE(40:4)",27100000,13600000,5.2e+07,37600000,3.7e+07,3.8e+07
"PE(40:5)",1.26e+08,1.68e+08,1.98e+08,49500000,60600000,1.54e+08
"PE(40:6)",1.18e+08,1.56e+08,43300000,1.39e+08,1.38e+08,1.38e+08
"PG(16:0_18:1)",38800000,23500000,88100000,4.94e+08,4.88e+08,4.33e+08
"PG(16:1_18:1)",29600000,45700000,53600000,3.6e+08,4.25e+08,73600000
"PG(16:1_22:6)",2326211.781,3391687.088,3061587.441,52400000,78200000,53400000
"PG(18:0_18:1)",5.3e+07,81700000,92300000,7.4e+07,94800000,96100000
"PG(18:1_18:1)",4.54e+08,71900000,39800000,1.14e+09,9.79e+08,1.28e+09
"PG(18:1_18:2)",2.7e+07,40700000,48800000,2.13e+08,2.52e+08,2.15e+08
"PG(18:1_20:2)",5435486.983,3964750.164,8626468.57,1.4e+08,1.79e+08,1.7e+08
"PG(18:1_20:3)",4846473.832,3442270.867,3690874.838,75700000,92100000,79200000
"PG(18:1_22:5)",30700000,16700000,65200000,1.86e+08,2.14e+08,2.07e+08
"PG(18:1_22:6)",1.19e+08,54500000,80800000,4.5e+08,5.07e+08,4.69e+08
"PG(20:5_22:6)",1191767.048,859863.1086,1924117.639,9744140.199,10400000,10100000
"PG(22:5_22:5)",1243145.023,1235142.667,1385565.96,7529934.596,8701491.061,8606476.676
"PG(22:5_22:6)",7242407.59,4997108.27,4552088.284,42600000,44800000,45500000
"PG(22:6_22:6)",28500000,12800000,9947475.941,70700000,77900000,71600000
"PI(18:0_16:1)",42400000,56500000,21200000,7e+07,80500000,69400000
"PS(18:0_18:0)",289108.1709,297807.921,297737.9943,11200000,7450274.712,8155979.513
"PS(18:0_18:1)",26800000,8810305.301,5051222.08,1.93e+08,2.11e+08,1.96e+08
"PS(18:0_20:2)",8980477.136,1796095.4272,1796095.4272,29700000,3.2e+07,17200000
"PS(18:0_20:3)",73500000,1.02e+08,1.08e+08,1.37e+08,1.66e+08,1.24e+08
"PS(18:0_20:4)",19800000,26100000,27800000,1.01e+08,1.02e+08,89700000
"PS(18:0_22:5)",1.08e+08,1.2e+08,46500000,3.17e+08,3.62e+08,3.32e+08
"PS(18:0_22:6)",83500000,25800000,1.2e+08,1.46e+08,1.43e+08,1.39e+08
"PS(18:1_18:1)",1120571.453,1091611.298,723141.9075,7288256.639,7443139.908,6816351.44
"PS(18:1_22:6)",41500000,58900000,56700000,54100000,60600000,51300000
"PS(18:2_20:4)",23900000,4022953.483,8011553.395,30100000,27800000,28200000
