"","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3"
"TG(18:0e_18:1_18:1)",3820000,19500000,19100000,67100000,87700000,76100000
"TG(18:1_14:2_22:6)",540366.957,2701834.785,3461636.365,2.6e+07,9754012.573,26400000
"TG(18:1_18:1_18:1)",57100000,1.67e+09,2.09e+09,1.27e+10,1.49e+10,1.15e+10
"TG(18:1_18:1_18:2)",1.09e+08,4.57e+08,1.49e+09,5.24e+09,5.57e+09,3.57e+09
"TG(18:1_18:1_22:1)",21800000,1.09e+08,1.29e+08,4.38e+08,5.23e+08,4.45e+08
"TG(18:1_18:1_22:2)",32600000,1.63e+08,1.99e+08,4.2e+08,4.71e+08,4.48e+08
"TG(18:1_18:1_22:4)",3508519.099,1.34e+08,1.36e+08,99900000,1.21e+08,1.02e+08
"TG(18:1_18:1_22:5)",1.4e+07,4.46e+08,5.36e+08,4.05e+08,4.82e+08,5.24e+08
"TG(18:1_18:1_22:6)",5905564.76,3.76e+08,3.82e+08,4e+08,4.56e+08,4.09e+08
"TG(18:1_18:1_24:0)",6760000,33800000,4.4e+07,1.29e+08,1.57e+08,1.07e+08
"TG(18:1_18:1_24:1)",548247.527,74100000,73500000,2.14e+08,2.29e+08,1.99e+08
"TG(18:1_18:1_24:2)",1491853.935,74500000,7459269.675,1.6e+08,1.57e+08,1.59e+08
"TG(18:1_18:2_22:6)",2581500.564,1.21e+08,1.77e+08,83100000,1.09e+08,95800000
"TG(18:1_20:4_24:1)",8940000,44700000,58500000,56400000,62100000,65900000
"TG(18:1_22:5_22:6)",2120000,26400000,37400000,13100000,10600000,20200000
"TG(18:1_22:6_22:6)",1355724.971,6778624.855,10600000,1355724.971,1355724.971,1355724.971
"TG(18:1e_16:0_18:1)",784003.353,1.38e+08,1.52e+08,4.27e+08,5.81e+08,5.83e+08
"TG(18:1e_16:0_22:3)",564692.825,16600000,26200000,55200000,65200000,69500000
"TG(18:1e_16:1_18:1)",15300000,76500000,81100000,3.08e+08,3.8e+08,3.29e+08
"TG(18:1e_18:1_18:1)",8080000,40400000,58200000,1.58e+08,2.03e+08,1.97e+08
"TG(18:1e_18:1_22:5)",8160000,40800000,42800000,82200000,68100000,7e+07
"TG(18:4_14:1_16:1)",50365.2492,2582689.622,338377.833,82500000,97800000,1.01e+08
"TG(20:0e_18:1_18:1)",406481.6882,2458098.578,2032408.441,29800000,30700000,31300000
"TG(20:1_18:1_18:1)",2985096.794,3.96e+08,4e+08,1.67e+09,1.54e+09,1.66e+09
"TG(20:1e_14:0_14:0)",4140000,20700000,21200000,1.39e+08,1.52e+08,1.53e+08
"TG(20:1e_16:0_16:0)",3380000,16900000,2e+07,87500000,97100000,94500000
"TG(20:3e_16:0_18:1)",2260000,30600000,34100000,11300000,90700000,22800000
"TG(4:0_14:0_16:0)",7186868.242,1437373.6484,1437373.6484,17500000,18100000,19500000
"TG(4:0_16:0_16:0)",2096823.438,1641115.759,2525349.497,2.92e+08,3.46e+08,3.53e+08
"TG(4:0_16:0_18:1)",424710.7836,1262839.462,2289100.768,1.11e+09,1.39e+09,1.36e+09
"TG(8:0_8:0_8:0)",8115132.567,20200000,14400000,28100000,47900000,42600000
