"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1110008J03Rik",548.390534032876,0.118420219041043,0.137287610199853,0.383207510308364,0.548345160414935
"1110008L16Rik",536.77322470175,0.181780089988367,0.134856518215829,0.164575513045438,0.290368737611464
"1110008P14Rik",1227.1173127026,0.424301110502742,0.131068080573109,0.000845837539864288,0.00282390727796026
"1110012L19Rik",836.820272709905,0.20959638595194,0.114288360810156,0.0615331980037891,0.128639293297737
"1110017D15Rik",12.498904554502,0.0476394687162545,0.491787269724054,0.872463678801963,0.930534550748008
"1110018N20Rik",3.84331471690418,0.251151310114407,0.674077895674659,0.0539735189350094,0.115103782216892
"1110019D14Rik",141.866934874785,0.254327785348631,0.277144084492117,0.304867591311437,0.465288187637739
"1110020A21Rik",10.2705342796536,0.414701002660467,0.707822990945117,0.13697595243648,0.250140058253494
"1110032A03Rik",769.609505306167,0.576370892540197,0.148152898385526,5.72710769211786e-05,0.000230377363564346
"1110032F04Rik",0.173403804553935,-0.00346486507790637,0.603211974330602,0.995960059562305,NA
"1110034G24Rik",179.248960515147,0.410903028103009,0.270960025627961,0.0897826175290772,0.176895084204004
"1110035M17Rik",19.2777312804117,0.141336480878091,0.48325910443408,0.640236092789981,0.771078353380094
"1110037F02Rik",4450.37191655378,-0.191754104049729,0.0691278374206636,0.00517754903366961,0.0146738536396712
"1110038B12Rik",4093.25439010826,-0.0924601413453875,0.070077925146066,0.177439588046743,0.307590758368056
"1110038F14Rik",1149.89612490322,-0.0342738166171285,0.109164225833697,0.75315706350474,0.85349245416423
"1110046J04Rik",212.221145200307,-0.412079791188067,0.171346195400588,0.0118009014925329,0.0305398876448273
"1110051M20Rik",1011.18358266985,-0.203389928677965,0.150433229756131,0.160501437060769,0.284328783811389
"1110054M08Rik",181.722187071145,0.236238060192683,0.213989159614514,0.23520129188087,0.38348990735725
"1110057K04Rik",2142.5367995479,0.219884701946274,0.0771949049474973,0.00355320765027272,0.0104847907364777
"1110058L19Rik",676.866301078873,0.341083857140245,0.120337563117311,0.00378914213980357,0.0111166342777834
"1110059E24Rik",982.345822265734,-0.239808673501291,0.106545523103546,0.0216529768708896,0.0521941125125043
"1110059G10Rik",548.508502129476,-0.0474937458276498,0.150011889696798,0.739707187644593,0.84428203759584
"1110059M19Rik",4.57084775538692,-0.111873356327617,0.59365596337576,0.487224242803638,0.646263251152118
"1110065P20Rik",1185.87187858311,-0.260023535726956,0.0949009050082893,0.00558400431854738,0.0157407163209928
"1190002N15Rik",2073.96825759358,-0.0927724131676739,0.0835025425214185,0.263281219804839,0.41769461957626
"1190005I06Rik",73.0042726716666,1.65559613928487,0.3751225829191,1.15716841594413e-06,5.77985781191907e-06
