"","Sample430","Sample433","Sample439","Sample464","Sample191","Sample197","Sample270","Sample428","Sample429"
"Q8WX77",262865.1844,152374.4844,377693.8888,466022.9552,361104.0747,30474.89688,253375.2193,595783.8529,456668.4869
"P35916",4253708.746,2813471.75,562694.35,7962085.47,562694.35,562694.35,562694.35,21599215.08,562694.35
"P35749",155812.8067,45344.23438,307364.7501,168179.9308,268265.4904,62922.27342,146923.1967,53655.32711,289533.0618
"Q5XPI4",15124691.71,20429266.5,20192074.46,13781012.69,5947014.756,23754188.07,14543551.85,15810190.74,14290875.01
"P25189",1871208.142,871418.75,2816757.387,3541369.845,3821568.815,928174.5283,2836048.781,3316773.853,1800849.185
"Q13231",10777.127432,10777.127432,10777.127432,327205.7773,53885.63716,2270467.161,97064.46882,10777.127432,10777.127432
"Q9H1E3",100655.0502,175189.125,498791.3271,67254.67778,173927.5577,104444.3793,486661.0368,126530.1036,108877.8834
"Q6FHJ7",468082.2626,500024.1875,689787.3108,1070892.709,1483206.897,657793.4224,678683.0874,1449599.938,972865.3371
"Q09328",127058.8327,15818.674168,215884.2938,100758.059,79093.37084,97374.43105,206504.7497,211290.7008,191777.5843
"Q7Z304",102786.4271,36416.90625,153123.4755,106603.4193,119749.636,49912.61919,119439.3217,112994.045,85172.10021
"Q16777",792268.8198,616523.3125,5959057.914,290646.9553,55424.74698,277123.7349,305537.3738,292715.4623,625086.4548
"Q13557",573590.2618,151221.4063,262289.6993,470251.0707,876119.0243,229947.7496,695847.7747,1162007.82,1214335.255
"P41217",2097687.63,351830.7188,3202298.877,633558.7776,1767341.305,758786.6065,1734333.751,2635610.419,2072314.026
"Q8IZP7",552294.9741,107978.6641,738009.7483,280790.9596,371183.4437,228199.5011,360139.5001,658448.9479,565252.3787
"O00142",4648117.707,2463786,5017748.66,4268247.714,11155717.66,4777259.311,6354108.977,7081714.438,4667489.519
"P05362",1011450.839,921646.0625,1101390.639,971495.6472,184329.2125,184329.2125,3040274.835,184329.2125,1244930.611
"Q6UWR7",100650.2494,508294.8125,100650.2494,812353.2682,503251.247,848683.1951,998640.9904,2148775.066,1194309.692
"P15153",182131.7624,81448.07031,612837.9206,107108.3803,7245.220991,100190.7571,218853.6787,195221.3862,193746.7854
"Q15056",24395.77808,21786.30859,240382.0178,13546.30944,19840.11517,36369.15184,23599.32834,2709.261888,25978.34217
"Q6UXH1",96817.98758,10385.54676,78481.45945,61959.28046,100824.3798,10385.54676,71515.86662,51927.7338,110383.0875
"Q99972",415287.7388,220051.2188,754931.0365,490003.1311,409214.4277,398571.1263,378107.9549,1003539.894,266839.7943
"Q5SYB0",36154182.13,36516864,68068559.56,51859905.58,22787173.89,40853310.52,24062692.22,58261041.76,31618910.6
"P30046",39792.7358,578993.625,39792.7358,308564.9141,394321.0328,693774.6899,198963.679,212660.8504,292009.9017
"O43396",242786.1763,154333.5156,579559.4488,99682.56133,196371.3059,189650.5861,138508.9639,174069.5155,189278.2089
"P61158",2318.67233,2318.67233,729291.0132,11593.36165,2318.67233,15627.81117,63938.80481,21582.58415,39403.33831
"Q8TBP5",2052967.228,515416.7969,5171821.02,1534102.363,5761837.778,1097215.709,3838061.057,2623518.173,3364655.873
"Q9BY11",347038.8174,131725.7969,502861.1276,287171.3007,174510.6798,280246.4701,618822.3419,401617.6866,1204898.942
