"lipidName","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8","QC-1","QC-2","QC-3","QC-4","QC-5"
"SM(d22:1/20:1)",2.2e+08,2.4e+08,2.1e+08,2.4e+08,2.2e+08,1.7e+08,2.3e+08,2.2e+08,1.6e+08,1.1e+08,1.6e+08,1.7e+08,1.7e+08,1.6e+08,2.1e+08,1.6e+08,1.9e+08,2e+08,1.9e+08,8.8e+07,2e+08
"SM(d22:2/20:1)",5.4e+07,5.1e+07,5e+07,5.2e+07,5.6e+07,4.6e+07,6e+07,6.4e+07,4.1e+07,2.9e+07,4.2e+07,4e+07,3.9e+07,4.1e+07,5.2e+07,3.7e+07,4.7e+07,5e+07,4.8e+07,2.5e+07,4.7e+07
"SM(d43:1)",2358438,2529534,2090599,2473156,2379798,1813966,2857572,2527319,1481633,1134990,1706888,2122468,1958302,1519116,1998147,1742375,2414652,2370262,1967714,1081913,2377634
"SM(d43:2)",2484480,2455235,2456436,2483672,2721371,2265243,2793786,2742349,2014707,1201334,2010910,1984907,2217142,1613692,1986194,1719789,2353133,2219927,2458454,1230793,2097941
"SM(d44:2)",1058877,1345287,724195,1085383,1169907,681820,1144385,1019541,576953,320731,635464,639135,636562,946191,1107518,732256,946685,1272603,560381,412564,919590
"SM(d40:1)",6.2e+08,7.4e+08,4.9e+08,7.5e+08,7.9e+08,5.2e+08,8.8e+08,5e+08,3.8e+08,4.3e+08,4e+08,4.6e+08,5e+08,4.4e+08,4.9e+08,4.4e+08,5.4e+08,5.4e+08,5.7e+08,5.5e+08,5.4e+08
"SM(d34:2)",1.7e+07,1.7e+07,1.6e+07,1.6e+07,1.8e+07,1.3e+07,2.1e+07,1.7e+07,1.3e+07,1.3e+07,1.4e+07,1.4e+07,1.3e+07,1.3e+07,1.4e+07,1.2e+07,1.7e+07,1.5e+07,1.4e+07,1.7e+07,1.6e+07
"SM(d35:1)",2.6e+07,2.5e+07,2.6e+07,2.2e+07,1590922,1.6e+07,2.9e+07,2.1e+07,1.1e+07,1.8e+07,1.5e+07,1.2e+07,1.5e+07,1.6e+07,2.4e+07,1.6e+07,1.9e+07,1.8e+07,2e+07,2.3e+07,1.9e+07
"SM(d35:6+pO)",1.3e+08,1.2e+08,1.5e+08,1.5e+08,1.5e+08,1.3e+08,9.6e+07,1.4e+08,1.5e+08,9.7e+07,1.4e+08,1.2e+08,1.3e+08,1.5e+08,1.5e+08,1.3e+08,1.2e+08,1.1e+08,1.2e+08,1.4e+08,9.7e+07
"SM(d36:0)",7.3e+07,7.4e+07,5.2e+07,6.6e+07,5.9e+07,3.8e+07,8e+07,5.2e+07,1.9e+07,3.9e+07,2.7e+07,3e+07,3.8e+07,4.8e+07,4.5e+07,3e+07,4.7e+07,4.7e+07,4.9e+07,4.5e+07,4.9e+07
"SM(d36:2)",8.6e+07,8e+07,8e+07,8e+07,8e+07,6e+07,9.2e+07,7.3e+07,5.3e+07,5.3e+07,5.8e+07,5.8e+07,7.2e+07,5.9e+07,6.9e+07,5.8e+07,7.4e+07,7.3e+07,6.7e+07,7.3e+07,7.1e+07
"SM(d36:4)",9.3e+07,1e+08,1.2e+08,1.2e+08,1e+08,1.1e+08,1.1e+08,1.2e+08,1e+08,1.1e+08,1.1e+08,1.1e+08,1.1e+08,1.2e+08,1e+08,1.1e+08,1.2e+08,1.1e+08,1.1e+08,9.2e+07,1.1e+08
"SM(d38:0)",2.8e+07,2.9e+07,1.9e+07,2.9e+07,2.8e+07,1.7e+07,2.7e+07,2e+07,9642337,1.3e+07,1.3e+07,1.3e+07,1.8e+07,2e+07,1.6e+07,1.5e+07,2.2e+07,1.9e+07,2e+07,2.1e+07,2.1e+07
"SM(d38:2)",2.7e+07,2.7e+07,2.7e+07,2.8e+07,3.4e+07,2.3e+07,3.3e+07,2.6e+07,1.3e+07,1.5e+07,1.6e+07,2e+07,1.9e+07,1.8e+07,1.8e+07,1.8e+07,2.6e+07,2.3e+07,2.3e+07,2.3e+07,2.2e+07
"SM(d40:2)",7.7e+07,8e+07,6.6e+07,8.1e+07,9.1e+07,5.4e+07,9.2e+07,7.3e+07,5e+07,4.8e+07,4.7e+07,5e+07,5.6e+07,4.6e+07,5.2e+07,4.7e+07,6.9e+07,6e+07,6e+07,6.2e+07,6.5e+07
"SM(d18:1/24:2)",2.9e+08,2.8e+08,2.7e+08,2.7e+08,3.5e+08,2.1e+08,3.3e+08,3.5e+08,1.7e+08,1.8e+08,1.5e+08,1.6e+08,1.5e+08,1.9e+08,2.2e+08,1.7e+08,2.3e+08,2.2e+08,2.1e+08,2.2e+08,2.3e+08
"SM(d42:3)",3.6e+07,3.7e+07,3.2e+07,3.1e+07,4.7e+07,2.8e+07,4.6e+07,4e+07,2e+07,2.5e+07,1.9e+07,2e+07,2e+07,2.5e+07,3.1e+07,2.1e+07,3e+07,2.9e+07,2.8e+07,3e+07,3.1e+07
"SM(d18:1/24:3)",5.4e+07,7.5e+07,4.7e+07,7.2e+07,7.1e+07,4.5e+07,9.1e+07,4.8e+07,3.8e+07,4.2e+07,3.2e+07,3.6e+07,4.8e+07,3.9e+07,4e+07,3.6e+07,5e+07,5.4e+07,5.3e+07,4.9e+07,5.4e+07
"SM(d42:5)",7846117,8901190,6495663,8006037,8778156,8549470,1.1e+07,7188765,6572203,5875667,5531123,7936663,9793438,4770789,6286179,7685571,6745649,6158800,6546561,7721645,7234226
"So(d18:1)",1.2e+07,5828463,5929000,6607243,1.3e+07,2832191,6024220,9559433,1358682,2212694,1918126,1927952,3088937,4229740,4223126,2609601,4344331,4657017,4677456,5303767,3343464
"SQDG(34:0)",1.2e+07,6656319,4767914,5229043,6148830,4535391,5419414,6019846,1577646,3052053,3670986,3998351,3986478,4724766,5844265,5139561,5212793,4726458,5307574,2804981,4924404
"SQDG(35:3)",2475759,2937602,2023033,2891677,2367379,1675833,2463919,1798706,450894,1056847,1060105,1257456,1810655,1974190,1900748,1428345,1879637,1684870,1882460,1038620,1459371
"SQDG(35:6)",1926171,2159066,2149703,2407463,2163274,2112633,1797193,1923125,1299130,3131569,2447441,2478284,2286979,1571401,3235102,2688107,1203262,1705217,1506318,1685336,1727891
"TG(4:0/12:0/16:0)",2.2e+07,4.3e+07,7.9e+07,1.8e+07,3.4e+07,3.1e+07,1.9e+07,3.2e+07,2.6e+07,9.4e+07,3.1e+07,8.1e+07,1.9e+07,2e+07,2.7e+07,2.7e+07,5.3e+07,2.3e+07,5.7e+07,2.1e+07,2.5e+07
"TG(10:0/10:1/12:0)",3.2e+07,1.2e+07,3.4e+07,2.2e+07,3.1e+07,5.7e+07,1.8e+07,6e+07,6.3e+07,8.6e+07,6586722,7.4e+07,1.1e+07,6591328,5459673,1.3e+07,2.5e+07,2.2e+07,2.2e+07,1.8e+07,2.2e+07
