"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hist1h2ai ",-0.73931921875,10.7796093828125,-2.09338623801828,0.0513720451080492,0.26546482609024,-4.28895622915795
"S100a10 ",-1.1436909375,12.7430591015625,-2.09271711205472,0.0514387669846219,0.26546482609024,-4.29008694569804
"Mki67 ",-0.883577984375,5.870234515625,-2.08549965571115,0.0521634864927909,0.267879857756824,-4.30226999810971
"Nupr1 ",1.7201855625,8.72663233203125,2.085387354507,0.0521748359275961,0.267879857756824,-4.30245936957603
"Insc ",-0.816421078125001,6.8743356328125,-2.08385373909003,0.0523300518242421,0.267879857756824,-4.30504488479141
"Ehd3 ",0.8620110625,6.85829378125,2.0835183475587,0.0523640524338991,0.267879857756824,-4.30561017264963
"Spi1 ",0.810998187500001,9.6853649921875,2.08175413441033,0.0525432321227642,0.268168021228029,-4.30858280671162
"Tgfbr3 ",0.680153203125,5.81135095703125,2.0786186355042,0.0528630609390707,0.268168021228029,-4.31386239118142
"Postn ",-0.926529171875,8.08349616015625,-2.07825839988943,0.0528999190060867,0.268168021228029,-4.31446866276632
"Rpl23 ",0.627498593750008,16.01464421875,2.07772970929184,0.052954055107669,0.268168021228029,-4.3153583309096
"Olfr701 ",0.761670265625002,5.36000901953125,2.07735303135015,0.0529926563502252,0.268168021228029,-4.31599211524724
"Ces1f ",-1.10673484375,15.6229637109375,-2.07317695543241,0.0534223293379237,0.269016576962902,-4.323014133645
"Afm ",0.764143281250004,16.438382421875,2.07248854127831,0.0534934628336758,0.269016576962902,-4.32417090100624
"Clec4n ",1.214728546875,7.434235515625,2.07237898842465,0.0535047908086694,0.269016576962902,-4.32435496594619
"Frmd8 ",0.61280628125,7.1892629140625,2.07011322954719,0.0537395637071734,0.269293244902751,-4.32816049895288
"Rpl5 ",0.804897812499998,15.778829375,2.06963065368051,0.0537896878422908,0.269293244902751,-4.32897071116046
"Ms4a6d ",0.858631406250002,6.3447661484375,2.06598610428108,0.0541696125935467,0.27061706248759,-4.33508608879539
"Cpe ",1.190228125,4.52823632421875,2.06332648599096,0.0544483992192624,0.271207807473948,-4.33954480889189
"Spp1 ",-1.018014375,11.9744510742188,-2.06242285871008,0.0545434152206111,0.271207807473948,-4.34105892810383
"Aox1 ",-0.773067421874996,9.43518999609375,-2.06155207972625,0.0546351195594124,0.271207807473948,-4.34251763782076
"1700047I17Rik2 ",0.659222843750001,8.3637004609375,2.05643971591217,0.0551763447904158,0.272508588250823,-4.35107444238641
"Hcfc1r1 ",-0.801239015625002,6.65831913671875,-2.05612224330875,0.0552101141292874,0.272508588250823,-4.35160539840524
"Abcg5 ",0.901612499999997,11.4082044335937,2.05543187863688,0.0552836124277329,0.272508588250823,-4.3527598296521
"Hist2h3b ",-0.716138109375002,9.254528734375,-2.05374474245311,0.0554636034502916,0.272508588250823,-4.35558010439488
"Spty2d1 ",0.607111156249998,8.0044406796875,2.05360345148664,0.0554787010651483,0.272508588250823,-4.35581622917507
"Chm ",0.665814546875005,8.7624303671875,2.05177145065049,0.0556747966714851,0.272899683266296,-4.35887699105756
"Plk4 ",-0.887488640625001,3.94569750390625,-2.05027969233145,0.0558349368068628,0.273077995510544,-4.3613681097084
"Pabpc4 ",0.853352843749999,6.28680930859375,2.04794178400371,0.0560867508105811,0.273077995510544,-4.36527007480661
"Lin7a ",-0.915855625,7.66675330859375,-2.04696156072897,0.0561926355367241,0.273077995510544,-4.36690528120263
"Hist1h2ah ",-0.816833906249999,11.3713495546875,-2.04665811471468,0.0562254507691911,0.273077995510544,-4.3674113951518
"Alcam ",0.737971093750003,12.4459721875,2.04602542039379,0.0562939273715717,0.273077995510544,-4.3684665153056
"Rasgrp2 ",0.606773406250001,8.819504859375,2.04000041995238,0.0569498077147132,0.275425828481847,-4.37850447187358
"Bphl ",-0.59874315625,9.4093751953125,-2.03875205819102,0.057086566111576,0.275425828481847,-4.38058210448189
"P2ry13 ",0.714008921875001,4.9893141328125,2.03835085061733,0.0571305815801013,0.275425828481847,-4.38124966837882
"Cib3 ",-1.463786703125,5.66854226953125,-2.03689500406441,0.0572905568184333,0.275629927362606,-4.38367137466773
"Slco1b2 ",-1.46511671875,15.8217046484375,-2.03171152597785,0.0578634368495712,0.277372381937984,-4.39228537328118
"Nid1 ",1.3103305625,8.13482251953125,2.03109542716711,0.057931871642536,0.277372381937984,-4.39330834584233
"Hist1h2ab ",-0.772141125000001,6.393161953125,-2.03041189995232,0.0580078818393565,0.277372381937984,-4.39444305969073
"Pdgfc ",-0.815921906250001,4.8660675625,-2.02781164915151,0.0582978617086645,0.277593022959377,-4.39875761079049
"Haus8 ",-0.73621959375,6.7773987578125,-2.02777751173574,0.0583016774093823,0.277593022959377,-4.39881423239921
"Pkp2 ",0.6256443125,7.5187818125,2.0268140777844,0.0584094580960192,0.277593022959377,-4.40041198491459
"Etfdh ",-0.80218125,13.7655583984375,-2.02225501360203,0.0589219325001534,0.279461716291214,-4.40796653000414
"Dapp1 ",0.852063687500001,4.18118269921875,2.02032942803259,0.0591396005479124,0.279927442593452,-4.41115423048828
"Zfp706 ",-0.697339453125004,9.76708216796875,-2.01836592200403,0.0593623024880321,0.280415070019071,-4.41440282545332
"Ugt3a1 ",-1.477488046875,13.6161621484375,-2.01350770686281,0.0599165809892967,0.282463881806684,-4.42243249878088
"Gls2 ",0.716038437499995,13.0247412109375,2.01083091960565,0.0602239694016484,0.283342892184864,-4.42685171145581
"Bmp8b ",0.660945359375,3.61128196875,2.00406936037355,0.061006774686989,0.286450647478187,-4.43799879088614
"Spic ",0.968816999999998,6.66421452734375,2.00283887253516,0.0611502141461065,0.286549903488655,-4.44002492053914
"Glul ",-0.960941546874999,11.8320713515625,-2.00068735085346,0.0614017499471632,0.287154291669068,-4.44356581526085
"Ifit3 ",-0.826340750000002,9.98090297265625,-1.99811649191191,0.0617035326494445,0.287990790831969,-4.44779380619864
"Tmem243 ",-0.806671718749998,14.3398800585937,-1.99276087007754,0.0623365001668173,0.290328555919475,-4.45659093791297
"Frrs1 ",0.979405828125002,7.2234756328125,1.99110029647775,0.0625339426630755,0.290328555919475,-4.45931566715951
"Urad ",0.874869078125,10.2221629882812,1.99074592268608,0.0625761505502923,0.290328555919475,-4.45989695691727
"Zfp791 ",0.874187984375,4.2402945078125,1.98844204267609,0.0628511809468448,0.290391427135847,-4.46367453723173
"Rprd1a ",-0.682054187500001,7.31074680078125,-1.98651232464535,0.0630823811605259,0.290391427135847,-4.4668365599854
"Hist1h2ao ",-0.844531023437501,10.3085867519531,-1.98648665706128,0.0630854615502118,0.290391427135847,-4.46687860605021
"Hist1h2ap ",-0.844531023437501,10.3085867519531,-1.98648665706128,0.0630854615502118,0.290391427135847,-4.46687860605021
"Selenbp1 ",-0.59005625,11.5450421875,-1.98347937318732,0.0634473059208312,0.29148438778923,-4.47180253330585
"Cxcl1 ",0.768568171875001,6.6607487109375,1.97794234471892,0.0641184182914211,0.293991103829353,-4.48085652178909
"Defb1 ",-1.39747509375,8.56018628125,-1.97484583621825,0.0644965026913996,0.294206948733518,-4.48591305719294
"Entpd5 ",-0.904762812500003,11.73612421875,-1.9741826362103,0.0645777393936398,0.294206948733518,-4.48699541503093
"Zfp445 ",-0.788394406250001,9.56060601953125,-1.9740471321472,0.064594348856892,0.294206948733518,-4.4872165332568
"Pltp ",1.1599941875,8.00517789453125,1.9734485416609,0.0646677672205555,0.294206948733518,-4.4881932131985
"Fbxo5 ",-0.822570671875001,5.0857714296875,-1.97132316701237,0.0649290543881196,0.294275893299176,-4.49165956884514
"Slc35b1 ",-0.668754718749996,8.691981078125,-1.97047301150979,0.0650338349817852,0.294275893299176,-4.49304547500833
"Abcd3 ",-0.810126249999998,13.5377695703125,-1.96907285801818,0.0652067329068117,0.294275893299176,-4.4953271721003
"Pdia6 ",-0.622022499999996,14.1595077734375,-1.96880063598482,0.065240396087999,0.294275893299176,-4.4957706701561
"Orm3 ",-0.957283499999999,5.4197283515625,-1.96823081534689,0.0653109110181696,0.294275893299176,-4.49669888654781
"Pkm ",0.596916890624999,7.5978815625,1.96184334038407,0.0661060479718523,0.297286891359021,-4.50709246273949
"Abcb6 ",-0.565182890624999,5.9921196796875,-1.95878993331307,0.0664892046069416,0.298149075283311,-4.51205350824294
"Gpam ",0.836336874999997,14.659755078125,1.957354004771,0.0666700790595491,0.298149075283311,-4.51438488466632
"Lamb3 ",-0.849520890625,4.39335529296875,-1.95727915048882,0.0666795200377528,0.298149075283311,-4.51450638909201
"Phlda2 ",0.715055015625,4.09937001171875,1.95556870055303,0.0668955767300789,0.298545402435381,-4.51728202592984
"Cmbl ",-0.852934218749999,14.70758671875,-1.95217152342256,0.0673265537999245,0.299897558085976,-4.52279032433493
"Klb ",0.741257328125002,9.72810751171875,1.95088470423464,0.067490451999406,0.300057170843659,-4.52487525840649
"Pbld2 ",-0.670927078124999,8.36563748046875,-1.94810084374343,0.0678462463459091,0.301067718159972,-4.52938279840956
"Cdc25c ",-0.534060859375001,3.08853803125,-1.94569825716298,0.068154659894166,0.301864590041646,-4.53326975953376
"Hmgb2 ",-0.876559374999999,6.57643418359375,-1.94152696405584,0.0686930972921525,0.303675333878327,-4.54001104758424
"C3ar1 ",0.904753546874998,6.92659724609375,1.93790709604515,0.0691634346765947,0.305178771087121,-4.54585382070026
"Ccnb1 ",-0.827791625,6.068510203125,-1.93227860627023,0.0699004738411014,0.307419931212918,-4.55492507312089
"Gpnmb ",1.02313134375,4.4640133671875,1.93185436513487,0.0699563106006398,0.307419931212918,-4.55560813595253
"Srr ",-0.554619124999999,9.829046171875,-1.9310295896796,0.0700649779204858,0.307419931212918,-4.55693582140521
"Calm1 ",-0.6273990625,13.5543195703125,-1.92725544289019,0.0705641610938356,0.308677653703529,-4.56300670904381
"Stard7 ",-0.496264046875,8.2582456484375,-1.92687151441507,0.0706151183888567,0.308677653703529,-4.56362385569158
"Abcb10 ",-0.600551015624999,6.27278872265625,-1.92417890134727,0.0709734217555381,0.309572671134744,-4.56794992018252
"C9 ",-1.55219125,14.622463828125,-1.92150170018317,0.0713312811896321,0.309572671134744,-4.5722474313044
"Arpc1b ",0.721634062500002,10.8021052734375,1.92088684294244,0.0714136955453288,0.309572671134744,-4.57323388107595
"Nudt18 ",0.772171062499999,6.22151066015625,1.92034361151234,0.0714865799353327,0.309572671134744,-4.57410525124731
"Psmb9 ",-0.72110534375,7.146054875,-1.9202651567258,0.0714971115526084,0.309572671134744,-4.57423108372016
"Sparcl1 ",0.585471671875,5.936385390625,1.91812881167042,0.0717844224890197,0.309572671134744,-4.57765628395729
