"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1110038F14Rik",1287.80786234271,2.84708483047485e-06,0.00144269131225016,0.357644637884894,0.999944505954311
"1110046J04Rik",24.7027059898056,4.77746817329414e-07,0.00144269405665291,0.604802424899294,0.999944505954311
"1110051M20Rik",954.300721902904,1.74958580861714e-06,0.00144269214388271,0.274085022654758,0.999944505954311
"1110059E24Rik",320.282149553618,4.95317034994768e-07,0.00144269416844103,0.521583784482591,0.999944505954311
"1110059G10Rik",413.460736760768,1.35687611121608e-07,0.00144268865042488,0.953604260924137,0.999944505954311
"1110065P20Rik",1344.86601006385,8.26751314038262e-06,0.00144270516483932,0.912391844538518,0.999944505954311
"1190002N15Rik",573.97483005987,1.76797660871114e-07,0.00144269285423539,0.894496747282083,0.999944505954311
"1190005I06Rik",1319.34217779453,7.84520046441656e-07,0.00144269206456309,0.805580306774047,0.999944505954311
"1190007I07Rik",611.011293995221,-8.37277854696218e-07,0.001442691842372,0.591125272633985,0.999944505954311
"1200007C13Rik",0.572868011655743,2.89561862557067e-08,0.0014426949003071,0.922597167444104,NA
"1300002E11Rik",264.101327853405,-2.7258764585445e-06,0.00144268567899246,0.555042382174475,0.999944505954311
"1300017J02Rik",94.6935206758836,9.67755523486148e-07,0.00144269476835605,0.106934231049751,0.999944505954311
"1500002C15Rik",52.827319050061,-1.46123091519409e-07,0.00144268801835288,0.946125652186473,0.999944505954311
"1500002F19Rik",18.7321189279118,1.04513756467963e-06,0.00144269258810262,0.450886437896793,0.999944505954311
"1500004A13Rik",180.034033568275,3.76803548904733e-07,0.00144269196253892,0.806102996311957,0.999944505954311
"1500005C15Rik",2.90223364714144,-1.24719615885123e-07,0.00144269419008158,0.880757346046356,0.999944505954311
"1500009C09Rik",0.79540433053614,-6.78090463377923e-08,0.00144269489299755,0.849514242706239,NA
"1500009L16Rik",44.7210970379359,3.23569458196502e-06,0.00144269075123756,0.129087934160505,0.999944505954311
"1500011B03Rik",404.440992857342,1.35946877864917e-07,0.00144268659066105,0.919018108066867,0.999944505954311
"1500011K16Rik",3198.31698874918,1.41070969710775e-09,0.0014426922515204,0.899902442746979,0.999944505954311
"1500012K07Rik",0.494313116403883,2.43330375033607e-07,0.00144269501458984,0.442862200012627,NA
"1500015A07Rik",107.81064093677,6.03424736390975e-07,0.00144268852427633,0.785961341784566,0.999944505954311
"1500015O10Rik",20.458938913561,1.4145135459189e-06,0.00144269125028488,0.299642897338318,0.999944505954311
