"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Lrrd1 ",1.594741515625,4.31300531640625,3.61560274856708,0.00209051995658018,0.00724569268974461,-1.82198846087108
"Mto1 ",1.339190484375,6.25999544140625,3.61375860594191,0.00209896274576557,0.00726420932544866,-1.82593350119405
"Ndufs7 ",1.35335515625,10.78205603125,3.61244185867715,0.00210501180494288,0.00726698992574576,-1.8287501703954
"Hcfc1r1 ",1.40763159375,6.65831913671875,3.61223377026375,0.0021059693382763,0.00726698992574576,-1.82919528304885
"Cyp4a12b ",3.438227265625,10.3586419453125,3.61132082302951,0.00211017545777753,0.00727079573172465,-1.83114809010748
"Clybl ",0.973445281250001,10.7823229609375,3.60313400036832,0.0021482695381255,0.0073858497501562,-1.84865705474662
"Gm6682 ",-1.72691390625,12.7885807421875,-3.60247450310133,0.0021513678818972,0.0073858497501562,-1.85006728773089
"Rras ",-1.755082671875,11.5006816015625,-3.60182291994096,0.00215443341428081,0.0073858497501562,-1.85146056541054
"Txndc15 ",1.2850555625,10.4482480429687,3.60145286431185,0.00215617636752319,0.0073858497501562,-1.85225183961558
"Olfr1033 ",1.492290140625,6.42831264453125,3.59153910759138,0.00220339609057427,0.00753657962075257,-1.87344612003621
"Tmsb4x ",-2.218994375,15.97742546875,-3.59041600724403,0.00220880996814317,0.00754408419148607,-1.87584668118361
"Vsig4 ",-1.706384578125,10.9388150078125,-3.58881251384183,0.00221656252182337,0.00755954292377315,-1.87927388452175
"Pgrmc1 ",0.853530937499997,17.6328081640625,3.58761021820449,0.00222239312833107,0.00756162752969174,-1.88184346221893
"Pxmp2 ",1.299004078125,8.47161428125,3.58735590065098,0.00222362841142023,0.00756162752969174,-1.88238698188187
"Rmnd5a ",1.06816078125,11.58651203125,3.57953097303308,0.00226197178066728,0.00768086939435282,-1.89910768959518
"Arpc2 ",-1.0697003125,14.9893287890625,-3.57740515782025,0.00227250177436158,0.00770402559879855,-1.90364940190569
"Gm3934 ",1.725370203125,9.88838626171875,3.57682834509353,0.00227536735568442,0.00770402559879855,-1.90488167502403
"Mfge8 ",-1.55418253125,7.50553384375,-3.57220168321993,0.00229848285595915,0.00777106108443331,-1.91476486986793
"Bcl9l ",1.726241515625,5.60945973828125,3.5673328999357,0.00232306031678013,0.00783637316274595,-1.92516339590182
"Nostrin ",-1.36740440625,9.7746683125,-3.56705132008229,0.00232448969189434,0.00783637316274595,-1.92576472212627
"Psmb9 ",-1.337554859375,7.146054875,-3.56183741242326,0.00235111550233028,0.00791474658327563,-1.93689807289528
"Klhl13 ",-1.445885390625,7.23343988671875,-3.55635659495872,0.0023794313538945,0.00799857627284765,-1.9485989277243
"Gm13251 ",3.27752640625,10.4851324648437,3.55551007722111,0.00238383489307754,0.00800189850212132,-1.95040591215484
"Cxadr ",-0.994196484375001,9.20645853125,-3.55401679103218,0.00239162264885559,0.00801655488736572,-1.95359334720016
"Klhl21 ",1.65409034375,6.0662921640625,3.5527759458043,0.00239811311747387,0.00802682719177325,-1.95624180106924
"Acp5 ",-1.03385421875,13.4869984375,-3.55018363067868,0.00241172925667903,0.00806088680228099,-1.96177440417287
"Acsl1 ",1.55582234375,14.2384396875,3.54937141413948,0.00241601121665697,0.00806369555644912,-1.96350774541077
"Krt8 ",-1.05001765625,11.76346609375,-3.5461331467954,0.00243315843868336,0.00810937442650799,-1.97041793064352
"Mt1 ",-5.29525546875,15.03567375,-3.54332183182345,0.00244814292743256,0.00813986926742828,-1.97641630504811
"6430573F11Rik ",1.311534734375,4.44457596484375,3.54311360374514,0.00244925643770249,0.00813986926742828,-1.97686056464103
"Capns1 ",-1.23557203125,13.876362578125,-3.52161089589651,0.00256699441436036,0.00851907636380498,-2.02271658113843
"Amy2a4 ",2.485598078125,6.38161982421875,3.51722355437927,0.00259169915890724,0.00858889834415795,-2.03206780191547
"Sec14l4 ",2.24628859375,9.3160050625,3.51641309274863,0.00259628856794334,0.00859195496425316,-2.03379503504112
"G6pc ",1.685838125,13.2401428671875,3.51563149811052,0.00260072215555554,0.00859448802604602,-2.03546069057365
"Gm15800 ",1.712147515625,6.31616342578125,3.51209694912906,0.00262086590402377,0.00864870264416476,-2.04299246210544
"1810011O10Rik ",-1.952031890625,7.1322617265625,-3.5114603669635,0.0026245102774226,0.00864870264416476,-2.04434883259836
"Ivd ",1.657883296875,8.9274565078125,3.50589357896268,0.00265659474580903,0.00872068282381382,-2.05620842443888
"Armcx2 ",-1.120519828125,3.5607098515625,-3.50589317752911,0.00265659707347554,0.00872068282381382,-2.05620927955627
"Spink11 ",1.00810878125,3.93430694140625,3.50573416966028,0.00265751922159756,0.00872068282381382,-2.05654799043188
"Mthfd1 ",1.466253125,10.1963364726562,3.50381729963073,0.00266866092747203,0.00874499657771602,-2.06063102743484
"Naa16 ",1.009037421875,7.62804677734375,3.5011245676079,0.00268439064721978,0.00878425598664239,-2.066366107666
"Slc7a7 ",-1.583831296875,6.4139712578125,-3.49436931723142,0.00272425790970654,0.00890228212335067,-2.08075065873657
"Ass1 ",2.14928265625,14.2521112109375,3.4927189301021,0.00273408692540439,0.00892195775239901,-2.084264309914
"Gm21209 ",1.2297123125,6.339598125,3.49157053820836,0.00274094702091183,0.00892197634302849,-2.08670906542132
"Gstm3 ",-2.04077812500001,12.7871037109375,-3.49083338696466,0.00274535950442556,0.00892197634302849,-2.08827828364918
"Scarf1 ",0.955746171874999,6.4456303671875,3.49080719628477,0.00274551640773518,0.00892197634302849,-2.08833403635952
"Cyp2c38 ",2.392040296875,10.9275824140625,3.48411967335841,0.00278587262662068,0.00904058111381199,-2.10256774046576
"Uqcc1 ",1.23009253125,8.30249161328125,3.48100114380123,0.0028048922131908,0.00907423494681448,-2.10920371367779
"Aagab ",1.216822125,8.3670239921875,3.48096889896622,0.00280508954232507,0.00907423494681448,-2.1092723230194
"Irgm1 ",-1.159055515625,10.0914319921875,-3.48051612243705,0.00280786185934294,0.00907423494681448,-2.11023571297063
"Tmtc2 ",1.40790646875,5.83238205078125,3.4779703160988,0.00282350031526972,0.00911220556291592,-2.11565214497031
"Ugt2b34 ",0.935515625000001,15.2826929296875,3.47715212318962,0.00282854465489097,0.00911592864705578,-2.11739278749829
"Lipo1 ",-1.494749609375,8.974703015625,-3.46858947883319,0.00288187438797586,0.00927504353163111,-2.1356051401718
