"","Count (COLD1)","Count (COLD2)","Count (COLD3)","Count (COLD4)","Count (RT1)","Count (RT2)","Count (RT3)","Count (RT4)","Count (RT5)"
"Rnd1",219.873395664553,225.818729583883,270.634737181659,92.7866577201634,325.116342938614,236.09938036904,136.196167657787,100.228623666795,70.1539214782629
"Rpl3-ps2",241.942472552817,227.821556453807,311.463253566823,46.3933288600817,516.85162210754,269.414016862831,196.156744614046,45.5584653030885,114.295714767956
"AC124426.5",257.47256369641,256.862546067698,26.8301679102507,133.656971239759,50.0178989136329,56.4900357938193,247.551524862267,174.640783661839,115.083961076701
"Foxo3",1224.42508068959,959.854777410873,941.388934937926,609.740893589645,1025.36692772947,814.035900413499,984.210041753443,876.241149329402,1195.76965036545
"Rpp38",152.031418563594,59.5840993802263,33.8293421477074,255.163308730449,50.0178989136329,46.3507986000569,133.626428645376,253.608790187193,212.826503361022
"Arid3b",1300.44078997139,334.972793994718,1032.37820002486,174.527284759355,1495.32676960548,340.388677219168,310.081840830937,454.066037520782,370.475765109928
"Zkscan6",331.036153323956,206.291167602128,162.14753650108,215.397598278951,361.587727563138,131.810083518912,189.304107247616,593.778664450253,350.769607391315
"Caprin2",148.761925691259,80.6137815144239,41.9950454247402,161.272047942189,64.6064527634424,30.4177115812873,148.188283049039,256.646021207399,377.569981888628
"Ggcx",746.261748110547,662.935693944703,650.923204083473,880.368645273455,579.373995749581,935.706746738648,982.496882411836,449.510190990473,653.456189949213
"Rbak",135.683954201918,82.6166083843475,83.9900908494804,296.033622250045,101.077837387966,52.144648425064,305.798942476918,227.792326515442,302.686582557898
"Twistnb",135.683954201918,86.1215554067137,125.985136274221,554.510740184786,103.161916509368,52.144648425064,237.272568812623,879.278380349608,816.62317585933
"Gm5507",205.160677739044,260.868199807546,262.469033904626,68.4853902220254,177.146725319116,121.670846325149,72.8092720183139,37.9653877525737,19.7061577186132
"Npas2",59.6682449201204,62.5883396851117,136.483897630406,53.0209472686648,321.990224256512,831.41744988852,249.264684203875,183.752476722457,46.5065322159271
"Fam220a",668.611292392582,849.198592847596,780.407927476422,946.644829359286,863.850795820868,1179.04843938895,970.504767020584,981.025619526506,806.375973845651
"Tmem41a",371.904814228148,368.019437348457,451.446738315957,423.062975081221,160.474092347905,369.357926344203,257.830480911912,174.640783661839,192.332099333665
"Rpf1",325.314540797369,259.866786372584,275.300853339964,618.577718134423,287.602918753389,241.893230194047,469.405659600424,941.541616263829,982.154900695681
"Gm10736",170.013629361439,281.397175224262,338.293421477074,130.343162035468,444.950892419192,508.410322144374,107.072458850462,189.826938762869,106.413251680511
"Tmem161b",83.3720682445518,15.5219082419077,0,605.322481317256,0,2.89692491250355,192.730425930831,253.608790187193,696.809736930162
"Dis3l",756.070226727553,721.518379889968,699.91742374567,1093.55703741621,662.737160605635,583.730369869466,746.080893270017,1193.63179094092,852.094259752834
"Plekha5",588.508717020366,505.213077938222,456.112854474262,458.410273260331,606.467024327799,309.97096563788,699.825591046617,495.068656293562,655.820928875447
"Dbf4",120.971236276409,10.0141343496179,37.3289292664357,251.849499526158,53.1440175957349,10.1392371937624,93.3671841176025,332.576796712546,343.675390612614
"Tnfsfm13",404.599742951501,321.453712622734,624.093036173222,376.669646221139,349.083252834729,1274.64696150156,774.348022406538,631.744052202827,321.604493967767
"4933439C10Rik",186.361093723116,248.851238588004,190.144233450907,156.8536356698,393.890953944859,269.414016862831,286.097610048433,501.143118333973,359.440316787504
"Abhd3",207.612797393296,247.849825153042,135.31736859083,412.016944400249,95.867639584463,124.567771237653,302.372623793704,123.007856318339,264.062513429417
"Hpgds",135.683954201918,57.5812725103028,27.9966969498268,255.163308730449,62.5223736420411,1.44846245625178,155.897500086272,218.680633454825,365.746287257461
"Zfp809",143.040313164672,60.0848060977072,102.654555482698,403.180119855472,82.3211252953541,69.5261979000853,399.166126594521,423.693727318723,543.101706724979
"Gcnt2",298.341224600602,164.732510051214,88.6562070077849,688.167711424545,128.170865966184,111.531609131387,492.533310712123,171.603552641633,391.75841544603
"Pcgf2",353.922603430303,423.597882988836,337.126892437498,245.221881117575,291.771076996192,495.374160038108,436.855632109883,449.510190990473,182.084897319986
"Podnl1",166.744136489104,149.210601809306,249.637214469289,32.0334889748183,452.245169344097,63.7323480750782,23.1276511116997,176.159399171942,206.520532891066
"Sfrp4",135.683954201918,99.139930061217,229.806220796495,64.0669779496366,146.927578058797,369.357926344203,588.470233842137,253.608790187193,31.5298523497811
"Cry1",348.200990903716,412.081628486776,375.62235074351,446.259639511262,458.497406708301,289.692491250355,239.842307825034,290.055562429663,634.538278539344
"Fst",159.387777526349,166.234630203657,174.979355936418,331.380920429155,202.155674775933,337.491752306664,533.649134910701,249.052943656884,443.782671823169
"Epha2",220.690768882637,425.60070985876,454.946325434685,340.217744973932,460.581485829703,728.576615494644,376.038475482821,156.417397540604,293.227626852964
"Sec24d",1295.53655066289,1319.36220056215,1402.16790557049,1180.82067979589,1309.84372780076,2287.12221842156,1751.70542679355,1199.70625298133,1338.44223224821
"Tm7sf3",764.243958908392,807.139228579201,592.596752104667,793.105002893778,799.244343057425,1002.33601972623,998.771896157106,539.108506086547,882.047619485126
"Tpk1",97.2674129519771,59.0833926627455,4.66611615830447,290.510606909559,36.471384624524,14.4846245625178,206.43570066369,170.08493713153,302.686582557898
"Cep19",183.09160085078,164.231803333733,100.321497403546,321.43949281628,131.296984648286,112.980071587639,285.24103037763,287.018331409458,322.392740276512
"Rbl1",335.123019414375,256.862546067698,220.473988479886,449.573448715554,417.857863840975,127.464696150156,342.631868321477,294.611408959972,908.059747673695
"Rpp30",102.989025478564,72.1017673172487,17.4979355936417,427.48138735361,30.2191472603199,20.2784743875249,180.738310539579,438.879882419752,399.640878533475
"mt-Nd3",18.7995840159283,15.5219082419077,101.488026443122,89612.0285024521,62.5223736420411,42.0054112313015,147.331703378235,170333.990075187,33032.2498142482
"Rdh12",241.125099334733,130.183746545032,86.3231489286326,47.4979319281789,177.146725319116,20.2784743875249,29.9802884781293,364.467722424708,169.472956380073
"Btbd3",321.22767470695,416.087282226623,405.952105772489,863.799599251997,287.602918753389,307.074040725377,389.74375021568,300.685871000384,734.645559749899
"Iqgap3",102.989025478564,87.6236755591564,250.803743508865,128.133955899273,337.620817667022,208.578593700256,125.917211608143,39.4840032626767,38.6240691284818
"Mapk9",490.423930850305,368.520144065938,332.460776279193,596.485656772479,515.809582546839,311.419428094132,573.051799767671,454.066037520782,535.219243637534
"Rapgef5",237.038233244314,82.1159016668666,97.9884393243938,304.870446794823,113.582312116375,42.0054112313015,254.404162228697,124.526471828442,316.086769806555
"Xpo4",129.144968457247,22.0310955691593,13.9983484749134,201.037758393687,26.0509890175171,7.24231228125889,104.502719838051,159.45462856081,201.002808729854
"Gm28438",15.530091143593,13.5190813719841,97.9884393243938,87957.3331064425,61.4803340813404,56.4900357938193,137.052747328591,157724.925494802,32595.5613592037
"Proser3",190.447959813535,273.886574462049,285.799614696149,71.7991994263169,531.440175957349,356.321764237937,179.025151197972,274.869407328634,234.897400005869
"Paip1",256.655190478326,179.753711575641,200.642994807092,1621.55730396666,212.57607038294,262.171704581572,613.311044295444,1073.66116564279,1607.23422353009
"Hspbap1",255.837817260242,265.374560264874,390.787228257999,195.514743053201,550.196888049962,373.703313712959,167.889615477524,277.90663834884,295.592365779198
"Cd300lf",264.011549441081,208.293994472052,176.145884975994,20.9874582938465,492.884712211424,5.79384982500711,25.6973901241108,89.598315096074,93.8013107405987
"Cd7",598.317195637372,596.842407237225,564.60005515484,29.8242828386239,1610.99316084326,464.956448456821,215.001497371727,646.930207303857,550.984169812425
"Spon2",230.499247499643,191.770672795182,673.087255835419,149.12141419312,379.302400095049,1386.17857063295,370.042417787195,168.566321621427,148.190306043971
"Btnl2",235.403486808146,220.310955691593,138.816955709558,14.3598398852634,182.35692312262,31.8661740375391,56.5342582730437,287.018331409458,135.578365104059
"Fnbp1l",116.066996967905,115.663251738086,33.8293421477074,1005.18879196844,66.6905318848438,63.7323480750782,499.385948078553,463.1777305814,1324.25379869081
"Cenpm",84.1894414626357,117.66607860801,296.298376052334,99.4142761287465,542.902611125057,241.893230194047,81.3750687263508,283.981100389252,35.4710838935037
"Apold1",136.501327420002,57.5812725103028,101.488026443122,567.765977001952,83.3631648560548,46.3507986000569,298.946305110489,218.680633454825,290.862887926731
"Cdca3",428.303566275933,316.947352165406,333.627305318769,230.862041232311,810.706778225133,217.269368437767,226.137033092175,308.278948550899,159.225754366394
"Cadps2",129.962341675331,42.0593642683951,47.8276906226208,166.795063282675,44.8077011101294,30.4177115812873,248.408104533071,142.749857949677,135.578365104059
"Sncaip",255.837817260242,116.664665173048,93.3223231660893,222.025216687534,103.161916509368,82.5623600063513,343.488447992281,185.27109223256,326.333971820234
"Xntrpc",106.258518350899,320.452299187772,192.477291530059,55.2301534048592,405.353389112566,283.898641425348,87.3711264219767,153.380166520398,169.472956380073
"Asap2",261.559429786829,286.404242399071,354.624828031139,438.527418034582,232.374822036253,489.580310213101,346.914766675496,349.281567323678,264.850759738161
"Rsbn1",141.405566728505,80.113074796943,72.3248004537192,519.163442005676,59.396254959939,15.9330870187696,152.471181403057,470.770808131914,876.529895323914
"Strn3",149.579298909343,67.5954068599206,124.818607234644,1167.56544297872,82.3211252953541,111.531609131387,898.552074673074,912.687921571873,1271.44129600492
"Prpsap2",697.219355025517,362.010956738686,591.430223065091,723.515009603655,899.280140884691,659.050417594559,513.091222811412,577.073893839121,1001.07281210555
"Phf20",671.880785264918,702.992231343175,519.105422611372,842.812140958151,713.797099079969,501.168009863115,776.061181748146,795.754527293946,1133.49819197463
"Pvr",720.105805131864,617.371382653942,535.436829165438,1269.18892524366,606.467024327799,580.833444956963,778.630920760557,596.815895470459,859.188476531535
"Tmem71",143.857686382756,20.0282686992357,0,130.343162035468,0,2.89692491250355,84.8013874095656,287.018331409458,789.034555053272
"Lmbr1",152.031418563594,76.6081277745767,79.3239746911759,448.468845647456,47.9338197922315,97.0469845688691,252.691002887089,233.866788555854,387.028937593563
"Ptgis",141.405566728505,224.31660943144,443.281035038924,142.493795784537,163.600211030008,743.061240057162,286.097610048433,227.792326515442,63.8479510083067
"Myo6",410.321355478088,365.515903761052,515.605835492644,631.832954951589,365.75588580594,447.574898981799,489.963571699712,223.236479985134,593.549470484629
"Gm17275",111.162757659402,33.5473500712199,20.9975227123701,368.937424744459,63.5644132027418,8.69077473751067,102.789560496443,297.648639980178,1037.3321423078
"Ipp",153.666164999762,70.0989404473251,18.6644646332179,311.498065203406,39.597503306626,11.5876996500142,197.869903955653,151.861551010295,202.579301347343
"Rprml",104.623771914732,128.180919675109,241.471511192256,230.862041232311,312.611868210205,997.990632357475,278.3883930112,148.824319990089,229.379675844657
"Ormdl2",538.648950717251,541.263961596846,362.790531308172,460.619479396525,403.269309991165,321.558665287895,659.566346518844,205.013093863898,347.616622156336
"1110008L16Rik",282.811133457009,135.691520437322,135.31736859083,450.678051783651,82.3211252953541,214.372443525263,363.189780420766,364.467722424708,334.21643490768
"Txndc16",373.539560664316,291.912016291361,106.154142601427,218.711407483242,252.173573689566,91.253134743862,362.333200749962,488.99419425315,1366.03085305427
"Spef1",266.463669095332,420.09293596647,572.765758431873,278.35997316049,585.626233113785,908.185960069864,238.129148483427,197.420016313383,279.039193295563
"Insm1",93.9979200796418,81.6151949493857,136.483897630406,0,360.545688002437,0,0,48.5956963232944,333.428188598935
