"","Count (COLD1)","Count (COLD2)","Count (COLD3)","Count (COLD4)","Count (RT1)","Count (RT2)","Count (RT3)","Count (RT4)","Count (RT5)"
"Kdm2a",3747.65620491441,2433.43464695714,841.06743753438,2062.29392813744,2285.1927566166,470.750298281828,692.972953680188,1858.78538436601,3826.93582895468
"Nudt9",2568.18665121943,4222.96045523386,4438.64299558712,2152.87137972141,4360.93556153237,6884.5420545647,2717.92729546012,2382.70773535153,1496.87974030586
"Lrch4",2794.59903262865,3771.32299606609,3946.367740886,845.021347094345,4749.61631767372,2065.50746261503,681.83741795974,1779.81737784066,1648.22303158481
"B3gat3",2519.96163135248,4022.6777682415,6436.90724038101,1889.97584951428,5420.68979476496,7093.12064826495,1774.83307790525,2994.70978592302,1593.04578997269
"Cspg4",3568.65147015405,4567.44667686071,5397.52986611869,5748.35436637774,4069.16448453617,9704.69845688691,4178.39563418041,1866.37846191653,2453.81075912171
"Nfkb1",3446.04548744147,4279.03960759172,4600.7905320882,1031.69926560277,6459.60323678354,2847.67718899099,1899.03713017179,1433.57304153718,3059.97217054625
"Gm28037",939.979200796418,2024.35725877525,2214.07211711547,4809.44175849514,2535.28225118477,3706.6154255483,642.43475310277,2338.66788555854,995.555087944338
"Cd4",3429.6980230798,2003.32757664106,1573.64767438818,66.276184085831,4254.6475263409,76.7685101813442,513.091222811412,1731.22168151736,2541.30609939236
"Rpl37rt",1664.1718720187,2755.88977301484,3657.06853907113,339.113141905835,4820.47500780137,3302.49440025405,986.779780765854,642.374360773548,446.147410749402
"Gng5",1726.29223659307,3244.07882255871,5872.30718522617,4861.3581026957,3644.01234377029,8235.95752624761,2162.86366877932,4792.75054988491,3438.33039874363
"Hcfc1r1",3478.74041616483,5452.19544664945,6128.94357393292,4939.7849205306,3888.89164053496,11231.3778857763,3722.69524931285,7255.94490727189,2062.05234367568
"Nr1d1",5576.93746698605,7020.90959251709,7918.39912064268,4880.13635485336,7389.10252492855,21650.1683335953,6701.87934436809,5123.80873108735,4634.10004910908
"Mfsd12",2018.91184866709,3263.60638454047,5033.57280577094,1762.9464966831,3925.36302515948,5679.42129096322,1962.42402581126,803.34760484446,1038.12038861654
"Mcl1",3573.55570946255,2610.1841182279,3350.27140166261,5779.28325228446,3825.32722733221,2336.36994193412,4306.02600513016,6135.20666081592,10519.9352365045
"Aldh3b2",2679.34940887883,5416.64526970831,5226.050097301,1498.94636340788,1765.21501582696,4142.60262488008,1703.73696522855,551.257430167371,263.274267120672
"Safb",3262.95388659069,4679.60498157643,6692.37710004818,2049.03869132027,7852.81012944036,7739.13490375325,2720.49703447253,2566.46021207399,3027.65407188773
"Actr1b",3896.41813060567,5595.39756784899,7157.82218683905,3448.57077859941,5110.16200567616,8398.18532134781,3758.6715954866,3249.83719162031,2353.70347791116
"Rpl22",3953.63425587154,1455.55442771696,1122.20093607222,3429.79252644175,1119.15048819254,882.113635857332,2332.46644359846,13394.188799108,5553.98349141394
"Nckap1l",4619.79342860987,2334.29471689593,1139.69887166587,680.435489947865,2780.16154794943,373.703313712959,1359.39193756546,3547.48583160049,3719.73433096542
"Serinc1",1657.63288627403,499.705304045932,716.248830299736,9329.47751314881,373.050162730845,446.126436525547,4222.93777706221,2277.92326515442,7027.21584245746
"Cuta",2166.03902792218,3796.35833194014,4363.98513705425,2155.0805858576,3377.25021623092,5708.39054008825,1651.48560530952,3521.66936792874,1354.2071584231
"Tcf3",3004.6639496762,4027.18412869883,7099.49573486025,821.824682664304,8312.34957570936,4875.52462774348,1793.67783066293,1858.78538436601,2105.40589065663
"Rgl2",2268.21068018266,3470.89896557755,5119.89595469958,2140.72074597234,4681.88374622818,5646.10665446943,1666.90403938399,3520.15075241864,2695.80237590628
"Isca1",5006.41096076353,5780.65905331692,7065.66639271254,8835.71994170937,2518.60961821355,4772.68379334961,4504.75248875662,3290.83981039309,3562.08506921652
"Uhmk1",1293.90180422672,462.653006952346,74.6578585328715,3631.93488790354,83.3631648560548,70.9746603563371,1550.40920415468,1526.20858765346,3377.6354329703
"Arf5",2897.58805810722,3925.54066505021,7385.29534955639,3074.11033851446,7227.58639301995,11673.1589349331,2717.07071578931,6917.29364851894,2853.45163765519
"Hgs",2743.92189310746,3935.05409268234,5178.22240667838,1401.74129341533,5580.12184755217,9384.58825405527,2795.87604550325,1884.60184803776,1587.52806581148
"Ppdpf",3016.10717472937,4195.92229248989,6662.0473450192,2987.95129920288,4434.92037034211,6438.41561803915,1825.37127848267,5385.01059882506,1589.10455842897
"Vcp",12867.0891990758,10312.054846519,10624.7464924593,15057.9490243008,9416.91151005209,14729.4147176243,12464.0907898645,10117.0165283059,9635.5228780931
"Gm10925",516.579873828988,398.562547114791,1606.31048749631,507774.984373594,1446.35091025255,928.464434457389,28429.0226943038,1976909.37320386,248514.354989431
"Scn1b",2689.97526071392,4020.1742346541,4453.80787310161,1735.33141998067,5148.71746942208,12275.7193167338,2942.35116921069,1877.00877048725,1704.97676581441
"Dnajc15",2810.12912377225,5047.12371220741,6278.25929099866,8326.49792731657,1985.0853631348,3570.45995466063,3840.90324388376,3954.47478830808,2497.95255241141
"Kmt2d",4245.43649472747,2685.29012585003,3794.71896574111,1544.23508919986,6556.51291592871,1562.89099029567,1343.97350349099,1479.13150684027,5874.79973907296
"Slfn5",1428.76838521055,411.080215051814,222.807046559038,6077.5260806707,402.227270430464,282.450178969097,4780.57114275541,7740.38325499473,5955.98910887365
"Actr1a",6892.09097488295,8492.48663519344,8098.0445927374,6236.5889224767,7342.21074469702,10097.2317825311,6142.53281933328,4897.53502008201,3784.37052828247
"Akt2",7725.81165732847,9421.2975961205,8787.46325512689,4452.65496749974,14717.7667553365,34263.3794026358,7671.52753171787,8215.70990965696,3454.09532491852
"Gigyf1",2184.83861193811,3000.23465114552,4340.65455626273,1219.48178717929,5287.30873099527,4620.59523544317,1671.186937738,1189.07594441061,2424.64564569817
"Nosip",1992.75590568841,2865.04383742567,3854.21194675949,1153.20560309346,4193.16719225956,5592.51354358811,1678.03957510443,2443.45235575565,1239.1231973464
"Pip5k1c",4144.08221568508,3489.42511412435,6779.86677801639,1244.88765774553,7903.87006791469,7017.80060053986,2323.90064689042,2593.79529125584,2285.12604905038
"Rhoq",2976.05588704327,3519.96822389068,2302.72832412325,7764.2549656551,1608.90908172186,2285.6737559653,5002.42527749357,3489.77844221658,4943.09260213693
"Ubxn1",5305.56955858221,7817.53398002919,7283.80732311327,5274.47965016405,6887.88149623153,9733.66770601195,4607.54204925306,6478.41376609918,3451.73058599228
"Tnk2",2189.74285124661,4133.83465952226,7524.11230526595,1433.77478239014,4859.03047154729,14952.4779358871,2298.20325676631,2636.31652553872,2319.80888663514
"Plbd1",5280.23098882162,4035.696142896,1205.02449788213,5402.61360606332,2406.06934565788,1703.39184855209,3702.99391688436,2132.13617618454,2402.57474905332
"Slit3",2281.288651672,4043.7074503757,4352.31984665849,1300.11781115038,3549.18674374653,13679.2794368418,3481.99636181701,823.089606475799,1283.26499063609
"Gnb1",10487.7157612338,12151.1506198263,6226.93201325731,6928.07044310553,8201.89338227509,5734.46286430079,8128.08449625624,5959.04726164397,4816.97319273781
"Ppp1r2",764.243958908392,1112.57032624255,853.899256969717,5728.47151115199,1113.94029038903,2313.19454263409,2053.22147091645,3811.7249303584,3854.52444976074
"Rmnd5a",1418.14253337546,124.675972652743,263.635562944202,2784.704334673,218.828307747144,111.531609131387,2445.53496014454,1536.83889622419,3171.90314638798
"Pxn",1969.05208236397,3960.08942855639,3647.73630675452,954.377050835966,5259.17366285636,4555.41442491184,1665.19088004238,771.456679132299,1356.57189734933
"Ypel3",2448.0327881611,4141.34526028447,5580.67492533214,1512.20160022504,5844.79989597014,8595.17621539805,2709.36149875208,1795.00353294169,1727.835908768
"Pcca",3731.30874055274,2219.6328785928,850.399669850989,4479.16544113408,515.809582546839,612.699618994502,3403.19103210307,1263.48810440565,1809.02527856869
"Htra1",4693.35701823742,5845.25021987195,4226.33471038427,3497.17331359568,5649.93849811911,10284.0834393876,7859.97505929469,1749.4450676386,2784.87420879441
"Mllt6",3893.14863773334,3782.33854385067,2958.31764436503,610.845496657742,6089.6791927348,1403.56012010797,1899.89370984259,3094.93840958981,4347.17839272607
"Trim8",2237.15049789547,3626.61875471411,5357.8678787731,1173.08845831921,5774.98324540319,8009.99738307233,2279.35850400863,1758.55676069922,2367.89191146856
"Smpd1",2711.2269643841,4172.88978348577,4687.11368101684,3134.86350725981,2978.14906448256,7556.62863426552,2810.43789990692,1694.77490927489,1477.17358258724
"Plin5",2717.76595012877,5594.39615441403,10545.4225177681,3195.61667600515,744.016246340289,1645.45335030202,1021.042967598,451.028806500576,265.639006046906
"Mpst",2291.91450350709,3784.34137072059,5789.48362341627,2461.05563572052,4278.61443623701,9861.1324021621,2586.01402615635,2504.19697615976,1393.61947386032
"Cd2",1487.61925691259,1529.15831518665,254.303330627593,64.0669779496366,3378.29225579162,309.97096563788,297.233145768881,3577.85814180255,2319.0206403264
"Ppard",1960.06097696505,3870.46292612731,4186.67272303868,773.222147668028,4482.85419013435,8304.03526169144,1861.34762465642,1269.56256644607,770.116643643403
"Oaz1-ps",2000.11226465116,3424.83394756931,5469.85466657241,1273.60733751605,4169.20028236344,6119.75387766376,1626.64479485621,810.940682394975,859.188476531535
"Mcrs1",2269.84542661883,4062.73430563997,5623.83649979646,1290.17638353751,4153.56968895293,5957.52608256356,1337.12086612456,1561.13674438583,1080.68568928875
"Cyp2f2",2263.30644087416,4797.77176690192,3094.80154199544,965.423081516938,1075.38482664311,5055.1339723187,2798.44578451566,962.80223340527,1536.29205574308
"Copb1",1663.35449880062,191.770672795182,269.468208142083,3381.18999144548,155.263894544402,143.397783168926,2562.02979537385,1374.34703664317,2922.81731282471
"Fbrsl1",2106.37078300206,2744.87422523026,4270.66281388816,919.029752656856,4058.74408892917,4110.73645084254,1206.0641764916,821.570990965696,1405.44316849149
"Prkd2",3803.23758374411,4012.1629271744,5656.49931290459,773.222147668028,7890.32355362558,2563.77854756565,1572.68027559558,1649.2164439718,2825.86301684913
"Tubg1",2683.43627496925,4452.28413184011,5615.67079651943,1745.27284759355,3381.41837447372,6658.58191138942,1863.91736366884,1497.35489296151,818.199668476819
"Cmklr1",3755.01256387717,5434.67071153762,3211.45444595305,2025.84202689023,3135.49703814836,11861.4590542458,4699.19607402906,867.129456268784,2681.61394234888
"Prex1",2977.69063347943,2698.30850050454,4706.94467468963,516.954235869482,7217.16599741294,1513.64326678311,624.446580015892,1726.66583498705,3082.83131349985
"Unc5a",2177.48225297535,3911.52087696074,5747.48857799153,1923.1139415572,2785.37174575293,8644.42393891061,2123.46100392235,993.174543607329,606.949657733286
"Plekho1",1739.37020808241,2484.00602542271,3373.60198245413,724.619612671752,5149.75950898278,3900.70939468604,1035.60482200166,3099.49425612012,1300.60640942847
"Ube2g2",2573.09089052793,1007.92262228904,4494.63638948678,1723.18078623161,3740.92202291546,5496.9150214755,2557.74689701983,384.209724056046,1935.14468796781
"Net1",2046.70253808194,2032.86927297243,927.390586463013,5146.34569426478,1048.29179806489,524.343409163143,7429.97206455123,3228.57657447887,8330.97523712091
"Ptbp1",5491.11327908725,7165.61383386907,7555.60858933451,4452.65496749974,8906.31212530875,6600.64341313935,3415.18314749432,5634.06354248194,5561.07770819264
"Iqgap1",6662.40910060139,3810.3781200296,2679.51720390634,3901.45803651925,4371.35595713937,1914.86736716485,3435.74105959361,5082.80611231457,6573.97421492936
"Lmf2",2246.95897651248,3736.27352584243,4382.64960168747,1367.49859830431,4870.492906715,8309.82911151645,2548.32452064099,2205.02972066948,1381.79577922916
"Tmem59",1523.58367850828,529.747707094785,3848.37930156161,10078.3983933187,2948.97195678294,5618.58586780065,3578.78986461783,4759.34100866264,3356.3527826342
"Cyth4",4175.14239797226,4585.97282540751,5332.20423990243,782.058972212806,9053.23970336755,3954.30250556735,1895.61081148857,3693.27292057037,2773.83876047199
"Usf2",3441.14124813297,4586.47353212499,5462.85549233495,2380.41961174943,5921.91082346199,7828.93957604086,3078.54733686847,3731.23830832295,2551.55330140603
"Gnai1",1629.84219685918,948.839229626294,670.754197756267,6994.34662719136,450.161090222696,979.160620426202,3625.04516684123,3682.64261199965,5006.15230683649
"Maea",3222.0852256865,4902.41947085543,6735.5386745125,2480.93849094627,6352.27316203137,8309.82911151645,3040.00125168231,2042.53786108847,2181.86578260485
"Pttg1ip",5765.75068036342,6686.43750523985,4857.42692079495,6857.37584674731,4140.02317466382,7466.82396197791,8285.69515568412,180.715245702251,4586.8052705844
"Pnkd",2613.14217821404,4083.26328105669,4716.27690700624,1830.32728383703,3533.55615033602,7540.69554724675,2200.55317429469,1436.61027255739,1354.2071584231
"Abcd3",4513.53491025897,1455.55442771696,1240.02036906941,9504.00479790816,224.038505550647,279.553254056593,3214.74350452626,1436.61027255739,1805.87229333371
"Csnk1d",4154.70806752017,5328.02018071419,5904.9699983343,3419.85109882888,6867.04070501751,6056.02152958868,3536.81746074845,2346.26096310906,3179.78560947542
"Map1lc3b",4453.86666533885,6001.97142244347,4776.9364170642,6997.66043639566,4828.81132428697,6791.84045736458,5264.5386567595,2615.05590839728,3237.32759001377
"Hibch",1468.81967289666,1401.47810222902,703.417010864398,8127.66937505907,295.939235238994,385.291013362973,4192.95748858408,2824.62484879149,3837.18303096836
"Nr1h2",2439.04168276218,4883.39261559116,7033.00357960441,1266.97971910747,7172.35829630281,5450.56422287544,1753.41858613516,2230.84618434123,1539.44504097806
"Ptma",10374.9182571382,8681.25306768373,4996.24387650451,10055.2017288887,8149.79140424006,9203.53044702379,5652.56924763357,13410.8935697192,15359.7675721959
"Atp6v1g1",2622.95065683105,3853.93960445044,6379.74731744178,5478.83121776203,4307.79154393663,6877.29974228344,2357.30725405176,5296.93089923909,3308.26975780078
"Gm2000",1709.9447722314,2007.83393709838,2848.66391464488,512.535823597093,4529.74597036588,3177.9266290164,791.479615822612,3170.86918509496,634.538278539344
"Chpf",1509.68833380085,2669.26751089064,3947.53426992558,486.025349962761,3331.40047556009,10056.6748337561,1986.40825659376,1240.70887175411,816.62317585933
"Inf2",1920.82706249703,3169.47352165406,3961.53261840049,1635.91714385193,4987.20133751348,7329.22002863399,1978.69903955653,809.422066884872,1700.24728796195
"Ncoa4",1290.63231135439,279.394348354339,93.3223231660893,3961.1066021965,122.960668162681,59.3869607063229,2144.01891602164,1717.55414192644,3618.05055713738
"Nrd1",2081.03221324146,926.307427339653,836.401321376076,2991.26510840717,884.691587034881,1054.48066815129,3247.2935320168,4183.78573033363,3520.30801485306
"Fmo1",5314.56066398114,4308.08059720561,2342.39031146884,9090.88325043982,1406.75340694592,1612.13871380823,5576.33365693204,5538.39076534546,4411.02634373437
"Ctdnep1",4562.577303344,5807.69721606089,5806.98155900991,3608.7382234735,5727.04942561096,6927.99592825225,3399.76471341986,3532.29967649946,2747.82663228342
"Chd4",8890.56849309794,9922.50502031887,9819.84145515175,6440.94049007467,11338.4324599841,14280.3913561863,7351.16673483729,8496.653779026,7727.1785646226
"Snrpd2",2206.90768882637,3370.2569153639,3569.57886110292,2098.74582938465,4565.1753154297,4029.62255329244,1427.06173155895,4393.35467072783,1691.57657856576
"Cops7a",4338.61704158903,6322.92442834873,5268.04514272574,2720.63735672336,4430.75221209931,5499.811946388,3608.77015309596,2118.46863659361,1731.77714031173
"Hexim1",2398.99039507607,4847.34173193253,7054.00110231678,3682.74662903601,4588.10018576511,9333.89206808645,3067.41180114802,2523.9389777911,2682.40218865763
"Prdx2",4868.27488690736,7296.29828713158,8413.00743342295,6460.82334530042,5609.29895525179,8096.90513044744,4450.78796949599,5562.6886135071,3029.23056450522
"Serpinb6a",1438.57686382756,277.892228201896,725.581062616345,3153.64175941746,280.308641828484,550.415733375675,3153.06976822839,4429.8014429703,1946.18013629024
"Lmna",3914.40034140352,7937.70359222461,11984.919352605,4928.73888984963,6108.43590482741,18892.2958168919,5072.66481049947,4323.4983572631,2486.91710408898
"Dmpk",3975.7033327598,5213.35834241106,7610.43545419458,2823.3654420564,2686.37798748637,10827.256860482,2768.46549603754,1465.46396724935,1665.56445037719
"Morf4l1",3374.93401746818,2257.68658912135,2184.90889112607,5454.52995026389,2217.46018517106,2582.60855949692,5673.12715973286,4024.33110177282,5776.2689504799
"Atp2a2",4055.80590813202,4962.00357023566,2930.3209474152,6898.24616026691,2390.43875224737,1994.5328022587,3804.92689771,1883.08323252766,3938.07855848766
"Ahsa1",3064.33219459632,3545.50426648221,4650.95128078998,2371.58278720465,4427.62609341721,4497.47592666177,2441.25206179052,1908.89969619941,1874.44972219449
"Dhx9",1302.89290962564,306.933217815788,148.149188026167,2619.01387445842,140.675340694592,95.5985221126173,1645.48954761389,1485.20596888068,3889.2072873455
"Slc48a1",7785.47990224859,10106.2643856344,9188.74924474107,8248.07110948167,7586.04800190098,17937.759058222,9402.67504641214,5181.51612047126,3771.75858734256
"Ncaph2",3833.48039281322,5655.48237394669,4988.07817322747,2727.26497513195,6794.09793576846,7476.96319917168,3195.89875176858,3640.12137771677,2348.18575374995
"Iars2",4942.65584975299,4266.5219396547,2438.04569271408,5654.46310558948,1736.03790812734,1817.82038259598,3852.03877960421,3015.97040306446,3114.36116584963
"2310036O22Rik",2987.49911209644,4270.52759339454,5663.49848714205,3229.85937111616,5421.73183432566,7759.41337814077,2594.57982286439,4769.97131723336,3420.2007336425
"Nisch",4988.42874996568,6331.4364425459,7329.30195565674,3838.49566163771,7664.20096895354,8776.23402242952,4549.29463163841,4311.34943318227,4350.33137796105
"Col5a2",2711.2269643841,2423.42051260753,4203.00412959275,5984.73942295054,2922.92096776542,8301.13833677894,8163.20426275919,3123.79210428177,3860.83042023069
"Gas5",2166.85640114026,976.878805805224,170.313239778113,1610.51127328569,461.623525390403,292.589416162859,2097.76361379824,5330.34044046135,3637.75671485599
"Strn4",2374.46919853356,3521.97105076061,4751.27277819352,1308.95463569516,4212.96594391287,4429.39819121794,1813.37916309142,997.730390137638,1407.80790741773
"Slc27a4",2180.75174584769,3413.31769306725,4113.18139354539,1695.56570952918,2662.41107759025,4719.09068246829,1881.04895708491,1034.17716238011,886.777097337593
"Rgma",1192.54752518432,2521.55902923378,2337.72419531054,1012.92101344512,2672.83147319726,8495.23230591668,2421.55072936204,993.174543607329,897.812545660016
"Mrpl38",2797.05115228291,4873.87918795902,6223.43242613858,2563.78372105356,3942.03565813069,5943.04145800104,2071.20964400333,2400.93112147276,1501.60921815832
"Ier2",1370.7348867266,1902.6855264274,3697.89705545629,647.297397904949,3877.42920536725,2591.29933423443,758.073008661268,3055.45440632714,1066.49725573135
"Dnpep",2481.54509010254,4354.14561521385,5399.86292419784,1971.71647655347,3612.75115694927,6729.55657174576,2135.45311931361,1339.4188799108,1153.20434969324
"Ccl22",1672.34560419954,1432.02121199536,841.06743753438,55.2301534048592,4120.22442301051,59.3869607063229,45.3987225525957,2197.43664311897,2573.62419805088
"Dnajc11",3035.72413196339,4452.28413184011,5625.00302883603,1984.97171337064,2572.79567536999,3250.34975182899,1432.20120958377,1031.1399313599,979.001915460703
"Sf3b5",2322.15731257619,4134.83607295722,7385.29534955639,2022.52821768594,6128.23465648073,11127.0885889262,2395.85333923793,2994.70978592302,1708.12975104939
"Xab2",2685.07102140542,3824.39790811907,4611.28929344439,1000.77037969605,5689.53600142574,5937.24760817604,1850.21208893598,2361.44711821009,1633.24635171866
"Rhbdf1",1566.90445906672,3785.34278415556,5098.89843198721,1553.07191374464,3027.12492383549,10728.7614134569,2692.22990533601,680.339748526122,1141.38065506208
"2310011J03Rik",2251.86321582098,3424.33324085183,4652.11780982955,1576.26857817468,3757.59465588667,5365.10493795658,1760.27122350159,1626.43721132026,1113.00378794727
"AI314180",1586.52141630074,788.112373314927,349.958711872835,3774.42868368808,448.077011101294,337.491752306664,2029.23724013395,2533.05067085172,3104.90221014469
"Hk2",4544.59509254616,5197.83643416916,5256.37985232998,7622.86577293866,2385.22855444387,2455.14386334676,3432.3147409104,1302.97210766833,3521.0962611618
"Cnot3",2519.96163135248,3346.22299292481,3809.8838432556,827.34769800479,4901.75409353602,4187.50496102389,1656.62508333434,1744.88922110829,1384.16051815539
"Sp100",2565.73453156518,825.665377125994,233.305807915223,1430.46097318585,675.241635334044,141.949320712674,1974.41614120251,3655.3075328178,5442.84076188096
"2410006H16Rik",1611.04261284325,2029.86503266754,3753.89044935594,488.234556098955,6583.60594450693,3657.36770203574,1269.45107213107,3164.79472305455,1180.00472419056
"Tmem140",586.873970584198,1978.29224076701,843.400495613532,2782.4951285368,3991.01151748362,4326.55735682406,4288.89441171409,1120.73824645598,1626.15213493996
"Snx8",1616.76422536984,3279.12829278237,4382.64960168747,856.067377775317,3737.79590423336,3768.89931116712,1013.33375056077,2144.28510026537,1083.83867452372
"Trappc9",2366.29546635272,3996.14031221501,4838.76245616173,1888.87124644618,3806.5705152396,7226.37919424012,2283.64140236265,1772.22430029014,1233.60547318519
"Hnrnpk",4421.98910983358,3258.09861064818,3445.92678290785,7211.95343160651,3289.71889313206,2995.42035952868,5518.08623931739,5228.59320128446,8896.14784049073
"Tbl3",1826.0117691993,2961.68023389949,3274.44701409016,831.766110277179,2531.11409294196,3083.77656936003,967.935028008173,694.007288117048,584.090514779695
"Irf7",2019.72922188517,3307.1678689613,4279.99504620477,898.04229436301,7250.51126335536,6633.95804963314,2276.78876499622,3148.08995244341,882.047619485126
"Cyb5r3",8776.95361578429,11978.9075090129,16175.0916627624,9908.28952083173,8845.87383078811,23412.9471428537,10750.0748685863,9615.87340997188,3640.90970009097
"Pgrmc2",3229.44158464926,3209.53005905253,3588.24332573613,8121.04175665049,2459.21336325362,5050.78858494995,6336.11982493492,2531.53205534162,5148.03664241051
"Itih5",2716.1312036926,2343.30743781058,1588.81255190267,8507.65283048451,1481.78025531637,3051.9103953225,7482.22342447026,2276.40464964432,7026.42759614872
"Trbc1",1235.86830574277,1195.18693462689,1867.61299236136,67.3807871539282,3125.07664254135,127.464696150156,108.785618192069,3006.85871000384,2367.10366515982
"Rbm5",3481.19253581908,2096.4590260925,864.398018325902,2736.10179967672,2098.66767525118,635.87501829453,2354.73751503935,3798.05739076748,4641.98251219652
"Arl1",1582.43455021032,749.057249351417,265.968621023355,5148.55490040097,547.070769367859,696.710441457105,2708.50491908128,3143.53410591311,3567.60279337773
"Cdk9",1753.26555278984,3615.10250021205,3882.20864370932,1164.25163377443,4280.69851535841,6015.46458081363,1827.08443782428,2876.25777613499,1486.63253829218
"Emc6",3882.52278589825,3914.52511726563,7337.46765893377,7620.65656680247,2616.56133691942,6845.4335682459,3110.24078468821,4572.55130091998,2791.96842557312
"Lamtor2",2781.52106113931,4975.02194489016,5693.82824217103,3105.03922442118,4395.32286703549,8738.57399856697,3272.99092214091,2654.53991165996,1506.33869601079
"Pnpla8",1501.51460162002,384.042052307845,300.964492210638,4265.97704899132,147.969617619497,173.815494750213,2455.81391619419,2015.20278190661,2493.22307455894
"Kif21b",1602.05150744433,3818.3894275093,1908.44150874653,127.029352831176,2337.29473465164,434.538736875533,496.816209066142,1614.28828723944,3499.8136108257
"Ostf1",4503.72643164197,5794.1781346889,6727.37297123546,3927.96851015358,6451.26692029794,6454.34870505792,3619.90568881641,3386.51258752958,3592.82667525756
"Pgs1",2295.18399637943,3536.49154556755,5114.0633095017,1960.6704458725,3452.27706460137,4598.86829859939,1315.70637435447,2095.68940394207,1180.00472419056
"Mmp14",2449.66753459727,3671.68235928739,3098.30112911417,1059.3143423052,4212.96594391287,5088.44860881249,3237.87115563796,1952.93954599239,1537.86854836057
"Cbx4",2423.51159161859,4119.31416471531,6793.8651264913,1308.95463569516,4885.08146056481,5649.00357938193,1882.76211642652,1693.25629376479,1781.43665776263
"Lpin1",6930.50751613289,7517.61065625814,5536.34682182825,9914.91713924032,3214.69204476161,4950.84467546858,6560.54369868548,3005.34009449374,5817.25775853461
"Timm8b",3043.89786414422,3795.35691850517,3946.367740886,4095.86817650436,1494.28473004478,2682.55246897829,2485.79420467232,2536.08790187193,1446.43197654621
"Pgam1-ps2",2838.73718640518,4814.29508857879,4879.5909725469,1014.02561651321,1445.30887069185,2133.58519805887,1189.78916274633,332.576796712546,290.074641617986
"Nudt3",3126.45255917069,4248.49649782538,4841.09551424088,2399.19786390708,4706.89269568499,6603.54033805185,2675.95489159074,2748.69407328634,2014.75756515101
"P4hb",9639.28236086274,7890.6371607814,7716.58959679601,9710.56557164234,10174.4742706815,15288.5212257375,12363.0143887097,8861.12150145071,8529.61330692453
"Pla2g12a",2435.77218988985,4045.20957052814,4971.74676667341,4575.26590805853,1817.31699386199,3823.94088450469,1754.27516580596,1846.63646028519,1326.61853761704
"Tmem134",2426.78108449092,5529.80498785899,6348.25103337323,3325.95983804062,5109.11996611546,12084.5222725086,3135.08159514152,2217.17864475031,2431.73986247687
"Ube2s",2548.56969398542,2718.33676920377,4085.18469659556,1711.03015248254,4210.88186479147,5534.57504533804,1439.91042662101,2171.62017944722,956.142772507111
"Copb2",3116.64408055369,1503.62227259512,642.75750080644,4225.10673547173,753.394602386595,479.441073019338,3681.57942511427,3567.22783323183,3603.07387727123
"Btd",2441.49380241643,3865.4558589525,3708.39581681247,2461.05563572052,2550.91284459528,4834.96767896843,2562.02979537385,1442.6847345978,1308.48887251592
"Slc39a3",1680.51933638038,2807.46256491537,4381.48307264789,1177.5068705916,3381.41837447372,6930.89285316476,2102.90309182307,994.693159117432,878.106387941403
"Ergic1",6228.38392179887,7364.89510742647,5984.29397302548,4877.92714871716,4529.74597036588,4559.7598122806,4938.18180218329,2738.06376471562,2678.4609571139
"Auh",2237.96787111356,3532.48589182771,3477.4230669764,3444.15236632702,2338.33677421234,5142.04171969381,3534.24772173604,1983.31185619445,1893.36763360435
"Atp5j",1002.91693858887,1165.14453157804,1962.10184456703,8568.40599922985,913.8686947345,2295.81299315907,2270.79270730059,6527.00946242248,3057.60743162002
"Rnaset2a",3747.65620491441,3801.86610583243,5248.21414905295,2518.49499526158,5371.71393541203,5889.44834711973,3655.02545531936,3164.79472305455,2642.20162691166
"Dnase1l3",3266.22337946303,2401.38941703837,1770.79108207655,68.4853902220254,5376.92413321553,282.450178969097,666.418983885273,1992.42354925507,1370.76033090673
"Ube2r2",2682.61890175117,2233.65266668227,1578.31379054649,4959.66777575635,1670.3894158032,2400.1022900092,5183.16358803315,5365.26859719372,3789.10000613494
"Med25",2334.41791084745,3378.26822284359,5250.5472071321,1641.44015919241,4576.63775059741,9730.77078109944,2744.48126525503,1671.99567662335,1532.35082419936
"Ube2d3",1006.18643146121,872.731808569198,1285.51500161288,9283.08418428873,2370.64000059406,1641.10796293326,2108.89914951869,6417.66914569507,9475.50887741796
"Mvb12a",1396.89082970528,2112.98234776937,3217.28709115093,944.435623223092,3370.99797886672,3757.31161151711,1032.17850331845,2047.09370761878,775.634367804615
"Gatad2a",2927.83086717632,4192.41734546752,4091.01734179344,1825.90887156464,3636.71806684539,3206.89587814144,1757.70148448918,2634.79791002862,1728.62415507675
"Hmox1",5906.33887387384,5421.15163016564,5012.57528305857,3262.99746315908,4590.18426488652,4319.3150445428,2083.20175939458,1755.51952967901,1485.05604567469
"Lck",4009.21563470124,3371.75903551634,4472.47233773483,70.6945963582197,8092.47922840152,259.274779669068,247.551524862267,3310.58181202443,3905.76045982913
"Upf1",3151.79112893129,4409.72406085423,6330.75309777959,2051.24789745647,6499.20074009017,6688.99962297071,2275.07560565461,2476.86189697791,2938.5822389996
"H1fx",961.230904466597,1406.48516940383,2267.73245293597,1167.56544297872,0,5879.30910992596,1179.51020669669,0,0
"Mup2",1381.36073856169,119.168198760453,20.9975227123701,5393.77678151855,23.9669098961157,43.4538736875533,1143.53386052293,2695.54253043274,1269.07655707869
