"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm25147",0.501785328337983,0.264908420085591,3.31822222194502,0.0798344421701544,0.936368930848062,NA
"Gm26983",0.493990544576741,0.264908420085591,3.31822222194502,0.0798344421701545,0.936368930848062,NA
"Gm45906",0.50775187157206,0.264908420085591,3.31822222194502,0.0798344421701545,0.936368930848062,NA
"Gm7407",0.501785328337983,0.264908420085591,3.31822222194502,0.0798344421701544,0.936368930848062,NA
"Igkv4-74",15.9292532206523,-0.107195927410728,1.3427485076832,-0.079833212844664,0.936369908587141,0.99994115597459
"Gm9974",9.65383262578104,0.0739305955869287,0.926643188134179,0.0797832396909861,0.936409654614901,0.99994115597459
"Gm43081",17.0661378258867,-0.0503522382630921,0.631351830142276,-0.0797530566304769,0.936433660716356,0.99994115597459
"Gm5446",4.79747226193757,-0.173233488654606,2.17237934607191,-0.079743664000418,0.936441131157795,0.99994115597459
"Mea1",3082.89027185327,0.0378443045183554,0.47469699416054,0.0797230759492796,0.936457505912603,0.99994115597459
"Hmga1-rs1",853.532999669122,-0.0583909315235849,0.732441026153173,-0.079721000652104,0.936459156506575,0.99994115597459
"Gm13994",7.62891758117228,-0.147582514386375,1.85249295670544,-0.0796669773302905,0.936502124217292,0.99994115597459
"Gm28874",15.6822595505295,-0.0774160867274685,0.972323164848829,-0.0796197082679859,0.936539720046685,0.99994115597459
"Cdhr5",42.4723810476315,-0.0716940607708044,0.900468858604418,-0.0796185898998425,0.936540609551509,0.99994115597459
"Fkbp1a",6159.24167648169,0.0375822855263728,0.472500577865747,0.0795391313511814,0.936603807872535,0.99994115597459
"Gm25076",0.604553443100522,-0.262310807449198,3.29880963208089,-0.0795168065772053,0.936621564224354,NA
"Gimap5",1012.90055892864,0.0573478215355093,0.721283356656566,0.0795080338486377,0.936628541757369,0.99994115597459
"Rps6ka1",2132.28498812864,-0.0569919903050364,0.716821606430368,-0.0795065184890916,0.936629747023838,0.99994115597459
"Gm35060",2.77037733916653,-0.147428344353611,1.85521142910958,-0.0794671389149266,0.936661068275343,0.99994115597459
"Adamts8",23.8193205774442,-0.0385728698782446,0.485594074148344,-0.0794343916694112,0.936687114459798,0.99994115597459
"Smarca4",4342.30251260659,0.0408578084295667,0.51451089320284,0.0794109686876133,0.936705744443966,0.99994115597459
"Mir142hg",1600.15960772284,-0.0892167435178648,1.12428218869594,-0.0793544044501384,0.936750734198217,0.99994115597459
"Cox18",688.295517572532,-0.0470236917983885,0.592812232186054,-0.0793230794597202,0.936775649384893,0.99994115597459
"Gm42903",2.30664870174706,-0.149180354474303,1.88252998082792,-0.0792446101754484,0.936838062345019,NA
"Mir7060",2.86449866010444,-0.101461659191051,1.28169625136404,-0.0791620160260838,0.93690375656277,0.99994115597459
"Ankdd1a",1.19159808248277,-0.252185683883458,3.18679136513862,-0.0791346702649572,0.936925507088916,NA
"Ccdc146",0.540919168182006,0.259956411252001,3.2867449428176,0.0790923590892179,0.936959161038652,NA
"Ptms",19178.7650201763,-0.0541888305580445,0.685190513674138,-0.0790857863274732,0.936964388967614,0.99994115597459
"Gm454",357.766169186541,0.0611856832697218,0.774033788755389,0.0790478195636725,0.936994587520569,0.99994115597459
"Ppp6r1",6259.87987097472,0.0458581623489553,0.580759866623841,0.0789623474079652,0.937062571929883,0.99994115597459
"CT009546.2",13.5693663266766,0.0427322493628246,0.541248103518803,0.0789513147205699,0.937071347344382,0.99994115597459
"Bhlhe41",520.439856179817,0.0453793418145346,0.574836929718131,0.0789429827286604,0.937077974627099,0.99994115597459
"Yeats2",664.019857355682,-0.0401200197333196,0.508697073297609,-0.0788681945292964,0.937137461502765,0.99994115597459
"Phf13",481.346994095592,-0.0347285074558943,0.440456971632037,-0.0788465382378074,0.937154687081544,0.99994115597459
"9330179D12Rik",12.3034797848293,-0.0871173503501024,1.10538893901009,-0.0788114909383102,0.93718256403214,0.99994115597459
"Bambi",231.461783519543,-0.0411485806996146,0.52211681718598,-0.0788110617110373,0.937182905444015,0.99994115597459
"Gm7353",117.335694861579,0.0588639685037149,0.746910456985593,0.0788099402721983,0.937183797448283,0.99994115597459
"Cpsf1",3555.81135939425,0.0468428201611864,0.594849096390619,0.0787474007196377,0.937233542192059,0.99994115597459
"Snx7",556.676028378165,0.0458107028398629,0.581946258196012,0.0787198168124193,0.937255482855376,0.99994115597459
"Ydjc",125.371551085216,0.0610979834112758,0.776360610035628,0.0786979434833407,0.937272881271031,0.99994115597459
"5830411N06Rik",151.442029589144,-0.102520164775562,1.30347604746812,-0.0786513607017926,0.937309934102621,0.99994115597459
"Rnf208",20.3081496737388,0.0564812333577638,0.718696995118071,0.078588381113914,0.937360029482062,0.99994115597459
"Gm26631",23.9335466692454,-0.108464119340569,1.38139229292625,-0.0785179705258134,0.93741603593961,0.99994115597459
"Slc3a2",6365.31643583098,-0.0509492727228454,0.648985493958869,-0.0785060270177233,0.937425536154849,0.99994115597459
"Gm17210",0.718532715474406,0.255398658428465,3.25522175783653,0.0784581443072581,0.937463623550973,NA
"Gm43528",0.718532715474406,0.255398658428465,3.25522175783653,0.0784581443072581,0.937463623550973,NA
"Gm14471",0.698872424843164,0.247452760704752,3.15460834408011,0.07844167443769,0.937476724230197,NA
"Treml2",985.94975069491,0.0888370255220771,1.13284523793629,0.0784193838197281,0.937494454952248,0.99994115597459
"Alox8",12.3126601174665,-0.0938467343968786,1.19684845382989,-0.0784115433299606,0.937500691554092,0.99994115597459
"Psmd13",2730.3567794548,0.0396976313715184,0.506851663254692,0.0783219909284789,0.937571924961767,0.99994115597459
