"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tnfrsf21 ",0.40674540625,4.15415124609375,1.04706882290278,0.309503636130862,0.385317226065148,-6.3611762484122
"Slamf6 ",-0.385023203124999,4.13478551171875,-1.04577410686342,0.310084318439418,0.385835134415059,-6.36251030007288
"Nabp1 ",-0.34697671875,8.34694144921875,-1.04387130453399,0.310939149053267,0.386693432182487,-6.36446827728645
"Pirb ",0.407599796875,5.41668964453125,1.04317979038234,0.31125022955732,0.386874953768064,-6.36517906558606
"Pcolce2 ",-0.490407656250001,6.26999276171875,-1.03531765543005,0.314802759915572,0.391083174168709,-6.37323115725203
"Ncapg2 ",-0.353299671875002,4.78117833203125,-1.03458568441633,0.31513497429127,0.391288417999176,-6.3739780808463
"Prkd2 ",-0.440909015625,5.3483404453125,-1.03116500172056,0.316690818745827,0.393011964153322,-6.37746246145975
"Ambp ",-0.390088593750001,17.5783750390625,-1.02990210760431,0.317266611076323,0.393518088804565,-6.37874629778417
"Serpinb6b ",-0.41072328125,7.76127637109375,-1.01524881780062,0.324002147476004,0.401659805045649,-6.39354082683755
"Pecam1 ",-0.315883843749999,7.7452007734375,-1.01037253877572,0.326265918246389,0.404252272052506,-6.39842245722135
"Srp14 ",-0.397039156249999,9.57565619140625,-1.0059050757168,0.328349702328554,0.406619108116174,-6.40287651533627
"Cd68 ",-0.495533890625,7.90373755859375,-1.00338902150822,0.329527408044507,0.407861974140665,-6.40537730302513
"Lss ",-0.388240218750001,10.0178595703125,-1.00137296434309,0.330473224442814,0.408816665717801,-6.4073771104365
"Scp2 ",0.3567140625,16.960617890625,1.00090745487472,0.33069188588991,0.408871286881298,-6.40783835965305
"Itgb3bp ",-0.463954437500002,6.56565789453125,-0.999590198901447,0.331311186119027,0.409420943605949,-6.40914252686219
"Slc50a1 ",-0.414122703125001,7.66855245703125,-0.991847876294124,0.334967691038781,0.413721296839148,-6.41677701586104
"E030018B13Rik ",0.6496465,4.37932541015625,0.989616052165257,0.336026963160594,0.414810945566529,-6.41896793540643
"9430020K01Rik ",0.293354984375,5.531148796875,0.986206821615662,0.337649584656126,0.416594511242393,-6.42230618505247
"Shc2 ",-0.274168359375,4.711074796875,-0.984533892562564,0.338447816008036,0.417359596266751,-6.42394052382542
"Adipor2 ",0.40308125,15.095435,0.982962412698608,0.339198841847895,0.418065695133939,-6.42547349736486
"Lpl ",-0.448309234374999,8.8098129140625,-0.982202036244703,0.339562650865489,0.418294054141872,-6.42621445715125
"Gm3934 ",0.473398656249998,9.88838626171875,0.98139270583051,0.339950181550496,0.418551379596854,-6.42700255818496
"Cenpf ",-0.297890406250001,4.54884512890625,-0.978469256807005,0.341352583396904,0.420057301942724,-6.42984448735086
"Rrm1 ",-0.349865203125003,7.07815463671875,-0.977261792629319,0.341932988597829,0.42055065211796,-6.43101607017458
"Snrpf ",-0.284199390625,4.9337334765625,-0.97594273362062,0.34256782047566,0.421110390018086,-6.43229445319286
"Jchain ",0.6118396875,6.85689942578125,0.974240424770127,0.343388313272354,0.421897649710081,-6.43394198492505
"Tmem37 ",-0.296536500000001,8.117518234375,-0.971511992491799,0.344706234134341,0.423294919589498,-6.43657725230705
"Retnlg ",-0.399098593750001,5.48973230859375,-0.9699783256233,0.345448585211891,0.423984303379497,-6.43805564562899
"Myadm ",-0.5647453125,6.0797353046875,-0.969511220483819,0.34567490151655,0.424039944635224,-6.43850550067425
"Ifitm6 ",-0.392904906250001,5.388585453125,-0.965536524486381,0.347604836005883,0.426184265181467,-6.44232555635319
"Pxmp2 ",0.348495031249998,8.47161428125,0.962410917529027,0.349127722444222,0.427827538539127,-6.44531967465556
"Gbp4 ",-0.325376781249998,8.26497958203125,-0.959701067723894,0.350451768090719,0.429225558095429,-6.44790847612796
"Vav1 ",-0.341813156250001,5.583685109375,-0.958081702940903,0.351244650469427,0.429971899712574,-6.44945237624436
"Cyp7a1 ",1.0304903125,13.865674296875,0.956157413068902,0.352188439843577,0.430902096372586,-6.45128394684384
"Rpl37rt ",-0.396150640625002,11.2216604492187,-0.95399634027544,0.353250443886692,0.43197588205977,-6.45333694680465
"Sdf2l1 ",-0.475984843750002,8.88664155859375,-0.952975489118529,0.353752881097433,0.432364632452418,-6.45430529426407
"Aldh8a1 ",-0.39483671875,12.6236728125,-0.948843515782954,0.355791555117174,0.434629621292772,-6.45821522934306
"Slc17a4 ",-0.392815281250002,8.886364921875,-0.945817925240046,0.357289457966415,0.436056037668157,-6.46106853760077
"Car3 ",1.06235109375,16.43894,0.945733227385385,0.357331452122434,0.436056037668157,-6.46114829455797
"Arhgef2 ",-0.315981265625001,4.78100463671875,-0.943318174502417,0.35853028638564,0.437291234253802,-6.4634197568569
"Adam23 ",-0.347578218750002,7.17381425390625,-0.942315531196249,0.359028807460455,0.437671433860481,-6.46436124931655
"Cyp21a1 ",0.324191031249999,5.9728038828125,0.94159160669742,0.359389042401064,0.43788274900972,-6.46504046098206
"Synj2 ",-0.348590093749999,5.37666476953125,-0.938219312993079,0.361070400327194,0.439702675658324,-6.4681982637987
"Tlcd1 ",-0.318718234374998,10.7487102226562,-0.937014538069849,0.361672377248811,0.440206950594267,-6.46932393281605
"Gpc6 ",0.367923625,4.89386133203125,0.936370407887994,0.361994503671364,0.440370260696784,-6.4699252338186
"Ugt2b35 ",0.352928593749999,12.1362124609375,0.935863177650293,0.362248304794435,0.44045032596438,-6.47039847495233
"Cmpk2 ",-0.300612124999999,6.26874549609375,-0.933665660909671,0.36334927049422,0.44155982404977,-6.47244606414922
"Plac8 ",-0.641513031250001,9.7903691953125,-0.930651858931461,0.364862901886664,0.443169403380225,-6.47524717748904
"Mep1a ",-0.474735109374999,5.02664151171875,-0.930193843347029,0.365093307420822,0.443219491858542,-6.47567215403889
"Rnf24 ",-0.57645178125,6.4487217265625,-0.926320246632345,0.367045882544154,0.445359141792311,-6.47925876531588
"Gins1 ",-0.420741640625001,5.74138125390625,-0.925697051973497,0.367360678690294,0.445406771029607,-6.47983452518347
"Pafah1b3 ",-0.318842468749999,6.63938614453125,-0.925489939363694,0.367465338625792,0.445406771029607,-6.48002579571544
"Tm6sf1 ",-0.29874353125,5.7468840703125,-0.92448729565177,0.367972289123637,0.445790627412968,-6.48095119964876
"Timp3 ",-0.357937609375,3.73616523046875,-0.923045320860848,0.368702202336585,0.446427400784588,-6.48228049901545
"Dpt ",-0.418598468749999,6.2988156484375,-0.922696381864393,0.368878979052054,0.446427400784588,-6.48260188985202
"Gusb ",-0.360803765625,7.5219806796875,-0.92065545664925,0.369914085951041,0.447448995035255,-6.48447948401387
"Gm12250 ",-0.330327234375,5.505724328125,-0.91704386624751,0.371750606096393,0.449438426255856,-6.48779281834246
"Hilpda ",-0.453362296874999,6.6265177421875,-0.916568095555174,0.37199299716891,0.449499531906527,-6.48822841884791
"Tmem47 ",-0.380700390625,8.056046984375,-0.913811492743063,0.373399503772938,0.450966514092781,-6.49074824340024
"Qpct ",0.449138671875,8.68944249609375,0.902797176715652,0.379055078965759,0.457561076773196,-6.50074772574418
"Lgals1 ",-0.775492187500001,11.4157554101562,-0.901796664310235,0.379571646811144,0.457948696435896,-6.50165059533785
"Gimap9 ",-0.376708578124999,7.3826795,-0.900158346615442,0.380418532914914,0.458734237066209,-6.50312705932412
"Capsl ",-0.356463406250001,4.737815375,-0.897535508400171,0.381776970929211,0.460135515888448,-6.50548569603461
"Polr2c ",-0.321490937499998,9.29934744726562,-0.893871904820603,0.383679866037282,0.46200804008263,-6.50876977452518
"Hs3st3b1 ",-0.44476325,8.31503640625,-0.893558872409521,0.383842749439294,0.46200804008263,-6.5090498116941
"Mcam ",-0.35132734375,5.2075163203125,-0.893406264595324,0.383922174153172,0.46200804008263,-6.50918630146206
"1110007C09Rik ",-0.2842795,6.43389930859375,-0.892072566243997,0.384616763272311,0.462317900207462,-6.51037823430156
"Sgol1 ",-0.331442421875,6.08788245703125,-0.891869564294758,0.38472255986986,0.462317900207462,-6.51055951590956
"Slc22a30 ",0.64625234375,14.07337390625,0.891775440800595,0.384771619890974,0.462317900207462,-6.51064355583789
"Tubb2b ",-0.330333343750001,5.42693940234375,-0.889451884271058,0.385984048382816,0.463536968406427,-6.51271562429355
"Rab9 ",-0.39789359375,14.456915390625,-0.888409442588477,0.386528817549563,0.463953391146837,-6.51364363701427
"Hid1 ",0.326085437499999,4.7810662890625,0.883979841505579,0.388849375187692,0.466362659923863,-6.51757593025678
"Igsf8 ",-0.393114109375,6.33167854296875,-0.883818413078044,0.38893411758055,0.466362659923863,-6.51771889657506
"1700016C15Rik ",-0.345738984375,4.37613641015625,-0.878711738017287,0.391621199273051,0.469344485880695,-6.52222923011291
"3110040N11Rik ",-0.402819593749999,7.2523379609375,-0.877022781122341,0.392512605131952,0.470172307681065,-6.52371570217732
"Coq5 ",-0.362065531250002,9.22472434375,-0.871038908022397,0.395681570457927,0.473670559392047,-6.52896114002833
"Adgre1 ",-0.435184187499999,7.8194329375,-0.870745533185597,0.395837368881617,0.473670559392047,-6.52921746642688
"Nek2 ",-0.312262968749999,5.71981044921875,-0.866602106603571,0.398042066847453,0.476065626658286,-6.53282920461201
"Igsf6 ",-0.317702453125,5.1210235859375,-0.863121394249547,0.399900352157141,0.478044145461317,-6.53585107339518
"Tspan2 ",-0.295906609375,4.85053453515625,-0.85937346665887,0.401907638596005,0.480198672733523,-6.53909246737187
"Rgs1 ",-0.459857921875001,7.89092623046875,-0.857296004795088,0.403023100146338,0.481285995740505,-6.54088358661797
"Slc1a4 ",-0.457935453125001,4.68212587109375,-0.855956422016675,0.403743438793563,0.481790740833324,-6.54203642140213
"Zbtb10 ",0.35211675,5.315797296875,0.855745328601807,0.403857027313977,0.481790740833324,-6.54221793589427
"Asrgl1 ",0.259297031250001,7.23814043359375,0.85259401753168,0.405555210758429,0.483570411606615,-6.54492279064129
"Rsad2 ",-0.408016265625001,6.47999248828125,-0.850941712352613,0.406447461278898,0.484366917215184,-6.54633734601966
"Zfp37 ",-0.263239125,6.1995506015625,-0.850591624557492,0.406636673564774,0.484366917215184,-6.54663673612747
"BC023829 ",-0.267705062499999,9.44048465234375,-0.846933580371479,0.408617161881205,0.486478663764057,-6.54975827078474
"Cd207 ",-0.382050984374999,6.4765866015625,-0.844925243158941,0.409707142961845,0.487528611457391,-6.55146679401368
"Adgrg6 ",-0.356510765625002,4.353487390625,-0.843019405563521,0.410743233739156,0.488513399315149,-6.55308466877571
"Tnfrsf10b ",-0.325512484375001,3.542786984375,-0.841246494809083,0.411708579925492,0.489249697402808,-6.5545866828727
"Fam111a ",-0.327187249999999,6.1719683125,-0.841042847744002,0.411819559095661,0.489249697402808,-6.55475902678091
"Mettl22 ",-0.408521328125,10.7892975078125,-0.840732441010929,0.411988755004584,0.489249697402808,-6.55502164614008
"Napepld ",-0.231628406250001,5.32134546484375,-0.839387914815376,0.412722144957745,0.489761161492297,-6.55615815083071
"Rps15 ",-0.281781874999995,15.812805390625,-0.839176549816711,0.412837513421804,0.489761161492297,-6.55633666165726
"Aoah ",0.344783046874998,6.95410728515625,0.83490492382653,0.415173533766349,0.492283193124775,-6.55993543823001
"Cela1 ",-0.263129890624999,5.1627589375,-0.831350378699345,0.417123874662077,0.494345593491779,-6.56291718152379
"Chic2 ",-0.355666249999999,11.1578703125,-0.829386092309646,0.418204176731257,0.495375321578026,-6.56455989705896
"Hacd4 ",-0.303485625,6.51557821875,-0.826894724353976,0.41957693652883,0.49675025886157,-6.56663824821062
"Nudt18 ",-0.331075546875,6.22151066015625,-0.823365238928985,0.421526636840423,0.498806520261167,-6.56957273670989
"Tlr4 ",-0.378958359375001,7.7022191796875,-0.817710617585206,0.424662307339948,0.502263395304139,-6.57424993132674
"Serpina3f ",-0.226232546875,7.59958855078125,-0.816617135266065,0.425270387340644,0.50272881813276,-6.57515096177851
"St3gal6 ",-0.371861359375,7.8487648515625,-0.810314417835705,0.428786077078254,0.506629237818633,-6.58032265719445
"Dhdh ",0.368526562499998,11.993608515625,0.808682283616252,0.429699482512024,0.507452564277053,-6.58165585754456
"Alg8 ",-0.309065890625001,5.63793157421875,-0.801517134796734,0.433723916939846,0.511947172488695,-6.58747919582137
"H2-T22 ",-0.273020734375001,9.66324328515625,-0.800611636577316,0.434234190190747,0.5119894697111,-6.58821170177372
"Rpl39 ",-0.391501718750003,15.1831741015625,-0.800436510040719,0.434332922396363,0.5119894697111,-6.58835328235375
"Rnf213 ",-0.331647015625002,8.959085015625,-0.800290398149939,0.43441530763366,0.5119894697111,-6.58847138413293
