,,,,,OA,OA,OA,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i,OADGAT1i,OADGAT1i,OADGAT2i,OADGAT2i,OADGAT2i
ID,RT,m/z,Type,Metabolite name,cos7_1,cos7_2,cos7_3,cos_1-2i-1,cos_1-2i-2,cos_1-2i-3,cos7_1i-1,cos7_1i-2,cos7_1i-3,cos7_2i-1,cos7_2i-2,cos7_2i-3
100,16.9484,784.5852,[M+H]+,PC 36:3|PC 18:1_18:2,3305000,4453000,4605000,2458000,2551000,2383000,2055000,3402000,3462000,2952000,2255000,4802000
101,16.51992,782.5636,[M+H]+,PC 36:4|PC 16:0_20:4,2641000,3292000,2626000,1742000,1757000,2096000,1620000,2199000,1884000,1888000,1792000,2761000
102,15.34297,780.5563,[M+H]+,PC 36:5,103500,329700,42120,125200,124900,67100,214500,135100,243600,N/A,192300,121400
103,14.23768,778.5391,[M+H]+,PC 36:6,10870,12120,N/A,17190,2240,N/A,15890,13650,2038,N/A,N/A,N/A
104,19.37495,800.6111,[M+H]+,PC 37:2,250800,274200,204200,159400,215500,223400,216500,251300,172200,170500,207000,279200
105,22.24867,816.6557,[M+H]+,PC 38:1,123600,149200,238900,249200,244800,252500,282000,23590,180800,157600,157400,240800
106,22.44967,816.6477,[M+H]+,PC 38:1,191800,262000,250800,272300,225800,249500,220100,291400,224200,138800,154300,215100
107,20.41308,814.6293,[M+H]+,PC 38:2|PC 18:1_20:1,1575000,2256000,2045000,2180000,1967000,2134000,1904000,2802000,2045000,1180000,1142000,132200
108,19.43195,812.6089,[M+H]+,PC 38:3,305400,406800,362000,319200,241800,323900,247600,548500,350200,100700,230800,368100
109,18.00552,810.5995,[M+H]+,PC 38:4,2895000,3279000,2778000,2057000,1931000,2085000,1789000,2510000,1852000,2187000,2063000,3010000
110,18.60365,832.5791,[M+Na]+,PC 38:4,967800,1175000,965100,1344000,1303000,1431000,1247000,1710000,1288000,688300,724300,1030000
111,18.57532,810.5961,[M+H]+,PC 38:4|PC 18:0_20:4,464100,603100,524500,522700,576700,521700,418400,610900,483600,332300,330300,517000
112,17.3912,810.5995,[M+H]+,PC 38:4|PC 18:1_20:3,871100,1039000,1124000,1971000,1618000,1755000,1389000,2212000,1718000,592200,745800,965700
113,16.15093,808.584,[M+H]+,PC 38:5,4214000,5013000,4092000,4135000,4215000,4419000,3703000,5661000,4192000,2908000,2711000,4285000
114,16.63408,808.5793,[M+H]+,PC 38:5|PC 18:1_20:4,1321000,1489000,1326000,1547000,1463000,1490000,1384000,1463000,1358000,1294000,1200000,1337000
115,15.49895,806.5632,[M+H]+,PC 38:6,526000,706400,542000,435000,386100,746700,312300,543500,370900,399000,362700,889400
116,16.0656,806.5682,[M+H]+,PC 38:6,188200,314000,317000,363100,346600,380500,313100,492200,365000,227200,171900,276600
117,14.54933,804.5577,[M+H]+,PC 38:7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,17.06305,820.5775,[M+H]+,PC 39:6,57100,80310,65720,45920,47250,45470,24450,49510,41460,40050,43810,69670
119,22.24867,842.6581,[M+H]+,PC 40:2,228200,310600,312500,561200,562000,588800,549200,817600,588300,172100,177100,258100
120,20.82457,840.6483,[M+H]+,PC 40:3,26680,60240,N/A,78460,67490,56420,67560,100800,77040,N/A,21160,22830
121,19.11763,838.6222,[M+H]+,PC 40:4,78460,98940,68250,220000,204200,210700,172100,268200,198000,56250,52990,77530
122,19.43195,838.6215,[M+H]+,PC 40:4,84630,125500,84800,90460,76970,84790,295900,105600,93190,94340,6623,105800
123,20.01527,838.6341,[M+H]+,PC 40:4,148800,75650,31570,134000,133600,131200,110000,158400,135200,42540,61910,60640
124,17.93385,836.6082,[M+H]+,PC 40:5,511800,688500,582000,1304000,1690000,1498000,1187000,1615000,1152000,373200,308600,594700
125,18.70282,836.6132,[M+H]+,PC 40:5,384900,690200,582900,513900,404900,517100,463300,450800,390000,422000,416700,497200
126,16.7054,834.6028,[M+H]+,PC 40:6,959100,1171000,973900,1424000,1362000,1365000,1236000,1855000,1572000,706600,678600,1077000
127,16.16527,832.5821,[M+H]+,PC 40:7,974500,1242000,1062000,60550,1437000,1569000,1278000,1828000,1345000,724500,743800,1188000
128,24.21392,872.7114,[M+H]+,PC 42:1,45470,52140,50150,47180,51260,60200,68540,78130,64310,35210,29850,50160
129,23.36662,870.6873,[M+H]+,PC 42:2,100800,132800,127700,141500,139400,145700,117300,190000,130000,81390,76380,110300
130,19.57445,864.6399,[M+H]+,PC 42:5,1595,25050,20160,20120,21840,19900,22210,39770,22660,10940,10120,16040
131,24.09908,898.7219,[M+H]+,PC 44:2,37850,45800,46070,53890,62150,54310,48380,82130,55210,30440,30280,52150
132,18.80315,1016.806,[M+H]+,PC 53:6,19190,22890,30580,50270,15370,16580,34120,17910,13930,16930,17040,14020
133,17.50587,692.5558,[M+H]+,PC O-30:0,59210,150100,102300,110700,115100,107100,111200,159000,127300,72160,101700,138600
134,15.51312,704.5718,[M+H]+,PC O-31:1,3212000,4377000,4032000,2906000,2781000,3095000,3698000,4724000,2958000,2396000,2574000,3267000
135,19.64578,720.59,[M+H]+,PC O-32:0,527200,695900,641900,518000,402700,452800,616900,774500,531000,391100,386800,531400
136,17.5627,718.5701,[M+H]+,PC O-32:1,601400,863200,718100,545400,551600,563400,591900,1002000,549600,487000,588300,626100
137,17.91935,718.5734,[M+H]+,PC O-32:1,298400,467200,266300,359900,408100,418100,418600,559700,400200,287400,329000,326100
138,18.57532,732.5911,[M+H]+,PC O-33:1,300100,337600,357700,288300,259800,145600,6806,9209,255300,191100,274600,337900
139,21.86152,748.6183,[M+H]+,PC O-34:0,160900,255800,232200,160300,143800,156200,216000,250400,171400,132300,139100,189400
140,19.64578,746.6037,[M+H]+,PC O-34:1,1214000,1647000,1396000,1323000,1274000,1237000,1202000,1757000,1266000,921800,937200,1456000
141,17.96252,744.5858,[M+H]+,PC O-34:2,1176000,1559000,1240000,1312000,1249000,1274000,1225000,1709000,1248000,822700,866600,1257000
142,19.43195,744.5898,[M+H]+,PC O-34:2,176000,265100,208200,239300,158100,217800,144300,126300,105800,125100,105900,238300
143,17.86202,742.5736,[M+H]+,PC O-34:3,25400,48050,55570,137400,108000,40330,120600,57600,N/A,69460,200800,50690
144,15.78228,740.5619,[M+H]+,PC O-34:4,87570,85450,78310,53770,38350,53830,35670,52890,41880,3602,42650,77300
145,20.0011,758.6087,[M+H]+,PC O-35:2,56270,72570,63670,66110,53550,50480,41850,72760,56030,32740,2823,53740
146,16.76223,754.5796,[M+H]+,PC O-35:4,124200,124000,145100,114000,40820,81790,96780,116300,97930,108000,111800,146200
147,18.32,752.5555,[M+H]+,PC O-35:5,255100,269200,43240,12170,6140,27780,24230,39320,7509,43440,30240,3757
148,23.20895,776.6523,[M+H]+,PC O-36:0,151900,240300,231000,135000,131700,145200,195500,244700,145600,113100,116500,186400
149,21.94752,774.6331,[M+H]+,PC O-36:1,84740,111100,164600,120100,37190,51420,108400,184500,107600,36950,82110,96320
150,21.60487,772.6175,[M+H]+,PC O-36:2,370300,575000,484900,494600,498800,188200,445000,668000,461000,278200,313100,462200
151,18.19217,770.6014,[M+H]+,PC O-36:3,215800,295900,228800,29730,196600,47200,291600,355500,235500,32520,155900,266600
152,19.46045,770.6105,[M+H]+,PC O-36:3,204800,305200,231900,230700,374600,36350,213300,257400,195700,159200,154900,225100
153,18.2915,768.588,[M+H]+,PC O-36:4,887700,1285000,1057000,965600,709800,755200,674100,903800,685400,653500,621400,956800
154,17.44853,766.5695,[M+H]+,PC O-36:5,2296000,2830000,2392000,1709000,1638000,1778000,1673000,2281000,1621000,1571000,1693000,2410000
155,16.20793,764.5531,[M+H]+,PC O-36:6,7703000,7975000,6563000,7785000,6155000,6622000,8655000,7107000,5781000,5844000,7742000,6117000
156,18.87482,782.6024,[M+H]+,PC O-37:4,53480,102100,46660,70500,159900,118500,103300,120000,14600,85440,83320,91710
