gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Spint2,0.23,0.35,0.18,0,0.05,0,0.24,0.37,0
Lrrc56,0.38,0.5,0.66,1.82,1.87,1.98,1.45,1.74,1.87
Mark1-ps1,0,0,0,0.02,0,0.03,0,0,0
Eya1,0,0.06,0.03,0,0,0,0,0,0.02
Itprid2,5.71,6.06,5.1,6.65,7.12,7.54,8.27,8.79,8.38
Gfpt1,31.95,33.03,33.48,25.11,25.38,27.29,24.7,24.61,24.95
Gm19470,0.12,0.08,0.2,0.04,0,0.04,0.04,0.04,0.13
Ugp2,39.74,41.73,41.11,24.26,24.8,28.19,29.25,29.49,29.09
Ift172,5.57,5.64,5.99,7.51,8.13,7.99,6.28,6.22,5.79
Add3,17.13,21.2,17.72,81.07,85.01,79.17,46.05,44.67,43.52
Gnl2,21.67,21.46,22.84,30.81,32.63,31.32,14.36,14.26,15.89
Ptpn9,26.07,28.97,26.48,20.35,19.83,18.38,30.64,29.47,31.74
Als2cr11,0.04,0,0,0,0,0,0,0,0
Lurap1,0.99,1.17,0.66,0.49,0.35,0.17,1.37,0.35,0.91
Abca5,3.51,3.49,3.49,3.39,2.88,3.2,3.03,3.57,3.19
Arhgef39,3.94,3.21,3.1,2.14,2.05,2.16,0.45,0.45,0.55
Golph3l,7.11,8.55,7.14,10.24,10.27,10.6,12.02,11.46,10.91
Aqp11,0.28,0.05,0.24,0.68,0.43,0.76,0.19,0.14,0.31
Utf1,0,0.06,0,0,0,0,0,0,0
Vps4b,19.6,21.02,19.06,23.67,24.14,25.22,18.98,19.29,19.87
Degs2,0.6,0.68,0.48,0.59,0.74,0.44,0.46,0.38,0.29
Large2,0.05,0,0,0.05,0.1,0.04,0,0,0.05
Sowahb,0.01,0.02,0.02,0.02,0,0,0,0.01,0
Brk1,68.75,75.97,64.2,69.19,61.83,61.79,74.91,62.52,61.8
Tifa,1.39,1.52,1.24,3.98,4.53,5.62,5.47,4,4.45
Mrpl12,52.45,44.77,49.99,55.8,53.34,59.5,28.38,26.14,26.94
Khnyn,5.95,6.07,5.91,6.06,6.56,6.09,7.22,7,7.83
Gm46471,0.02,0,0,0,0,0,0,0,0
Zbtb4,11.06,10.84,10.87,11.29,10.8,10.13,24.5,26.01,24.85
Il25,0,0,0,0,0.06,0,0,0,0
Cad,27.91,26.16,29.44,29.4,28.02,26.34,11.13,10.31,11.02
Ubxn10,0.02,0,0,0,0,0,0,0,0
Tardbp,31.24,33.48,35.55,33.41,31.64,34.68,19.22,18.03,17.43
Dhrs1,29.31,27.14,27.32,27.42,28.48,29.4,25.99,26.3,26.02
Med31,4.91,3.87,3.42,5.66,4.68,4.36,4.47,3.48,3.38
4930503B20Rik,0.16,0.13,0.39,0.1,0.12,0,0,0.15,0.05
Rab7,160.95,161.94,160.24,125.02,126.92,131.1,174.83,175.93,181.53
Acp5,0.44,0.41,0.53,0.28,0.37,0.26,5.86,5.67,3.54
Zfp955a,4.5,4.04,4.09,4.35,4.29,4.49,4.03,3.75,3.67
Tex30,11.41,11.86,11.73,8.66,9.91,10.81,2.7,2.72,2.76
Igfbp5,42.76,41.65,39.49,8.89,9.68,8.39,113.61,126.02,132.9
E330009J07Rik,0.65,0.58,0.57,0.82,0.75,0.81,0.63,0.73,0.7
Thap12,36.31,38.26,38.69,35.24,39.4,40.01,24.59,24.17,23.12
Eno1b,0.07,0,0.05,0,0.05,0.06,0,0.34,0.06
Zfp949,1.2,1.73,1.54,1.59,1.75,1.67,2.25,2.37,2.43
Efcc1,0.02,0.22,0.05,0.02,0.01,0.01,0.13,0.06,0.11
Gpr151,0.07,0.08,0.08,0.08,0,0.15,0.07,0.04,0.04
Azi2,15.29,16.41,15.23,16.16,15.26,15.36,15.05,14.5,15.58
Bzw2,50.51,49.73,51.77,57.16,56.37,55.87,31.24,31.16,31.29
Guca1b,0.48,0.63,0.72,0.39,0.53,0.52,0.3,0.56,0.25
Fbxw7,4.77,4.85,4.86,4.94,5.2,5.07,5.16,5.1,4.74
Dsc1,0,0,0,0,0,0,0.01,0,0
Slc22a12,0,0,0,0,0.03,0,0,0,0
Slc27a1,1.67,1.26,1.7,3.93,3.88,2.81,12.42,17.57,15.05
Stmn4,0,0.19,0.22,0.14,0.29,0.07,0.41,0.22,0.15
Ptprn,47.11,42.76,46.79,55.94,52.33,55.77,14.22,13.17,13.89
Agfg2,7.06,7.84,6.9,12.67,12.46,12.61,8.61,9.38,9.05
Sult1a1,0.05,0.23,0.07,0.39,0.49,0.26,4.34,6.01,6.61
Slc51a,0,0.04,0,0,0,0,0,0,0
Celsr1,0.04,0.05,0.04,0.03,0.06,0.02,0.02,0,0
Gm10220,0,0,0,0,0,0.04,0.03,0,0.02
Nolc1,34.97,37.17,38.43,46.17,42.57,43.84,13.82,13.18,13.45
Ddx28,5.5,5.23,5.77,8.3,9.12,8.88,5.14,5.06,4.69
Hspbap1,3.28,3,3.28,2.87,3.16,3.11,2.66,2.63,2.94
Apba2,0,0,0,0,0,0,0.07,0.14,0.06
Epb41l5,0.5,0.66,0.57,0.43,0.43,0.29,0.72,0.82,0.82
Cd24a,29.1,28.58,28.1,60.29,54.28,61.65,9.46,7.83,7.8
Npr1,0.31,0.24,0.17,0.97,1.06,0.9,0.48,0.51,0.41
Aebp2,17.47,18.5,18.08,14.07,14.97,14.7,12.61,13.43,12.88
Ppargc1a,0.04,0.04,0.08,0.61,0.31,0.24,0.35,0.41,0.53
Lpcat3,29.23,30.54,27.57,60.63,55.23,55.04,31.05,27.89,30.48
Tnfrsf23,37.16,35.69,36.05,14.14,14.66,14.32,19.35,15.99,18.25
Mybbp1a,75.63,71.7,76.41,65.83,68.26,70.24,33.23,31.92,29.7
Fas,5.01,5.95,5.11,5.29,4.73,4.47,7.91,8.22,9.22
Ankrd66,0,0,0.05,0,0,0,0,0,0
Nsun4,3.73,3.24,3.41,5.26,3.86,4.09,3.03,2.33,3.14
Rom1,3.83,3.27,3.99,2.87,3.54,3.84,5.5,4.75,5.27
Cldn34c2,0,0.15,0,0.91,0,0,0,0.34,1.07
Ybx3,202.48,206.76,197.53,118.1,122.11,119.69,73.1,82.86,83.37
Gm29958,0.05,0,0,0,0,0,0,0,0
Pwp2,8.2,8.56,8.19,6.8,8.06,8.08,3.86,4.2,3.87
Tmem120b,3.42,3.35,3.28,7.1,7.14,6.65,4.09,5.65,4.68
Gm597,0,0,0.02,0,0,0,0,0,0
Sbf2,14.66,17.6,15.58,11.51,10.17,9.83,16.86,17.03,16.48
Serpinb7,0.06,0.07,0.16,0.17,0,0,0.13,0.16,0.04
Cpt1c,22.37,19.94,20.41,32.51,33.05,32.33,29.23,28.34,32.17
Afap1,29.17,28.52,28.67,27.82,24.91,22.78,29.07,29.55,28.57
Eif3a,97.06,107.65,107.78,86.97,86.23,89.12,67.99,67.13,64.39
Gm12223,0,0,0,0,0.03,0,0,0,0.04
Ube2m,127.35,112.87,114.98,87.43,88.78,90.89,78.93,66.7,68.02
Zbtb42,1.24,0.94,0.87,0.84,0.93,1.13,1.78,1.46,1.28
Zfp608,3.96,4.96,4.19,9.88,9.86,9.92,8.53,8.66,8.69
Mrpl21,23.19,19.58,19.18,17.51,15.92,14.75,15.02,12.27,10.6
Rorc,0,0,0,0,0,0,0.27,0.78,0.22
Usp46,10.33,10.19,9.93,14.96,13.84,13.93,10.93,11.03,10.84
Sdcbp,52.28,54.17,51.85,57.71,53.06,59.24,60.08,58.54,56.72
Inf2,24.4,21.65,23.77,13.84,14.32,14.57,16.13,18.09,18
Dbndd1,0.37,0.3,0.62,1.17,1.12,0.55,1.13,0.86,0.94
Wnt10b,0.38,0.12,0.15,0.06,0.08,0.06,0.12,0.06,0.07
Phf8,6.1,6.92,6.74,7.25,7.01,6.34,7.18,7.19,7.92
Zfp990,0.05,0.06,0.05,0,0,0,0.09,0.09,0.07
Gm29776,0,0,0,0,0,0,0,0.01,0
Nudt1,7.76,6.7,7.43,6.44,6.63,7.56,3.92,4.35,4.11
Kcnab1,5.33,4.98,5.18,0.45,0.54,0.37,1.35,1.85,1.12
Grk3,0.23,0.11,0.15,0.07,0.11,0.02,0.18,0.06,0.15
Smyd3,3.97,4.88,4.08,6.03,5.7,6.34,4.72,3.95,4.33
Timp1,1212.62,985.78,1152.64,1067.84,1064.37,1177.39,479.62,420.84,422.57
Stx12,34.47,35.62,34.36,31.48,26.61,29.25,33.43,31.67,28.95
Ndufs3,45.26,44.47,42.38,49.53,50.7,53.06,44.04,39.71,43.45
Med13l,13.14,13.54,13.24,28.29,25.92,24.71,16.7,17.85,19.08
Rab3ip,12.11,11.08,11.97,5.03,4.76,3.59,4.11,3.6,3.33
Adss,35.57,35.66,35.15,28.36,31.13,32.65,23.58,23.73,22.92
Hecw2,1.14,0.98,1.85,0.4,0.31,0.45,0.98,0.95,0.93
Dnase2a,6.99,5.41,6.16,7.02,7.31,9.03,9.81,9.76,9.44
Canx,181.4,191.99,187.86,143.72,140.44,153.72,128.88,123.81,120.53
LOC108168108,0.01,0.09,0.06,0.01,0.01,0.01,0.09,0.04,0.01
Plcl2,1.01,1.27,1.08,0.63,0.66,0.81,0.77,1.05,0.71
Slc29a2,1.06,1.09,1.21,1.18,1.03,1.03,1,0.87,1.11
Rad54b,3.67,3.69,3.94,2.14,2.06,2.5,0.28,0.52,0.52
Slco1a4,0.02,0,0,0,0,0,0,0,0.02
Dgat1,7.69,9.3,7.4,19.77,17.67,16.63,14.36,14.64,13
Orm3,0,0,0.03,0,0,0,0.11,0.21,0.1
Fbxo9,9.36,9.81,10.08,15.42,15.04,15.59,10.23,10.92,10.43
Ltbr,64.25,62.63,60.77,94.98,104.07,99.49,92.36,90.24,86.46
Rffl,2.77,2.78,2.8,1.26,1.32,0.92,2.77,3.09,2.85
Dctn4,27.09,28.48,26.41,31.1,31.22,32.82,31.36,29.7,29.44
Glrx3,89.6,90.13,85.83,80.55,84.21,84.36,88.84,84.72,83.51
Ankle2,9.32,8.4,9.73,9.12,9.31,10.31,9.11,9.08,9.74
Lpgat1,17.55,18.32,17.64,38.06,37.5,36.21,27.47,29.54,26.46
Cox16,12.43,13.06,13.05,19.72,17.79,19.73,19.63,14.8,17.46
Cbr4,5.71,6.68,5.96,7.26,7.98,9.51,7.29,7.71,7.48
Kctd9,16.36,17.23,18.16,9.31,9.45,10.11,9.44,8.74,10.38
Krtap28-13,0,0,0,0,0,0.13,0,0,0
Klhl41,0.17,0.27,0.24,0.14,0.21,0.24,0.09,0.11,0.08
S100a5,0.38,0.2,0.16,0.13,0.19,0,0.12,0.19,0
Lrfn2,0,0,0,0.11,0.02,0.06,0.08,0.04,0.07
Tmem204,0.2,0.47,0.49,0.1,0.54,0.31,0.28,0.51,0.23
Gm38717,0,0,0,0,0,0.03,0,0,0
Ccdc148,0.01,0.08,0.05,0.08,0,0.06,0.17,0.03,0.11
Selenon,62.5,64.75,60.56,62.66,62.24,64.89,74.59,78.68,77.73
Dhodh,4.32,4.75,4.67,5.6,6.72,6.99,3.06,2.74,2.96
Dip2b,4.43,4.65,4.5,5.12,4.87,4.16,4.5,5.09,4.99
Atf7ip2,0.38,0.24,0.41,0.69,0.44,0.43,0.06,0.02,0.07
Pigt,28.21,27.33,26.17,60.87,61.27,58.68,52.98,55.59,51.45
Gm4275,0,0.07,0.07,0.19,0,0.07,0,0,0.03
Rad54l2,6.28,6.9,6.51,7.31,7.15,7.52,4.47,4.5,4.48
Mapk8ip3,8.72,9.08,9.05,13.21,12.43,12.11,11.35,11.59,11.79
Hoxd10,0,0,0.03,0.07,0,0.03,0,0.07,0.02
Cntnap1,0.38,0.42,0.37,1.64,1.61,1.78,1.99,2.12,2.18
Xxylt1,16.91,17.88,18.3,19.66,19.36,19.67,16.98,16.9,15.41
Serpinb9e,0,0,0,0,0,0,0,0.06,0
4933428G20Rik,0.26,0.18,0.22,0.05,0.22,0.13,0.08,0.09,0.34
Egfr,40.53,46.59,41.36,211.13,200.64,203.42,97.33,93.82,95.36
Hs3st3a1,1.03,1.47,1.19,0.52,0.59,0.7,0.68,0.62,0.74
Ttc30a1,2.2,2.23,2.33,2.8,2.57,3.13,1.76,1.7,1.76
Tspan3,76.54,79.35,74.62,134.3,132.98,131.49,109.07,105.62,108.8
Rims3,0.06,0,0.05,0.04,0.02,0.02,0.03,0,0
Gstcd,9.5,10.66,10.94,7.71,8.04,7.13,3.5,4.11,3.91
Dync2li1,4.9,3.94,3.54,14.47,13.36,15.09,9.47,10.04,10
Homer3,28.65,26.71,27.03,18.47,16.99,15.85,37.42,35.14,36.02
Hist1h1c,30.35,31.51,31.72,47.86,49.97,52.68,115.27,108.09,126.23
Foxp2,0.82,1.04,0.97,0.76,0.82,0.64,1.16,1.18,1.08
Smim15,42.33,47.42,49.44,27.28,24.87,27.76,26.77,27.15,25.47
Siah1b,4.63,4.41,4.64,3.7,3.76,3.99,1.11,1.76,1.21
Ranbp17,1.12,0.92,1.16,0.74,0.64,0.83,0.53,0.69,0.52
Igfals,0.08,0.03,0.09,0.15,0.08,0.11,1.32,1.5,1.51
Kdm5c,19.39,19.73,20.68,19.54,20.66,20.86,19.31,18.27,19.02
Slc45a4,7.84,7.7,8.06,9.34,9.78,10.12,6.79,6.59,6.32
Fbxo21,11.12,11.87,12.01,13.23,12.07,12.14,16.97,16.92,17.08
Tdo2,0,0,0,0.19,0.11,0.11,0.18,0.07,0
Zfp976,1.68,1.54,1.35,1.82,1.92,1.71,1.65,1.59,1.86
Gnas,756.11,713.08,743.28,744.82,774.68,798.5,958.26,983.9,955.14
Cyb5a,126.3,138.85,134.75,278.91,248.74,252.37,211.92,188.51,192.2
Tcf7l2,11.6,10.36,10.14,9.09,7.11,6.93,9.68,10.49,11.3
Hist1h1b,0.34,0.36,0.09,0.35,0.09,0.17,0.67,0.34,0.28
Rnasek,143.69,152.14,132.69,139.73,148.82,133.57,129.26,128.76,139.13
Mettl15,3.02,3.23,3.65,3.01,2.14,3.33,3.01,1.75,2.44
Tmtc3,25.79,28.76,27.73,25.32,23.55,24.24,16.59,17.72,16.9
Gas2,2.49,2.16,2.28,1.4,1.48,1.41,9.19,8.73,7.87
Wsb1,56.06,54.83,57.05,48.43,45.41,49.84,32.45,30.22,29.87
Pcsk1n,0.03,0.03,0,0,0.11,0.08,0.19,0.05,0.03
Siah1a,7.19,7.44,6.41,7.54,9.2,8.63,9.2,9.24,6.92
Sprtn,8.81,8.91,9.24,11.33,10.55,10.58,8.33,9.63,8.73
Satb2,1.71,1.67,1.7,1.25,1.34,1.26,0.98,1.1,1
Gnpda2,15.17,15.42,15.02,21.61,24.48,24.18,19.28,19.44,17.3
Gm14295,42.85,42.63,42.02,46,44.3,49.79,34.36,31.21,30.24
Snrpc,98.39,90.62,93.64,76.86,76.37,69.16,52.2,48.92,50.11
Camk2n2,10.35,9.83,9.14,8.52,8.68,9.99,6.38,6,5.74
Pomgnt1,30.64,27.74,27.68,26.44,27.28,26.98,18.4,17.59,17.16
Txn1,184.36,197.76,180.3,128.92,111.58,130.57,83.04,72.8,75.22
Sox7,0.14,0.06,0.07,0.18,0.09,0.07,0.02,0.04,0.02
Yme1l1,29.15,31.13,30.63,32.19,32.83,33.9,24.59,24.64,24.07
Wdr45b,25.88,26.12,25.2,27.73,26.65,28.14,27.92,24.02,22.7
Dgcr6,11.85,11.52,11.4,13.15,13.98,14.3,11.63,11.51,10.16
Ap5b1,1.18,1.08,1.32,1.86,2.12,2.33,2.6,2.77,2.64
Bicdl1,1.27,1.44,1.13,2.39,2.53,1.93,2.8,3.36,3.01
Gm3973,0.55,0.67,0.2,0.49,1.34,0.48,1.31,0.69,0.84
Surf2,16.51,16.14,14.82,20.81,18.29,19.31,13.4,14.26,14.93
Mpv17,19.57,18.47,16.91,22.96,24.83,27.48,33.43,31.46,30.56
Fam24b,0,0,0,0.21,0,0.1,0,0,0
Zfp65,5.61,6.13,6.14,6.61,6.12,6.51,6.59,6.1,6.08
Vxn,0,0.02,0.02,0,0,0,0,0,0
Actr10,17.29,17.48,17.2,13.79,15.02,15.23,13.81,13.09,12.53
Dcp1b,0.98,0.86,0.86,0.85,0.8,0.75,1.73,1.49,1.7
Cd248,194.02,192.79,190.27,252.59,292.17,248.91,468.05,480.15,497
Slc1a5,55.94,59.17,57.69,172.03,172.6,160.83,124.67,145.18,134.58
Ppil1,25.26,24.5,25.55,20.77,20.18,19.91,10.11,10.11,11.68
Klk6,0.05,0,0,0,0,0,0,0,0
Hist3h2ba,0,0,0.35,0,0,0,0,0,0
Sergef,2.75,2.06,3.06,3.73,3.33,3.23,2.64,2.39,2.22
Itsn1,43.45,47.86,43.68,84.42,83.32,76.59,51.93,54.09,52.49
Gm14685,0,0,0,0,0,0.02,0,0,0
Arhgdig,2.47,2.54,2.66,0.9,0.32,0.38,0.99,1.06,0.9
Atp2a3,0.18,0.09,0.05,0.07,0.04,0.03,0.04,0.08,0.01
Gm10406,0.51,0.47,0.59,0.57,0.24,0.34,0.44,0.32,0.16
Syndig1,0.94,0.71,0.56,0.6,0.74,0.42,4.51,3.5,3.88
Olfr1033,4.21,2.53,4.5,12.9,13.5,17.93,3.2,3.6,3.52
Zdhhc18,21.34,19.5,21.08,14.35,15.92,15.99,13.15,14.15,13.76
Rhebl1,1.09,1.08,1.28,0.8,0.81,1.04,0.87,0.79,0.75
Wls,112.75,122.24,112.55,98.28,102.12,101.09,127.68,118.29,117.55
Slc22a18,1.17,1.51,0.8,0.95,0.81,0.66,6.88,7.89,6.41
Slc8a2,0.05,0.05,0.07,0.03,0.01,0.04,0.07,0.1,0.02
Hist1h2ao,2.68,1.68,5.27,2.84,2.8,6.72,0.58,0,0.62
Aox1,1.76,2.3,1.44,2.26,2.47,2.31,4.81,5.46,4.98
Tmc6,5.67,5.35,4.9,1.85,2.13,2.18,7.95,7.25,7.86
Fpr1,0,0.1,0.1,0.1,0,0,0.05,0.05,0
Arhgef19,2.69,2.73,2.28,1.77,2.06,1.58,2.86,3.07,3.28
Prtn3,0,0,0,0.76,0.81,0.33,1.52,1.61,1.19
Rnf24,9.56,9.61,9.83,8.12,7.5,6.52,8.68,9.04,9.03
Nab2,64.61,62.98,65.74,60.28,57.73,60.19,44.19,40.44,40.52
Olfr652,0,0.13,0,0,0,0,0,0,0.07
Pcdh17,0.04,0.06,0.03,0.13,0.06,0.1,0.02,0.01,0.03
Cab39,30.78,30.48,31.04,25.57,24.98,26.07,24.34,23.26,22.62
Sgo1,8.37,7.92,9.41,5.65,5.6,6.54,0.88,0.81,0.98
Adrb3,0.27,0.37,0.38,0.81,0.8,0.51,5.58,9.73,8.37
Tiprl,21.26,22.49,21.98,17.63,19.32,20.74,18.61,16.73,17.9
Mcmbp,18.42,17.48,16.43,16.1,16.6,17.53,10.05,10.7,10.18
Gosr2,46.72,46.44,44.55,46.93,45.88,47.17,50.07,44.24,45.44
Sc5d,33.68,37.08,34.28,37.79,35.75,36.57,47.48,42.86,46.7
Prdx6b,0,0,0,0,0.02,0.02,0,0.02,0
Il15,0.58,1.03,1.06,0.49,0.13,0.24,0.9,0.59,0.85
Kctd11,23.35,21.57,22.57,25.88,25.22,26.7,23.91,23.89,24.74
Pecr,4.01,4.17,4.58,3.67,4.31,3.23,4.8,5.43,3.85
Lrrc36,0,0,0,0.03,0,0,0.09,0.06,0.1
Mrpl15,10.43,9.78,10.76,9.44,9.47,10.67,6.45,6.81,5.85
Gm5617,3.21,4.74,3.78,7.07,10.85,9.3,3.45,4.27,4.74
Fam118b,8.03,7.14,6.53,9.67,9.41,10.07,8,7.98,6.87
Itm2b,146.48,147.83,143.01,296.85,294.66,283.69,597.53,557.04,541.78
Gpld1,0.3,0.3,0.24,0.18,0.25,0.23,1.38,1,1
Elovl1,85.38,77.66,79.84,75.6,76.92,73.22,70.37,67.12,63.67
Ttyh2,16.42,15.08,15,20.56,18.8,18.31,20.15,21.65,19.69
Flot1,28.73,28.92,25.68,34.41,41.36,41.47,69.94,63.62,62.24
Ccdc136,2.85,2.2,2.66,3.69,2.91,3.72,5.01,5.23,5.31
Scgb1a1,0,0,0.34,0.52,0.51,0,0.83,1.51,1.12
Slco5a1,0.78,0.57,0.69,1.08,1.02,0.84,0.66,0.6,0.56
Lmo2,0.2,0.13,0.16,0.13,0.25,0.11,1.17,0.77,1.23
Pld4,0.07,0.03,0,0.09,0,0,0.96,0.15,0.47
Ip6k2,13.73,12.88,14.4,17.85,16.02,17.68,14.25,12.82,12.43
Myg1,16.05,14.18,19.15,13.11,13.12,13.71,11.78,10.57,8.22
Socs6,10.06,9.45,9.19,7.98,7.24,8.01,6.29,6.16,6.62
Qpct,7.2,7.89,8.25,1.87,1.96,2.26,16.51,18.5,16.18
Inpp4a,2.9,3.43,3.29,3.99,3.52,3.58,3.82,3.65,3.53
Tmem181a,14.3,15.93,14.73,15.97,15.03,15.14,14.59,14.35,14.1
Atm,4.66,4.94,5.41,5.89,5.11,5.33,3.52,3.61,3.72
Cdh11,93.6,92.58,96.18,85.47,92.42,90.02,129.09,138.33,125.94
Npy2r,0.09,0.04,0.12,0.07,0.23,0.1,0.02,0.04,0.06
2610002M06Rik,3.16,3.26,3.34,3.08,3.24,3.12,5.41,5.1,5.11
Adcy10,0.02,0,0,0.01,0.05,0.01,0.02,0.01,0.06
Gm10044,0.25,0.25,0.09,0.07,0.15,0.14,0.23,0.15,0.15
Ophn1,2.53,2.61,2.59,5.71,6.84,6.13,5.61,4.8,4.83
Igdcc4,6.72,6.21,6.46,7.11,6.89,6.01,10.57,11.6,10.84
Naa80,8.55,8.84,9.23,10.62,11.04,8.13,16.33,17.13,16.38
St3gal4,15.78,14.59,16.4,10.25,9.13,9.18,14.2,12.77,13.45
Hap1,0.08,0.06,0.08,0.02,0.07,0,0.07,0.03,0.03
Adam1a,0.56,0.45,0.6,0.53,0.6,0.48,0.69,0.71,0.74
Qser1,15.29,17.05,16.63,11.44,10.52,10.78,11.2,11.1,10.32
Ints8,17.28,16.92,18.67,13.34,13.16,15.23,12.13,11.67,11.01
Il13ra1,7.6,7.23,7.51,24.24,24.24,28.61,14.67,13.63,13.93
Pdhb,33.7,32.49,31.66,41.21,36.46,38.81,32.88,34.22,33.51
Rbm44,0.13,0.08,0.14,0.12,0.14,0.15,0,0.02,0
Slc12a2,5.06,5.72,5.09,8.33,7.4,8.29,3.61,3.65,3.84
Mfap3,9.93,10.54,10.94,9.87,10.1,10.1,9.53,10.67,9.81
Olfr1383,0.14,0,0.14,0,0.07,0,0.07,0,0.08
Cysltr1,0,0,0,0,0,0,0,0.02,0.05
Gm2427,0,0,0,0,0,0.04,0.09,0.05,0
Mamdc4,0.15,0.16,0.25,0.38,0.26,0.15,0.18,0.15,0.13
Mlycd,2.83,2.53,2.62,5.66,5.69,6.13,6.02,5.34,5.37
Rbm47,1.53,1.45,1.61,0.76,0.58,0.41,0.92,1.24,0.9
Pcdh10,0.4,0.29,0.29,0.95,0.93,0.94,0.28,0.25,0.17
Mkrn2os,0.02,0,0.02,0.02,0.07,0.05,0.02,0,0.08
Nxt2,8.44,9.28,9.55,8.45,8.76,7.53,6.23,7.6,6.7
Cdc42ep2,30.48,29.55,30.23,26.1,23.11,23.88,37.56,34.15,36.06
Zfp600,0,0,0,0,0,0,0,0.01,0.02
Cacna2d1,8.77,10.39,9.57,10.53,9.22,11.26,9.24,8.74,9.39
0610010B08Rik,0.86,0.2,0.78,0.25,0.3,0.98,0.42,0.55,0.45
Vps52,19.53,18.42,18.84,23.3,23.84,23.52,18.6,19.81,17.86
Gm30124,1.43,2.26,1.74,1.59,1.48,1.58,1.7,1.21,1.24
Pmvk,9.78,9.08,11.07,13.16,12.94,13.58,15.18,13.59,16.43
Ears2,4.19,3.82,3.64,4.29,4.6,3.93,3.13,3.28,2.59
Snx6,25.12,26.04,24.95,23.29,22.63,25.94,29.37,26.68,28.01
Rfxap,3.23,3.82,2.93,4,3.29,3.36,3.42,3.87,3.31
Cenpa,28.07,29.1,31.88,19.36,19.73,21.81,2.42,2.31,3.2
Otub2,2.66,2.54,3.13,2.12,2.2,2.21,3.24,3.36,2.23
Prr9,0.37,0.17,0.32,0,0,0.05,0,0,0
Tfdp1,84.73,84.26,88.72,76.39,74.51,75.95,37.82,36.44,37.14
Ggct,5.99,7.54,7.1,7.33,6.77,6.51,5.81,4.46,5.22
Tulp4,55.18,59.38,59.18,31.68,29.09,26.52,41.95,41.24,42.81
Fam151b,1.24,1.82,1.18,1.9,2.18,1.94,2.18,1.78,1.89
Brix1,20.2,20.47,21.14,22.99,22.2,21.62,11.51,11.58,11.99
Gba,45.1,44.97,39.42,41.72,43.31,35.97,52.72,45.31,49.16
Ovol3,0.04,0.04,0,0,0,0,0,0.03,0
Plekha4,1.18,1.17,1.14,1.87,2.74,2.06,9.05,6.65,6.71
Chd9,6.71,7.9,7.51,8.8,8.07,7.65,8.21,9.01,8.22
Slc2a9,0.55,0.59,0.63,0.81,0.54,0.42,0.83,1.22,1.21
Kbtbd7,2.27,2.26,1.89,2.12,2.16,2.04,3.36,3.01,3
Ccdc149,0.84,0.88,0.91,0.25,0.34,0.51,1.65,2.15,1.87
Pnrc1,16.13,16.72,16.24,40.98,39.09,42.79,47,43.23,43.6
Cdx1,0,0,0,0,0,0,0,0,0.04
Ppp5c,34.14,30.43,32.08,33.67,32.39,29.9,22.21,20.95,20.69
Luc7l2,40,41.74,41.28,46.63,44.27,48.04,34.86,36.89,36.82
Anxa3,231.52,232.08,226.87,37.54,36.36,35.62,60.76,57.45,58.9
Ly6e,107.53,101.25,102.6,170.6,173.97,169.93,202.37,134.21,133.58
Fam13b,24.59,26.3,26.31,19.32,17.86,19.13,24.31,24.2,23.31
Mtmr7,0.08,0.25,0.23,0.25,0.11,0.22,0.28,0.43,0.23
Terb1,0.06,0.12,0.13,0.07,0.04,0.07,0.08,0.1,0.05
Gm8220,0,0.05,0,0,0,0,0,0,0
Mettl17,4.03,3.84,3.16,3.69,3.27,3.48,4.51,4.63,4.93
Grk4,3.39,3.89,3.58,4.65,3.56,3.51,4.94,4.91,6.08
Fadd,5.52,4.91,4.85,4.89,4.48,4.61,4.44,4.97,4.72
Cfl1,1145.34,1103.23,1095.78,739.46,726.89,758.63,526.46,504.13,512.49
Pygb,23.46,23.9,22.48,29.9,33.59,33.46,44.49,42.99,42.11
Cnnm3,3.29,3.57,3.35,4.94,5.06,5.14,5.22,5.52,5.32
Rpf2,16.62,15.47,16.49,16.2,14.28,16.53,8.32,7.76,8.17
Fpgs,16.17,13.43,15.1,11.19,11.08,10.81,10.08,9.65,9.71
Sema3d,2.02,2.15,1.64,0.16,0.23,0.23,5.23,6.91,5.49
Gm40378,0,0,0.1,0.1,0.13,0.2,0.31,0.09,0
Kcnj14,0.07,0.19,0.16,0.02,0.06,0.16,0.04,0,0.08
1700003E16Rik,0.32,0.49,0.24,0.12,0.24,0.32,0.61,0.44,0.42
Chdh,0,0.04,0.04,0.02,0,0,0.06,0.06,0.04
Col4a4,0.06,0.07,0.07,0.06,0.06,0.04,0.2,0.19,0.17
LOC108168155,0,0,0.09,0,0,0,0,0,0
4931409K22Rik,0,0,0.02,0,0,0,0,0,0
Spty2d1,9.28,10.6,9.99,10.98,10.52,9.7,9.6,9.27,9.23
Sucla2,30.7,34.48,31.63,30.9,31.06,35.25,29.99,27.78,28.35
Iqsec2,6.68,7.24,6.99,6.5,6.95,6.71,10.16,11.04,11.34
Spin2c,1.24,0.56,0.74,0.7,0.65,1.05,0.82,0.82,0.48
Hsf2,6.33,7.89,7.41,9.35,6.61,9.19,5.34,5.16,5.18
Creb3l3,1.22,1.16,1.34,0.32,0.39,0.29,1.34,1.15,1.39
