gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Zfp58,2.1,1.91,2.34,3.1,2.87,2.86,2.47,2.87,2.77
Arsk,3.26,3.83,2.89,4.43,4.33,4.99,9.66,8.74,8.96
Pcmt1,18.81,18.53,18.91,16.4,16.91,19.72,15.51,15.66,13.18
Dnaja2,57.87,57.93,62.16,57.87,55.14,58.09,47.56,43.96,46.45
Spag16,0,0,0,0.05,0,0,0,0,0
Tdp2,11.4,11.6,12.41,13.88,11.72,11.73,6.74,6.69,5.8
P4ha1,101.73,110.08,108.8,98.1,95.18,104.31,108.78,101.54,100.62
Smok2b,0.03,0,0,0,0,0,0,0,0
Zcchc2,6.1,6.28,6.76,8.39,8.02,7.98,5.94,6.38,5.97
Tmem196,0.02,0,0,0,0,0,0,0,0
Fndc3b,53.52,55.84,54.94,74.84,71.01,73.55,62.94,63.35,65.76
Lrrfip2,13.51,14.15,12.93,10.74,10.04,10.22,10.76,11.67,11.11
LOC102637806,0,0,0.05,0,0,0,0,0,0
Psmd8,144.8,139.13,136.19,87.09,89.2,83.72,91.05,88.98,91.71
Tas1r2,0.04,0,0,0,0,0.02,0.02,0,0.02
Rtraf,73.13,66.62,69.78,80.53,79.5,86.19,79.1,69.53,67.05
Acacb,0.32,0.37,0.35,0.55,0.53,0.36,1.64,2.23,1.78
Slc7a10,0,0,0,0,0.1,0.03,0.37,0.63,0.53
Ptpn14,12.34,13.1,13.63,9.68,8.17,6.7,9.32,9.99,10.11
Slc35g1,0.82,1.04,1.12,0.5,0.52,0.63,0.52,0.52,0.35
Rcbtb1,12.25,13.55,12.44,9.54,9.23,9.33,11.22,11.35,11.17
Vps37c,12.96,11.79,12.72,11.83,13.43,12.87,12.34,11.69,12.68
Ebi3,0,0,0.05,0,0,0,0.08,0.24,0
Rcan2,4.21,4.73,4.26,0.74,0.64,0.95,8.76,10.59,8.99
Gng11,12.31,9.46,9.64,4.94,4.37,5.27,8.85,7.75,7.98
Sap18b,153.02,145.8,147.9,101.75,103.31,102.9,75.7,73.7,78.38
Pou6f2,0,0,0,0,0,0,0.06,0.03,0
Ago4,0.62,0.73,0.92,0.65,0.7,0.88,1.07,0.99,0.94
Psmc3,85.1,87.88,90.18,65.05,67.22,65.65,55.75,51.96,55.42
Acot1,4.08,4.39,3.77,2.74,2.24,1.72,3.83,4.29,3.38
Il21r,0,0,0,0,0,0,0.07,0,0.03
Manbal,18.59,20.82,20.36,21.41,21.22,20.67,20.87,17.52,20.01
Afg3l1,16.14,16.43,16.42,12.9,13.32,14.98,11.28,10.93,9.17
Cutc,1.75,1.61,1.79,2.77,2.89,2.02,3.31,2.2,2.34
Gtf2h3,7.58,6.99,7.6,13.06,11.41,11.89,7.63,7.11,6.63
Ermp1,8.69,9.49,8.72,18.81,19.96,19.04,6.06,7.27,6.39
Pxt1,0,0,0,0,0.06,0.13,0,0,0.07
Idh2,50.11,45.54,47.18,34.94,38.57,34.23,26.34,24.51,22.21
Vmn1r40,0.05,0,0,0,0,0,0.07,0,0
Ddx39b,102.96,91.92,95.84,115.18,114.63,115.42,64.75,62.62,58.92
Lamp3,0,0,0.02,0,0,0,0,0,0
