,UD,UD,UD,D2D,D2D,D2D,D7D,D7D,D7D
Metabolite.name,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
TG 50:2|TG 15:0_15:1_20:1,66466,169253,524795,1820964,576238,449370,662723,384198,141524
TG 50:2|TG 16:0_16:0_18:2,1042118,1115408,2361703,2912748,3413863,1245509,2940389,1936637,1950816
TG 50:2|TG 16:0_16:1_18:1,3970476,8424630,11876046,10538429,10236556,8120684,17872648,7451714,7670428
TG 50:2|TG 16:0_18:0_16:2,16032,252974,64827,71212,48154,131891,132393,89045,45643
TG 50:3|TG 13:0_16:1_21:2,31536,67246,123941,201874,152928,95954,211001,57573,112756
TG 50:3|TG 14:0_16:0_20:3,2950900,9932123,15221872,15456352,14712982,10094984,15160813,9246300,7103276
TG 50:3|TG 14:0_16:1_20:2,329263,807599,606722,1164086,1117607,844100,911266,799394,735881
TG 50:3|TG 15:0_17:1_18:2,57539,142544,188167,131699,220063,135050,172892,105610,95391
TG 50:3|TG 16:0_16:1_18:2,431515,1289813,1481613,1292536,1399974,1183300,859294,1192046,846952
TG 50:3|TG 20:0_14:1_16:2,22287,14995,133184,135666,82365,20625,42357,62766,42148
TG 50:3|TG 9:0_24:1_17:2,40834,9039,52407,117037,144802,81503,60093,56892,65524
TG 50:4|TG 14:0_14:1_22:3,14735,7562,48037,23739,40801,26291,31944,18326,13262
TG 50:4|TG 14:0_16:2_20:2,102754,611440,993280,891159,1006435,625612,840726,551638,384044
TG 50:4|TG 14:1_16:1_20:2,591750,3248151,4246062,6624967,6002713,3694426,6205122,3296489,2627706
TG 50:4|TG 16:0_16:1_18:3,146706,311017,2014144,550578,803379,358850,591923,475964,273418
TG 50:5|TG 14:0_18:2_18:3,179089,209162,886967,570887,1094997,354131,678728,407361,556648
TG 50:5|TG 16:1_16:2_18:2,151846,598934,416223,792852,212399,199252,647903,176348,433728
TG 50:6|TG 14:1_18:2_18:3,10475,5399,42784,52176,53690,3340,24745,19403,27407
TG 50:8|TG 13:1_13:1_24:6,27722,7279,13248,13213,14744,3381,10264,16486,21160
TG 50:8|TG 15:1_17:2_18:5,76938,45707,34658,34673,31750,17246,26256,39165,47383
TG 50:8|TG 16:2_16:3_18:3,106807,35298,44464,53277,46849,16189,38933,44063,73113
TG 51:0|TG 14:0_15:0_22:0,27243,15618,28685,46975,13924,22009,25921,56129,15161
TG 51:0|TG 14:0_16:0_21:0,997230,732950,1419578,1545100,6011162,954828,1428509,3576290,645984
TG 51:0|TG 17:0_17:0_17:0,22511,29643,90806,24221,77944,26043,55173,25126,29102
TG 51:1|TG 14:0_18:0_19:1,11533,61275,91654,75475,19144,62404,58902,49544,36995
TG 51:1|TG 15:0_18:0_18:1,72537,392220,654606,476055,560097,417246,470212,418952,299849
TG 51:1|TG 16:0_17:0_18:1,157389,768436,846927,469932,656255,686501,578374,469350,236890
TG 51:1|TG 17:0_17:0_17:1,28318,120912,232465,152929,217735,71219,181198,188168,83748
TG 51:1|TG 18:0_20:0_13:1,54774,55943,343433,194514,131509,175253,273392,150240,57027
TG 51:1|TG 8:0_21:0_22:1,106024,256429,508836,566554,406968,292398,187119,372618,494904
TG 51:10|TG 13:1_18:4_20:5,12540,179,525,2362,1940,921,326,1169,5234
TG 51:10|TG 15:0_18:5_18:5,1712,21771,26256,33218,35907,21881,34760,15759,20769
TG 51:10|TG 15:1_18:4_18:5,1403,3982,11908,23062,20327,3140,13130,1804,2307
TG 51:10|TG 19:2_16:4_16:4,37043,11557,12998,1693,16914,2197,13803,9599,21504
TG 51:2|TG 16:0_16:0_19:2,84304,256780,387774,283256,329916,239643,362707,273288,96236
TG 51:2|TG 18:0_14:1_19:1,33709,25141,75456,166737,49318,72743,104786,38827,88118
TG 51:3|TG 13:0_22:1_16:2,2943,11754,5764,9450,9672,7972,10096,9893,2888
TG 51:3|TG 16:0_18:1_17:2,485239,598785,2509690,2175267,2095326,1645895,2141773,1763581,1023426
TG 51:3|TG 17:1_17:1_17:1,11973,9940,7205,14238,12452,10600,10250,7491,18348
TG 51:4|TG 14:0_19:1_18:3,27935,98458,150294,259740,100835,122151,122864,85446,54279
TG 51:4|TG 15:0_14:1_22:3,28993,30173,152657,50168,125968,57178,146036,81435,9793
TG 51:4|TG 15:0_17:2_19:2,213378,125945,798972,392742,857358,551775,912355,528890,78602
TG 51:4|TG 15:1_18:1_18:2,211878,604977,884938,452633,146370,588976,941929,526786,393429
TG 51:4|TG 15:1_19:1_17:2,73253,205334,286429,220960,260310,234335,131004,200431,142375
TG 51:4|TG 16:0_13:1_22:3,60135,119517,91089,152084,94759,87328,157617,103811,64163
TG 51:4|TG 19:0_16:1_16:3,6992,45327,56790,42127,48270,36444,48235,36638,20892
TG 51:5|TG 12:0_15:1_24:4,24106,17391,3015,29139,20113,21260,14535,17322,20126
TG 51:5|TG 12:0_17:1_22:4,351255,763334,1105589,1779920,1952548,1218660,1132850,490117,834746
TG 51:5|TG 14:1_19:1_18:3,49474,97273,44284,8109,12769,8217,10032,40831,28598
TG 51:5|TG 16:1_16:2_19:2,8066,12363,116555,75343,101420,59485,35530,46681,18233
TG 51:5|TG 16:1_17:2_18:2,2932,32869,48998,46357,58778,37442,52479,28949,22666
TG 51:5|TG 17:1_17:2_17:2,325583,101610,1274960,503590,392246,238474,293366,368011,154175
TG 51:6|TG 14:0_19:2_18:4,87191,427250,62166,835381,614124,305700,191305,274679,379667
TG 51:6|TG 14:1_15:1_22:4,39155,24055,19858,35743,24699,19186,27457,15188,26326
TG 51:6|TG 17:2_17:2_17:2,387711,472630,680695,364485,722701,404444,776300,573454,434977
TG 51:7|TG 15:1_16:3_20:3,20656,37255,80060,34929,142441,11119,85824,52864,49056
TG 51:8|TG 11:0_18:4_22:4,6340,8156,3345,24998,6954,3354,2566,9931,2077
TG 51:8|TG 15:1_20:3_16:4,17859,2671,529,4190,4826,4724,2688,2770,4150
TG 51:9|TG 15:0_16:4_20:5,239,10182,14918,9641,16915,7870,10350,6773,1894
TG 52:0|TG 13:0_16:0_23:0,127531,360968,560861,425797,412677,408910,523807,295673,259168
TG 52:0|TG 15:0_15:0_22:0,50143,71517,111436,158761,119884,85496,118443,80757,86832
TG 52:0|TG 16:0_16:0_20:0,24580,158918,83018,160349,114399,89455,66359,70569,26955
TG 52:0|TG 16:0_18:0_18:0,432883,1166161,1298819,881618,1150637,902999,1063375,1019562,457435
TG 52:0|TG 17:0_17:0_18:0,39683,269861,166715,160568,170807,257241,188599,252213,108935
TG 52:0|TG 9:0_19:0_24:0,5473,35412,140926,250460,244028,82246,193116,109532,65607
TG 52:1|TG 12:0_12:0_28:1,13334,6036,1825,4752,9371,11084,7746,6919,18893
TG 52:1|TG 15:0_16:0_21:1,261106,431774,1121147,1439219,1579547,622717,971933,630637,349829
TG 52:1|TG 16:0_18:0_18:1,938530,5124312,7380822,4202972,4983954,4433683,4287626,4180937,1624201
TG 52:1|TG 16:0_20:0_16:1,86014,6637,158286,10781,91216,15004,54923,38016,117855
TG 52:1|TG 18:0_18:0_16:1,79310,414268,489925,349314,390940,359858,404934,310103,241978
TG 52:1|TG 8:0_16:0_28:1,115788,423461,497293,1088278,1024942,522716,801832,256624,303988
TG 52:11|TG 10:0_16:4_26:7,14344,1447,445,1870,2435,2828,827,6,2599
TG 52:13|TG 16:4_16:4_20:5,36044,2295,1970,5847,6187,3395,2431,4591,13694
TG 52:2|TG 15:0_16:0_21:2,615719,282374,1988380,3110593,2652964,2150142,2557937,927630,625784
TG 52:2|TG 15:0_17:1_20:1,705965,1389501,1958847,3103532,558208,2270311,2631272,723591,832398
TG 52:2|TG 16:0_18:0_18:2,6753,20039,14269,2260,24677,31871,3372,7699,12751
TG 52:2|TG 16:0_18:1_18:1,6868173,26744430,30886357,26891501,27522419,24695032,28471730,24469910,13360882
TG 52:2|TG 18:0_17:1_17:1,64490,144855,613834,551779,674154,154943,782212,296226,609627
TG 52:2|TG 18:0_18:0_16:2,315751,649653,635517,616281,1053117,829267,745346,430106,604660
TG 52:2|TG 20:0_15:1_17:1,135064,194666,321009,422720,445737,351579,437429,321782,197884
TG 52:3|TG 14:0_20:1_18:2,1294,66,1051,1653,11723,8033,3550,13117,5611
TG 52:3|TG 15:0_17:0_20:3,77494,90325,226354,332578,925288,585517,584037,158403,134436
TG 52:3|TG 15:0_17:1_20:2,430585,797949,656596,2164565,884992,588058,804596,571876,563282
TG 52:3|TG 16:0_16:0_20:3,668804,2423664,3601577,2509865,2618646,2236646,3738508,1734562,2382522
TG 52:3|TG 16:0_16:1_20:2,117933,225647,56986,253554,71015,77225,147760,515771,242645
TG 52:3|TG 16:0_18:1_18:2,9140273,32299988,38526662,37992918,36200071,31066627,38761561,29198674,19376149
TG 52:3|TG 16:0_19:1_17:2,153962,157436,291255,288932,480893,224926,409980,112898,82990
TG 52:3|TG 16:1_18:1_18:1,1541800,4903465,6542410,3734954,5585551,2970740,7124936,1985624,2969678
TG 52:3|TG 17:0_15:1_20:2,442601,801533,636236,2183493,906878,557549,818048,569641,555809
TG 52:3|TG 17:1_17:1_18:1,2504,6231,9051,5927,12823,6314,10770,6544,2680
TG 52:3|TG 18:0_16:1_18:2,33260,6690,29779,17753,57453,24004,42009,20414,8186
TG 52:4|TG 15:1_20:1_17:2,183905,111344,145699,1177109,917820,368725,237392,214145,252935
TG 52:4|TG 16:0_16:0_20:4,495079,1538620,1969274,1646954,1389830,1121351,2370259,1518024,516078
TG 52:4|TG 16:0_16:1_20:3,178250,679069,1253398,514905,1496973,1154604,1229805,696799,625266
TG 52:4|TG 16:0_18:1_18:3,3990,699,2422,4158,11089,3605,3926,8480,5549
TG 52:4|TG 16:0_18:2_18:2,291836,2311519,1624911,3110028,997735,1198273,1548021,1371188,1801635
TG 52:4|TG 16:1_18:1_18:2,1385320,20802424,13958642,29437500,27497766,20997618,28512426,19364134,13407841
TG 52:4|TG 17:1_18:1_17:2,40585,63350,126051,68527,88321,80921,91560,88900,64443
TG 52:4|TG 18:1_18:1_16:2,89567,80279,298143,434936,318645,248627,290945,210243,177453
TG 52:4|TG 9:0_19:1_24:3,742803,1370574,1706637,1954227,1143676,1596145,553800,1322367,1906034
TG 52:5|TG 13:0_17:0_22:5,20360,350691,78016,62133,58035,70442,69934,47561,219136
TG 52:5|TG 15:0_15:1_22:4,143253,319026,217957,368202,196212,298713,247271,287789,89347
TG 52:5|TG 16:1_18:2_18:2,2261999,7086685,6890586,11853828,10458769,7088407,10901585,4234321,3993100
TG 52:5|TG 20:1_16:2_16:2,87114,196268,299677,327523,446885,218699,273903,149849,140203
TG 52:6|TG 15:0_17:1_20:5,86260,97103,103264,159671,137752,113072,78233,85696,198379
TG 52:6|TG 16:1_18:2_18:3,346483,744794,1638944,1177426,1010772,664125,1545661,543534,713761
TG 52:6|TG 16:2_18:2_18:2,36718,161004,292466,230403,213378,141223,217413,134284,119302
TG 52:6|TG 18:1_18:1_16:4,17546,42132,58356,42722,15336,37605,41470,46352,20009
TG 52:6|TG 8:0_12:0_32:6,26646,42152,185064,228297,274941,171688,282482,143660,42970
TG 52:7|TG 16:0_16:2_20:5,15816,12624,4583,17749,12331,7789,23978,4195,28446
TG 52:7|TG 16:1_16:2_20:4,45367,43061,243604,146871,48414,22759,31543,39151,36493
TG 52:8|TG 13:0_13:1_26:7,64483,689,1750,5271,2175,2991,3335,1314,6189
TG 52:8|TG 13:0_17:2_22:6,7216,4530,6509,6752,5554,796,17253,13938,19917
TG 52:9|TG 9:0_9:0_34:9,24953,12884,11325,8186,7867,5079,11003,14844,17313
TG 53:0|TG 10:0_10:0_33:0,70970,114984,164146,247004,126776,49378,198886,34378,72741
TG 53:0|TG 14:0_15:0_24:0,3773174,12487657,13508242,15698555,15404752,12959832,15165708,11044146,7274709
TG 53:0|TG 17:0_17:0_19:0,103199,158887,162322,173732,149576,119318,148581,174597,114760
TG 53:0|TG 8:0_22:0_23:0,12708,51757,33408,218034,122085,89804,90178,52690,77545
TG 53:1|TG 14:0_22:0_17:1,2156598,887239,5472192,7318852,7588850,1382263,5930200,3642158,2669962
TG 53:1|TG 15:0_20:0_18:1,12869,198147,144537,97930,79566,23758,160283,116932,55321
TG 53:1|TG 16:0_16:0_21:1,54916,302830,349112,281652,285821,329988,316665,346211,100194
TG 53:1|TG 16:0_19:0_18:1,7132,195589,149331,102688,14955,107277,112916,112556,30270
TG 53:1|TG 17:0_17:0_19:1,142449,37458,234119,209078,265138,210044,216510,254444,195939
TG 53:11|TG 17:1_18:5_18:5,4117,34746,33736,30835,6130,23515,25351,18153,13377
TG 53:2|TG 14:0_22:0_17:2,62539,250373,291315,205456,207820,227450,204635,186678,42252
TG 53:2|TG 15:0_18:1_20:1,12355,213405,319241,171639,211160,227354,215017,212269,53675
TG 53:2|TG 16:0_18:1_19:1,21720,174550,217980,125727,211722,160681,171475,387428,15035
TG 53:2|TG 18:0_17:1_18:1,301763,1892095,2465322,1778582,1226288,1437966,1715766,1537777,826716
TG 53:2|TG 20:0_16:1_17:1,341657,631214,1059383,1282534,1107936,822014,841230,613090,522022
TG 53:3|TG 16:0_19:0_18:3,70988,295342,470498,762122,995946,694165,507954,599897,352595
TG 53:3|TG 17:0_18:0_18:3,46624,181650,286914,162569,138958,189642,419692,215600,168087
TG 53:3|TG 17:0_18:1_18:2,544885,2338504,2932064,1734832,1388201,1050114,3039167,1402083,680653
TG 53:4|TG 15:0_16:2_22:2,944,12295,17153,12699,14798,11415,17952,14918,6162
TG 53:4|TG 17:0_18:1_18:3,410096,3047368,3604751,3617095,3398300,2935772,4073623,2095885,1683245
TG 53:4|TG 17:1_18:1_18:2,46166,244095,305457,313518,170056,252471,317820,257634,153720
TG 53:5|TG 14:1_18:2_21:2,91003,151022,279773,321452,267549,232745,251552,237491,188663
TG 53:5|TG 15:0_18:1_20:4,104630,98239,878096,710780,713734,544826,877053,416276,337992
TG 53:5|TG 16:0_19:1_18:4,22180,112817,124267,168370,121457,85859,134783,106702,61223
TG 53:5|TG 17:0_18:2_18:3,123123,473994,815321,745874,149435,548580,817836,490459,434845
TG 53:5|TG 17:1_17:2_19:2,140482,349803,713171,717115,395909,510924,583513,175438,356464
TG 53:5|TG 19:0_16:2_18:3,75020,170982,315096,436187,46315,272178,194411,240086,229881
TG 53:5|TG 19:0_18:1_16:4,27283,61297,274198,241977,244868,199168,234717,79214,54406
TG 53:6|TG 14:1_15:1_24:4,16002,40146,59075,70792,56297,45534,54143,41837,30975
TG 53:6|TG 16:2_16:2_21:2,469316,700144,1645144,2286465,1312076,1313527,240304,1060464,1048066
TG 53:6|TG 17:1_18:1_18:4,15253,13973,10002,10144,12365,23292,11807,14938,23319
TG 53:6|TG 18:0_17:2_18:4,80429,1046543,327564,673213,1453258,651781,1669230,186768,1017290
TG 53:6|TG 8:0_11:0_34:6,14669,151109,58158,237653,115389,93646,22752,143373,17459
TG 53:6|TG 9:0_22:3_22:3,17260,31605,142377,136056,111846,65826,119887,148237,59582
TG 53:7|TG 11:0_16:0_26:7,157739,37914,28656,68071,49756,33101,54816,32817,92696
TG 53:7|TG 12:0_19:2_22:5,5335,12622,54966,29015,86146,37330,56559,36035,33543
TG 53:7|TG 14:1_21:2_18:4,356353,252707,352560,789632,1384628,842147,364034,354641,344558
TG 53:7|TG 15:0_18:2_20:5,11545,26757,83845,9187,38346,26643,54748,19607,7457
TG 53:7|TG 17:0_16:2_20:5,3362,18710,23039,16743,25342,13385,22101,16226,4712
TG 53:8|TG 15:0_16:3_22:5,22415,4392,4954,12580,10017,887,8618,2699,10357
TG 53:8|TG 15:1_18:3_20:4,1157,28559,58883,64256,58512,23511,13752,25375,5208
TG 53:8|TG 16:1_17:2_20:5,88473,58527,112455,50552,67172,23854,54832,42664,24797
TG 53:8|TG 16:2_17:2_20:4,179347,161684,94877,401235,196352,191056,152099,68159,105432
TG 54:0|TG 14:0_16:0_24:0,24785,19113,19037,11779,31365,15549,25952,23872,18596
TG 54:0|TG 18:0_18:0_18:0,103083,250836,263004,189675,201701,156004,191350,237052,139465
TG 54:1|TG 16:0_18:0_20:1,17220,83458,103492,59026,65889,63521,66854,52821,30305
TG 54:1|TG 18:0_18:0_18:1,339177,2367837,3105970,1565244,1888730,1853719,2009511,2203046,691817
TG 54:1|TG 18:0_20:0_16:1,35646,298762,329358,192701,212158,230456,239354,256804,97564
TG 54:11|TG 8:0_22:5_24:6,68430,2638,5435,12426,21188,16544,8975,8069,44883
TG 54:13|TG 16:4_16:4_22:5,62728,2672,3098,1803,416,2008,798,1628,29223
TG 54:2|TG 18:0_16:1_20:1,1551649,1474729,8291309,7304536,5366623,7413362,8209178,5386784,4104091
TG 54:2|TG 18:0_18:0_18:2,191492,596432,525953,764436,652003,482506,636375,679995,336924
TG 54:2|TG 18:0_18:1_18:1,863930,7852180,9502233,5949888,6614195,6060092,6966780,6540362,1862463
TG 54:2|TG 19:0_17:1_18:1,43427,150036,233992,321991,172183,229969,244610,205826,162505
TG 54:3|TG 16:1_19:1_19:1,54886,67306,213151,181290,129464,81748,54843,103378,98687
TG 54:3|TG 18:0_18:0_18:3,417907,1725512,1417000,1962367,2020481,1658486,1679071,1806121,801020
TG 54:3|TG 18:0_18:1_18:2,26023,14396,67496,105515,82618,65817,52408,36568,21574
TG 54:3|TG 18:1_18:1_18:1,10078570,40333723,42656127,40474718,37754446,39890752,42918437,37662447,22076146
TG 54:3|TG 21:0_15:1_18:2,49219,51460,181562,325690,227579,240623,107210,71444,70449
TG 54:4|TG 15:1_20:1_19:2,2717,3514,426,3543,10984,4019,3188,1781,3300
TG 54:4|TG 16:0_16:1_22:3,17167,70673,25408,243408,260970,96686,26857,11460,39738
TG 54:4|TG 17:0_19:0_18:4,185605,2251886,3509295,2933290,3285979,2864854,574788,2809940,1939121
TG 54:4|TG 18:0_16:2_20:2,13292,2535,19953,6429,24979,9008,10325,14981,10148
TG 54:4|TG 18:0_18:1_18:3,12964,56292,127630,218905,193935,59473,50305,24821,98997
TG 54:4|TG 18:1_18:1_18:2,10647716,35630452,40057594,39681314,37509912,34713194,40871683,32522429,21066368
TG 54:4|TG 21:0_15:1_18:3,23202,5945,113323,43453,172017,60891,75647,62453,48166
TG 54:5|TG 16:0_18:2_20:3,5897646,18482736,22178214,23632124,22302776,18975832,22801456,15761844,11097444
TG 54:5|TG 16:0_22:1_16:4,9662,10531,5514,61495,11492,7025,9275,10783,11531
TG 54:5|TG 18:0_18:2_18:3,845271,1865986,1012927,2291683,2794156,2222980,2263284,1659533,1125471
TG 54:5|TG 18:1_18:1_18:3,44855,61981,53035,185655,60945,167019,176573,126820,173152
TG 54:5|TG 18:1_18:2_18:2,839414,2403910,2711219,2349743,2638279,2326166,2618056,2093755,1424789
TG 54:5|TG 9:0_19:0_26:5,2993,3586,28651,24181,56997,9058,11074,5707,6959
TG 54:6|TG 10:0_10:0_34:6,97388,58657,340914,286379,292810,67186,289896,265643,181491
TG 54:6|TG 10:0_18:0_26:6,10234,13732,12525,14027,12966,13938,9840,14070,14434
TG 54:6|TG 16:0_20:2_18:4,62946,311366,576094,295013,569771,206454,331168,287534,116061
TG 54:6|TG 16:1_18:1_20:4,379744,249156,1395090,1475453,1500754,1403664,1345784,682500,465859
TG 54:6|TG 18:1_18:2_18:3,3317046,6051971,8976514,11256856,11341881,8694947,9101978,5197266,4072561
TG 54:6|TG 18:2_18:2_18:2,427879,962888,1300076,1420920,1466947,1403090,323519,909517,543866
TG 54:7|TG 16:1_18:3_20:3,76144,174650,265443,256383,176553,92419,226062,141870,106336
TG 54:7|TG 18:1_16:2_20:4,127978,304978,693139,505119,581364,314250,353051,335394,290656
TG 54:7|TG 18:2_18:2_18:3,489708,1020818,1088601,1636187,2072016,1110083,1587139,901318,803291
TG 54:7|TG 19:2_19:2_16:3,103754,170413,291394,148670,264051,247202,101631,97004,143930
TG 54:7|TG 20:1_16:2_18:4,2437,40,6295,1957,1405,1236,1854,1179,559
TG 54:7|TG 9:0_17:2_28:5,82292,48854,200213,221484,260050,178628,230915,153285,112033
TG 54:7|TG 9:0_19:2_26:5,23425,58072,105805,83426,118713,59699,95770,74945,42645
TG 54:8|TG 22:1_16:3_16:4,59243,22119,7876,23887,23429,34894,22755,12757,73061
TG 54:9|TG 18:3_18:3_18:3,12855,29374,59743,108298,89760,46672,92565,85508,19040
TG 54:9|TG 8:0_8:0_38:9,31114,10410,10088,20862,25248,19941,25317,19405,27857
TG 55:0|TG 11:0_13:0_31:0,304645,186793,1214377,632259,444122,1272480,1035812,1566176,167896
TG 55:0|TG 13:0_16:0_26:0,304875,1677166,929554,993512,1519059,1273949,1415591,1228419,764167
TG 55:0|TG 17:0_19:0_19:0,38170,64989,97359,72964,106064,65147,86412,84961,37930
TG 55:1|TG 12:0_25:0_18:1,22756,30125,33596,111249,10841,36426,89360,157354,87657
TG 55:1|TG 14:0_24:0_17:1,13277,143880,148770,7624,147033,239005,121593,82490,116892
TG 55:1|TG 15:0_20:0_20:1,253057,1127861,1471284,992006,1647687,1219681,1097900,926048,493098
TG 55:1|TG 16:0_18:0_21:1,35070,102738,83333,30196,41319,114253,82136,38803,90913
TG 55:1|TG 17:0_17:0_21:1,326929,690089,823875,643770,816894,599940,668156,614280,403270
TG 55:1|TG 17:0_20:0_18:1,270104,762123,1166369,921916,1137783,906721,909031,248371,545774
TG 55:10|TG 13:1_20:3_22:6,27068,313,1571,1174,299,239,1020,1211,4142
TG 55:10|TG 17:0_18:5_20:5,9612,12214,37119,12700,13991,13860,47869,10878,8648
TG 55:10|TG 8:0_15:1_32:9,10443,31760,51194,39132,17007,26115,45795,21043,7389
TG 55:11|TG 13:1_20:4_22:6,34248,2292,771,1853,301,1861,948,340,9486
TG 55:2|TG 17:0_19:1_19:1,163914,581268,690309,344476,337489,538001,495609,337072,336709
TG 55:2|TG 17:0_20:0_18:2,238720,932922,1551768,942629,1397851,1097294,1115627,837759,653732
TG 55:2|TG 21:0_16:1_18:1,17395,147924,152601,87135,83032,119628,146249,112278,49728
TG 55:3|TG 13:0_18:1_24:2,54473,249773,443433,200875,365092,327624,234113,130369,148680
TG 55:3|TG 17:0_17:1_21:2,62050,771080,677569,404158,347332,454814,648732,485092,192285
TG 55:3|TG 18:1_18:1_19:1,39189,104303,78937,205336,106160,92134,77769,40032,136066
TG 55:3|TG 19:0_18:1_18:2,5574,124865,86216,103111,48739,69860,73917,98832,32984
TG 55:4|TG 16:0_21:1_18:3,147332,378692,356452,441778,465626,341564,356380,349860,374817
TG 55:4|TG 17:0_18:1_20:3,9572,94162,114463,103730,99101,83369,102875,69765,28535
TG 55:4|TG 17:1_20:1_18:2,97110,553025,672248,722018,530195,632661,791436,625848,243205
TG 55:5|TG 14:0_21:2_20:3,8222,138880,136106,141259,102383,106845,156828,115747,36358
TG 55:5|TG 17:1_18:1_20:3,65226,279678,339165,287780,287729,297008,286571,239892,164728
TG 55:5|TG 21:1_17:2_17:2,10702,97052,74408,175348,112063,91377,160787,29851,15824
TG 55:6|TG 17:1_20:2_18:3,25933,232607,266732,268939,223341,122380,210199,107878,47916
TG 55:6|TG 17:2_19:2_19:2,39183,195580,184838,246134,156893,230756,251569,149731,87651
TG 55:6|TG 9:0_22:0_24:6,29215,175567,334945,288265,276843,238094,277579,224868,115701
TG 55:7|TG 13:1_20:1_22:5,12,39834,71663,52910,50952,43814,57494,41193,14801
TG 55:7|TG 15:0_18:2_22:5,3945,3570,14994,31716,19070,5644,4229,10250,3117
TG 55:7|TG 16:2_19:2_20:3,9946,17930,7764,31292,19981,25654,21863,16997,17658
TG 55:7|TG 17:1_22:2_16:4,14118,156178,245222,280846,255691,185055,242712,154953,61906
TG 55:7|TG 9:0_20:2_26:5,9613,50681,18040,69700,16185,39812,16703,36729,10018
TG 55:8|TG 13:0_20:2_22:6,57808,23349,162313,91434,210245,141497,87289,65216,82697
TG 55:8|TG 15:0_20:4_20:4,23885,122135,82824,71261,52781,86498,25034,13138,108987
TG 55:8|TG 17:2_20:2_18:4,17787,111110,159327,163980,137346,87767,139743,112276,54718
TG 55:8|TG 19:0_16:3_20:5,13886,73062,64373,145474,147814,67361,71888,48209,51188
TG 55:8|TG 19:2_16:3_20:3,58564,86710,59519,208208,218787,131211,154618,105471,50702
TG 55:9|TG 15:0_22:4_18:5,10215,59263,36896,37981,12057,95932,143037,67196,26893
TG 55:9|TG 15:1_18:2_22:6,26927,66295,93619,287072,162121,160335,10441,18886,85913
TG 55:9|TG 15:1_22:3_18:5,14770,40531,48203,24566,75961,39432,41790,19741,11667
TG 55:9|TG 17:2_18:2_20:5,2325,29900,14828,22199,12742,12521,23625,31491,5020
TG 55:9|TG 17:2_18:3_20:4,3573,6024,63653,94105,51202,41971,126921,71584,22439
TG 56:0|TG 14:0_19:0_23:0,7890,93858,130549,125337,86304,136187,103372,125087,68884
TG 56:0|TG 18:0_18:0_20:0,8498,50319,68406,58028,61531,42477,51779,51926,25324
TG 56:1|TG 16:0_20:0_20:1,16468,12695,20612,19588,24352,13527,33468,23810,13750
TG 56:1|TG 18:0_18:0_20:1,149172,65545,259933,312170,368697,302226,338220,331133,207882
TG 56:1|TG 18:0_20:0_18:1,41627,259660,215806,130012,180390,170826,198099,165087,38054
TG 56:10|TG 14:0_16:3_26:7,8333,178349,197733,231111,194011,161499,222347,168519,55602
TG 56:10|TG 18:2_18:3_20:5,85705,15273,11419,21362,27756,23136,13098,20027,33084
TG 56:2|TG 18:0_18:0_20:2,166148,450089,472952,464565,446496,461337,492330,425274,238881
TG 56:2|TG 18:0_18:1_20:1,95986,481883,1149292,494089,638760,460339,753104,466797,272224
TG 56:2|TG 18:0_19:1_19:1,11861,82436,76721,70999,50772,49414,70167,52427,20014
TG 56:2|TG 20:0_18:1_18:1,50180,158183,324642,148233,206402,219958,189712,282597,75258
TG 56:2|TG 25:0_14:1_17:1,10761,7525,32170,6592,12337,8838,8124,12693,2695
TG 56:2|TG 9:0_17:0_30:2,2462,11506,35989,26280,32804,31670,37344,31600,4010
TG 56:3|TG 18:0_18:1_20:2,355348,1286215,517463,1034645,1064656,1225147,739243,223948,639927
TG 56:3|TG 18:1_18:1_20:1,299397,2186850,2645705,1663542,1476320,1656038,1910986,2415520,546349
TG 56:3|TG 19:0_18:1_19:2,25362,263271,369536,196299,178561,156003,133054,287491,99576
TG 56:3|TG 22:0_18:1_16:2,21573,11939,64264,93541,62072,38084,49207,47052,38077
TG 56:3|TG 8:0_20:0_28:3,19396,142929,157686,222065,146872,120783,158161,147696,44121
TG 56:3|TG 9:0_31:0_16:3,2938,9207,40024,113316,106626,29601,9380,20047,9169
TG 56:4|TG 10:0_18:1_28:3,5050,39918,152935,165016,19019,51415,101464,32110,27841
TG 56:4|TG 10:0_20:1_26:3,18127,66881,55149,84836,29087,37239,23586,57239,68647
TG 56:4|TG 10:0_30:1_16:3,28474,51968,78785,55393,118374,42546,73953,42346,38353
TG 56:4|TG 11:0_17:0_28:4,25200,14215,29856,33775,442543,49197,29368,20202,51176
TG 56:4|TG 11:0_21:2_24:2,48439,72045,131039,198316,265916,115547,160634,117390,52905
TG 56:4|TG 18:0_18:0_20:4,44327,273004,295210,213913,258517,197365,231579,247794,122462
TG 56:4|TG 18:1_18:1_20:2,313577,2262294,1635813,1699379,2173562,2156873,2169768,1741344,930903
TG 56:4|TG 18:1_19:1_19:2,12535,351738,498191,505649,380400,373600,481463,377212,119811
TG 56:4|TG 18:1_20:1_18:2,446589,1289603,620576,1266340,671194,1372197,1276931,171463,679347
TG 56:4|TG 19:1_19:1_18:2,56179,193995,214105,475992,600158,226940,211774,263448,47998
TG 56:4|TG 20:0_18:2_18:2,88595,140882,202218,278937,274470,105512,203408,139113,119641
