"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"PLA2G16",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.879290423393105,12,0,0.5,-0.696998765902005,0.0205159474938971
"PLA2G4F",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.879290423393105,12,0,0.5,-0.696998765902005,0.0205159474938971
"PLA2G4D",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.879290423393105,12,0,0.5,-0.696998765902005,0.0205159474938971
"PLA2G4A",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.879290423393105,12,0,0.5,-0.696998765902005,0.0205159474938971
"PLA2G16",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.912154786259948,20,0,0.8,-0.729863128768848,9.57607851743036e-05
"PLA2G4F",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.912154786259948,20,0,0.8,-0.729863128768848,9.57607851743036e-05
"PLA2G4D",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.912154786259948,20,0,0.8,-0.729863128768848,9.57607851743036e-05
"PLA2G4A",-0.1822916574911,35,0.0571428571428571,0.142857142857143,-0.912154786259948,20,0,0.8,-0.729863128768848,9.57607851743036e-05
"PLA2G16",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.0946696320105996,107,0.14018691588785,0.0654205607476635,-0.444226765230587,4.13509212792436e-05
"PLA2G4F",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.0946696320105996,107,0.14018691588785,0.0654205607476635,-0.444226765230587,4.13509212792436e-05
"PLA2G4D",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.0946696320105996,107,0.14018691588785,0.0654205607476635,-0.444226765230587,4.13509212792436e-05
"PLA2G4A",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.0946696320105996,107,0.14018691588785,0.0654205607476635,-0.444226765230587,4.13509212792436e-05
"PLA2G6",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.0946696320105996,107,0.14018691588785,0.0654205607476635,-0.444226765230587,4.13509212792436e-05
"PLA2G16",0.538896397241187,99,0.404040404040404,0.0606060606060606,-0.912154786259948,20,0,0.8,-1.45105118350113,6.97905475220575e-11
"PLA2G4F",0.538896397241187,99,0.404040404040404,0.0606060606060606,-0.912154786259948,20,0,0.8,-1.45105118350113,6.97905475220575e-11
"PLA2G4D",0.538896397241187,99,0.404040404040404,0.0606060606060606,-0.912154786259948,20,0,0.8,-1.45105118350113,6.97905475220575e-11
"PLA2G4A",0.538896397241187,99,0.404040404040404,0.0606060606060606,-0.912154786259948,20,0,0.8,-1.45105118350113,6.97905475220575e-11
"PLA2G6",0.538896397241187,99,0.404040404040404,0.0606060606060606,-0.912154786259948,20,0,0.8,-1.45105118350113,6.97905475220575e-11
