"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"PLA2G4F",0.672661147859733,16,0.75,0,0.223966450403142,3,0.333333333333333,0,-0.448694697456591,0.227658251865237
"PLA2G4D",0.672661147859733,16,0.75,0,0.223966450403142,3,0.333333333333333,0,-0.448694697456591,0.227658251865237
"PLA2G4A",0.672661147859733,16,0.75,0,0.223966450403142,3,0.333333333333333,0,-0.448694697456591,0.227658251865237
"PLA2G16",0.672661147859733,16,0.75,0,0.6643271436065,1,1,0,-0.00833400425323239,NA
"PLA2G4E",0.672661147859733,16,0.75,0,0.6643271436065,1,1,0,-0.00833400425323239,NA
"PLA2G4F",0.672661147859733,16,0.75,0,0.6643271436065,1,1,0,-0.00833400425323239,NA
"PLA2G4D",0.672661147859733,16,0.75,0,0.6643271436065,1,1,0,-0.00833400425323239,NA
"PLA2G4A",0.672661147859733,16,0.75,0,0.6643271436065,1,1,0,-0.00833400425323239,NA
"PLA2G16",1.11964182402969,9,1,0,1.04180328384589,4,1,0,-0.0778385401838007,0.461824853977176
"PLA2G4F",1.11964182402969,9,1,0,1.04180328384589,4,1,0,-0.0778385401838007,0.461824853977176
"PLA2G4D",1.11964182402969,9,1,0,1.04180328384589,4,1,0,-0.0778385401838007,0.461824853977176
"PLA2G4A",1.11964182402969,9,1,0,1.04180328384589,4,1,0,-0.0778385401838007,0.461824853977176
"PLA2G16",1.11964182402969,9,1,0,0.6643271436065,1,1,0,-0.455314680423193,NA
"PLA2G4F",1.11964182402969,9,1,0,0.6643271436065,1,1,0,-0.455314680423193,NA
"PLA2G4D",1.11964182402969,9,1,0,0.6643271436065,1,1,0,-0.455314680423193,NA
"PLA2G4A",1.11964182402969,9,1,0,0.6643271436065,1,1,0,-0.455314680423193,NA
"PLA2G16",0.776719286381453,17,0.882352941176471,0,0.769848727248001,15,0.666666666666667,0,-0.00687055913345136,0.93687378769803
"PLA2G4F",0.776719286381453,17,0.882352941176471,0,0.769848727248001,15,0.666666666666667,0,-0.00687055913345136,0.93687378769803
"PLA2G4D",0.776719286381453,17,0.882352941176471,0,0.769848727248001,15,0.666666666666667,0,-0.00687055913345136,0.93687378769803
"PLA2G4A",0.776719286381453,17,0.882352941176471,0,0.769848727248001,15,0.666666666666667,0,-0.00687055913345136,0.93687378769803
"PLA2G6",0.776719286381453,17,0.882352941176471,0,0.769848727248001,15,0.666666666666667,0,-0.00687055913345136,0.93687378769803
"PLA2G16",0.776719286381453,17,0.882352941176471,0,0.6643271436065,1,1,0,-0.112392142774952,NA
"PLA2G4F",0.776719286381453,17,0.882352941176471,0,0.6643271436065,1,1,0,-0.112392142774952,NA
