"subclass","Sample191","Sample197","Sample270","Sample428","Sample429","Sample430","Sample433","Sample439","Sample464"
"SM(24:3)",175452,1298237,106930,4582,1019919,386143,534154,38345,100365
"SM(26:1)",1158627,546999,211734,381205,3217604,3158226,1103959,2110296,937456
"SM(26:2)",661814,208712,112373,14433,1878461,1654088,1399430,1280490,254071
"SM(26:3)",379475,2645942,256221,70860,367479,517878,182515,1643948,248353
"SM(26:4)",161731,260945,75644,25803,285141,357428,399621,436708,102487
"SM(28:7)",731610,603545,73183,9994,202186,47610,40654,81233,36341
"SM(30:3)",2730481,91442,145457,203261,1101236,2448268,48607,1460322,282405
"SM(d14:3)",731610,603545,73183,9994,202186,47610,40654,81233,36341
"SM(d16:1)",2173271,13243664,3014796,99006,12272097,2134661,36075377,5823650,3704669
"SM(d16:2)",379475,2645942,256221,70860,367479,517878,182515,1643948,248353
"SM(d18:1)",663510667,1204122375,421924927,62618870,1004864722,649128653,1900552175,400552217,261112460
"SM(d18:2)",110896248,237781720,71910695,21273539,202219193,134757923,367722332,74080219,49477247
"SM(d18:3)",101867,36293,70895,19081,110361,207849,28800,139805,238667
"TG(10:0)",990508,1623021.66666667,1668837,7917525,3630971.33333333,7246536,3483771.66666667,2834474,828439
"TG(12:0)",2232966.66666667,1342694.33333333,2790648.33333333,8884586,7815952.33333333,76639502.6666667,6414149.33333333,973745.666666667,2187671
"TG(14:0)",10473129,18849574.3333333,11791798,39494379.6666667,34886374,37688268,43509880.3333333,5961751.66666667,14846002.3333333
"TG(14:1)",58578668.3333333,41596377.6666667,53513133.3333333,54070862,56510430.3333333,61337462.6666667,37702397,62583898.3333333,62883588
"TG(16:0)",80637761,536152153,110862420,659266444.333333,331729137.333333,326383759.333333,686017422.666667,88620253,382623659.333333
"TG(16:1)",18138750.6666667,59705819,23017529,91976647.3333333,65868683.6666667,58493757.3333333,99145407.6666667,30139207.3333333,65306676.6666667
"TG(16:2)",1869.33333333333,6121.33333333333,8164.33333333333,913828.666666667,NA,119.666666666667,NA,21531,NA
"TG(16:3)",59771.3333333333,55503.3333333333,61162.6666666667,134694.333333333,420891.666666667,20284.3333333333,119572.333333333,72895.6666666667,6659.33333333333
"TG(18:0)",10193125.3333333,139573810,19119966,217320357.333333,47812917.6666667,40429345.6666667,118112702.333333,64005387.3333333,87359837.6666667
"TG(18:1)",132212904.333333,1219897112,202076066.333333,1378028454.33333,457394167.333333,549681030.333333,902627164,349158275.333333,973641373
"TG(18:2)",72149793.3333333,618884778,131945662.666667,780146355,372430517,229106465.333333,663349970,64472349.6666667,198407317.666667
"TG(18:3)",6020739.66666667,23334497.6666667,9984152.66666667,208410824,27994037.3333333,10208244,33468801.3333333,5173924.66666667,5148696
"TG(18:4)",303839,1531276.33333333,143862,6150963.33333333,1149569.66666667,276818.333333333,1118514.66666667,1795779,128003.333333333
"TG(18:5)",3304.66666666667,5832,7232,4149546.33333333,28211,28897.6666666667,1016,73823,8305.33333333333
"TG(20:0)",506545.333333333,12053380.3333333,1188984.33333333,8701048.66666667,2363701.66666667,655586.666666667,4861908.33333333,4655285,9516251.33333333
"TG(20:1)",723871,6319379.66666667,1535779.66666667,19834814.3333333,1716087,3071774,5411927.66666667,1391281,25870480.6666667
"TG(20:2)",415294.666666667,2521256.33333333,817234,16097928,1375976,1938364,1498921,1292001,1872841.33333333
"TG(20:3)",8507.66666666667,582015.333333333,104016.333333333,29771973.3333333,182683.333333333,191975.666666667,38175,893613.666666667,17649.3333333333
"TG(20:4)",3857233,23393816,2714555,10396830,17414778.6666667,2713115.33333333,22777989.6666667,1692782,2763315.33333333
"TG(20:5)",426371,2555800.66666667,1055340.33333333,70084766.6666667,2996367.66666667,516548,1765246,1170092,622590.333333333
"TG(22:0)",121220,7382152,299979.333333333,1977489.66666667,175450.666666667,40705,729225.333333333,2102882,470405.666666667
"TG(22:1)",62840.3333333333,236774.666666667,85404.3333333333,1052842.66666667,101469,79241.6666666667,439889.333333333,45487.3333333333,2630464
"TG(22:3)",37875.6666666667,142746,58903.3333333333,799328.666666667,88983.3333333333,92294.3333333333,131438,56237.6666666667,243049
"TG(22:4)",391156.333333333,2908878.66666667,414298.666666667,1455404.66666667,2481468,337519.666666667,2514312.33333333,181026,892994.666666667
"TG(22:5)",61910,3190526.66666667,163671.666666667,8481924,662096.333333333,581825.666666667,301007.666666667,1894752.33333333,180935.333333333
"TG(22:6)",752031.666666667,6431297,519909.333333333,3124137.33333333,2883171.33333333,801266,5934641.66666667,1876366.66666667,554235
"TG(24:0)",306346,482146.333333333,85784.3333333333,368126,302202.666666667,365585,469850,487407.333333333,131299
"TG(24:1)",7298,364187,99598.3333333333,1135683.66666667,60582,9042.33333333333,112412.666666667,81469.6666666667,29758.6666666667
"TG(24:5)",52516.6666666667,292946,35872.3333333333,16098.6666666667,210376.333333333,154047.666666667,247211,31548.6666666667,21465.3333333333
"TG(24:6)",1869.33333333333,6121.33333333333,8164.33333333333,913828.666666667,NA,119.666666666667,NA,21531,NA
"TG(26:1)",582.333333333333,7930753.33333333,33971.6666666667,1358.33333333333,41317,165695,11361.6666666667,6000665.33333333,50969.3333333333
"TG(8:0)",2325741.33333333,9716066,2161083.33333333,4674515,9731217.33333333,20700805,2812256.33333333,8009797.66666667,1119094
