"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"SM(44:2)",66200000,65400000,89100000,56900000,26182719.667,63400000
"SM(44:3)",1.04e+08,1.03e+08,1.67e+08,48300000,21400000,62500000
"SM(44:4)",4425346.411,5363026.202,12100000,12400000,2843906.41,17700000
"SM(44:5)",9624260.426,7633038.549,11700000,2.1e+07,9119572.869,29700000
"SM(44:6)",48600000,65100000,1.1e+08,71600000,27300000,56400000
"SM(44:7)",12400000,1322114.828,2954445.916,10900000,4679565.109,13300000
"SPH(16:0)",4.15e+08,2.91e+08,4.47e+08,9.98e+08,4.39e+08,6.74e+08
"SPH(16:1)",35500000,21800000,18600000,14400000,9064710.286,17800000
"SPH(18:0)",163700000,99875022.337,180900000,385300000,171800000,263300000
"SPH(18:1)",14800000,9209775.627,7724662.154,8393716.637,3022585.326,23100000
"SPH(20:0)",77300000,49900000,78700000,1.89e+08,70600000,1.08e+08
"SPH(20:1)",16651147.204,14559209.562,11422440.075,12100000.338,6928680.544,65600000
"SPH(20:2)",1229071.48,1000855.954,1114154.665,474806.065,545805.958,37400000
"SPH(22:0)",3.6e+08,1.97e+08,2.51e+08,4.27e+08,2.56e+08,3.99e+08
"SPH(22:2)",7291124.31,4246903.196,6031221.842,2948672.93,2837384.274,6746099.543
"SPH(24:0)",4973213.785,717796.517,1073404.488,527455.287,837497.467,1019374.853
"TG(24:0)",21600000,18700000,2345915.75,3820588.365,84953.3643,963517.3941
"TG(26:0)",16251152.539,294291.345,6596940.4837,250629.6975,164287.958,67981976.8046
"TG(32:0)",19300000,444875.457,542634.353,29868.878,35358.0858,344306.1318
"TG(32:1)",26800000,NA,138217.913,26252.175,NA,1724871.75
"TG(34:0)",37400000,21140.8638,146798.4798,NA,38567.58,100863.2625
"TG(34:1)",27425375.708,1214375.4,6540302.332,174869.2615,90377.055,423518.2824
"TG(34:2)",38821794.0225,1633992.111,16904490.406,39700000,19800000,244606168.315
"TG(34:3)",13400000,0.307,139285.766,NA,39188.805,667859.8896
"TG(36:0)",27629759.962,11097358.706,21247220.816,11982646.662,11460143.108,63931322.345
"TG(36:1)",100752172.495,1050622.5804,15133019.9817,359501.9754,263386.4804,2603925.7316
"TG(36:2)",19100000,NA,102878.38,NA,NA,NA
"TG(38:0)",11200000,8343965.574,9682214.301,6502872.552,5874176.781,5908088.564
"TG(38:2)",13100000,10600000,16400000,22165.304,365954.781,7483909.257
"TG(38:4)",17800000,15700000,2e+07,66200000,35300000,1.45e+08
"TG(38:5)",58600000,45900000,69300000,1.7e+08,83700000,4.63e+08
"TG(38:6)",4039042.668,2337125.925,1197178.739,13700000,8209555.531,27200000
"TG(40:0)",39900000,25354136.299,32500000,15132390.424,9421686.78,5390508.9956
"TG(40:1)",12800000,1337432.715,1803909.872,1062071.041,1694463.823,5783593.733
"TG(40:2)",9242252.188,13500000,2.1e+07,0.628,81579.976,NA
"TG(40:4)",6723944.279,4111517.808,6591451.145,5386119.415,2606410.495,2585217.423
"TG(40:5)",20100000,15600000,25500000,1.42e+08,68700000,3.2e+08
"TG(40:6)",2.4e+07,17600000,27100000,98200000,44500000,2.12e+08
"TG(40:7)",47800000,45900000,69400000,1.41e+08,65800000,2.94e+08
"TG(42:0)",31800000,24600000,19600000,26300000,31200000,1.49e+08
"TG(42:1)",4.7e+07,9272301.829,1.6e+07,3580985.197,6499353.647,589934.0013
"TG(42:2)",12600000,5942100.232,11600000,949339.836,349369.0794,3674302.877
"TG(42:4)",1592464.729,1143191.65,2811222.215,14600000,5758665.277,19700000
"TG(42:5)",11100000,9419589.18,14400000,9.2e+07,44400000,1.79e+08
"TG(42:6)",2e+07,16500000,27400000,99400000,47600000,2.56e+08
"TG(44:0)",43900000,55200000,30800000,25300000,6.2e+07,1.22e+08
"TG(44:1)",32100000,23700000,25500000,21500000,20600000,11600000
"TG(44:2)",2441687.565,9993624.721,14900000,118968.779,103841.93,54500000
"TG(44:5)",970321.128,2904396.976,2704470.816,13800000,5338744.335,1.2e+07
"TG(44:6)",16700000,732757.827,2300985.312,8699890.944,3687089.349,1.4e+07
"TG(44:8)",262833.67,400522.583,823183.055,365531.03,229598.232,19900000
"TG(46:0)",1.67e+08,66200000,70300000,1.08e+08,1.17e+08,1.37e+08
"TG(46:1)",1.16e+08,6.3e+07,83800000,70100000,56800000,80200000
"TG(46:2)",65800000,53400000,73200000,31300000,11100000,17700000
"TG(48:0)",62500000,181060.8792,690277.4184,203140.951,NA,NA
"TG(48:1)",6.67e+08,2.37e+08,3.15e+08,1.78e+08,1.62e+08,2.35e+08
"TG(48:2)",308500000,210200000,305600000,131092946.651,101079023.845,234200000
"TG(48:3)",44200000,39600000,4.6e+07,30600000,23900000,67700000
"TG(50:0)",2.86e+08,9.3e+07,9.8e+07,69300000,78100000,82200000
"TG(50:1)",2602100000,617500000,849500000,367900000,303100000,787920633.121
"TG(50:2)",3214932221.629,1806781377.0976,2512579963.7239,559636334.957,325562118.849,1237208787.276
"TG(50:3)",538100000,376198748.235,577108297.305,184101212.711,138111911.07,325400000
"TG(50:4)",67900000,85400000,113900000,53300000,33300000,147800000
"TG(50:5)",11200000,15700000,28300000,10200000,26300000,30100000
"TG(52:0)",11900000,4.5e+07,14500000,11200000,9862072.92,13300000
"TG(52:1)",1183900000,389800000,578700000,255900000,172400000,236371430.302
"TG(52:2)",8.115e+09,4.857e+09,5.82e+09,1.69e+09,1180100000,1931800000
"TG(52:3)",4912200000,4678180925.945,6158113830.077,1097980942.4162,664800184.501,987067372.771
"TG(52:4)",629100000,437705841.0144,529892569.948,198124683.985,178500000,853500000
"TG(52:5)",388200000,368900000,499600000,200800000,148800000,491300000
"TG(52:6)",48156881.372,64793421.11,99040844.768,50526353.266,31466442.646,22644935.3
"TG(52:7)",4936556.479,13500000,20300000,12800000,5931620.112,25400000
"TG(54:0)",24100000,51200000,28200000,58200000,22200000,1.6e+07
"TG(54:1)",3312591.762,13100000,966268.4382,4659003.228,674786.8989,397600.181
"TG(54:2)",4.46e+09,4.2e+09,5.64e+09,7.69e+08,5.01e+08,5.63e+08
"TG(54:3)",41185700000,44877000017.226,54229175843.95,13118900000,8471900000,12308274926.872
"TG(54:4)",5147030096.123,5431300000,7352600000,1143418614.827,749539499.287,1782189768.592
"TG(54:5)",1660400000,1619400000,1969814437.5368,830700000,543500000,2014167703.6753
"TG(54:6)",351100000,6.17e+08,9.38e+08,321900000,2.3e+08,2.138e+09
"TG(54:7)",82200000,105749776.268,208100000,98200000,42643063.124,467400000
"TG(54:8)",22300000,30318618.0475,51082153.68,27276368.4591,16847922.042,99900000
"TG(56:1)",4387205.598,16800000,757574.3568,408461.7825,1610913.245,2724993.632
"TG(56:10)",5701895.462,11300000,14900000,8268851.608,4586087.505,15300000
"TG(56:2)",2.64e+08,2.12e+08,2.98e+08,43100000,2.6e+07,22200000
"TG(56:3)",7301984.562,4667630.566,13200000,686775.284,170050.517,44912.685
"TG(56:4)",1081400000,1.284e+09,1592500000,376600000,240600000,365800000
"TG(56:5)",4582400000,4705800000,6057900000,1869258818.04,1108566946.082,1935936211.591
"TG(56:6)",8244400000,7.844e+09,9872600000,3250500000,1.953e+09,3.494e+09
"TG(56:7)",2.406e+09,2.886e+09,3.96e+09,1.395e+09,7.38e+08,1.608e+09
"TG(56:8)",3.99e+08,4.75e+08,6.95e+08,2.37e+08,1.24e+08,3.36e+08
"TG(56:9)",32600000,39700000,53900000,33500000,18300000,50400000
"TG(58:10)",1.06e+08,1.28e+08,1.77e+08,1.02e+08,56300000,1.45e+08
"TG(58:11)",62300000,66199166.846,93600000,43500000,24604657.319,69600000
"TG(58:2)",59200000,149400000,1.45e+08,191800000,35835060.2411,14280177.496
"TG(58:3)",2.18e+09,2.41e+09,3.75e+09,2.39e+08,1.47e+08,1.2e+08
"TG(58:4)",5.27e+08,5.67e+08,7.65e+08,1.16e+08,68900000,1.04e+08
"TG(58:5)",1256500000,1639100000,2254100000,535800000,323890529.815,418535868.672
"TG(58:6)",4019100000,4204900000,5423200000,2459404699.258,1444290059.809,2595450090.875
"TG(58:7)",5123900000,5589800000,6893300000,3103200000,1787149630.203,3511600000
"TG(58:8)",782857.3653,2418016.282,3943206.203,374229.6666,164590.035,NA
"TG(58:9)",5.62e+08,8e+08,1.08e+09,3.77e+08,2.42e+08,5.59e+08
"TG(60:10)",618400000,741700000,1023200000,576900000,283900000,652614045.484
"TG(60:11)",5.75e+08,5.33e+08,9.39e+08,2.78e+08,1.48e+08,4.78e+08
"TG(60:12)",8.1e+07,85100000,1.54e+08,7.9e+07,33400000,1.13e+08
"TG(60:2)",32762598.239,56900000,52400000,129400000,14505572.671,5088877.554
"TG(60:3)",1844903.678,52800000,44800000,99200000,3555851.719,1640850.227
"TG(60:4)",24600000,16700000,44700000,1779465.43,724693.333,176186.967
"TG(60:5)",3.1e+08,3.29e+08,5.47e+08,1.23e+08,86900000,99300000
"TG(60:6)",1.75e+09,1.98e+09,2.7e+09,6.76e+08,3.8e+08,6.23e+08
"TG(60:7)",4e+09,4.53e+09,6.17e+09,1.51e+09,8.47e+08,1.75e+09
"TG(60:8)",7.11e+08,8.12e+08,1.094e+09,6.01e+08,2.64e+08,239700000
"TG(60:9)",3.47e+08,5.99e+08,9.62e+08,7.76e+08,4.66e+08,7.71e+08
"TG(62:10)",3.38e+08,3.53e+08,4.64e+08,4.48e+08,2.48e+08,4.83e+08
"TG(62:11)",2.3e+08,2.73e+08,3.45e+08,2.97e+08,1.32e+08,3.44e+08
"TG(62:12)",2.37e+08,2.98e+08,4.28e+08,2.23e+08,1.24e+08,2.88e+08
"TG(62:13)",1.59e+08,1.92e+08,2.6e+08,8.2e+07,4.3e+07,1.08e+08
"TG(62:3)",38900000,1.9e+08,2.03e+08,3.58e+08,1.8e+07,6341601.285
"TG(62:4)",24200000,72600000,74600000,133900000,1115161.824,1375777.6518
"TG(62:5)",36700000,41800000,57700000,11600000,6434679.797,293555.6415
"TG(62:6)",330400000,366500000,519400000,112800000,69100000,91000501.68
"TG(62:7)",581228267.398,645219538.02,995679933.179,210276777.696,123354801.554,182801968.1855
"TG(62:8)",2.1e+08,2.53e+08,3.55e+08,168300000,97700000,158600000
"TG(62:9)",1.87e+08,2.24e+08,2.81e+08,3.51e+08,1.84e+08,4.27e+08
"TG(64:10)",1.01e+08,1.04e+08,1.45e+08,2.36e+08,1.27e+08,2.69e+08
"TG(64:11)",68500000,96900000,1.12e+08,1.23e+08,64600000,1.3e+08
"TG(64:12)",1.33e+08,1.73e+08,2.33e+08,1.17e+08,61700000,1.65e+08
"TG(64:3)",NA,5341847.699,4215088.295,22100000,169153.852,NA
"TG(64:7)",1.02e+08,89500000,1.74e+08,41200000,18900000,31400000
"TG(64:8)",48900000,60100000,66800000,37500000,24100000,36500000
"TG(64:9)",21400000,23400000,27600000,95600000,52600000,1.07e+08
"TG(66:12)",9393251.264,7222084.023,13800000,10400000,3831312.318,8516695.94
"TG(66:8)",13600000,1.7e+07,27400000,12100000,107570.4591,9993075.817
"TG(66:9)",16200000,17500000,24400000,21500000,14300000,24200000
