"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"LPE(20:4)",1.7e+07,35400000,40800000,21200000,17500000,29700000
"LPE(20:5)",1400551.999,2927832.743,3314195.851,1528026.517,1340332.099,2262937.618
"LPE(22:4)",4442302.269,3777701.69,6613896.389,9982764.377,3901541.518,10400000
"LPE(22:5)",17500000,14200000,25200000,36600000,1.6e+07,38500000
"LPE(22:6)",6145012.201,13300000,14400000,8323001.832,6495197.689,11300000
"LPG(16:0)",19704.449,14874.427,3595.4055,2130380.903,15117.231,25966.0992
"LPG(18:1)",26659.7568,1128754.562,950915.62,3920391.75,626886.366,892420.724
"MG(18:0)",8873594.144,1045044.923,7509021.918,1601736.958,700567.759,3444438.105
"MG(18:3)",100045.02,1362702.67,62134.7313,390572.354,178419.1683,80300000
"PA(38:5)",4.23e+08,4.29e+08,6.2e+08,6.65e+08,3.61e+08,6.58e+08
"PC(16:0)",3499637.716,3472064.237,2366189.826,12600000,9844218.603,6905911.37
"PC(18:0)",34700000,71037.7656,1064645.899,NA,20920.484,50939.618
"PC(18:1)",61300000,41247.585,542420.781,NA,NA,NA
"PC(20:0)",15600000,813985.551,6074039.476,NA,NA,NA
"PC(20:1)",3211060.699,3019896.303,3544172.363,21200000,10900000,24300000
"PC(24:0)",28200000,2949797.342,10400000,203813.903,45304.717,70026.684
"PC(24:1)",3.2e+07,706100.023,3269257.801,NA,NA,39295.504
"PC(26:0)",4805040.251,761765.898,2990159.191,NA,11261.0082,167140.327
"PC(26:1)",414044.7552,38797.974,272987.931,9237.9,73492.905,NA
"PC(28:0)",51100000,2.7e+07,4.1e+07,5.8e+07,25488841.76,61200000
"PC(30:0)",1128018470.849,813200000,1236800000,1211200000,588300957.566,1280500000
"PC(30:1)",140217171.8832,126056858.7874,192710374.9205,210458345.9018,103347187.1275,259093739.6507
"PC(32:0)",6004300000,4944800000,6731500000,6663800000,3851100000,7353700000
"PC(32:1)",3120277684.227,2865442176.3537,4486021374.8894,4225065466.0201,2180319636.7227,5115542287.2428
"PC(32:2)",87990878.762,78842761.155,116903162.64,172366129.832,80027561.721,331800000
"PC(32:3)",863066.805,771569.956,1094119.371,6608141.812,5801541.611,12300000
"PC(32:4)",6153177.151,2952878.411,4549150.958,5348176.262,2432700.768,9452830.581
"PC(34:0)",324802615.6,456200000.238,532676735.377,481600000,314740965.103,465214635.6675
"PC(34:1)",21039700000,19656600000,2.5057e+10,2.6432e+10,1.6726e+10,2.8049e+10
"PC(34:2)",6.163e+09,5.838e+09,7.116e+09,5.694e+09,4.356e+09,1.1227e+10
"PC(34:3)",2.3e+08,200300000,266300000,473500000,214100000,392800000
"PC(34:4)",58600000,50100000,74300000,133500000,65172916.442,162200000
"PC(34:5)",17271324.893,11766297.929,17482776.154,17730385.383,7630625.832,26900000
"PC(34:6)",2.7e+07,31500000,54100000,43400000,16700000,37600000
"PC(36:0)",103090743.448,66600000,97745503.018,1.13e+08,37400000,160100000
"PC(36:1)",4510519876.13,3500100000,5550100000,6105733239.785,3066365789.125,7934900000
"PC(36:2)",5235861270.0102,7335701258.6983,8584434304.8606,6129420461.0521,5497844245.0075,7804685202.968
"PC(36:3)",2862800000,3135200000,5048800000,4627100000,2151878628.2047,5217500000
"PC(36:4)",1902149801.468,1850257270.952,2376393487.205,2272459071.348,1433826769.1861,2791200000
"PC(36:5)",789600000,680800000,895400000,919100000,588700000,1169116237.73
"PC(36:6)",1675842807.757,1462755299.522,1852400000,2031500000,1261135085.726,2488778148.15
"PC(36:7)",5573010.939,3009730.556,6182416.115,7619021.528,3285164.604,10700022.161
"PC(38:0)",1650675.48,1216413.061,1876588.653,6003695.783,2514529.368,8249382.997
"PC(38:1)",87819412.77,89451599.196,120287980.292,262077523.9474,32957339.938,412227960.824
"PC(38:2)",1.51e+09,1177600000,2.341e+09,2148300000,882400000,3.401e+09
"PC(38:3)",419802021.196,443033405.887,706920594.506,826573019.645,357832779.6,942498983.547
"PC(38:4)",1115600000,1112800000,1.59e+09,1498300000,758200000,1739400000
"PC(38:5)",2453100000,2227500000,3459847232.37,4105100000,1906300000,5156900000
"PC(38:6)",679182585.963,6.55e+08,981800000,825969438.019,367844902.433,1203722590.499
"PC(38:7)",269600000,285400000,441700000,255200000,104600000,299700000
"PC(38:8)",2246120.681,2401087.374,4009230.824,7012841.493,2840785.48,6805517.245
"PC(40:1)",1278427.382,27400000,47100000,39900000,14100000,26300000
"PC(40:10)",19800000,NA,1824197.658,NA,NA,NA
"PC(40:2)",277617630.942,246401421.24,398254482.408,4.84e+08,195548996.478,759577711.158
"PC(40:3)",30200000,27600000,52200000,69500000,2.3e+07,85700000
"PC(40:4)",76660371.203,7.9e+07,110300000,147429481.799,67069906.193,211900000
"PC(40:5)",453900000,426800000,695400000,1225400000,472360344.443,1473600000
"PC(40:6)",484200000,507400000,760500000,1098600000,579700000,1614200000
"PC(40:7)",650600000,543400000,898900000,2055900000,836200000,2479400000
"PC(40:8)",128500000,116500000,198800000,155100000,62200000,211700000
"PC(40:9)",1121895.564,762072.436,1218570.029,5799421.942,2564368.967,8707086.453
"PC(42:10)",15300000,11100000,1.8e+07,47700000,24200000,68800000
"PC(42:11)",626602.456,690326.067,782717.074,4780147.257,2570119.39,8577560.535
"PC(42:2)",72800000,112800000,158800000,76900000,41700000,78700000
"PC(42:3)",8038663.412,15800000,25500000,21900000,5955568.484,30600000
"PC(42:4)",33904529.851,31828874.848,56300000,60300000,31100000,84900000
"PC(42:5)",71300000,61300000,1.07e+08,281400000,123100000,409300000
"PC(42:6)",168717608.246,153302573.596,2.52e+08,585600000,280400000,734900000
"PC(42:7)",25700000,21159988.608,3.4e+07,30648498.597,10480377.223,41200000
"PC(42:8)",NA,260610.198,993632.2071,971485.5414,720302.4228,1710540.343
"PC(42:9)",6832452.743,5163916.18,9203474.934,24600000,6948969.547,40500000
"PC(44:10)",1368686.276,884539.225,1507861.18,7334600.85,2222231.383,7716156.295
"PC(44:11)",3742431.711,2604714.059,3835293.843,9304080.597,4477974.506,15300000
"PC(44:12)",1832794.325,1679858.787,3025757.482,5241603.007,2336747.167,8089039.446
"PC(44:4)",486695.218,1444982.626,1775154.774,10100000,4023900.054,10900000
"PC(44:5)",7230672.966,6086707.185,9127732.731,33700000,14900000,50900000
"PC(44:6)",19152380.867,18088808.031,2.9e+07,4.5e+07,16898747.904,59200000
"PC(44:8)",544097.477,1805136.504,2651992.346,13200000,5714528.294,21100000
"PC(44:9)",38100000,28700000,53400000,1.37e+08,53300000,1.34e+08
"PE(20:3)",12400000,8272440.584,13300000,1.8e+07,7618751.433,13500000
"PE(30:0)",3220874.538,4677647.64,4643529.322,2593221.748,2751835.968,4799853.063
"PE(32:0)",71739499.414,58527936.648,84167707.896,108094392.833,57876957.777,90576424.617
"PE(32:1)",83666777.581,47969701.564,121433447.27,83476156.766,51127804.98,131532076.174
"PE(32:2)",12266522.896,15390250.398,19723737.566,9589824.82,11818440.551,25300000
"PE(34:0)",44821514.709,45253993.806,62988824.557,75556894.121,43259609.824,71599046.652
"PE(34:1)",814444510.5688,916727580.015,1248700000,1470328866.781,652302465.417,1498872000.048
"PE(34:2)",241362872.018,264528308.81,290726479.696,297993210.113,187766787.642,373600958.811
"PE(34:3)",10352297.659,12406532.611,16928306.852,12659894.365,7381858.972,18367154.256
"PE(34:4)",606152.084,575841.288,860110.153,2765311.582,1242985.238,3850207.672
"PE(34:5)",2001669.911,3617572.657,3696295.056,3099096.072,2470155.272,4119770.682
"PE(36:0)",18018221.617,16417413.823,24708664.083,26134661.037,12033995.492,28064072.917
"PE(36:1)",1044288417.521,995571464.754,1486548184.842,1602685401.519,747945962.677,2011630096.749
"PE(36:2)",2203862499.1459,2227971113.8187,3540216272.3745,2916102658.3901,1475794283.7778,3638411984.0314
"PE(36:3)",222666717.589,300737365.963,377420663.89,283336597.13,180107720.729,416490737.665
"PE(36:4)",810996985.535,771608211.3002,1175183028.237,1157111477.0667,560636799.555,1351750569.114
"PE(36:5)",313063097.416,486638684.155,562718228.336,375672523.164,330876645.803,527712590.807
"PE(36:6)",28587980.487,46332666.205,50458036.01,34386422.824,31610127.229,49688941.132
"PE(36:7)",758332.909,1322930.673,1646219.6,956429.479,866996.088,1542238.435
"PE(38:1)",39238044.781,57567726.271,31352711.289,34800000,26297332.693,34219852.095
"PE(38:2)",371623591.171,386759126.553,557553076.241,598453919.49,284406641.304,816138778.505
"PE(38:3)",334556352.966,396370591.825,591500000,677112980.667,336546210.578,728992425.615
"PE(38:4)",1516166414.047,1379677946.586,2101255937.71,2103220722.197,941423445.096,2871590978.287
"PE(38:5)",1842969647.838,1992030741.4062,2884283704.452,2686390321.027,1375703908.8973,2942346318.655
"PE(38:6)",686748060.258,844352776.154,1064917353.171,835627256.8734,601647310.359,1142088422.4036
"PE(38:7)",107300225.797,156941858.263,190068326.068,128300067.704,122102688.368,192122126.309
"PE(38:8)",287784.1983,1222322.249,1209031.859,824819.425,379046.502,923673.075
"PE(40:1)",1719412.77,2975038.144,3119495.172,117688.6761,165441.4554,2942265.318
"PE(40:2)",104900000,106700000,146900000,100900000,47844457.143,109581422.225
"PE(40:3)",17947791.339,22045437.669,33348922.767,36910522.241,19454109.734,55615227.629
"PE(40:4)",104224933.983,97327733.695,153874855.157,163208909.6849,81823641.111,265345951.944
"PE(40:5)",443954955.601,474072695.618,637507767.156,750272411.747,352100194.909,1026726193.131
"PE(40:6)",823600000,909700000,1331500000,1362200000,675395682.979,1711300000
"PE(40:7)",721167313.581,817301150.3393,1145116059.5343,807957935.7095,450413836.373,1129893077.2074
"PE(40:8)",126696419.501,214853042.851,250341798.104,141610399.616,127053566.276,224089043.849
"PE(42:1)",8718799.531,9971455.602,1.6e+07,18200000,6035165.187,1949692.563
"PE(42:10)",2738114.907,4628161.6,4684787.309,3070680.397,2907494.282,4164688.537
"PE(42:2)",23800000,32500000,37900000,13500000,16600000,2.6e+07
"PE(42:3)",4631299.421,8946803.823,8434128.674,4118772.927,5221971.135,6504657.188
"PE(42:4)",2617589.2072,3597906.019,5224483.524,2457106.0025,2328888.6322,3477923.506
"PE(42:5)",12193873.746,17099290.935,25243713.086,22274631.858,11169604.001,33177657.946
"PE(42:6)",13908847.843,19575763.47,29315737.439,25233400.685,12318902.839,28896372.739
"PE(42:7)",32106312.046,37086515.892,53530307.649,44513130.59,26153086.1903,64466088.0604
"PE(42:8)",50374.1667,62126.7204,32099.9109,50084.655,19373.319,80927.481
"PE(42:9)",1316654.505,2414141.226,2473091.469,1298204.883,1500201.516,2343042.845
"PE(44:12)",168734.689,374957.868,454825.302,150121.247,98356.694,191125.2168
"PE(44:2)",2311043.72,3244344.571,3755008.811,1049884.661,1456807.767,2624353.997
"PE(44:4)",992786.844,1995352.971,1727480.326,524217.885,728872.625,1157791.839
"PE(44:5)",2054463.1,3084398.22,3391588.338,1421691.73,1637983.612,2535932.272
"PE(44:6)",2316589.018,4635561.049,5407038.911,2852022.105,2636554.852,4437541.741
