"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(46:0)",2318169.143,2196870.105,1621597.789,2457605.963,3717120.244,2722587.455
"ChE(0:0)",29400000,334519.8615,919964.724,NA,294591.572,1160729.03
"ChE(20:4)",26900000,26500000,36900000,33600000,5.5e+07,61400000
"ChE(20:5)",14900000,1.3e+07,17300000,17700000,22300000,28300000
"ChE(22:5)",20500000,18100000,28900000,20900000,35100000,43500000
"ChE(22:6)",50300000,53600000,62100000,60800000,72900000,84400000
"DG(32:0)",77900000,15300000,24900000,12900000,1.4e+07,1.3e+07
"DG(32:1)",3.6e+07,3392156.586,5867782.28,2708872.746,4778456.627,7366505.801
"DG(34:0)",1.81e+08,62800000,2.85e+08,61200000,66400000,53600000
"DG(34:1)",7.62e+08,60900000,92100000,66900000,1.01e+08,1.37e+08
"DG(34:2)",91700000,5504316.843,8179258.6323,9223431.37,17800000,34500000
"DG(34:3)",583379.08,107778.99,274563.155,NA,367800.701,161803.5984
"DG(36:0)",4.13e+08,1.28e+08,1.35e+09,1.05e+08,1.17e+08,1.13e+08
"DG(36:1)",3.28e+08,2.69e+08,3.63e+08,2.63e+08,3.9e+08,5.03e+08
"DG(36:2)",1082310958.41,803100000,1.203e+09,802700000,1351500000,1777600000
"DG(36:3)",37830171.271,24556243.41,36913309.928,22788092.46,43054067.697,56364845.039
"DG(36:4)",5834047.574,5033497.723,7031261.533,4758579.483,9428942.493,13583584.517
"DG(36:5)",167472.9529,1058119.726,426746.217,738480.308,296753.3016,231750.442
"DG(38:0)",11600000,5385974.059,27700000,3981658.292,5039433.774,2226095.899
"DG(38:1)",14200000,6154783.18,10600000,7070348.155,10200000,5030662.157
"DG(38:2)",96875501.187,125055180.737,193475882.193,85633066.233,198812463.314,247558737.099
"DG(38:3)",2.7e+07,28400000,4e+07,28800000,43900000,52600000
"DG(38:4)",118800000,117300000,1.62e+08,121700000,206900000,2.78e+08
"DG(38:5)",58600000,45900000,69200000,52500000,98100000,1.26e+08
"DG(38:6)",2671686.918,2297331.779,2130477.095,1925224.714,2466464.989,3032299.067
"DG(40:2)",26800000,30502169.63,47200000,27700000,47518269.7681,63048742.6202
"DG(40:4)",8479493.526,5535004.95,8939553.405,5607331.15,19457823.495,11060164.989
"DG(40:5)",31300000,24710112.777,39700000,27121302.271,51500000,58300000
"DG(40:6)",32284294.832,24947382.135,3.8e+07,27862552.966,46900000,5.9e+07
"DG(40:7)",47800000,45900000,69400000,48700000,84300000,1.05e+08
"DG(42:2)",7970834.871,11700000,20600000,12800000,20700000,26200000
"LPC(14:0)",6866427.247,2700369.782,3487795.143,4649979.267,977345.523,4166719.545
"LPC(16:0)",3504100000,113197562.602,857200000,86776679.539,150226443.579,147156887.677
"LPC(16:1)",38600000,16508432.255,26585960.689,16973701.325,21918096.944,24034211.2482
"LPC(18:0)",1845300000,159567343.958,606760095.636,146691156.359,277360353.288,260645859.46
"LPC(18:1)",182500000,107100000,169700000,136200000,245500000,284800000
"LPC(18:2)",6611794.1184,3406580.9016,5125913.1802,3387532.2388,6303017.5495,8525008.866
"LPC(20:0)",23394001.0175,5664056.0285,10631664.2708,4757801.972,9385553.6437,9329598.74
"LPC(20:1)",14853315.716,8673534.166,14040499.765,8777878.429,11789485.782,16856739.795
"LPC(20:3)",1312410.633,3444089.492,3826492.708,3359647.522,5213468.967,5889281.093
"LPC(20:4)",22800000,16200000,24700000,21600000,38600000,38100000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,1690269.26,3874084.494,3890177.647
"LPC(22:0)",21700000,1475201.96,6529739.978,1218289.838,2976792.238,3009190.958
"LPC(22:1)",4454805.026,2177717.086,4408972.899,2085525.601,3942884.956,4327354.528
"LPC(22:5)",2774369.803,8601664.357,1190663.938,7458011.732,16600000,17900000
"LPC(22:6)",4902186.712,7629013.119,1110321.799,8388315.704,12600000,14200000
"LPC(24:0)",25456.665,73890.7227,115302.583,34636.243,2072119.825,33147.223
"LPC(24:1)",1547213.741,274432.681,2220872.487,186894.369,356439.6507,2859927.489
"LPC(28:0)",23600000,14800000,22300000,16700000,27900000,32700000
"LPC(28:1)",5017172.86,1182092.526,2134919.242,853966.775,1686450.895,2135217.022
"LPC(32:1)",21500000,18500000,31100000,2.3e+07,42100000,39600000
"LPC(34:1)",74700000,60600000,1.24e+08,63100000,1.33e+08,1.65e+08
"LPE(16:0)",6045390.745,3806722.206,7289170.34,3905788.379,6937611.349,7480065.899
"LPE(16:1)",1744984.123,3314493.505,3794483.105,1969820.549,3262482.585,1808884.395
"LPE(18:0)",30900000,5075462.623,13900000,5470031.912,9193809.953,10500000
"LPE(18:1)",20400000,17300000,30300000,20500000,3.5e+07,38900000
