"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"DG(18:3)",3118550.4635,3630151.061,3622213.556,5687398.724,2587927.1298,157700000,3860011.076,60850000,3643169.88795,3286852.7765,4339934.7308,6423084.5987
"DG(19:0)",3590330.935,2393801.733,3241155.014,2651342.83,1492785.0345,3918098.039,1697214.927,1361503.0285,2202565.36,2390808.2415,3259166.868,3764830.8395
"DG(19:1)",2495074.186,1861512.5415,2511682.8125,5100000,2434966.1385,8450000,3362734.7945,7500000,3717407.321,1885862.142,2601530.133,2949687.795
"DG(20:0)",13437750.5935,6297968.988,19887941.0965,10250745.03165,5000315.72485,59857198.322,11049749.547,31188408.5455,9908070.5685,6042536.34,8525948.544,4407747.5775
"DG(20:1)",53350000,68400000,106450000,196800000,108500000,283500000,131750000,229450000,126650000,4.9e+07,110500000,137650000
"DG(20:3)",16950000,15950000,19550000,40650000,21325683.6775,83800000,26019823.6235,77150000,27415974.382,16050000,22400000,26150000
"DG(20:4)",82335115.8105,75047668.816,108441619.153,144300000,72874875.963,357650000,75106725.794,243500000,74795207.5095,80555723.349,143833847.25,192183623.282
"DG(20:5)",1335843.459,1148665.8895,1065238.5475,7250000,4098732.424,13550000,3374924.3505,12750000,4327903.268,962612.357,1233232.4945,1516149.5335
"DG(22:0)",NA,1084.815,NA,307304.4573,21222.8265,13950000,84508.14675,1389087.884,279757.53045,NA,159134.88405,74371.3101
"DG(22:1)",13400000,15250000,23600000,5.8e+07,28550000,71500000,35650000,5.5e+07,33900000,13850000,23600000,31450000
"DG(22:3)",877774.6235,711743.571,1174051.13,7850000,3897170.1605,16150000,5600000,14700000,5600000,915458.9115,5950000,1473181.78
"DG(22:4)",13611972.1395,9905758.904,16645725.5725,74193059.7075,35653205.2475,161292608.7115,42908428.581,159280063.314,47695145.3465,10638206.6635,19278911.7475,21456900.7145
"DG(22:5)",17400000,13305056.3885,20050000,54450000,25136449.3805,117300000,31007728.3865,110600000,33473887.469,14310651.1355,26800000,31600000
"DG(22:6)",28042147.416,26623691.0675,40150000,73402340.1865,34407728.589,154650000,45969762.942,135050000,45599131.939,28781276.483,49050000,62150000
"DG(24:1)",3985417.4355,5850000,10300000,7e+06,2625779.763,3536013.357,3422823.4675,4549012.021,3220368.0965,6400000,10350000,13100000
"LPC(14:0)",6866427.247,2700369.782,3487795.143,5090550.249,2686395.707,359088.661,3225886.872,293317.1958,NA,4649979.267,977345.523,4166719.545
"LPC(15:0)",19800000,1322679.5,5292046.003,3301307.454,1674071.045,3078265.233,2540120.182,7723494.464,3232204.993,493765.0158,2099127.075,2387969.578
"LPC(16:0)",3504100000,113197562.602,857200000,215571317.619,113375891.064,219467682.487,236162872.206,6.63e+08,186817793.243,86776679.539,150226443.579,147156887.677
"LPC(16:1)",38600000,16508432.255,26585960.689,22389268.5594,11397415.9378,23376315.6944,12934826.8157,22302004.5324,16304828.925,16973701.325,21918096.944,24034211.2482
"LPC(17:0)",48400000,7664175.588,19600000,18600000,10200000,1.8e+07,11200000,23600000,14800000,9184504.388,12600000,12300000
