"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(40:0)",151010287.27,81501173.487,101421214.086,92351249.733,56403708.051,149767111.352,81690593.033,163945340.211,82519536.282,76259152.55,103556019.71,104689772.331
"Cer(40:1)",121253626.1445,66582398.7045,99337052.9919,104068480.6294,54682744.647,147138858.0597,71853236.852,127529708.7393,79792109.368,62578143.674,107867228.362,112817072.3648
"Cer(40:2)",22399631.86,24162841.238,38640799.89,46844170.598,21050116.327,63753449.535,26744726.878,53511808.292,29623512.59,22272457.324,39590336.009,44647219.928
"Cer(42:0)",165708052.968,175010925.8767,162707397.7644,137800370.9064,116490024.8182,450814369.8248,167284155.665,515429208.4927,108541119.895,114121764.183,168341885.608,196506379.3635
"Cer(42:1)",574725711.5051,614650974.3565,880714296.6102,559714448.949,287967035.907,799160701.3577,395965028.645,694680968.2681,379414645.601,585538040.0503,950900652.503,1077823511.7022
"Cer(42:2)",530600000,623900000,899900000,521700000,253642317.03,624100000,347353626.294,5.59e+08,351230129.703,600100000,9.88e+08,1102700000
"Cer(42:3)",64783585.995,72600000,95900000,82300000,37245706.714,114700000,49548700.931,88600000,54616548.679,6.9e+07,108200000,116700000
"Cer(42:4)",742041.807,865048.5237,2360090.459,5533319.453,2052019.666,3614585.583,2682306.313,3910082.724,3669941.331,1148901.119,2287969.857,2411671.092
"Cer(42:5)",1169836.197,982253.307,2083823.076,26735956.497,11413080.419,45300000,14163196.05,46100000,16378312.65,1027784.1138,2517070.618,2551587.885
"Cer(42:6)",354816.703,1024816.083,1386363.248,20708758.2426,9929160.37,51310279.545,17415834.126,46676466.746,20162372.9676,4382536.764,9248707.604,6101780.616
"Cer(44:0)",14818344.448,26396994.242,13898142.975,12596229.633,22969023.929,64167071.374,32427278.075,78061821.795,75591713.026,21010751.838,100465260.346,14121775.509
"Cer(44:1)",770539.012,355853.0334,1588674.1524,440011.3641,3222019.6838,725215.46,653273.6729,1658126.2607,47595694.9775,4021011.933,42925938.931,825172.0654
"Cer(44:2)",50568008.643,52684408.1967,77959155.727,45245203.247,21810370.518,17946814.499,30478961.4949,15803430.5048,42677915.718,47227357.01,84170497.145,87730627.851
"Cer(44:3)",18446994.844,26519775.954,41046445.779,19879170.583,7522384.107,10712774.779,12852510.105,14055612.181,12218023.817,22751242.492,40462523.218,47472213.447
"Cer(44:5)",264333.333,233828.8164,400234.0458,5011394.862,2371577.33,4179154.373,2585751.717,5077914.234,3103413.186,239213.0292,849296.657,700303.797
"Cer(44:6)",515621.579,678803.685,858063.23,7924076.451,3381982.024,9393584.224,4497917.049,9579947.707,4699416.497,603583.066,888148.059,1101715.142
"Cer(46:0)",2318169.143,2196870.105,1621597.789,3679425.894,2052312.78,2324526.479,2030374.828,2190972.383,2906012.723,2457605.963,3717120.244,2722587.455
"ChE(0:0)",29400000,334519.8615,919964.724,4073663.559,1916397.897,743979.423,824093.7975,460599.957,306611.0886,NA,294591.572,1160729.03
"ChE(20:4)",26900000,26500000,36900000,29500000,12800000,20700000,11200000,13900000,14900000,33600000,5.5e+07,61400000
"ChE(20:5)",14900000,1.3e+07,17300000,15900000,7710759.938,17700000,6674257.593,12400000,8133489.237,17700000,22300000,28300000
"ChE(22:5)",20500000,18100000,28900000,20900000,10400000,20300000,10900000,13100000,12300000,20900000,35100000,43500000
"ChE(22:6)",50300000,53600000,62100000,8.7e+07,44200000,1e+08,44700000,6.4e+07,50800000,60800000,72900000,84400000
"DG(32:0)",77900000,15300000,24900000,17300000,11200000,37800000,23500000,4.4e+07,16400000,12900000,1.4e+07,1.3e+07
"DG(32:1)",3.6e+07,3392156.586,5867782.28,9413710.046,3974694.99,2.6e+07,6030497.518,22400000,5715761.864,2708872.746,4778456.627,7366505.801
"DG(34:0)",1.81e+08,62800000,2.85e+08,60300000,43900000,1.24e+08,95900000,3.11e+08,83300000,61200000,66400000,53600000
"DG(34:1)",7.62e+08,60900000,92100000,1.6e+08,82600000,3.67e+08,1.01e+08,2.58e+08,1.01e+08,66900000,1.01e+08,1.37e+08
"DG(34:2)",91700000,5504316.843,8179258.6323,1.2e+07,4909344.743,916889.9625,16100000,816998.6325,2490443.095,9223431.37,17800000,34500000
"DG(34:3)",583379.08,107778.99,274563.155,386427.568,323432.273,68900000,656436.94,39200000,733339.471,NA,367800.701,214003.6374
"DG(36:0)",4.13e+08,1.28e+08,1.35e+09,1.15e+08,79200000,1.53e+08,2.51e+08,1.12e+09,1.54e+08,1.05e+08,1.17e+08,1.13e+08
"DG(36:1)",3.28e+08,2.69e+08,3.63e+08,2.86e+08,1.5e+08,6.84e+08,1.63e+08,4.68e+08,1.83e+08,2.63e+08,3.9e+08,5.03e+08
"DG(36:2)",1082310958.41,803100000,1.203e+09,2.835e+09,1.321e+09,5.91e+09,1596900000,4.515e+09,1670862911.105,802700000,1351500000,1777600000
"DG(36:3)",37830171.271,24556243.41,36913309.928,64860461.04,33407286.16,5.3e+08,42586584.615,312400000,41307491.022,22788092.46,43054067.697,56364845.039
"DG(36:4)",5834047.574,5033497.723,7031261.533,12996871.029,5878911.9046,275800000,6740073.253,147800000,6030126.7059,5265744.4455,9428942.493,13583584.517
