"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"DG(17:1)",3667042.1635,1683450.3575,2611683.7395,1714975.812,2487734.172,3107077.527
"DG(18:0)",751015973.439,377005746.0149,1802040087.211,350604750.0525,488716900.70925,572302880.3916
"DG(18:1)",1859635499.934,1132761306.2635,1686696060.8475,1123283959.768,1889939462.32,2472210753.1185
"DG(18:2)",31673097.11,27157735.0465,38785286.78415,23985773.2705,47413743.19185,53455333.0171
"DG(18:3)",3118550.4635,3630151.061,3622213.556,3286852.7765,4339934.7308,6423084.5987
"DG(19:0)",3590330.935,2393801.733,3241155.014,2390808.2415,3259166.868,3764830.8395
"DG(19:1)",2495074.186,1861512.5415,2511682.8125,1885862.142,2601530.133,2949687.795
"DG(20:0)",13437750.5935,6297968.988,19887941.0965,6042536.34,8525948.544,4407747.5775
"DG(20:1)",53350000,68400000,106450000,4.9e+07,110500000,137650000
"DG(20:3)",16950000,15950000,19550000,16050000,22400000,26150000
"DG(20:4)",82335115.8105,75047668.816,108441619.153,80555723.349,143833847.25,192183623.282
"DG(20:5)",1335843.459,1148665.8895,1065238.5475,962612.357,1233232.4945,1516149.5335
"DG(22:0)",NA,1084.815,NA,NA,159134.88405,74371.3101
"DG(22:1)",13400000,15250000,23600000,13850000,23600000,31450000
"DG(22:3)",877774.6235,711743.571,1174051.13,915458.9115,5950000,1473181.78
"DG(22:4)",13611972.1395,9905758.904,16645725.5725,10638206.6635,19278911.7475,21456900.7145
"DG(22:5)",17400000,13305056.3885,20050000,14310651.1355,26800000,31600000
"DG(22:6)",28042147.416,26623691.0675,40150000,28781276.483,49050000,62150000
"DG(24:1)",3985417.4355,5850000,10300000,6400000,10350000,13100000
"LPC(14:0)",6866427.247,2700369.782,3487795.143,4649979.267,977345.523,4166719.545
"LPC(15:0)",19800000,1322679.5,5292046.003,493765.0158,2099127.075,2387969.578
"LPC(16:0)",3504100000,113197562.602,857200000,86776679.539,150226443.579,147156887.677
"LPC(16:1)",38600000,16508432.255,26585960.689,16973701.325,21918096.944,24034211.2482
"LPC(17:0)",48400000,7664175.588,19600000,9184504.388,12600000,12300000
"LPC(18:0)",1845300000,159567343.958,606760095.636,146691156.359,277360353.288,260645859.46
"LPC(18:1)",182500000,107100000,169700000,136200000,245500000,284800000
"LPC(18:2)",6611794.1184,3406580.9016,5125913.1802,3387532.2388,6303017.5495,8525008.866
"LPC(19:0)",1.4e+07,3860077.967,7805784.704,3295686.438,6132429.703,5273977.58
"LPC(20:0)",23394001.0175,5664056.0285,10631664.2708,4757801.972,9385553.6437,9329598.74
"LPC(20:1)",14853315.716,8673534.166,14040499.765,8777878.429,11789485.782,16856739.795
"LPC(20:3)",1312410.633,3444089.492,3826492.708,3359647.522,5213468.967,5889281.093
"LPC(20:4)",22800000,16200000,24700000,21600000,38600000,38100000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,1690269.26,3874084.494,3890177.647
"LPC(22:0)",21700000,1475201.96,6529739.978,1218289.838,2976792.238,3009190.958
"LPC(22:1)",4454805.026,2177717.086,4408972.899,2085525.601,3942884.956,4327354.528
"LPC(22:5)",2774369.803,8601664.357,1190663.938,7458011.732,16600000,17900000
"LPC(22:6)",4902186.712,7629013.119,1110321.799,8388315.704,12600000,14200000
"LPC(24:0)",25456.665,73890.7227,115302.583,34636.243,2072119.825,33147.223
"LPC(24:1)",1547213.741,274432.681,2220872.487,186894.369,356439.6507,2859927.489
"LPC(28:0)",23600000,14800000,22300000,16700000,27900000,32700000
"LPC(28:1)",5017172.86,1182092.526,2134919.242,853966.775,1686450.895,2135217.022
"LPC(32:1)",21500000,18500000,31100000,2.3e+07,42100000,39600000
"LPC(34:1)",74700000,60600000,1.24e+08,63100000,1.33e+08,1.65e+08
"LPE(16:0)",6045390.745,3806722.206,7289170.34,3905788.379,6937611.349,7480065.899
"LPE(16:1)",1744984.123,3314493.505,3794483.105,1969820.549,3262482.585,1808884.395
"LPE(18:0)",30900000,5075462.623,13900000,5470031.912,9193809.953,10500000
"LPE(18:1)",20400000,17300000,30300000,20500000,3.5e+07,38900000
"LPE(20:3)",3714.1548,938877.99,1223416.306,729804.044,1390814.657,923454.873
"LPE(20:4)",1.7e+07,35400000,40800000,2.2e+07,41700000,28300000
"LPE(20:5)",1400551.999,2927832.743,3314195.851,2155844.31,4426966.029,2856781.085
"LPE(22:4)",4442302.269,3777701.69,6613896.389,3471785.116,7324499.184,8123547.151
"LPE(22:5)",17500000,14200000,25200000,13200000,31100000,31900000
"LPE(22:6)",6145012.201,13300000,14400000,6336581.499,10100000,6531470.117
"LPG(16:0)",19704.449,14874.427,3595.4055,58286.7567,655687.244,28041.0996
"LPG(18:1)",26659.7568,1128754.562,950915.62,2102850.126,2243391.468,1664339.473
"MG(18:0)",8873594.144,1045044.923,7509021.918,1533616.955,1385394.083,1400410.635
"MG(18:3)",100045.02,1362702.67,62134.7313,75305.4525,392274.3825,377582.5713
"PC(10:0)",2402520.1255,380882.949,1495079.5955,NA,15449.0975,7510.6473
"PC(10:1)",20400000,16050000,26200000,13450000,26050000,31050000
"PC(10:4)",19550000,20350000,21050000,14250000,32250000,27350000
"PC(12:0)",8005072.6435,6880452.0872,10578875.89775,6267829.12375,11258920.56,12803254.2944
"PC(12:1)",13500000,15750000,27050000,16850000,21900000,25250000
"PC(13:0)",378500000,329800000,510800000,363500000,553350000,629700000
"PC(14:0)",58497179.432,86157895.3585,100069930.13435,64834900.6845,84450000,60660099.73835
