"subclass","I1_0","I1_2","I1_7","I2_0","I2_2","I2_7","I3_0","I3_2","I3_7"
"FA(17:0)",14851,8569,12457,3154,6546,11866,4930,7271,21469
"FA(18:0)",1717572,1246032,1473177,764406,1156653,1427898,554160,1083272,2352239
"FA(18:1)",363192,463384,510867,183730,381755,412855,157978,385434,902533
"FA(18:2)",912835,495548,577736,233056,422636,495867,162433,447293,1428700
"FA(18:3)",70260,41597,43933,17179,35057,48819,14659,54785,154492
"FA(20:0)",62553,38344,53543,24225,36037,46490,19595,35693,83355
"FA(20:1)",34284,25153,52966,20505,37762,21485,12360,32786,68116
"FA(20:4)",65437,58466,83333,32503,69407,52861,32985,57544,85114
"FA(20:5)",25824,6359,1934,19829,34090,34585,15220,37888,4836
"FA(22:4)",4494,9431,8686,1580,9249,6236,1855,5184,12536
"FA(22:5)",12867,15447,13511,1609,11243,15227,1235,4555,22961
"FA(22:6)",27365,55411,31097,26840,60475,50923,28230,46978,95029
"FA(24:0)",27146,21898,26326,13492,23778,16531,7833,23242,38898
"FA(26:0)",17252,17974,19010,9610,11045,15846,14417,17642,18574
"FA(28:0)",21724,9711,14366,17711,15450,13179,14414,16024,29226
"FA(30:0)",26557,24368,29534,23111,22281,22335,23790,32471,20410
"FA(38:5)",34152,26157,54741,62135,55991,37454,25953,34433,26033
"FA(40:5)",107261,117007,192706,89173,73124,204444,97220,184471,111920
"FA(42:5)",313794,156611,68803,231059,126382,251492,148730,159312,188581
"FA(44:5)",146581,104791,147156,158535,85995,128036,91234,139575,125362
"LPC(13:1)",132145,232709,169474,256656,196208,193749,265227,237523,249934
"LPC(15:0)",2664,3328,14538,2946,2240,12711,4181,2025,19089
"LPC(16:0)",69834,112627,367910,55990,123524,327867,66015,90768,399866
"LPC(17:0)",13436,14893,33526,9422,16893,30160,8829,15725,53131
"LPC(18:0)",156116,221930,420345,57303,219017,378492,117488,200656,555298
"LPC(18:1)",60489,58950,148315,46669,73566,137656,63132,70461,195080
"LPC(19:1)",2779,12302,2195,21101,16076,3458,20024,15284,9084
"LPC(20:0)",5136,7614,19885,99,5272,12098,1522,5195,24527
"LPC(20:1)",6838,13444,27036,4476,13501,24546,6164,10119,49105
"LPC(20:3)",8089,27200,71195,2688,23731,59214,10428,20902,22574
"LPC(20:4)",3129,3395,12761,4464,5055,12025,4232,3247,18686
"LPC(22:0)",16459,35721,32436,19140,25142,19144,19295,32534,17459
"LPC(22:5)",6175,7678,9488,2441,6122,5520,13064,9473,10192
"LPC(22:6)",64778,24367,31406,94938,23941,13103,94841,42374,95205
"LPC(23:0)",253421,39113,22937,21677,19115,36384,20641,35203,116919
"LPC(24:3)",97752,59624,41965,54529,67154,26413,42729,44450,45996
"LPC(26:0)",6643,7837,15253,2080,18,17418,231,2983,32080
"LPC(28:0)",41282,23437,23595,19076,23885,13540,23783,19804,28079
"LPC(28:5)",27349,10819,11706,9949,12399,9430,9730,12751,15027
"LPC(28:6)",18734,25357,18869,12197,26270,16215,15095,21113,21230
"LPE(18:0)",14855,33334,97992,2512,39839,96646,3872,23489,126949
"LPE(20:4)",1967,9440,18675,3742,5385,13407,3179,724,27463
"LPE(22:6)",1307,17970,16011,24614,4201,4586,5649,13468,7802
"LPE(5:0)",127324,202785,195930,92394,147322,141045,92800,183216,389791
"LPE(6:0)",51576,226819,208436,127876,192250,178133,140222,190474,459477
"MG(16:3)",262781,210135,142042,207331,201037,140326,229918,165860,177946
