"subclass","I1_0","I1_7","I2_0","I2_7","I3_0","I3_7"
"MG(18:2)",347477,100935,84165,104471,59257,187027
"MG(18:3)",224457,180774,137204,201994,96648,358937
"MG(20:3)",151629,369742,280561,271062,256776,373489
"PC(12:0)",8642,22386,4361,17636.5,4142,15578
"PC(14:0)",438542,953879.5,154970,716831.5,239138,983997
"PC(16:0)",3167169,15861607,2110356,11163415.5,2495203.5,19497916
"PC(16:1)",646065,2833343,439938.5,2784827,420885.5,3230951.5
"PC(16:2)",4003.5,34478,4343,13373,1019,32653
"PC(18:0)",1530859.5,4626864,882441,4142237,1004358.5,7535180.5
"PC(18:1)",2597292,12239853.5,1660355.5,8431709.5,1524785.5,15395840.5
"PC(18:2)",336133,926576,186723,649144,221564.5,1050975
"PC(18:3)",179313,1054638.5,157807,1047975.5,194255.5,1341705
"PC(18:4)",2179,98864,7168.5,21538.5,2285.5,72189
"PC(18:5)",232083.5,36938,75118,89766.5,84154,115526.5
"PC(20:0)",62519,118591.5,56028.5,48539,52114.5,106451
"PC(20:1)",32952,183795.5,32853,239786,42107.5,177595
"PC(20:2)",141003,95591.5,75290,95091,71894.5,126557
"PC(20:3)",443176,1139278.5,204750.5,1040484.5,255523.5,1895266.5
"PC(20:4)",1680014,5390221.5,994210.5,4806784.5,958455.5,7963705
"PC(20:5)",112769.5,409624,69052,360654,77107,517568
"PC(22:1)",18576.5,12809.5,17678,9630.5,10274,15015.5
"PC(22:3)",14935,1985,557,1045,888,4350
"PC(22:4)",74677,139456.5,34200,113807.5,27474.5,181264
"PC(22:5)",152973.5,430203,78368.5,279250.5,89376.5,521995.5
"PC(22:6)",293057,604504.5,117045,583672.5,184287.5,1076761.5
"PC(24:1)",12210,10661,3463.5,17102,8664.5,15628
"PC(24:2)",2574.5,5381.5,1016.5,2545,1128,8603.5
"PC(26:0)",22099,87196.5,37368,25111,43597,42553.5
"PC(26:1)",44682,3578,5190,989,6119,38261
"PC(26:2)",7292.5,11063.5,2364,13438,2330,16797
"PC(26:3)",67746.5,27760,3877,23892,17119,53505
"PC(26:5)",20400,23916,3863.5,6868,677.5,21109.5
"PC(28:3)",25114,7573.5,11826.5,4673.5,4979.5,48734.5
"PC(28:5)",14294.5,2134.5,NA,594.5,185.5,7499.5
"PC(30:5)",39274,897,1752.5,3206,953.5,10311.5
"PC(30:6)",8642,22386,4361,17636.5,4142,15578
"PC(O)(16:0)",4380,16204,1145,16173.5,2150.5,8837
"PC(O)(16:1)",13403.5,58563.5,5398.5,23654.5,6504.5,46292
"PC(O)(18:0)",13403.5,58563.5,5398.5,23654.5,6504.5,46292
"PC(O)(18:1)",3426.5,36701,3395,22568.5,5953.5,32736
"PC(O)(20:4)",7806.5,52905,4540,38742,8104,41573
"PE(14:1)",2567.5,9454.5,644.5,9874.5,1294.5,12511
"PE(16:0)",516029,644315.5,123672,685977,177011.5,1431471
"PE(16:1)",194957,262199.5,50952.5,209954,50805.5,513917
"PE(16:4)",30032,33936.5,8015,52190.5,5604,114763.5
"PE(18:0)",390615.5,1087055.5,271092.5,1029016,261890,1679428
"PE(18:1)",627945.5,1155155.5,316172,1118908,214902.5,1589377.5
"PE(18:2)",2213.5,9699,2349,10311,1664,14264.5
"PE(18:3)",10652,54917.5,10765.5,50568,11643.5,73203
"PE(20:1)",78078,157266,26044,141555,28942,324216
"PE(20:2)",51088.5,116539,30558,91626,33127,168366.5
"PE(20:3)",115925.5,313848.5,58550,279372,45908.5,470611
"PE(20:4)",298163.5,669299.5,173384.5,612800.5,169812.5,1127621
"PE(20:5)",77968,138523.5,21530,125028,25007.5,301959.5
"PE(22:0)",22591,11641.5,6235,33213.5,3427.5,76136.5
"PE(22:3)",4314.5,11557.5,1947,8717.5,5121,15212.5
"PE(22:4)",21655.5,60859.5,17694.5,36899,17043.5,83766
"PE(22:5)",222526,414274.5,73698,459080,144517,930574.5
"PE(22:6)",31638,145474,34694.5,194986,46410.5,216382.5
"PE(24:4)",7441,22295,1780,18977,2176.5,38627
"PE(24:5)",8236.5,18173.5,3575,17783,5935.5,29917.5
"PE(24:6)",36844,151675.5,26831.5,113061,18108.5,273140.5
"PE(26:2)",11861,48166,10248,44746.5,8359,79203.5
"PE(O)(16:1)",75616.5,519083,83479.5,347920,92033,601391
"PE(O)(18:1)",39074.5,218804.5,25428,145482,33622,288003
"PE(O)(18:2)",16666,212894.5,27710.5,113283,33204,158298
"PE(O)(20:4)",35335.5,207108,26240.5,137530.5,34819,259706
"PE(O)(20:5)",1319.5,38596.5,1800,31659,2054.5,37689.5
"PE(O)(22:4)",12033,44624.5,8057.5,52032,12238,70605.5
"PE(O)(22:5)",37040.5,248025.5,63405,211183.5,68152,259334.5
"PE(O)(22:6)",26692.5,231830.5,26042,102138,31741.5,215590.5
"PE(P)(16:0)",256334.5,644876,109056.5,660358,126162,925726.5
"PE(P)(18:0)",122511.5,339691.5,75427.5,310300,73437,441539.5
"PE(P)(18:1)",121584.5,459879,42425,383563,70301.5,506409
"PE(P)(18:2)",607.5,16270.5,550.5,17154,2669,24301.5
"PE(P)(18:3)",18715,45082.5,14050,19021.5,14301.5,79949.5
"PE(P)(20:4)",136793,356456,70741.5,352006.5,68661.5,588046
"PE(P)(20:5)",8679.5,22132,1554.5,20064,4490,54086
"PE(P)(22:2)",18715,45082.5,14050,19021.5,14301.5,79949.5
"PE(P)(22:4)",57563.5,62933.5,16767.5,79956.5,24300,107767.5
"PE(P)(22:5)",195159,503138.5,80900,576874,110208,564814.5
"PE(P)(22:6)",53459,136127,28362,136082,25894,235032.5
"PG(16:0)",16206.5,26022,9457.5,33173.5,8561,12702
"PG(16:1)",4456,6363,4461.5,6856,2567,12702
"PG(18:0)",12165.5,50678,11796,56802.5,8560,91045
"PG(18:1)",19771,73021.5,13223,91161,11627.5,84158.5
"PG(22:5)",409,11214,614.5,11473,652,16032
"PG(22:6)",10735,124121.5,2363.5,96868,2119.5,169630.5
"PI(16:0)",12049.5,65171,4992,59925,10249.5,56810.5
"PI(18:0)",51162.5,270118.5,35387.5,261303,38906,200223
"PI(18:1)",8065,34073,8059.5,50722,11273,50574
"PI(20:3)",1094.5,25891.5,207,35064.5,901.5,23162.5
"PI(20:4)",62739,298975.5,45519,296378,52148,247986
"PI(22:5)",7443.5,44495.5,2713,40507.5,7379,36459
"PS(16:4)",9,27046,NA,22467.5,NA,30035.5
"PS(18:0)",11744.5,92022.5,14334.5,142326.5,8288,198017
"PS(18:1)",1934,39267,6515.5,79291.5,4064,75702
"PS(20:0)",22347,5569,2736.5,23504.5,6126.5,65102
"PS(20:4)",9810.5,52755.5,7819,63035,4224,122315
"PS(20:5)",22347,5569,2736.5,23504.5,6126.5,65102
"PS(24:1)",9,27046,NA,22467.5,NA,30035.5
"SM(16:0)",552617,3351754,405898,2513474,439085,4209322
"SM(16:1)",8824,18053,4300,11251,6351,14233
"SM(18:3)",9901,44565,9216,36155,13395,51053
"SM(18:4)",34998,770993,52119,593284,75185,902788
"SM(22:0)",56885,274353,45783,230080,79157,315093
"SM(22:1)",4700,41594,10634,42826,9539,61384
"SM(22:2)",103841,130805,60050,86207,45443,128331
"SM(22:5)",30637,22283,11375,8728,8669,20622
"SM(24:0)",162891,789079,113536,709017,161374,965726
"SM(24:1)",75114,409794,55135,303552,64837,427006
"SM(26:1)",26652,46956,41408,66791,68546,99119
"SM(26:4)",5122,24031,6613,33376,8360,34253
"SM(28:2)",163104,987866,109629,904348,129106,1136382
"SM(28:7)",56099,6821,1652,1876,3279,20569
"SM(30:1)",16948,67093,6273,55641,12210,95069
"SM(30:5)",31755,316409,17832,281288,27738,401183
"SM(30:6)",58571,NA,18,185,1015,8574
"SM(32:2)",45810,37929,26164,42184,29486,15712
"SM(32:7)",3012,10788,12364,15833,16065,13099
"SM(32:9)",28973,20995,20748,5594,10521,80786
"SM(d14:0)",203683,1322328,131761,1196887,163195,1551798
"SM(d14:3)",176954,172973,94611,170395,121778,299260
"SM(d16:1)",56099,6821,1652,1876,3279,20569
"SM(d16:2)",5806,70526,9496,64294,5700,90783
"SM(d18:0)",34998,770993,52119,593284,75185,902788
"SM(d18:1)",796532,4543959,585200,3690332,700537,5660298
"SM(d18:2)",168733,451490,112169,200061,114953,441087
"SM(d20:3)",30637,22283,11375,8728,8669,20622
"SM(d28:0)",3012,10788,12364,15833,16065,13099
"TG(10:0)",463079.333333333,1367148.33333333,647739,850191,1355634.33333333,834032
"TG(12:0)",794645.333333333,1502354.33333333,919235,1006686.33333333,1388829.66666667,964861.666666667
"TG(14:0)",4162399,15545250.3333333,10919583,10834303.3333333,15919788,9039619
"TG(14:1)",647601.333333333,3759904.33333333,2108501.33333333,2321201.66666667,3129800.66666667,1827858.33333333
"TG(16:0)",16617799,65630485.3333333,51243286,47195236.6666667,68490359,32566494
"TG(16:1)",6337053,36311223,21881604.6666667,20886891.3333333,27975365,17149394
"TG(16:2)",858507,1726564.66666667,1252333,1176138.33333333,1717107,1424034.33333333
"TG(16:3)",175425.333333333,216298,117456.666666667,141350.666666667,156768,200903.333333333
"TG(16:4)",192566.333333333,90869.6666666667,65527,68171.6666666667,70474.6666666667,122619
"TG(18:0)",4658403.66666667,16999293,14778288.3333333,14453203,19722397,8195534.33333333
"TG(18:1)",35018350.6666667,151114746.333333,132046882,118896854.666667,149990846.333333,73620771.3333333
"TG(18:2)",16444085.6666667,67002526.6666667,53930259.6666667,46892822.6666667,59597634,34523874.3333333
"TG(18:3)",2531866.33333333,6872100,4756409.33333333,4366765.33333333,6790438.33333333,3492327.33333333
"TG(18:4)",251905.666666667,229429.666666667,195825,195412,309503.666666667,178218
"TG(18:5)",115597.333333333,63307.3333333333,54269.6666666667,54855,71891,105718
"TG(20:0)",174997,573817.333333333,579641,556747.666666667,731036.666666667,253708.666666667
"TG(20:1)",1277854.66666667,6141149.66666667,3467848,4552566.66666667,5621059.66666667,2928034.33333333
"TG(20:2)",1412353.33333333,5443780.33333333,4648620.66666667,3860839,4776501,3116448
"TG(20:3)",3973356,15253102.3333333,11654070.3333333,10142197,15483201,7818257
"TG(20:4)",2290443.66666667,2732610.66666667,2189095.33333333,2160090.66666667,3579958.33333333,1665808.66666667
"TG(20:5)",1122123.66666667,191556,178673.666666667,165630,216106.333333333,445067.666666667
"TG(22:0)",237356,464345,347622,352286.333333333,520076.666666667,291987.666666667
"TG(22:1)",28612.6666666667,65691.3333333333,33694,54714,67017.6666666667,46795
"TG(22:2)",65096,32373.6666666667,31954,32605,30532,45616.6666666667
"TG(22:3)",93993.3333333333,89922,305925.666666667,126641.333333333,180675,120470.333333333
"TG(22:4)",404430,593131.333333333,589356,539939,900594.333333333,404554
"TG(22:5)",835952,975344.666666667,714626.333333333,632006.333333333,943799,735783
"TG(22:6)",1123578.66666667,428982.666666667,351305,352836,693418.333333333,526199.666666667
"TG(24:0)",64292.6666666667,231551.333333333,105885.333333333,100391.333333333,178959.333333333,75378
"TG(24:1)",178544.666666667,57044,69734.3333333333,59271,70949.3333333333,117408
"TG(24:3)",7249.33333333333,7030,1202.33333333333,6739,4037.66666666667,9441.66666666667
"TG(24:4)",27672.6666666667,14425.3333333333,12250.6666666667,24647,22238,19971
"TG(24:5)",198647.333333333,439951.333333333,102430.333333333,370477,602452,246386.666666667
"TG(24:6)",336432.333333333,78172.3333333333,43066,74016,76815.3333333333,189110.333333333
"TG(26:0)",1652,33776.3333333333,11316.3333333333,7450,16702,5871.33333333333
"TG(26:3)",6042.33333333333,7862,22293.6666666667,19079.6666666667,18383,22882.3333333333
"TG(26:6)",176875.333333333,18736,21208.3333333333,31620,32805,109192
"TG(26:7)",52721.6666666667,97582.6666666667,83846.6666666667,71311.3333333333,98276.6666666667,47678.6666666667
"TG(28:0)",51607.6666666667,199444.666666667,96510,119350,216537.666666667,92590
"TG(28:1)",43040.6666666667,269859.333333333,143165.666666667,87847.6666666667,166372.666666667,107627
"TG(28:3)",25403,93125.3333333333,73565,69226,113760.333333333,37142.3333333333
"TG(28:4)",14322,30358.3333333333,19868,23643.6666666667,26532.6666666667,13100.6666666667
"TG(28:6)",6148.33333333333,14186.3333333333,2523,6828.33333333333,12880.6666666667,3425.66666666667
"TG(28:7)",35752.3333333333,21367.6666666667,35932,47342.6666666667,35999.3333333333,29042.3333333333
"TG(30:1)",9491.33333333333,24651,17322.6666666667,14115.3333333333,26261.6666666667,12784.3333333333
"TG(30:2)",6046,5915.33333333333,7332.66666666667,4876.33333333333,3314,4210.33333333333
"TG(30:5)",8016.66666666667,6212.33333333333,1133.66666666667,5759.33333333333,4179,9250.66666666667
"TG(30:6)",1251,1346.66666666667,3443.33333333333,2481.66666666667,3707,997
"TG(30:7)",1144.66666666667,NA,456.666666666667,6,49,5013.66666666667
"TG(30:8)",4152.33333333333,NA,163,34.3333333333333,NA,218.333333333333
"TG(32:6)",8882,94160.6666666667,14050.6666666667,47886.6666666667,61688,14323.3333333333
"TG(34:1)",5489,5591,4457.66666666667,6047,2466.33333333333,5255.66666666667
"TG(34:6)",32462.6666666667,96632,19552.3333333333,88547.6666666667,113638,60497
"TG(34:7)",31.3333333333333,6934,5123,2808.66666666667,5384.66666666667,2397
"TG(34:8)",10354.3333333333,5118.66666666667,4480,3641.66666666667,4275.66666666667,10422
"TG(36:8)",6039,306.666666666667,602,969.333333333333,220.666666666667,2835
"TG(38:4)",2803.33333333333,606,2241.33333333333,870.666666666667,1171.66666666667,2316.66666666667
"TG(38:9)",10371.3333333333,8439,3470,6468.33333333333,3362.66666666667,9285.66666666667
"TG(8:0)",1030003.66666667,1203715.66666667,885678.666666667,900769.666666667,1015713.33333333,1088982.66666667
