"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"CL(16:0)",11438962,9763376,11789592,9312232.75,15949889.5,4531954.75,15195817.25,13289127.75,7892940.25,6854142,6656298,3431662,7130740,1550925.25,1447529.25,2164489.75,2367327.25,1866113.25,2644726.75,2579387.5,2308548
"CL(16:1)",1833025.5,1430056.5,1619511.75,1668904.5,1817309.25,1029048.5,1222058.75,1948384.25,1182154,1335712.75,1149454,572764.75,1183649.75,481252,533973.5,792641.5,1050980.5,677914.25,863410.25,1091760,785216
"CL(18:1)",29464180,25353286.25,27029896.5,25687328.5,37223837.25,13978972.5,37163071.25,32549559.75,20700908.25,18783975.25,18084538.5,9275319,19674212,5068624.25,5198910,7880358.25,7854350.75,8834151.25,9789905.25,10529093.5,8398387
"CL(18:2)",116492535.75,104346773.75,104775206.75,107370142.5,132344370.5,61323735,130280497.25,132947076,83371474.5,80338844.5,74732015.5,36952576,81467797.5,25876215,30486319.5,45335529.25,47351519,50640712.25,55192603.5,60797422.25,46019698.75
"CL(18:4)",240588.5,206288.75,228466.75,221150.75,251954,181097,176798,309288.75,199285.25,182944.75,176597.5,63895.75,161324.25,70439.75,61408.75,114156.25,163419,131818,136648,153193.5,123956.5
"CL(20:2)",1953561.5,1105066.5,1602619.25,1337375.25,2118934.5,966598,1896457.5,1692736,1084383,1196170.5,746487,390155.5,1097786,247850.75,387507.5,467011.5,414995.75,446129.25,749970.5,674463.25,572100.25
"CL(20:4)",844102.75,711152.25,836109.25,706746.75,1004704.5,470712.5,1015738.5,1018020.5,645005,492087.5,359794,267238.75,546720.5,201102.25,148014.75,163842.5,320121,223436.75,297602,326181.25,265761.5
"CL(20:5)",3008478,3180806,2774415.75,3011345,3798495.5,2041119.75,3746865.5,3939175,2394623.75,2551810.75,2351282.5,1125277.25,2479037,940037.75,938119.75,1506689,1649228.75,1563715,1744802.75,2052702.75,1507641
"DG(14:0)",14500000,11500000,20500000,2.1e+07,2.1e+07,2.7e+07,14500000,3.1e+07,1.5e+07,16500000,16500000,1.5e+07,14500000,16500000,14500000,1.1e+07,1.7e+07,1.2e+07,12500000,1.2e+07,1.2e+07
"DG(16:0)",753500000,627500000,8.73e+08,1037500000,1062500000,6.16e+08,669500000,8.71e+08,6.22e+08,632500000,6.02e+08,5.97e+08,6.01e+08,448500000,358552013.5,444746831,429500000,580441736.5,6.06e+08,549225107,461500000
"DG(16:1)",1.14e+08,8.1e+07,8.1e+07,80500000,152500000,109500000,9.6e+07,73500000,9.1e+07,91500000,5.5e+07,56500000,90500000,36500000,41552013.5,66246831,89500000,50941736.5,8.5e+07,83725107,72500000
"DG(18:0)",1.17e+08,145500000,131500000,1.54e+08,1.56e+08,124976802.5,1.7e+08,1.37e+08,9.2e+07,9.7e+07,86500000,92500000,91500000,42104356,54523264,48696865.5,46728666.5,70357271.5,61987158.5,6.6e+07,53756881
"DG(18:1)",1704960864.5,1.238e+09,1.694e+09,2.335e+09,1.97e+09,1342976802.5,1594500000,1.971e+09,1402326465.5,1325225859.5,1259916566,1274601071.5,1282693510,714039557.5,726325125,739329743,824361201,1349914187.5,1155152950,1224011654,961095455
"DG(18:2)",3.913e+09,2.708e+09,3.913e+09,4866500000,4699500000,3149445248.5,3890807351,4.499e+09,3.159e+09,3115500000,2.998e+09,2.999e+09,3030500000,1703594924.5,2116682738,2111742338,2033079939,2918834431,2.98e+09,2.989e+09,2.279e+09
"DG(18:3)",65259072,50624645,77244403,69738061,83609732,54881307,61263523,81439229,65160538,61199447,57455595,58122314,60877276,40135462,52572845,59894786,57756688,66500000,8.7e+07,8.3e+07,65500000
"DG(20:1)",54500000,4.1e+07,5.1e+07,7e+07,56500000,4.4e+07,5.5e+07,5.6e+07,35981285.5,38500000,33960880,3.8e+07,37792930.5,19610236.5,23685406,28496012,23426097,32531285,28877707,28688954.5,27354041
"DG(20:2)",1.8e+07,1e+07,22500000,2.6e+07,25500000,30500000,2.2e+07,3.7e+07,1.5e+07,17500000,1.4e+07,15500000,14500000,9500000,1.2e+07,8e+06,12500000,1e+07,10500000,10500000,9e+06
"DG(20:3)",22500000,16500000,2.9e+07,30500000,31500000,23500000,2.1e+07,3.5e+07,1.8e+07,17500000,18500000,20500000,17500000,1.4e+07,13500000,9500000,1.4e+07,12500000,1.6e+07,1.5e+07,1.3e+07
"DG(20:4)",165500000,1.88e+08,2.05e+08,2.25e+08,2.42e+08,1.73e+08,2.19e+08,210500000,139500000,143500000,132500000,1.41e+08,137500000,77500000,9e+07,71500000,82500000,103500000,112500000,103500000,94500000
"DG(20:5)",6e+06,5500000,7500000,6e+06,1e+07,3445248.5,4807351,6500000,6e+06,6e+06,5500000,5500000,6e+06,3094924.5,4682738,3105881.5,4079939,3834431,8e+06,5500000,6e+06
"DG(22:4)",4460864.5,5e+06,5500000,7e+06,6e+06,8e+06,6e+06,7500000,4345180,4225859.5,3955686,4101071.5,4400579.5,3353499.5,2469367.5,2419695.5,2577793.5,3107095.5,2788084.5,2322699.5,2797322.5
"DG(22:5)",2.1e+07,16500000,39500000,2.7e+07,28500000,3e+07,18500000,4.1e+07,17500000,16500000,1.6e+07,2.6e+07,2.8e+07,10500000,1.5e+07,10636456.5,1.6e+07,10775807,1.3e+07,13500000,10187210.5
"DG(22:6)",110500000,1.08e+08,1.72e+08,1.42e+08,188500000,7.5e+07,8.5e+07,124500000,93500000,1e+08,9.2e+07,1.02e+08,99500000,74028534.5,66352912.5,43282830,66871356,59857271.5,1.13e+08,82500000,8.3e+07
"FA(20:4)",5068305,4062261,5850977,5407837,5854570,5376502,8044717,5130649,4437779,4804078,4520603,1916171,3359065,2143922,2879870,3728889,3320680,3394031,3761325,4992507,4044172
"LPC(14:0)",3393320,1550603,2064050,1818513,2520812,1688141,2114053,2297740,1980809,1599847,1486452,1733664,1624305,1272504,1753562,1141593,1231399,794086,1708783,1561264,1300625
"LPC(16:0)",406253476,275199194,286326568,275510643,307259444,244367821,356625568,306947714,254597779,275124476,254836898,254849467,254121071,193346358,203827741,223627931,172782622,172874812,245231904,225813691,213868986
"LPC(16:1)",1.8e+07,1.3e+07,1.3e+07,1.2e+07,1.7e+07,1e+07,1.5e+07,9674533,9998188,9903598,1e+07,1e+07,1.2e+07,6733201,8469621,8823335,9719608,6631312,8568239,8575007,9608535
"LPC(17:0)",6059986,5021280,6068294,5428872,5310999,5329965,8168163,6059793,5070934,5027794,4811043,5000544,4345001,4985562,4802942,5157150,3234054,3345007,4355471,4667091,4366412
"LPC(18:0)",415824155,374020004,385181746,404637919,416267602,343451978,545202742,456144678,324214852,324167858,303865847,334274124,343470669,162844156,223430293,242985227,171953566,182420209,224547888,225241102,213552560
