"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"PE(P)(18:1)",3.03e+08,293500000,201500000,261500000,262500000,157500000,278500000,2.12e+08,48073791,142500000,1.17e+08,129500000,1.51e+08,180500000,194500000,144500000
"PE(P)(18:2)",196500000,201211522,125471835.5,141168075,187694642,119829390.5,199737201.5,134465866,30179669.5,104462918.5,83620800.5,84046358.5,90770126.5,113880374.5,137162771.5,107390735
"PE(P)(20:0)",24301427.5,24625787.5,21299741.5,28618784.5,25847415,18944239,29014060.5,23873076,5136362,19771565.5,14673734,14728698,16470500,17407203,19831079.5,15932182.5
"PE(P)(20:1)",7.5e+07,8e+07,5e+07,7.5e+07,6.5e+07,3.8e+07,7.5e+07,48500000,13500000,23500000,25500000,34500000,45500000,5e+07,48500000,36500000
"PE(P)(20:3)",37500000,35500000,24500000,30500000,47500000,2e+07,4.2e+07,2.5e+07,5500000,15500000,12500000,1.3e+07,1.8e+07,22500000,2.2e+07,1.6e+07
"PE(P)(20:4)",456500000,429500000,357500000,427500000,4.74e+08,3.05e+08,499500000,4.4e+08,111416727.5,3.3e+08,260500000,243500000,2.67e+08,3.26e+08,4.04e+08,256500000
"PE(P)(20:5)",3.7e+07,48500000,43500000,47500000,4.6e+07,43500000,5.5e+07,43500000,1.7e+07,3.6e+07,33500000,3.6e+07,3.8e+07,4e+07,37500000,4.2e+07
"PE(P)(22:4)",2.4e+07,21500000,1.7e+07,18500000,23500000,13500000,2.4e+07,2.1e+07,3884520.5,1.4e+07,9e+06,9e+06,1.1e+07,15500000,1.6e+07,1.1e+07
"PE(P)(22:5)",178801427.5,146125787.5,114799741.5,134118784.5,153347415,92944239,153014060.5,148873076,22948206.5,99271565.5,73729842,78627850.5,85611338.5,100475295,121831079.5,80707065
"PE(P)(22:6)",423500000,337711522,295971835.5,331668075,362194642,238329390.5,394737201.5,340465866,58146403,226462918.5,179064692.5,183647206,186629288,205812282.5,274162771.5,181115852.5
"PG(16:0)",1.11e+08,8.4e+07,69500000,8.8e+07,117500000,35057607,131500000,79500000,13074572.5,12775240.5,22035044.5,21240673.5,23404151,35844658.5,43573011,24325749.5
"PG(16:1)",444087,321087.5,419680.5,338633.5,497609,273073.5,396458,451300,82571,158916,165823,232617,256025,246274,313422.5,276763
"PG(18:1)",104501712.5,78199617.5,63027062.5,83367047.5,108853403.5,32639530,124148871.5,74043725.5,11638835.5,11831050.5,20539258,19402345.5,22025063,33502171,42665969.5,23205286.5
"PG(18:2)",44585771.5,46048436,43677530.5,39736295.5,52693596,47717659,53239198.5,51294394,50757981.5,66955867,57094743.5,62700682.5,47611105,66528540,56998429,74797518
"PG(22:6)",1519139,1432014,1005987.5,1279048.5,1314252.5,783578.5,1228548,1930414.5,259397.5,847924,1178385,698097.5,692352,942896.5,1724871,942078
"PG(28:0)",2.1e+07,2.8e+07,2.4e+07,2.1e+07,2.9e+07,3.6e+07,28500000,29500000,46500000,6e+07,5e+07,5.5e+07,3.9e+07,5.5e+07,43500000,6.5e+07
"PI(16:0)",45480347.5,37698423,36993916.5,36174967.5,45298545,23991436,40991574.5,34042806.5,14106701.5,17843667,19221375.5,22025991.5,16918753.5,24842843,24474879,20432678
"PI(17:0)",4165843,3983001.5,3982629.5,3614762,4174360.5,2927094.5,4489150,3322064,1437581,1865508.5,2594483.5,2149573.5,2252309.5,2803723.5,3610891,2475280
"PI(18:0)",541500000,421617984,370011877.5,374350709.5,411658346.5,274258109.5,454524281.5,413731455.5,129599869.5,171012261,249117031,209990646.5,227982983,251304053.5,315100203,209095482
"PI(18:1)",157193655,104722663.5,134277934,146311910.5,187820798,51254973.5,196192645,112706602,29843665.85,26112292,36447950.5,46008663.5,41241737,67192568,64805682,44502465
"PI(18:2)",158986826,125371760,125333049,119535349.5,142625662.5,67696306,121007463.5,108640382,40422479.5,37482252.5,54802154.5,67066115.5,51528276.5,79437227.5,83793313,66199910.5
"PI(18:3)",495802.5,398871.5,534029.5,633477.5,601487.5,388587.5,465913,396427,162053.5,174359,182864.5,233385.5,223251,286425.5,338788,240062
"PI(20:3)",2.1e+07,8500000,9500000,10500000,1.4e+07,6e+06,10500000,1.1e+07,3898025.5,4035563.5,4808376.5,4249043.5,4209841,8e+06,7500000,4471186
"PI(20:4)",569152669,450854761.5,399315678.5,409150111.5,444300023,291955732.5,489496613.5,443462446,140758617,189902820,269482205.5,236239110.5,249677771,273240951,343271367,235181003.5
"PI(20:5)",16631329.5,15608290.5,13221163.5,12689832.5,16230688,7403758,14802260.5,10515293.5,3194475.5,3784103.5,5032881.5,6270786.5,4882522.5,8048793.5,7376994,5887905.5
"PI(22:6)",12046870.5,4031908.5,4028535,3860729.5,4445514,2044505.5,3940327.5,4069143.5,1142359.85,1427036,1862557,1993759.5,1454245,2626301.5,3343819,1792189.5
"PS(16:0)",10943143,8847352.5,10536675,9081091.5,11182819.5,6676900,11845131.5,10140638.5,2941473,3595068,4314641.5,5594220,4345524.5,6047636,6454178.5,4885481.5
"PS(17:0)",1408846,1055996,929215,1264677,1318375,729103.5,1689350.5,1191159,238278.5,352019,357195.5,379033,580314,530500,796056.5,561973.5
"PS(18:0)",576460937,610739477.5,515350114.5,556177097,539968709,480650907.5,587896765,559957633,280352955,487995574,383757808,406441298,443590675,502956974.5,534804403.5,375073595.5
"PS(18:1)",327263848.5,350465032,285680698,314240546.5,302379479.5,217887481.5,339653599.5,282191765,128132374,198067648,177525076.5,184672285.5,228977038,260074268.5,265740868.5,177866738.5
"PS(18:2)",102038370.5,98244121,90952581.5,102255599.5,101718725,67802811,116272667.5,91076447.5,37569806,49225704,66517816,61726777,59282707.5,80494274.5,77417485,57498206
"PS(18:3)",2388481,2272298,1778065,1840738,2957974,1304806.5,2210376.5,1891245,544352.5,687676,1081210,1387043,1153249.5,1393463,1305559,1149829.5
"PS(20:2)",1960937,2239477.5,1350114.5,1677097,1968709,1150907.5,1896765,1457633,852955,995574,757808,941298,1090675,1456974.5,1804403.5,1073595.5
"PS(20:3)",3.2e+07,3.7e+07,3.3e+07,3.7e+07,3.9e+07,2.8e+07,3.8e+07,3.6e+07,13245171.5,16500000,21500000,2.2e+07,2.3e+07,2.4e+07,2.8e+07,19500000
"PS(20:4)",166838475,202083119,177235619,192129393,182644785.5,196914677,197561551,201257666,136531555.05,238854622.5,178534034.5,183713408.5,213125844,214272144,225111871,163513795
"PS(22:0)",7e+06,8e+06,5e+06,6500000,6e+06,4168439.5,7e+06,4917303,2091931,2256931.5,2343890.5,3700207,4231062,5e+06,4915982.5,3323615.5
"PS(22:1)",3747388,4071920,2434224,2098705.5,1341609,2094498.5,2674851,2570634.5,898249.5,1052309.5,598257.5,1843167.5,2188047,2786453,2320443,1083948
"PS(22:4)",2.5e+07,24500000,18500000,1.6e+07,2.4e+07,1.7e+07,22500000,2e+07,6e+06,13500000,9500000,7500000,8500000,15500000,17500000,1.2e+07
"PS(22:5)",6e+07,6.5e+07,6e+07,6e+07,6.5e+07,5.5e+07,6.5e+07,6.5e+07,35500000,6e+07,4.9e+07,4.9e+07,5e+07,6e+07,6.5e+07,44500000
"PS(22:6)",149257574,158459953,127515073.5,137685961.5,133716571.5,111641092,138006142.5,143437806.5,41246315.55,99927849,69760702,85830972,84651305.5,90029819.5,106889314,79901113
"PS(23:0)",1371901,1063237.5,943420,1057256,1121698.5,587418,1360819,498615,317395.5,400163.5,320281,651453,700459.5,897788.5,964442.5,394265.5
"PS(24:0)",1.4e+07,19500000,12500000,12500000,13500000,7500000,11500000,1.4e+07,6e+06,5500000,5e+06,8500000,9e+06,7500000,11500000,8500000
"PS(24:1)",2686075,3438463,1905164,2300719,1971061.5,1699067.5,2453267,1829448,956303,411222.5,1210413,1697819.5,1512884.5,1857904,1687847.5,1109318
"PS(24:2)",1094057,1098313,634483,893588.5,762284,588998,1058940,754752,250298,249315.5,408662,467473,615525,711609,676526,413455
"TG(10:0)",5691958132.66667,6066632887.66667,7264333333.33333,6324333333.33333,8761333333.33333,12750666666.6667,5673333333.33333,11702666666.6667,9.89e+09,9.478e+09,6171211653.66667,1.0386e+10,7128045798.66667,5853824316.66667,5166633149.33333,8.184e+09
