"","D0_1","D0_2","D0_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3","D10_1","D10_2","D10_3"
"TG(4:0_16:0_16:0)",-0.626217888481583,-0.626022434886999,-0.626682070839053,-0.62349504987817,-0.503430615881044,-0.608763516887456,-0.631036010953112,-0.627854627947161,-0.613793029365029,-0.548819380106411,-0.57198290742925,-0.569027205617563,0.176928420826855,2.30756102705083,0.0636072324755434,1.21609979683837,1.59244555447189,1.82048270660934
"Cer(t18:0_18:0)",-1.32842576343135,-1.21407148218077,-0.709431444948594,-0.927945778156843,-0.946652641221019,-0.96351689260445,-0.158488697531836,-0.649177931934356,1.18983460690125,-0.314847818870141,0.399849672945972,0.455979219903231,0.428275617481858,0.154030982852752,0.0829563793935025,0.610817666267267,1.73696466036609,2.15384964476744
"TG(18:1_24:1_24:1)",-0.627531772787593,-0.627531651630765,-0.627531852345646,1.77499304602722,3.04905290383501,0.673412216871545,-0.0581462168158059,0.791171010612121,-0.349230873069643,-0.627531871137104,-0.627530581281768,-0.627531840736857,0.00500517556233118,-0.627531059155492,-0.446466533113504,-0.416585641056795,-0.414414610892258,-0.216069848884996
"TG(16:1_18:1_22:3)",-1.12658469292078,-0.966075692771143,-0.184954036633212,2.65273509780035,0.797011925751414,2.07368041497623,-0.613873921684444,-0.73433467794494,0.0504191560645476,-0.593681298879744,-0.842961171558991,0.0710779203153921,0.429517522847857,-0.675136393592633,-0.394160602256663,-0.0162641323376964,0.0895275875536944,-0.0159430047292321
"DG(22:2e)",-0.514738189541631,-0.514412651969935,-0.514606778006114,-0.512021371801226,-0.514559447169323,-0.498781013128306,-0.514738189541631,-0.514412651969935,-0.514606778006114,-0.365131748312835,-0.497253241520319,-0.455705444813683,0.370993000954958,0.0348612010326891,0.00384439775070717,3.39020573854058,0.797051626150825,1.33401154135129
"Cer(d20:0_26:0)",-0.749469268814406,0.0287876336338838,-0.153743941082209,0.735074205633269,3.0358285066613,1.6352979388075,-0.383827225823171,-0.0654935454339375,-0.767777811468334,-0.381424135149696,0.445000769400884,0.513407903873566,-0.721893904361014,-0.564826924683162,-0.767554529248602,-0.381424135149696,-0.719265896100401,-0.736695640695769
"TG(16:1_14:1_16:1)",-0.842426353316987,-0.826839995753953,-0.816545810899826,-0.806494515803144,-0.805804601480077,-0.475505201693955,-0.647170942683237,-0.435644036874455,-0.446426366265732,-0.300515576617345,-0.263085962455607,-0.363311260398936,0.118577183842744,0.220396333593371,2.50174770829992,1.70600033453638,1.23732797969782,1.24572108427302
"DG(30:3e)",-0.888633524907729,-0.878117515864103,-0.874155422362585,-0.407905933687803,-0.782303479009561,-0.720619968401639,-0.486643550148967,-0.501459058975507,-0.655392002493431,-0.331819800203953,-0.215079394650651,-0.295668052543223,2.77379898376167,0.140362529961808,0.625053249096624,1.02248884558945,1.22304871891103,1.25304537592857
"Cer(d18:1_16:0+O)",-1.22665418139067,-1.34894259531905,-1.13922695895011,-0.878242405182877,-0.890529144536684,-0.863321733136561,0.350638464331325,-0.547476408228545,1.37324150534089,-0.484732687731958,0.291983463044971,0.598335828588131,0.337523153321309,0.269651851573841,0.237670502988543,0.365863478010653,1.33651076553258,2.21770710174421
"Cer(t18:1_16:1)",-1.17849147952341,-1.14313576359096,-1.08195683629917,-0.912281017944748,-0.890179410587597,-0.106248981634593,-0.216706811112662,-0.230558433308591,-0.152740932625202,-0.161639699394082,0.163046667358091,-0.195537679835294,0.630166333491417,0.658011428818599,3.07008539142133,0.508085801281023,0.640564494968129,0.599516928517726
"TG(16:1_12:0_16:1)",-0.748007856811345,-0.740547928802074,-0.74553211252139,-0.681751323531093,-0.57272168719486,-0.727049901921913,-0.618655885933324,-0.521019737967864,-0.656968047096703,0.801150820532384,-0.28453264692864,-0.445129786726442,0.025518317912047,1.27432875813493,-0.246445283330043,2.87643372984207,1.12169891295746,0.8892316593868
"TG(18:1_18:1_22:6)",-1.45718835409881,-0.883749807489064,0.548686556334741,2.2339025022317,1.12364291238841,1.52221544009425,0.447603353361233,-0.449586396518956,1.31371559090221,-0.485890167591972,0.0309082856425851,0.0947036468436246,-0.648230833172665,-0.748855018579803,-0.694740034937659,-0.923345933451167,-0.582130703615894,-0.441661038342764
"DG(32:1e)",-1.17456238526333,-1.0973648949361,-0.798027411276006,-0.804975142689459,-0.845695720044702,-0.839764631165436,-0.667629009505256,-0.589936695615984,1.15070800219253,-0.397821165698881,0.0428077724803936,0.519658817150094,0.441946860146193,0.482876066120167,0.0651441411080637,0.490424624290414,1.56355843146888,2.45865234123842
"PC(26:2e)",-1.19978902442217,-0.609483565833247,-1.25493997325121,-0.732583377361266,-0.930123985686274,-0.946871883226623,-0.624786435509136,1.27780266132819,-0.36935415236258,0.0393053897779866,0.23436984035033,-0.387871764437992,0.167448226278635,0.514964675708917,0.435162854372519,0.488333252927147,1.38822052436653,2.51019673698024
"DG(28:3e)",-0.78058635084244,-0.731974166891908,-0.771690362330505,-0.69585371502131,-0.650076561602899,-0.593839017872946,-0.632234438147412,0.351279082950019,-0.589180895768989,-0.291573063062904,-0.191931434555983,0.470748641185823,-0.202652464111803,-0.0444469349752393,0.174216474984679,0.776425617229296,1.10278439182077,3.30058519701375
"DG(18:1_20:3)",-1.13045524014681,-1.0448903442058,-0.49171541127511,-0.69164795724269,-0.891492115395373,-0.749685602721289,1.16829624622063,0.533250278665187,3.11158579436856,-0.36210589184594,0.513861397158698,0.267173466833555,-0.134530523820523,-0.203910435565726,-0.117990991515544,-0.529251935274539,0.133919345223354,0.619589920539366
"Cer(d42:0)",-0.980929541383415,-1.56912434293875,-0.568692672742684,-1.62760987648671,-0.659079731536383,-0.582154827827864,-0.257516460239688,-0.517832152081641,-0.25095001879218,0.188573203987642,1.0259357609895,1.72888873779791,1.07554397234375,0.432715282019705,0.369339809122904,-0.426899689787093,0.948745157268518,1.67104739028647
"TG(20:1_22:5_22:5)",-0.551059886765697,-0.537931471916887,-0.389489299988009,2.8909710663128,1.48013945735744,0.713795220804422,1.55641111706883,-0.44658486991876,-0.255273442696789,-0.572438314936053,-0.502725263843125,0.0148209869950262,-0.57344547635058,-0.575971879534315,-0.573826400373888,-0.572438314936053,-0.580477171896319,-0.524476055382056
"PE(16:0_16:1)",-1.4164391183078,-1.39761729260217,-0.781134104556893,-1.03376004375326,-0.883542025845385,-1.05409014992603,2.44674211867038,-0.117014728145577,0.330685981851396,0.396110742911397,0.371892161268859,-0.296557167941463,0.353005388707532,0.56974782713855,0.240207458587882,1.4064487609835,0.675174604156188,0.190139586802886
"TG(16:1_12:1_18:2)",-0.510242731619712,-0.516805801928839,-0.516614183895892,-0.502674141325864,-0.501612134341869,-0.501513838177058,-0.491517782982316,-0.494358279207973,-0.462212282834284,-0.296601931760481,-0.473349577272775,-0.46984514176486,0.33595987795617,0.129908560038863,0.0788624161291395,3.5563446005706,0.599950923578124,1.03632144883903
"TG(18:4_14:1_16:1)",-0.686035767579548,-0.507215718395489,-0.680371685258855,-0.607913820139097,-0.565619996109467,-0.536509601530232,-0.530781302596061,-0.21175570526547,-0.549292623208198,-0.226722987497812,-0.235132481906107,0.239800564094283,-0.199996845616273,-0.0647809753802997,0.149072593617982,0.612696043117324,1.07248228302919,3.52807802662413
"TG(18:1_22:5_22:6)",-0.503232208560343,-0.379522504483736,-0.270690965230419,1.32052211264581,0.485498879258234,3.5944478846245,-0.103786454725564,-0.282701243646412,-0.320726219792398,-0.342846866124595,-0.381795000037292,-0.367215019396297,-0.414687487526636,-0.440757366732534,-0.231081998544145,-0.458029118509476,-0.470445622018857,-0.432950801199842
"TG(16:1_18:1_18:2)",-1.30254967957489,-0.512504610332507,-0.91851448041307,-1.11370897300845,-0.646769610304773,-0.572275372792647,-0.698150674964525,1.4303980490548,-0.708896934181264,0.00245562028216662,0.581244868976529,-0.387820626254767,-0.0871647351773086,-0.0287692829354889,0.258783719273577,1.64278450248903,2.3137469933933,0.747711226470281
"TG(22:2_22:5_22:5)",-0.39684142987297,-0.394923765751813,-0.231516697944115,0.40835189906744,3.60394536769988,1.35735089504029,-0.144572534857309,-0.394923765751813,-0.374574686107724,-0.300831804143644,-0.398496338985396,-0.393683072441743,-0.400868333362547,-0.350813625833826,-0.394583289672689,-0.400839405654879,-0.398496338985396,-0.393683072441743
"TG(18:1e_18:1_22:5)",-1.34502712685284,-1.01451802767648,-0.987492314335425,1.00939767953328,1.30070715590474,2.36012103168824,0.286485495085325,-0.500598716231193,-0.224050739747431,-0.314116162865039,-0.433634349895902,1.08299370191087,-0.871640192090712,-0.481486815078672,0.210769397001298,-0.507877454562763,-0.700652622563442,1.13062006077615
"Cer(d34:3)",-0.921796049791374,-0.818272229957525,-0.908797237837006,-0.785893916989459,-0.81891614029454,-0.599145457328926,-0.717278541311402,0.0684536075408745,-0.237477409216592,-0.0577109447668245,0.172216768902511,1.20523375422974,-0.223610646445136,-0.176532697613888,0.326399841017257,0.268067130985799,1.17409909542272,3.05096107345378
"PC(32:4e)",1.29245238649713,1.4778927601964,1.51324507065353,1.82613646383955,-0.109026045854564,0.212213752176627,-0.495177844849444,-0.135476515663257,-0.649602616045774,0.627677736983341,-1.00476856382297,-0.986980997865747,-0.785973733683142,-0.901770488301846,-1.15103201064583,0.743990802599491,-0.787885443484198,-0.685914712729291
"TG(16:0_14:1_16:1)",-0.694319050798209,-0.683332941459882,-0.681856745479431,-0.568301790854459,-0.612807547035743,-0.616861984097297,-0.53053741655427,-0.454454172985553,-0.535434448829342,0.588828365648999,-0.348899542500757,-0.266139727252246,0.387214601680627,0.0968719883601624,0.00919328606484387,3.43608069378965,0.473225352421937,1.00153107988097
"Cer(d18:2_22:1)",-1.11657590321508,-1.1375529844075,-0.991420272531643,-0.193256381703261,-1.02653165298338,-0.916117873227845,-0.138081903656642,-0.741667005009463,0.951098257533281,-0.0107359652648966,-0.328681541868969,-0.310592757312334,2.29944093628599,-0.000459688044803479,0.0846387866678018,1.63693390882214,0.890738879202078,1.04882316071451
"SPH(d14:1)",-0.802161262675939,-0.801920304181179,0.315726311967196,-0.720828610275371,-0.794645589916597,-0.757493607108714,0.154722264840076,1.75399779537097,3.16129411783213,-0.175647293595472,0.08891487264467,-0.525253466331318,-0.504821714212466,-0.214032068101712,-0.231465542047478,-0.131240097515687,0.306329767790528,-0.121475574483639
"TG(20:2_22:6_22:6)",-0.466257711826673,-0.343246133255769,-0.472598196119102,-0.126629632987657,2.32611412548717,2.94187428561409,0.367632831243831,0.353595057791665,-0.472598196119102,-0.453399677941335,-0.434698369439313,-0.465679957321044,-0.468580535430724,-0.467861816293963,-0.463888068700383,-0.453399677941335,-0.434698369439313,-0.465679957321044
"Cer(d18:0_22:0)",-1.43184936815981,-0.806803872530134,-1.2334432094846,-0.865454745853159,-0.632846278629248,-0.833178226645304,0.0324906230781099,1.49290869617303,-1.27069584332135,0.450595783148616,1.05433155738221,-0.251961772205346,0.209063604542154,0.136945294802861,0.17423519837312,1.13267056109023,1.97061029214758,0.672381706091032
"TG(18:0_18:1_22:6)",-1.44727746158644,-0.0481210253596045,-0.771196978698203,1.90138187471756,0.800118164077096,1.59065556546755,0.576740586620128,1.9570658232694,-0.787248535008092,0.062095173090661,0.316207809913699,-0.437898087734342,-0.652039855533,-0.65508402392267,-0.604113457644198,-0.68284817776026,-0.300733765643988,-0.817703628265282
"Cer(t16:0_26:3)",-0.632295898399325,-0.633115345661062,-0.632912299093686,-0.503269085260602,-0.628826575757237,-0.526805340239959,-0.0631131335751756,-0.429289521521769,-0.632912299093686,-0.297596045503276,-0.0656676249917647,-0.400841118573655,-0.163590970941745,0.319738027527027,0.283084254751743,0.718437507478504,0.711444897316458,3.57753057153921
"TG(4:0_16:0_18:1)",-0.504093615677935,-0.503110950673138,-0.503071302243106,-0.49209777894059,-0.469486767779458,-0.494603171185616,-0.497999784144271,-0.48895979788565,-0.488759719286347,-0.226265060525682,-0.442390936383359,-0.460394890653642,-0.0216808755507155,0.771447194956623,-0.194092063578147,3.55252920084468,0.840308925952491,0.622721392753857
"DG(48:2)",-1.41533638897297,-1.3387900909688,-1.16745617969157,-0.197308432575161,-0.389419693424813,-0.247664794768931,2.14884562652929,-0.693371718781443,0.0140007939792396,0.187502809738747,-0.0723232810389337,-0.312721087628784,-0.15919515762245,0.00166761443764018,-0.179902199249518,2.24034556421615,0.904742897495864,0.676383718326454
"TG(16:0e_16:1_16:1)",-1.42460099204845,-1.34825114109517,-1.17735693810513,-0.226594721591581,-0.383067664294545,-0.259926089350828,2.13043397044148,-0.736963799123143,0.00652363635789583,0.195270055186568,-0.100468755765232,-0.345629059719271,-0.135780007470332,-0.00895237157297426,-0.00047272787135785,2.22169908432389,0.911572922723949,0.682564598974225
"DG(20:0e)",-0.503093839763116,-0.502400983670967,-0.503435281638368,-0.480563890049872,-0.464632092470891,-0.495155243307224,-0.496274864206744,-0.488138581948473,-0.488826081720371,-0.168080517764976,-0.419651015190719,-0.444572961538508,-0.0413443173655835,0.692205378833098,-0.207599040617542,3.58679972845533,0.811008230362831,0.613755373602101
"DG(26:1e)",-0.608595076665708,-0.610064448849871,-0.608327747267483,-0.589562865440184,-0.560748517155076,-0.590868936911355,-0.128954063325356,-0.427978720303194,-0.519089416730744,-0.250728132505612,0.33185138722585,-0.412197093843984,-0.117229067160183,0.181633544905407,-0.110417412434727,0.90640298922989,3.59325777062878,0.521615806603553
"TG(16:0_16:0_16:1)",-0.934503930191233,-0.864574757193898,-0.831605266279129,-0.628389487016541,-0.625622703150247,0.140950048183472,-0.674640956888319,-0.478056471397972,-0.183056787668944,-0.376490501371712,-0.407870585276742,-0.466704557014551,0.277872838379352,0.293542696794941,3.2062787380321,0.887987093590983,0.731567889429893,0.933316699038549
"PS(18:0_18:1)",-1.11057857746566,-1.26204071180238,-1.19605979627225,-0.657578212848357,-0.884054566412297,-1.21241261328351,-0.144750703926346,-0.0160894958008115,2.68859234345233,0.0487472214653469,0.777400844113366,0.285446567507434,0.261604888562194,0.322740480130623,0.186844765941352,0.000440899173581586,0.747837747016793,1.16390892044859
"PE(16:1e_20:3)",-1.09719989015988,-0.775438792117038,-1.10974907627345,-0.616862971112362,-0.612422498183767,-0.451404089341907,-0.438173735974368,-0.50114525092548,-0.526174876386761,-0.354782826360821,0.00931876731817121,0.914454696723355,-0.0390846608438593,0.740081722738937,0.949534669360651,0.256329540625772,0.574556779831738,3.07816249108107
