"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"LPE(18:0)",6616811.164,11400000,8172863.923,14700000,1.4e+07,16800000
"LPE(18:1)",6854344.842,12794502.0045,9362867.0265,9251900.9335,9194676.6715,11426849.083
"LPE(18:2)",2757876.818,5165939.824,3296718.737,3309259.809,4116631.272,4183748.503
"LPE(20:1)",2864033.96,3634869.5215,2981695.751,2695336.475,3381231.9055,3157860.4315
"LPE(20:4)",1942785.23,3911584.334,4480161.361,4013023.057,3933099.584,4388494.598
"LPE(20:5)",225325.049,369481.7637,261996.2424,334328.462,353299.811,499795.867
"LPE(22:1)",7434.1353,266946.406,274207.641,276974.127,468175.891,363705.096
"LPE(22:5)",1059560.085,14044.3707,473108.534,1013596.629,1234257.272,64142.0451
"LPE(22:6)",1882218.596,3396948.831,2803551.085,2816093.736,2593182.592,3296944.087
"LPG(18:1)",584533.876,1096828.461,595351.843,450285.59,568956.285,547577.317
"LPI(18:0)",59004.3,623864.31,387869.2173,111165.3978,297876.06,158074.2864
"LPI(18:1)",10889.6778,2069.2854,14433.7377,4908.7803,289052.633,1628.1282
"PA(18:0)",854367.377,1377878.969,1054172.511,1402152.234,1183747.738,1439106.964
"PA(18:1)",383144.32745,573951.7496,466480.25535,405519.849675,527653.00485,685998.504
"PA(20:0)",478571.298,582248.1696,350212.464,86442.5061,565188.3594,1031238.9
"PC(10:1)",693751.8195,13200000,1.3e+07,440541.5496,963320.6088,615205.8393
"PC(12:0)",829610.2164,707352.310633333,699136.687833333,554324.7386,512467.306133333,718693.144366667
"PC(12:1)",1334051.1688,1472889.5039,2356630.081,2371809.2135,1329046.5883,3893598.276
"PC(14:0)",8760636.73822222,7968778.87288889,7519996.17755556,8806045.63787778,8399643.88733333,7505433.0163
"PC(14:1)",8501919.88071429,10287033.166,9234379.28057143,8314543.06185714,8902274.32175714,8403648.76228571
"PC(16:0)",68726419.0191471,74617243.2434088,66153638.3383235,74122739.3024412,77119729.1640441,82168838.2805971
"PC(16:1)",44222828.6117308,46516140.3689231,42270945.3842692,34697849.4437038,39875394.8378077,40426565.8915269
"PC(16:2)",1232281.9156,992171.89035,610777.7794,543116.4778,1157531.89,926589.545775
"PC(18:0)",33671122.9194,36169150.936,37763943.35385,33584096.569705,36606433.86154,35810194.50282
"PC(18:1)",75160249.011541,72493715.9564707,69769242.8937632,53201957.0726122,56155751.0729268,62975850.0317103
"PC(18:2)",18146172.4319,18444836.576,17138921.23025,15224162.89425,17171923.9618333,16006908.1346667
"PC(18:3)",11821696.6155333,11955968.7857333,10435457.8323556,9656810.18355555,11293025.6504444,11586008.4755111
"PC(20:0)",1659510.39158333,3178528.91916667,2251108.09496667,2271885.22913333,2634488.8775,2560165.93866667
"PC(20:1)",35654962.7458,38558926.39323,33442035.54017,18508242.08429,19229645.28152,19857139.4919
"PC(20:2)",104644188.327433,115099109.191067,99352956.407,93986079.1167667,102854192.97,99929539.424
"PC(20:3)",8825477.74771428,9214766.17825714,9187356.68528571,5369342.9265,6458783.07214286,6259410.65881429
"PC(20:4)",12426320.4167318,13779319.5869455,12884181.8383682,11766435.6275318,12665376.6903045,12424003.6931545
"PC(20:5)",3062013.43803333,3818158.79344444,3461475.690125,4188142.41538889,4133675.55594444,4066386.55722222
"PC(22:0)",108567.8082,962759.167,754780.4847,296911.282,457901.064,579903.431
"PC(22:1)",10022541.9075,12622315.488,12347436.3735,3772333.748,5016299.3055,4764067.9555
"PC(22:2)",2263751.69,2793855.718,2332284.11,799716.195,41956.2516,946302.181
"PC(22:3)",8500608.3355,9663821.9335,7512270.941,7394773.3775,8600493.0285,7470888.1985
"PC(22:4)",12094799.2415333,10632583.8921,10156047.1604167,1439159.50758333,769433.786283333,1820980.42275
"PC(22:5)",10029171.0426625,10205385.1663438,9354941.470475,6856224.9555875,6727321.75860625,6592711.574675
"PC(22:6)",10181510.3396455,10199257.1519909,9523482.05801364,6117793.07887273,6851615.77765454,6478804.81737273
"PC(24:1)",260124.162,195834.5522,490571.0134,350439.6891,321526.6896,38140.51395
"PC(24:2)",429857.702,63270.0645,363328.893,102908.179,58899.8,29982.308
"PE(12:0)",2637006.5695,3568649.072,3262087.9175,2127028.998,2151396.2735,2107483.53
"PE(12:1)",686185.2222,738865.19032,755500.2556,489375.9956,457467.28822,510409.0512
"PE(14:0)",2370976.7009,2960565.22363077,2988664.08463846,2739367.696325,2383118.99497692,2711627.98331538
"PE(14:1)",2536972.23833333,2727391.04866667,2569950.908,2124697.58166667,2125912.18033333,2511076.90033333
"PE(16:0)",123430133.918954,169408179.953661,146431987.177465,175089663.154905,184787991.826888,169775489.59027
"PE(16:1)",30723282.0091967,39963696.4320567,36564213.62069,40415404.1090233,35873494.09296,42181666.4767867
"PE(16:2)",798111.14515,844011.2717,637729.10235,760883.48865,762050.947,861746.35615
"PE(18:0)",89252878.1791069,126169513.613369,98640098.6631586,112724445.971593,126112410.482176,121399177.337221
"PE(18:1)",227548000.925951,428619158.199344,336339560.928388,349258515.555202,401610359.166066,391458099.843583
"PE(18:2)",32997744.4030692,37326944.8140214,33066409.0981821,35703615.2373036,37059346.3479107,36390227.2341393
"PE(18:3)",1877935.2519,2662383.007,6780494.6395,2754525.81675,2660079.91175,2458755.61975
"PE(20:0)",4740153.6473,6443758.52837692,4853968.16324615,4756996.80178462,5236066.58293846,5181791.34898461
"PE(20:1)",29508037.5446778,39684422.8558944,34213535.8083706,32260252.8352353,33528647.2811778,36078398.0589059
"PE(20:2)",3306496.98285,4095941.27213333,3091092.1039,2571220.7233,2901581.2274,2610791.46291667
"PE(20:3)",6773367.88961,8978232.74056,9273997.54038,10934383.42992,11021409.3246,9371741.74355
"PE(20:4)",107230201.200057,145930695.925211,122889373.520271,144148648.481685,138751532.840139,141559134.252289
"PE(20:5)",54203642.2208182,66205021.9897182,63324353.2408182,71558303.9306727,74348271.8504546,68989220.6235636
"PE(22:0)",3274555.994,4049907.8335,2493295.8415,2703414.573,3165238.12885,3782358.42225
"PE(22:1)",12302643.5673333,19646414.611,14320837.361,16639687.6773333,19711295.3473333,20137278.3966667
"PE(22:2)",2109690.4265,3041597.26446,2167869.0098,2690528.25696,2988813.072,3351754.75754
"PE(22:3)",4649170.392,6420507.66033333,5022636.622,6101713.88536667,6898367.10933333,7105422.5203
"PE(22:4)",12616752.535,16738432.8325222,14053872.3525778,18681488.864625,17503180.7853444,17432007.5785444
