"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"TG(18:4)",8890100.61685,30392244.541,28909979.6745,39618346.5225,25689083.2042,27665901.2905
"TG(20:0)",25662027.112,21371049.3876667,17416750.453,21312415.0023333,24565660.6636667,24835261.6123333
"TG(20:1)",43502021.8338154,42647292.2697091,40980031.82948,51767937.5493923,72352693.6742917,69771877.0452583
"TG(20:2)",72716155.0836667,51827924.5876667,37476508.8043333,113101052.381667,135203053.542,170876133.204333
"TG(20:3)",81128631.8282167,84881041.318,70434868.8129083,136551179.558833,151021960.95525,154053407.43525
"TG(20:4)",44010356.18189,39996736.83507,38366956.6192895,78171047.38876,82631876.139955,78843509.686665
"TG(20:5)",49496501.4557071,47148443.0461214,41751338.3093571,67443633.0981357,83969663.9467214,70656112.6130929
"TG(22:0)",936286.264,60690.2769,759016.7958,115177.7583,314204.818,294128.676
"TG(22:1)",17306702.9563733,10568569.5929933,6702843.33948667,16666461.77914,19948780.8761533,22149115.7388133
"TG(22:2)",36100000,28100000,18300000,50300000,86500000,74200000
"TG(22:3)",44692113.1959833,30361672.4910167,14199007.8551333,44929328.2222333,34883316.3013167,39393356.18605
"TG(22:4)",115908747.131222,108406983.365778,68108045.6045,123587543.012044,156332169.869063,140279747.356519
"TG(22:5)",59004984.7880321,50791745.9932379,45178751.7865759,67601477.7158138,79222118.0233897,71923039.9645276
"TG(22:6)",39079080.4233652,33042043.6466304,33017037.2183739,75002493.3654167,96497547.3075792,80493246.6042083
"TG(24:0)",922286.776,165448.6368,86375.539,174369.9474,115.57,129021.245
"TG(24:2)",4733451.34395,4116510.028,1762500.6947,5519739.3325,6438303.627,8333727.6665
"TG(28:0)",1553145.171,2140737.643,1414310.309,3360926.893,4189484.936,4230859.314
"TG(4:0)",3320634.8855,3872156.91533333,4466988.019,9911876.99433333,10374093.8103333,8795626.44883333
"TG(6:0)",16703608.3498036,25442433.5752286,23479756.2880429,34251080.8674036,29662119.5596214,39227081.5105036
"TG(8:0)",7742839.42965,23220840.7148278,21840131.3664833,36599713.0427222,19517523.3452778,28685958.8455
