"subclass","OA_01","OA_02","OA_03","X1i_2i_01","X1i_2i_02","X1i_2i_03"
"LPC(40:4)",323689316,371732551,333499702,252028898,293030165,273022093
"LPC(40:5)",240436030,269870671,278853970,273945632,298688930,254842569
"LPC(40:6)",1171832588,1295709100,1263447668,1622799332,1748435448,1514872240
"LPC(40:7)",545224240,621810632,592124240,523199124,565817592,493195526
"LPC(40:8)",23189412,25061938,25747944,24016010,24555614,22749872
"LPC(40:9)",78752400,65168260,65784592,25108484,55973772,56478972
"LPC(42:0)",21022320,26490062,19082636,5867930,22595128,20049876
"LPC(42:11)",123310,166865,163838,488569,739996,439415
"LPC(42:2)",69797648,83198552,72373800,77345848,90506664,74479456
"LPC(42:4)",15395692,15567590,15376258,10904245,15644180,13779318
"LPC(42:5)",202159542,237372982,212307072,182119568,216316782,182767892
"LPC(42:6)",63895470,96476309,87696158,18236699,52248520,97225510
"LPC(42:7)",279668414,187684028,136648476,114010630,193783948,199505765
"LPC(42:8)",70981320,76776768,67513856,84529568,113922176,109333864
"LPC(44:0)",42936392,39838556,40965284,23188678,34165712,43527128
"LPC(44:1)",1815533952,1824855424,1778595968,1121469952,1812809600,2013715456
"LPC(44:10)",10497857,24433586,44073572,3814826,34003964,40233848
"LPC(44:2)",148985480,189686564,157868268,20550185,99130504,124594516
"LPC(44:3)",159020878,169610716,98964980,483025557,114875102,40454469
"LPC(44:4)",404751072,474668576,440642880,322223008,546090112,516870592
"LPC(44:5)",45058576,85294632,86329248,12828080,43319596,88477080
"LPC(44:6)",143313608,178808144,150577994,145313592,150311584,149620928
"LPC(44:7)",33106006,35940640,35682360,28593476,34605482,28169658
"LPC(44:8)",10779383,14459472,15272543,11665785,14294391,10292556
"LPC(44:9)",160882432,65607028,99837176,43671012,127377472,105972432
"LPC(8:0)",2033926,2855835,2507357,2484545,1536019,2074987
"LPE(16:0)",10199259,11253073,13232446,4686876,10707024,7805062
"LPE(18:0)",57419456,56955988,67755048,26028672,47492228,36993520
"LPE(18:1)",74910,391888,578680,97383,1397252,249733
"LPE(18:5)",132299,132205,65107,273861,29343,93306
"LPE(20:0)",3785946,5762524,5212941,3202167,15664219,4713714
"LPE(20:1)",680991,1257659,1536710,1177314,2108486,1661735
"LPE(20:4)",37493144,21838350,28702154,13015872,25100714,19497232
"LPE(20:5)",1523866,1354720,1974938,908092,1912459,2064632
"LPE(22:0)",601962,281747,534920,411816,426506,373098
"LPE(22:1)",407885,153680,351140,166828,1044971,616276
"LPE(22:4)",275488,289781,298233,238386,746749,397342
"LPE(22:5)",6714302,7196554,7230161,5205965,12699021,9929142
"LPE(22:6)",382242,543383,243684,NA,NA,5904
"LPE(24:6)",NA,NA,NA,596,1591452,NA
"LPE(26:1)",3380817,3956318,4102690,3577317,4737962,4153797
"LPE(26:2)",1968092416,2011234560,2020447360,2170806784,2229773824,2193905408
"LPE(28:1)",4394558,5713482,7373966,4146237,6940475,4357067
"LPE(28:2)",1149084,2743864,766658,2534553,1510529,1539037
"LPE(28:5)",1510563,1790624,1934148,1454219,1463060,1626051
"LPE(30:0)",289462,259975,698617,701373,462511,221446
"LPE(30:1)",22421540,18492182,20190074,17825568,26443018,21767302
"LPE(30:2)",4600860,5814077,6765234,10560657,11852910,10288224
"LPE(30:5)",3874654,5222565,5151474,1138627,3220318,3820566
"LPE(30:6)",2707098,3280134,2919996,562904,1854742,2499959
"LPE(30:7)",2210174,2770266,2811809,3688522,3688048,3173741
"LPE(30:8)",5423689,4779246,6917324,5260180,4554346,4834438
"LPE(32:0)",4387692,4737303,4687350,3801950,6162215,4893256
"LPE(32:1)",223960608,245913072,224883840,259932528,340659936,276602016
"LPE(32:2)",160402080,178794736,161632176,99167664,151390752,132113824
"LPE(32:5)",9908261,10575091,10082716,13709437,17679990,16374990
"LPE(32:6)",45368,108833,31772,336392,465239,204426
"LPE(32:9)",274203,2261177,3414487,186928,677119,870980
"LPE(34:0)",239680096,302173664,252858704,276787968,299913472,278808160
"LPE(34:1)",507657664,551998144,505811776,477090752,553745088,503794592
"LPE(34:2)",2045813376,2163809280,2216497664,1565456128,2185799424,1755139072
"LPE(34:3)",67650064,62510692,76612536,42151680,83398840,64039476
"LPE(34:4)",28252504,27957316,31174286,48862552,47409120,39577028
"LPE(34:5)",36254968,35836068,37418100,30290758,45534140,40050872
"LPE(34:6)",1120176,1434480,1655548,1672633,1023579,1406672
"LPE(34:7)",5785151,5454464,5410452,6085244,9687193,8411091
"LPE(34:8)",NA,1328991,454374,5046528,3921929,3375922
"LPE(34:9)",NA,NA,146750,5282434,3489668,10772821
"LPE(36:0)",29617852,30529060,30803152,27408516,31109808,31583084
"LPE(36:1)",873224192,957759360,845863872,1028019456,526052352,915386112
"LPE(36:10)",711788,241104,280936,1961132,1631015,1901288
"LPE(36:2)",521215104,574990336,582371840,452583840,664225472,517072608
"LPE(36:3)",249168032,559393472,314001184,237504624,517765568,420077632
"LPE(36:4)",117957688,132317792,117871264,85711744,133789280,105493544
"LPE(36:5)",4269342208,4708912640,4227982592,3494816256,4804850176,4083348224
"LPE(36:6)",1283947392,1321319552,1361367808,935729600,1249240704,1165230976
"LPE(36:7)",27267778,29662844,28219458,22419902,30057822,24110370
"LPE(38:0)",18750614,15591358,16982474,5121854,11430962,12944584
"LPE(38:1)",115152168,118496816,149225136,192998448,201462848,158097056
"LPE(38:2)",370411648,415337376,407308864,457495872,533868960,442179584
"LPE(38:4)",73246776,89078344,89683568,52655136,65331080,53110260
"LPE(38:5)",1940158976,2154557696,2117598592,1489946752,1996188160,1671236352
"LPE(38:6)",5522515968,6219538432,5685502976,4507271680,6067358720,5119277056
"LPE(38:7)",2919571712,3280616448,2934391040,2158631680,2824893184,2632378368
"LPE(38:8)",23822902,18181862,21260644,22330674,20222136,20672830
"LPE(38:9)",80024512,75527736,90540064,61336544,57162292,54702376
"LPE(40:0)",112280,327882,281028,556356,827210,805646
"LPE(40:1)",8079624,8104623,8151887,8175578,14998084,12555631
"LPE(40:10)",171576688,184449744,134462704,212464896,146746432,173746288
"LPE(40:11)",91706,705730,124648,NA,4971,328555
"LPE(40:2)",2057479,2281428,2585278,2679311,2858256,2476257
"LPE(40:3)",3379154,4759834,4674152,2177520,3132221,3129267
"LPE(40:4)",169186336,189944512,170202800,149507856,161774800,138884944
"LPE(40:5)",319090016,403067360,345529280,283519584,325357568,276750304
"LPE(40:6)",1092636800,1218839552,1157047680,764225728,1026202560,940615488
"LPE(40:7)",1998773760,2230982400,2009842944,1361752704,1776672000,1582241408
"LPE(40:8)",2971117568,3297222656,3013660160,1851267584,2475204864,2291496192
"LPE(40:9)",494197728,525981184,511596256,544034176,518481536,497929856
"LPE(42:1)",69240,375299,221076,457766,587022,454340
"LPE(42:11)",195523296,221342528,174237040,206411824,150140064,161459392
"LPE(42:2)",55866424,47887508,15658520,72429336,28354608,15091740
"LPE(42:3)",244216032,244689712,208410608,132894928,207719584,256852624
"LPE(42:4)",3043739,3642962,3475103,700548,1795954,2601626
"LPE(42:5)",33739400,36264492,34517780,26332438,42619376,29378010
"LPE(42:6)",124508328,157509952,122616632,136661312,155228624,121962104
"LPE(42:7)",87409056,96135072,98344456,90146024,97866088,84649032
"LPE(42:8)",26476278,31802778,29856222,25256784,30096814,26496710
"LPE(42:9)",88449528,24716394,90706048,88469752,22844494,76412680
"LPE(44:10)",49219944,61580488,56953908,63244420,64078460,48229736
"LPE(44:11)",2015024,1282730,782330,1591348,2253028,1770038
"LPE(44:12)",26110972,28166624,33438770,20521284,21956336,20145446
"LPE(44:2)",31042916,46461896,36428504,2287540,16503049,39474404
"LPE(44:4)",32970352,33724872,32607842,30178668,32108370,26111924
"LPE(44:5)",181621072,174964896,157073808,135876736,180781984,205606080
"LPE(44:6)",9220188,10253822,11235452,7496253,8845395,5487262
