"subclass","OA_01","OA_02","OA_03","X2i_01","X2i_02","X2i_03"
"FA(18:3)",6692176,8628194,8630219,2043070,3398619,4601296
"FA(18:4)",3698775,5669318,7528882,761471,2840554,2206224
"FA(20:0)",3274726,4671060,5293832,3319825,2736020,3022831
"FA(20:1)",9786502,5429453,5880222,4016668,3151642,3864780
"FA(20:3)",2216662,1553152,1305780,1861150,1442442,953379
"FA(20:4)",78911512,68853496,61224428,62103908,58895456,38489356
"FA(20:5)",6295875,5267508,5255752,4577963,4451037,3045264
"FA(22:0)",1066471,1075133,1140749,1243088,986587,937120
"FA(22:1)",1061218,472446,386834,600434,753767,508985
"FA(22:4)",2486014,1644004,2027936,2086231,2042004,1147208
"FA(22:5)",13532191,12184867,12913208,12793932,12270175,6790170
"FA(22:6)",91503792,83625856,88352216,68759384,67453328,43671636
"FA(24:0)",3258782,2183696,2731412,2175616,2542241,1931720
"FA(24:1)",3862501,1981378,1848520,594207,1423153,2246199
"FA(24:2)",1289587,720029,499890,78638,205152,138479
"FA(24:3)",1224292,1157997,876887,153504,259714,407195
"FA(24:5)",248708,252792,262424,NA,78856,66862
"FA(24:6)",2780112,1560830,2230641,122231,413153,179630
"FA(26:0)",1949605,2002477,2777477,950006,1646220,955895
"FA(26:1)",9087318,7426354,4921843,1981592,3551288,1479228
"FA(26:2)",2047602,1669136,950653,1049700,843621,324829
"FA(26:3)",3104359,1912616,2969143,517779,1007992,1318252
"FA(26:4)",575795,795080,388949,97440,280667,172105
"FA(26:5)",3763528,1004500,955708,NA,45454,115861
"FA(26:6)",2715659,280769,170284,NA,499450,361399
"FA(26:7)",148197,621295,484126,NA,3342,5070
"FA(28:0)",3390948,3578081,2273688,2153444,2380364,1607862
"FA(28:1)",8704625,9067746,8568925,2840825,5189890,4422630
"FA(28:2)",6304896,2856190,5305560,1561895,3792218,2837887
"FA(28:3)",3000093,1979204,3692029,395310,1610535,1000202
"FA(28:4)",1288630,539246,3287766,1507359,252764,736704
"FA(28:7)",160354016,145417280,150138832,150722512,113756016,121540384
"FA(30:0)",5608590,6023212,7602119,3572498,3713174,4009012
"FA(30:1)",18733574,9569033,10437474,4689182,4452452,4029155
"FA(30:2)",11838264,4899594,7188659,3506460,3753240,4052600
"FA(30:3)",3747272,4003153,2162440,1884246,1224810,1738524
"FA(30:4)",3704585,2809952,3219722,837799,1549529,1856672
"FA(30:5)",3567866,1885791,1638031,570837,1131703,1306773
"FA(32:0)",4527908,5026222,5391282,5482894,5318930,3701766
"FA(32:1)",8640338,3206889,2501070,1452155,2037320,2846433
"FA(32:2)",6479444,4496604,6270995,2113605,3315504,3703416
"FA(32:3)",2355333,2237942,2278804,790104,1061105,1765423
"FA(32:4)",2011661,678155,614435,370296,826818,485474
"FA(32:5)",659864,1302803,746148,110604,38700,135294
"FA(32:9)",1706083,1709616,2570384,1511046,812431,484431
"FA(34:0)",6872420,7584318,6245838,4966824,3738647,6262544
"FA(34:2)",2667186,3135951,1893638,1293161,1620510,2476416
"FA(34:5)",23109944,31260640,26369432,20120284,20963338,14244021
"FA(36:0)",5750660,8446185,9019636,6417328,7151453,10108722
"FA(36:1)",4407085,4209580,3539233,2290470,972809,510588
"FA(36:10)",1037649,1137039,1595790,936130,823423,429724
"FA(36:2)",4857004,2018425,2540638,1233703,1132643,1760068
"FA(36:5)",43588568,59520164,66190116,39116896,49509752,37527876
"FA(38:0)",4095425,5639864,4412058,4937122,10855641,5662448
"FA(38:2)",245717,115053,468209,56279,87085,9298
"FA(38:5)",37005624,55363404,42555980,34391040,49117068,40650976
"FA(40:0)",6316653,4738574,5377079,3137088,8185674,5536290
"FA(40:5)",150520928,122467656,115679320,113993992,108483680,114788072
"FA(40:6)",1315271,1543180,2067880,NA,551884,407766
"FA(42:0)",8027718,4456920,5303339,7115885,8217986,8524589
"FA(42:12)",39220,15003,139848,174912,172246,260061
"FA(42:5)",115588040,84557280,83681232,82046200,80479984,79199680
"FA(42:8)",2612195,2347234,2752524,2811188,2825698,2539733
"FA(44:0)",3546166,3236060,2256411,2248204,4715629,5567456
"FA(44:1)",54127,11000,341343,NA,NA,NA
"FA(44:12)",50095,NA,51784,NA,NA,60747
"FA(44:5)",38311216,32243424,33485342,28601252,30008558,32867488
"LPA(12:0)",889792,1077767,700519,480441,612193,325702
"LPA(14:0)",9356847,10858954,9175095,3020340,5132378,8089768
"LPA(14:1)",5246926,6466782,6565249,1668950,1198776,4197092
"LPA(18:1)",1632082,673677,1141119,97684,165561,231220
"LPA(18:2)",1630375,1005179,2195656,1659269,1167448,1277188
"LPA(20:0)",82187448,90127832,78768384,79149248,73238472,144940496
"LPA(20:2)",3064803,3007770,2778570,2730950,2849678,4257082
"LPA(20:4)",396165,123718,158322,33315,41241,110257
"LPA(22:1)",4576904,4182933,4866592,1470408,2272809,2335167
"LPA(22:4)",1453374,1112570,1558540,1952755,1337451,1572045
"LPA(22:5)",151937,276235,127767,444545,357623,402421
"LPA(24:0)",3584931,3806179,3981672,3158137,3252928,3564582
"LPA(24:1)",2221543,2527256,2980801,3523495,2976158,2755297
"LPC(14:0)",86161,294377,63016,254970,359067,399993
"LPC(16:0)",181033952,190575744,198123792,181859712,185154544,186124560
"LPC(16:1)",20517180,22790148,22664304,19861682,22129410,21281470
"LPC(16:2)",2694714,2819214,2863034,3007270,3955651,2313015
"LPC(16:4)",10518108,8527984,8979661,6867495,6726090,7137663
"LPC(18:0)",220587776,255097328,230663760,251799248,273345824,314241248
"LPC(18:1)",523612497,495289033,588287775,529591502,549580262,644438512
"LPC(18:2)",11420814,11608069,11343199,11773454,11639773,9855207
"LPC(18:4)",830848,1017579,559201,1572514,1140627,1481230
"LPC(18:5)",146303,797805,229861,429767,667524,704810
"LPC(20:0)",13279073,11855093,11473968,10606203,14589870,12878262
"LPC(20:1)",26813768,29912492,34319116,31162440,35978036,46951240
"LPC(20:3)",NA,NA,19906,NA,20837,35601
"LPC(20:4)",994241,1011657,1248342,1135423,883540,1160800
"LPC(22:0)",11758914,11710004,6829538,7835678,11594816,8207004
"LPC(22:1)",4714898,5467798,5354836,5498055,5194468,6953436
"LPC(22:4)",533401,175873,NA,302848,8072,561130
"LPC(22:5)",5936387,8007404,5827704,5134022,6415818,6247333
"LPC(22:6)",NA,1259,528,NA,NA,1540
"LPC(24:1)",1797231,2493106,2532525,1906801,3697441,1536711
"LPC(24:2)",78290344,78385736,77888208,78725520,85529144,85368800
"LPC(24:4)",3349459,2141411,3772160,4538934,2882514,3601362
"LPC(24:6)",3667540,3820960,4577192,4601721,4400590,5540774
"LPC(26:0)",10819843,11003113,10906650,10108204,9711943,8699749
"LPC(26:2)",26581626,18799732,23674792,14257149,15270371,8882694
"LPC(26:3)",11386969,9091717,5049988,2679973,2419993,9677869
"LPC(26:4)",25824236,15701778,13459045,12444775,8244526,6452120
"LPC(26:5)",8029236,3917355,6321530,9359865,6412581,5272584
"LPC(28:0)",209460315,187334941,220126702,194364620,175391528,193781746
"LPC(28:1)",28945687,35064599,35533616,37026905,37544213,34803561
"LPC(28:3)",40964020,29853960,40435476,34916312,27699100,25128524
"LPC(28:5)",3080612,3393312,2801222,2127847,1646542,2426067
"LPC(30:0)",1598853164,1752253896,1722834688,1666953108,1742229648,1587963696
"LPC(30:1)",1146671164,1246864836,1251551232,1218518728,1317513776,1183467256
"LPC(30:2)",111276086,104469269,101489820,100590739,121634532,97228743
"LPC(30:3)",40423,121547,105965,37743,69641,47625
"LPC(30:5)",6151996,7733708,3461157,4394154,5468975,5258558
"LPC(30:7)",3363163,3437237,2777904,3317886,4097329,3803668
"LPC(32:0)",6284722688,6481831680,6491329664,6663848064,6686169600,5899981888
"LPC(32:1)",6492018800,6954336304,7037735200,7124977792,6954150016,6203954320
"LPC(32:2)",3298470320,3512541872,3607831888,3424413608,3836711112,3319840352
"LPC(32:3)",173086756,130848051,122604504,110643043,79312851,74758110
"LPC(32:4)",47605770,43259314,46500255,42958112,35011831,40628736
"LPC(32:5)",165158685,194558687,173209168,144324650,154903430,157976280
"LPC(32:7)",8387546,4988642,3034788,2740441,5169720,2717737
"LPC(32:9)",17282568,12362747,13232533,10470230,10819927,9269876
"LPC(34:0)",2356638144,2618458560,2608375296,2587668416,2620956224,2395385216
"LPC(34:1)",20836445952,23447208704,22543783936,21914491392,23030894336,21644747008
"LPC(34:2)",7918189120,8951975200,8651740160,8796420288,8885587200,8380278304
"LPC(34:3)",411810720,437647832,396397972,398219328,417983852,372716696
"LPC(34:4)",4822598,4008875,5294906,3623852,4396264,3743112
"LPC(34:5)",230957760,253886018,244971619,219753202,205625138,198895537
"LPC(34:6)",48122846,49377151,46056572,36846317,38397703,35069695
"LPC(34:7)",21323984,16601170,20791590,23322232,20511200,21643928
"LPC(34:8)",1974598,1920369,1937092,1767586,2200559,2172291
"LPC(34:9)",1694989,2193224,2187348,2392192,2588630,3388072
"LPC(36:0)",476685380,469982288,467058560,448624648,447538152,391053976
"LPC(36:1)",1311796416,1589200960,1471523264,1489977600,1446779136,1399448000
"LPC(36:10)",60558136,56801252,38032888,8691517,11916743,9120748
"LPC(36:2)",7824778704,8677125684,8183611612,8098176032,8404218896,7870869704
"LPC(36:3)",493942544,581226272,537449024,558957392,626218768,502712776
"LPC(36:4)",27449623,26009658,28677692,15849622,17023118,15891976
"LPC(36:5)",5693677288,6343935968,5733340320,5541123120,6273644064,5643961736
"LPC(36:6)",767445718,817256172,733623552,733892218,783026722,678939422
"LPC(36:7)",119422880,142495160,128689268,130606532,135424024,119779464
"LPC(36:8)",95476998,94425644,88937342,91864964,91406262,91411194
"LPC(36:9)",19765566,19983244,23743608,19860434,22704026,22116836
"LPC(38:0)",210554564,216021532,223709400,207048707,213009580,197205199
"LPC(38:1)",265865402,293678280,260016832,268256848,278881560,262425356
"LPC(38:10)",21183212,27937236,20246238,29320548,24543700,21956762
"LPC(38:2)",230184416,255933416,280164640,287138480,290398432,242771880
"LPC(38:4)",1735147440,1980727840,1861102384,1841160336,2024901616,1858608448
"LPC(38:5)",5368097088,5864655616,5764319424,5599109760,5994254336,5292967232
"LPC(38:6)",4012497144,4477975768,4208839720,4027194864,4591213912,4132820608
"LPC(38:7)",1778957608,1973968576,1798969420,1928642204,2007863408,1814825036
"LPC(38:8)",34178754,31274012,32792623,32869102,26184071,30033686
"LPC(38:9)",3832157,4158014,5557721,3798309,5034634,5152494
"LPC(40:1)",424033056,474903552,426573392,414352832,411400688,423198432
"LPC(40:11)",4016535,4473310,937159,6079218,5353188,5397232
"LPC(40:2)",173315584,149571282,142738218,138991446,121818558,116146740
"LPC(40:3)",244168208,299594112,277999000,203866744,232254652,224360028
"LPC(40:4)",323689316,371732551,333499702,332663697,332245084,312716364
"LPC(40:5)",240436030,269870671,278853970,265536532,289971502,260967124
"LPC(40:6)",1171832588,1295709100,1263447668,1336436290,1505022040,1282339182
"LPC(40:7)",545224240,621810632,592124240,584051802,604863406,529872470
"LPC(40:8)",23189412,25061938,25747944,26380080,26551022,24451296
"LPC(40:9)",78752400,65168260,65784592,59693916,41298184,40559112
"LPC(42:0)",21022320,26490062,19082636,16884354,31486294,11815969
"LPC(42:11)",123310,166865,163838,363356,161850,81511
"LPC(42:2)",69797648,83198552,72373800,74772816,81486288,80327072
"LPC(42:4)",15395692,15567590,15376258,15601005,16560302,14387785
"LPC(42:5)",202159542,237372982,212307072,217546714,219477798,202303750
"LPC(42:6)",63895470,96476309,87696158,22724081,43207516,55240713
"LPC(42:7)",279668414,187684028,136648476,150377796,146576204,131497072
"LPC(42:8)",70981320,76776768,67513856,63132896,64346280,53415872
"LPC(44:0)",42936392,39838556,40965284,35889712,34066664,28040730
"LPC(44:1)",1815533952,1824855424,1778595968,1464317696,1416383744,1447931136
"LPC(44:10)",10497857,24433586,44073572,26931022,26431464,8454679
"LPC(44:2)",148985480,189686564,157868268,45393939,71475268,76625796
"LPC(44:3)",159020878,169610716,98964980,215593146,459127160,321347696
"LPC(44:4)",404751072,474668576,440642880,388236640,394701728,383845024
"LPC(44:5)",45058576,85294632,86329248,14127164,79241376,27257460
"LPC(44:6)",143313608,178808144,150577994,124619595,166469340,129295381
"LPC(44:7)",33106006,35940640,35682360,34841518,33395925,31399778
"LPC(44:8)",10779383,14459472,15272543,14763585,16072809,14808181
"LPC(44:9)",160882432,65607028,99837176,72507168,63531772,79405576
"LPC(8:0)",2033926,2855835,2507357,579131,982038,16712
"LPE(16:0)",10199259,11253073,13232446,13739575,11996446,14044904
"LPE(18:0)",57419456,56955988,67755048,60737872,58873804,68449928
"LPE(18:1)",74910,391888,578680,117564,111858,1038
"LPE(18:5)",132299,132205,65107,85952,137525,147480
"LPE(20:0)",3785946,5762524,5212941,5797767,5810263,6325358
"LPE(20:1)",680991,1257659,1536710,1066808,1640009,1938305
"LPE(20:4)",37493144,21838350,28702154,23781712,18542108,18169498
"LPE(20:5)",1523866,1354720,1974938,1236407,1393365,1931973
"LPE(22:0)",601962,281747,534920,550400,413456,498426
"LPE(22:1)",407885,153680,351140,258708,NA,680522
"LPE(22:4)",275488,289781,298233,350190,404860,165769
"LPE(22:5)",6714302,7196554,7230161,7471770,10091928,8092970
"LPE(22:6)",382242,543383,243684,356479,469896,149744
"LPE(26:1)",3380817,3956318,4102690,3569266,3479766,4244817
"LPE(26:2)",1968092416,2011234560,2020447360,2031054976,2167815424,2270162176
"LPE(28:1)",4394558,5713482,7373966,4631362,3452212,4016356
"LPE(28:2)",1149084,2743864,766658,2253116,2055101,2423824
"LPE(28:5)",1510563,1790624,1934148,1522232,1042558,1079279
"LPE(30:0)",289462,259975,698617,507363,277667,570597
"LPE(30:1)",22421540,18492182,20190074,16356975,16235073,15427956
"LPE(30:2)",4600860,5814077,6765234,7106658,3884064,6500500
"LPE(30:5)",3874654,5222565,5151474,1321441,3051528,3547852
"LPE(30:6)",2707098,3280134,2919996,782622,1846466,2133972
"LPE(30:7)",2210174,2770266,2811809,3285094,3030913,3397985
"LPE(30:8)",5423689,4779246,6917324,4555566,4916759,5387315
"LPE(32:0)",4387692,4737303,4687350,4991534,4114203,4881008
"LPE(32:1)",223960608,245913072,224883840,237293056,212604512,201682080
"LPE(32:2)",160402080,178794736,161632176,176669824,147461136,159912640
"LPE(32:5)",9908261,10575091,10082716,9163934,6268982,9206236
"LPE(32:6)",45368,108833,31772,129402,10847,84957
"LPE(32:9)",274203,2261177,3414487,263806,693360,798694
"LPE(34:0)",239680096,302173664,252858704,282580928,278982880,255540448
"LPE(34:1)",507657664,551998144,505811776,519468928,556687680,499573696
"LPE(34:2)",2045813376,2163809280,2216497664,1956531840,1863780992,1879369472
"LPE(34:3)",67650064,62510692,76612536,42500932,51921184,50080572
"LPE(34:4)",28252504,27957316,31174286,35640776,33591336,34362144
"LPE(34:5)",36254968,35836068,37418100,34953516,31440080,28748870
"LPE(34:6)",1120176,1434480,1655548,1291530,1364211,1047545
"LPE(34:7)",5785151,5454464,5410452,5265780,3667837,3664139
"LPE(34:8)",NA,1328991,454374,1488755,409795,1636743
"LPE(34:9)",NA,NA,146750,NA,NA,184168
"LPE(36:0)",29617852,30529060,30803152,31919242,29402978,29858370
"LPE(36:1)",873224192,957759360,845863872,883894848,972011520,854239232
"LPE(36:10)",711788,241104,280936,782182,1086317,981063
"LPE(36:2)",521215104,574990336,582371840,505544640,484536544,511838816
"LPE(36:3)",249168032,559393472,314001184,544365376,336712352,357599072
"LPE(36:4)",117957688,132317792,117871264,113010760,122865064,119740192
"LPE(36:5)",4269342208,4708912640,4227982592,4154198528,4070430720,3764537856
"LPE(36:6)",1283947392,1321319552,1361367808,1199626880,1256998016,997790016
"LPE(36:7)",27267778,29662844,28219458,27233350,26233530,21940028
"LPE(38:0)",18750614,15591358,16982474,4498807,8662465,11082744
"LPE(38:1)",115152168,118496816,149225136,121893296,90861640,119322048
"LPE(38:2)",370411648,415337376,407308864,404269760,430841248,396082976
"LPE(38:4)",73246776,89078344,89683568,75830848,82320296,70761608
"LPE(38:5)",1940158976,2154557696,2117598592,1837870592,1868733440,1801283584
"LPE(38:6)",5522515968,6219538432,5685502976,5501044224,5469899776,5002205696
"LPE(38:7)",2919571712,3280616448,2934391040,2874659584,2656053760,2592788224
"LPE(38:8)",23822902,18181862,21260644,22089516,19063108,17741060
"LPE(38:9)",80024512,75527736,90540064,76682272,80399728,80459272
"LPE(40:0)",112280,327882,281028,732333,49516,314530
"LPE(40:1)",8079624,8104623,8151887,9386780,7141462,7152845
"LPE(40:10)",171576688,184449744,134462704,205196944,166902528,157626112
"LPE(40:11)",91706,705730,124648,169702,1324884,87802
"LPE(40:2)",2057479,2281428,2585278,2187664,2109546,2273891
"LPE(40:3)",3379154,4759834,4674152,1332514,2415470,3885786
"LPE(40:4)",169186336,189944512,170202800,179052592,189884096,164360848
"LPE(40:5)",319090016,403067360,345529280,362142688,415232992,345558464
"LPE(40:6)",1092636800,1218839552,1157047680,1041293632,1096175360,1047897216
"LPE(40:7)",1998773760,2230982400,2009842944,1978070912,2022097664,1782166784
"LPE(40:8)",2971117568,3297222656,3013660160,2852126720,2777959936,2535319552
"LPE(40:9)",494197728,525981184,511596256,543912320,538913600,534517248
"LPE(42:1)",69240,375299,221076,193951,197737,205911
"LPE(42:11)",195523296,221342528,174237040,219514208,192340928,188866864
"LPE(42:2)",55866424,47887508,15658520,64709940,94655888,81647896
"LPE(42:3)",244216032,244689712,208410608,196379584,183500784,178384848
"LPE(42:4)",3043739,3642962,3475103,556766,1748752,2394144
"LPE(42:5)",33739400,36264492,34517780,26632102,30546622,32374790
"LPE(42:6)",124508328,157509952,122616632,132904544,149479056,124216408
"LPE(42:7)",87409056,96135072,98344456,97403272,105832928,95113208
"LPE(42:8)",26476278,31802778,29856222,28296218,25705730,26314188
"LPE(42:9)",88449528,24716394,90706048,83934344,84733776,78179704
"LPE(44:10)",49219944,61580488,56953908,61730016,69552128,62430164
"LPE(44:11)",2015024,1282730,782330,1619475,1174606,807633
"LPE(44:12)",26110972,28166624,33438770,30987974,30033470,25867050
"LPE(44:2)",31042916,46461896,36428504,37182824,18920622,14573094
"LPE(44:4)",32970352,33724872,32607842,34323592,33197912,34283484
"LPE(44:5)",181621072,174964896,157073808,189879520,170655584,175540224
"LPE(44:6)",9220188,10253822,11235452,11451210,8835850,9383856
"LPE(44:7)",15963244,15985427,14915724,15905673,16757458,15031340
"LPE(44:8)",1811543,1420547,1326268,1388360,1660157,1411777
"LPE(44:9)",4362760,2133728,2407127,2861812,1669382,4368957
"LPG(10:0)",4819626,6171409,5309062,4908840,4709400,4691216
"LPG(14:1)",1717225,1870975,2188097,2015489,1788791,1800680
"LPG(16:1)",1192418,1298744,997765,1203172,1850237,1720156
"LPG(18:1)",1317382,3566456,3009776,3345240,3822723,3221828
