"subclass","OA_01","OA_02","OA_03","X1i_01","X1i_02","X1i_03"
"FA(20:3)",2216662,1553152,1305780,941923,1162492,1307595
"FA(20:4)",78911512,68853496,61224428,40348948,46271288,49740316
"FA(20:5)",6295875,5267508,5255752,4877310,5589584,6411408
"FA(22:0)",1066471,1075133,1140749,661073,376274,249793
"FA(22:1)",1061218,472446,386834,491140,586790,401955
"FA(22:4)",2486014,1644004,2027936,1080401,1438034,1684519
"FA(22:5)",13532191,12184867,12913208,7429925,8963560,9818347
"FA(22:6)",91503792,83625856,88352216,41810892,49726604,50640988
"FA(24:0)",3258782,2183696,2731412,1088683,202869,529162
"FA(24:1)",3862501,1981378,1848520,3473,NA,113726
"FA(24:2)",1289587,720029,499890,NA,NA,NA
"FA(24:3)",1224292,1157997,876887,NA,NA,NA
"FA(24:5)",248708,252792,262424,129604,220842,259553
"FA(24:6)",2780112,1560830,2230641,NA,NA,NA
"FA(26:0)",1949605,2002477,2777477,159536,138553,NA
"FA(26:1)",9087318,7426354,4921843,272570,320388,63955
"FA(26:2)",2047602,1669136,950653,120270,NA,85883
"FA(26:3)",3104359,1912616,2969143,143313,NA,65114
"FA(26:4)",575795,795080,388949,NA,NA,12628
"FA(26:5)",3763528,1004500,955708,NA,NA,NA
"FA(26:6)",2715659,280769,170284,NA,NA,NA
"FA(26:7)",148197,621295,484126,NA,NA,NA
"FA(28:0)",3390948,3578081,2273688,1179939,1656581,1265774
"FA(28:1)",8704625,9067746,8568925,1012142,914673,602730
"FA(28:2)",6304896,2856190,5305560,257345,17623,217403
"FA(28:3)",3000093,1979204,3692029,90170,139339,62507
"FA(28:4)",1288630,539246,3287766,7749,NA,58839
"FA(28:7)",160354016,145417280,150138832,42086804,47156096,48858852
"FA(30:0)",5608590,6023212,7602119,1353280,1733151,3396545
"FA(30:1)",18733574,9569033,10437474,1643442,897747,705234
"FA(30:2)",11838264,4899594,7188659,848452,395828,763368
"FA(30:3)",3747272,4003153,2162440,258841,93401,73824
"FA(30:4)",3704585,2809952,3219722,3409,NA,637
"FA(30:5)",3567866,1885791,1638031,67100,NA,14707
"FA(32:0)",4527908,5026222,5391282,4730042,4554900,4138658
"FA(32:1)",8640338,3206889,2501070,702286,NA,489326
"FA(32:2)",6479444,4496604,6270995,971434,68642,182870
"FA(32:3)",2355333,2237942,2278804,249338,50183,75991
"FA(32:4)",2011661,678155,614435,60679,2262,NA
"FA(32:5)",659864,1302803,746148,198088,166422,50179
"FA(32:9)",1706083,1709616,2570384,251109,127425,241458
"FA(34:0)",6872420,7584318,6245838,2639678,4286364,12261113
"FA(34:2)",2667186,3135951,1893638,92262,114028,92767
"FA(34:5)",23109944,31260640,26369432,26126276,24616868,17905684
"FA(36:0)",5750660,8446185,9019636,4745836,5156750,5330700
"FA(36:1)",4407085,4209580,3539233,204679,216840,227212
"FA(36:10)",1037649,1137039,1595790,171649,56540,NA
"FA(36:2)",4857004,2018425,2540638,427472,889584,734560
"FA(36:5)",43588568,59520164,66190116,44994896,44243460,69766112
"FA(38:0)",4095425,5639864,4412058,4770282,3932198,6302094
"FA(38:2)",245717,115053,468209,85473,24337,NA
"FA(38:5)",37005624,55363404,42555980,47493524,30356266,62852888
"FA(40:0)",6316653,4738574,5377079,4396602,3493098,4309276
"FA(40:5)",150520928,122467656,115679320,145434496,117004352,86115688
"FA(40:6)",1315271,1543180,2067880,173034,NA,91518
"FA(42:0)",8027718,4456920,5303339,4086023,2767364,8518420
"FA(42:12)",39220,15003,139848,561136,296600,154858
"FA(42:5)",115588040,84557280,83681232,80692304,67227208,58855064
"FA(42:8)",2612195,2347234,2752524,2010538,2733952,2830004
"FA(44:0)",3546166,3236060,2256411,3925132,2340536,3686284
"FA(44:1)",54127,11000,341343,NA,NA,NA
"FA(44:12)",50095,NA,51784,7998,120276,1031
"FA(44:5)",38311216,32243424,33485342,30392746,20856348,20589488
"LPA(12:0)",889792,1077767,700519,19284,10219,NA
"LPA(14:0)",9356847,10858954,9175095,257820,954721,212390
"LPA(14:1)",5246926,6466782,6565249,60962,93997,45545
"LPA(18:1)",1632082,673677,1141119,NA,NA,NA
"LPA(18:2)",1630375,1005179,2195656,263739,3522,420769
"LPA(20:0)",82187448,90127832,78768384,54804888,70246256,86215016
"LPA(20:2)",3064803,3007770,2778570,3632668,4752373,4508156
"LPA(20:4)",396165,123718,158322,54240,NA,NA
"LPA(22:1)",4576904,4182933,4866592,161739,55151,193943
"LPA(22:4)",1453374,1112570,1558540,1509711,1901062,3346297
"LPA(22:5)",151937,276235,127767,320896,383914,390993
"LPA(24:0)",3584931,3806179,3981672,1318586,1236844,2985807
