"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"DG(36:4)",115725652.978,170621304.053,179074775.592,102923339.852,192461809.158,196467275.5343,167753515.083,151536960.743,127027847.766,295430574.5719,146856466.281,78272849.841
"DG(36:5)",2.24e+08,3.42e+08,1.88e+08,1.97e+08,1.03e+08,2.07e+08,2.53e+08,2.43e+08,2.87e+08,2.97e+08,2.53e+08,3.22e+08
"DG(36:6)",16200000,25700000,19800000,11800000,2.1e+07,1483020.297,2.2e+07,17600000,14900000,20500000,18200000,15600000
"DG(38:1)",19600000,44900000,45900000,1.5e+07,14500000,9101846.659,43100000,36500000,33100000,5.6e+07,43200000,50300000
"DG(38:2)",92986678.0675,217600000,2.07e+08,120800000,121100000,133300000,286100000,262200000,240300000,3.4e+08,304800000,3.35e+08
"DG(38:3)",23183828.149,44790840.364,37293341.434,23993166.942,21018115.587,22555307.962,55200000,48200000,39600000,66800000,52900000,62800000
"DG(38:4)",69400000,72400000,7.9e+07,90700000,108300000,102300000,146600000,130600000,113300000,128200000,118100000,144700000
"DG(38:5)",54800000,6.9e+07,60200000,66500000,73800000,78700000,1.6e+08,1.44e+08,1.27e+08,1.53e+08,1.41e+08,1.64e+08
"DG(38:6)",1082121.7352,5090059.1386,1820995.4015,2700652.8114,9428717.395,2256574.0704,7659666.32,16993731.741,14965775.287,4693748.9876,5386541.633,19138688.202
"DG(40:1)",6405298.71,10500000,11800000,4148926.191,3550076.077,2762728.035,10300000,9808831.882,7258839.934,12500000,10700000,13800000
"DG(40:2)",34600000,59200000,45040239.688,22500000,22547300.238,17711301.482,61700000,60400000,45200000,77400000,58100000,65100000
"DG(40:3)",1020353.624,495568.2312,235344.5433,1210246.107,369961.8753,2108988.986,3830038.16,6854412.61,655520.5608,437954.4318,198938.046,3135303.563
"DG(40:4)",3790258.8981,3882980.6991,3899486.9919,4101744.9696,5632453.272,5112162.5698,6469518.1548,11429906.525,5631135.5346,5621434.5507,9166200.514,20044437.028
"DG(40:5)",49200000,61900000,51610662.521,57500000,74200000,73500000,1e+08,97800000,75900000,96500000,91600000,112800000
"DG(40:6)",47425521.352,54134023.872,45846021.397,75323971.602,90801533.213,97858112.855,149700000,143788521.082,122045402.688,174300000,152291539.123,182400000
"DG(40:7)",39700000,48100000,38300000,6.3e+07,73300000,81700000,1.34e+08,1.21e+08,1.04e+08,1.29e+08,1.26e+08,1.51e+08
"DG(42:2)",5801492.61,1.3e+07,13100000,4145408.014,3669057.74,2447635.934,9702918.65,8751339.154,8603224.238,14200000,1.3e+07,11200000
"LPC(14:0)",165670.8873,1289768.151,333055.4526,159715.9989,169802.1471,49257.588,137833.6068,748494.065,100351.9656,425633.0169,537501.288,370557.4752
"LPC(14:1)",2120182.674,143086.2831,1967916.755,2188449.997,2004616.979,2867869.71,2433095.055,2562081.796,2797618.487,559991.0928,2833446.179,21428.9535
"LPC(16:0)",31888173.029,105404721.118,45355377.172,32035050.567,36181219.027,42081750.913,54342231.773,55609322.465,5.9e+07,52424265.405,55611564.791,57869605.018
"LPC(16:1)",36583656,56300000,40076157.191,37334081.292,43322641.173,48336661.601,43314563.737,44553519.77,45457355.245,41177959.453,44698982.268,39736964.788
"LPC(16:2)",37791.6264,599605.114,136313.1198,97656.548,40935.683,42400.5942,51531.1929,82906.4793,240953.988,58572.2658,93199.377,153015.7437
"LPC(18:0)",36176084.782,154112369.359,49060290.654,43208458.802,44447758.92,57668068.984,66393627.818,71789893.416,84525735.219,59548281.91,69301291.265,61370189.9
"LPC(18:1)",117800000,275900000,162700000,120600000,143500000,147700000,170800000,172900000,211400000,164100000,183900000,181600000
"LPC(18:2)",8458340.5383,14680163.311,9558734.126,7353921.398,10614721.559,9848986.397,10606267.935,10262673.8085,12553183.941,9177921.946,10289724.967,9876440.596
"LPC(20:0)",1525247.82,1881983.297,2587259.514,1513241.161,2077503.545,2127740.522,1514658.305,2175755.508,2585919.192,2272472.792,2664686.459,1384645.24
"LPC(20:1)",9606431.156,22600000,15200000,6166182.492,6520402.65,8123556.874,8140990.698,9384383.527,12200000,6863703.573,7764270.962,8867587.235
"LPC(20:2)",97760.1036,707757.7143,177752.6667,NA,37999.6308,76954.8909,53740.9572,65360.4576,20553.2304,127197.4572,NA,105098.731
"LPC(20:3)",NA,650680.903,NA,NA,9027.767,3961.67,NA,7113.196,11928.994,NA,NA,7169.555
"LPC(20:4)",11085.8748,25199.8602,79697.4372,NA,13251.1761,10861.4982,20648.0541,19373.0436,18839.486,47798.008,25790.0331,17817.477
"LPC(20:5)",NA,181786.2768,20384.6622,NA,NA,NA,NA,11151.5805,101073.4074,21045.9201,20038.104,39554.529
