"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"TG(38:3)",5805666.725,12100000,11800000,17500000,13700000,4862006.991
"TG(38:4)",106089939.905,162498859.566,153166899.884,208276823.128,157520387.382,195536592.037
"TG(38:5)",17217055.633,24610527.157,17425961.002,12128463.51,58631359.906,68350434.581
"TG(38:6)",2679231.045,676003.7277,1875994.439,9054065.109,6090230.724,2642753.267
"TG(38:7)",3299093.0937,16422625.2,17986845.862,21576871.469,16953639.7484,8877737.253
"TG(38:8)",28331652.538,36691375.958,34486641.268,3700997.1839,1848477.394,3450040.93
"TG(38:9)",671922.4959,1466694.4797,1563052.1844,469797.4056,520126.8924,369893.5833
"TG(40:0)",12189766.809,8943041.521,10386101.596,6193802.709,7609181.714,9109835.386
"TG(40:1)",3308933.503,2370624.369,1649647.092,2666231.6,2300429.994,1659571.826
"TG(40:11)",156378.321,804824.574,4233073.523,277457.442,37559.5161,63738.3822
"TG(40:2)",3352602.256,4305529.361,3898030.184,32300000,37300000,28800000
"TG(40:4)",433409.7504,404281.5027,587303.0292,588637.1004,929450.238,706584.3483
"TG(40:5)",18863994.484,23578106.512,18083048.403,46896729.671,43243830.928,52245985.206
"TG(40:7)",4280433.0664,9363881.503,8871913.854,21877689.451,11834378.947,20623400.104
"TG(42:0)",3143894.884,890935.3134,546592.2837,2747817.25,1555362.773,2104487.89
"TG(42:5)",1996859.887,3546570.334,655168.7124,635918.5251,2889503.539,2195991.542
"TG(42:7)",4227766.531,7040718.519,6316441.432,8309624.711,7739464.547,8325485.036
"TG(44:0)",25100000,30700000,11800000,20300000,16300000,18300000
"TG(44:1)",16300000,20900000,16200000,15800000,21500000,15900000
"TG(44:2)",7005321.111,9826988.321,8279520.056,21100000,24500000,22300000
"TG(44:3)",1553145.171,2140737.643,1414310.309,3360926.893,4189484.936,4230859.314
"TG(44:7)",8741663.645,14200000,15900000,13800000,12900000,16600000
"TG(44:9)",795897.978,1111578.968,1730847.429,3235265.31,1962163.278,2977614.722
"TG(46:0)",3.7e+07,44200000,50700000,31900000,33800000,40600000
"TG(46:1)",31396946.104,28921444.261,39839666.733,38957056.4,41068421.59,44211576.616
"TG(46:2)",10400000,5887209.448,7620074.877,34200000,33400000,5.6e+07
"TG(46:3)",7358586.952,7677653.653,5832056.257,4739533.083,11900000,10700000
"TG(46:8)",5952263.37,10300000,7883733.709,11500000,19200000,2e+07
"TG(48:0)",80800000,74800000,85600000,41400000,44800000,70100000
"TG(48:1)",113391169.67,116209945.643,108182166.1578,120576920.837,140455248.619,135173244.216
"TG(48:2)",115587885.446,105435493.507,77726527.026,247374330.333,296848128.559,270623644.946
"TG(48:3)",45973672.407,39444785.489,37235285.21,76198280.184,76522539.121,83168295.093
"TG(48:4)",4602423.814,5434376.308,5675781.365,6415654.05,7681043.534,9012622.907
"TG(50:0)",39100000,35500000,46900000,17500000,22300000,45900000
"TG(50:1)",3.77e+08,4.53e+08,4.98e+08,2.85e+08,2.87e+08,2.93e+08
"TG(50:2)",557298635.484,195624095.6236,530399295.503,1193824972.707,1375831346.2,1397049935.806
"TG(50:3)",251500000,202700000,190600000,561800000,752300000,608200000
"TG(50:4)",79174622.663,87454997.459,89675937.275,1.23e+08,137500000,137042229.253
"TG(50:5)",1489584.936,4625759.397,8247083.614,20400000,11900000,12100000
"TG(52:0)",15500000,13400000,24100000,9273156.913,8409184.082,15700000
"TG(52:1)",1.34e+08,1.32e+08,1.06e+08,1.1e+08,1.34e+08,1.68e+08
"TG(52:2)",1135089078.552,1231234750.3656,905600000,2244185470.7,2493059786.935,2367363711.7225
"TG(52:3)",6345573.8157,3995728.633,3572141.985,18020865.228,21086726.9877,29990032.8595
"TG(52:4)",5.62e+08,5.94e+08,6.2e+08,6.57e+08,6.31e+08,6.99e+08
"TG(52:5)",2.87e+08,2.23e+08,2.39e+08,3.22e+08,3.68e+08,3.27e+08
"TG(52:6)",92813081.655,102040725.717,101225737.218,115303060.686,135157642.132,122122035.771
"TG(52:7)",4574939.658,13088174.698,7609481.058,10200235.413,17538067.165,18881059.567
"TG(54:0)",4973425.065,1069970.067,11900000,3207797.277,3048323.686,5228189.166
"TG(54:1)",32600000,27400000,19500000,14300000,19300000,19600000
"TG(54:2)",455909388.22,342861322.564,264244954.943,1022532573.392,1303844298.842,1575515078.054
"TG(54:3)",12509908.469,7276572.223,4216497.573,61650454.6876,69700000,93300000
"TG(54:4)",2643452005.478,1505228672.351,1231191049.532,2266063325.723,3296589264.076,3139239043.416
"TG(54:5)",1415312079.43,1407945629.159,1278864554.24,1580741359.885,1725091247.037,1651565854.363
"TG(54:6)",1387253306.468,1964766704.27,1815928654.25,2421998227.338,2099671782.973,2177779958.414
"TG(54:7)",376600000,385700000,391700000,500400000,453400000,5.14e+08
"TG(54:8)",69600000,78700000,93300000,101300000,109400000,113200000
"TG(54:9)",3807468.928,3871813.381,4757683.578,6803757.522,5950289.113,4801336.354
"TG(56:1)",3623412.083,3184224.905,3479642.884,2383303.125,1830725.04,2018324.526
"TG(56:10)",6248951.316,6859615.024,3784574.258,6581032.625,8551053.521,6736358.138
"TG(56:2)",22962669.253,36028923.258,23770608.475,67353941.882,102366256.951,112587460.311
"TG(56:3)",217884.9967,101990.6568,NA,933638.9168,446609.4201,1426642.2451
"TG(56:4)",273700000,194400000,143900000,380900000,449500000,556900000
"TG(56:5)",6.18e+08,5.01e+08,3.58e+08,9.89e+08,1.18e+09,1.25e+09
"TG(56:6)",21426699.1018,14694499.2224,8007765.041,31727719.7685,36870289.8531,42310361.2493
"TG(56:7)",6.05e+08,523900000,4.65e+08,1.068e+09,1.423e+09,1.213e+09
"TG(56:8)",1.81e+08,1.09e+08,1.29e+08,4.38e+08,7.02e+08,4.84e+08
"TG(56:9)",20633735.917,19464372.531,18448721.341,36100000,58800000,3.7e+07
"TG(58:10)",68500000,4.6e+07,58300000,75300000,78300000,44600000
"TG(58:11)",15728568.0769,14617606.043,13638961.394,27257860.251,20957429.329,24661139.861
"TG(58:2)",2156282.59,875306.6976,3080136.0858,4743879.5603,668763.9871,5378056.306
"TG(58:3)",1.67e+08,9.2e+07,56600000,1.86e+08,2.29e+08,2.54e+08
"TG(58:4)",36355817.5075,28795119.1994,19151738.289,57142622.804,92061565.067,83586345.45
"TG(58:5)",265800000,168400000,78100000,275100000,253300000,2.68e+08
"TG(58:6)",1385803098.854,1303151561.981,719117195.6,1666780230.013,1778410389.902,1610628403.076
"TG(58:7)",11125725.47,7512870.4662,4109234.9364,31361827.0851,36050729.5783,43084510.729
"TG(58:8)",101310245.504,71028272.22,73734171.006,261073013.787,204367606.637,178190223.9559
"TG(58:9)",196200000,178400000,170200000,312218097.713,362312429.663,307200000
"TG(60:10)",280700000,272500000,247300000,371800000,375200000,338600000
"TG(60:11)",172077486.585,170679131.023,156245429.839,263479720.31,310400000,280716691.819
"TG(60:12)",5300276.417,545561.4975,5576943.518,4329129.144,1.8e+07,17800000
"TG(60:14)",3805626.989,6356149.285,4281826.613,1483278.268,1846123.706,106218.1641
"TG(60:2)",922286.776,165448.6368,86375.539,174369.9474,115.57,129021.245
"TG(60:3)",7668484.319,5178570.288,2799067.038,6957512.612,9893524.045,13400000
"TG(60:4)",9232203.114,6921038.045,3445914.586,10700000,12700000,15200000
"TG(60:5)",25701237.7406,15024012.973,8895417.9859,15430423.034,21217226.395,26085204.256
"TG(60:6)",207300000,145500000,96100000,157200000,177739722.875,179576254.2
"TG(60:7)",1.89e+08,1.48e+08,1.19e+08,2.04e+08,2.6e+08,2.42e+08
"TG(60:8)",119408013.35,170300000,202500000,253100000,3.4e+08,228400000
"TG(60:9)",179939772.638,154705144.184,154635660.5725,1.53e+08,213800000,2.09e+08
"TG(62:10)",265463451.918,249170634.244,196510923.6916,162634577.047,226573248.6619,199057652.09
"TG(62:11)",153300000,144800000,138200000,178700000,186900000,169200000
"TG(62:12)",1.01e+08,1.02e+08,87300000,1.87e+08,2.08e+08,1.92e+08
"TG(62:13)",29733095.503,30789397.747,30096076.621,91500000,91240595.077,86600000
"TG(62:3)",1646497.968,2346924.406,442908.81,90218.345,87883.6266,225457.467
"TG(62:4)",1449383.2479,4589015.45,372205.8004,510726.5979,271984.953,2342702.5853
"TG(62:5)",1121793.381,956989.3635,439031.5278,489299.9616,852985.405,236185.7718
"TG(62:6)",17644875.914,10668806.5132,7085089.6128,9378756.7601,10754187.197,12717569.014
"TG(62:7)",26200000,13800000,12800000,17800000,2.5e+07,25700000
"TG(62:8)",26900000,23280643.283,12935919.617,20510132.382,23435633.841,23209555.228
"TG(62:9)",89559904.369,74142217.591,61584801.351,12915616.2237,49158895.105,43504899.1463
"TG(64:10)",9196201.881,7183773.763,5645792.704,6803157.145,7409160.626,5628399.613
"TG(64:13)",2304348.854,2941568.57,1588470.931,541601.4987,1601410.68,2012121.003
"TG(64:14)",1549870.194,1696014.891,1111300.06,3697704.759,4746305.068,4125554.973
"TG(64:15)",887424.805,2590741.676,1622595.422,4688385.256,5993855.716,4835099.143
"TG(64:9)",4097886.42,2681101.677,1972211.661,279210.7812,NA,NA
