"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"PE(36:3)",91543059.5169,177904114.8251,146093581.8344,123729960.684,193278394.5023,117492888.3907
"PE(36:4)",1136475800.114,1539272425.114,1272298132.0539,1478788736.493,1624173701.028,1492053264.959
"PE(36:5)",535069580.267,684324563.344,650471731.702,662049582.344,520214261.49,707926058.89
"PE(36:6)",67543685.1393,82184180.9614,70356738.6957,80242602.6353,84519280.474,79607765.7683
"PE(36:7)",1262168.441,811799.284,1040199.98,728714.043,1094344.702,1766811.545
"PE(38:0)",138312.2448,496567.361,269329.872,18712.0173,248683.5747,351809.865
"PE(38:1)",39275975.317,60858769.797,44705925.251,49675582.075,59775042.381,58030231.06
"PE(38:2)",303004794.2627,405293116.65,316822279.1194,215567175.2459,246239162.3061,270120861.5058
"PE(38:3)",49500472.7631,72175072.7768,54074245.0212,69224721.5871,73331675.2438,70669200.5496
"PE(38:4)",403939155.624,543383688.8597,464740555.4825,544194552.049,605957911.977,589463662.8009
"PE(38:5)",1772465959.9272,2489390856.2674,2063261941.9648,2297091112.3445,2447274419.196,2338545979.9625
"PE(38:6)",1385388770.32,1549232462.102,1596939810.3576,1748137462.119,1809867101.6685,1344231930.908
"PE(38:7)",221999453.613,215036729.6349,219825522.62,239711644.5854,266258639.728,215888992.8432
"PE(38:8)",1576732.031,1655641.141,1268160.426,1437516.918,1449285.94,1680315.821
"PE(40:1)",6244905.367,7537455.968,4629821.807,5010207.219,5950428.989,7214884.065
"PE(40:2)",35410482.004,54347961.438,39383387.519,44485004.94,52622997.026,53867149.269
"PE(40:3)",2842464.4115,3622530.6274,2910533.7819,4288394.9468,5349570.74,5544340.0197
"PE(40:4)",28548336.571,43464584.6568,32241260.8663,35368624.255,40844146.6045,41871065.4391
"PE(40:5)",532735645.0863,706959406.4077,605541630.2139,680685895.705,741460915.8385,694248139.0484
"PE(40:6)",1184460834.518,1616961948.304,1376061886.191,1643151950.8414,1864688153.708,1693445674.0676
"PE(40:7)",1179510377.723,1644289090.705,1421642815.476,1855631824.441,1962454548.967,1819402147.773
"PE(40:8)",144626099.099,149186388.52,138415761.334,171462977.759,187021431.819,177271255.557
"PE(40:9)",495117.864,636451.888,332906.572,374359.214,913957.84,503111.743
"PE(42:1)",358652.899,330470.897,214213.285,236509.72,148068.2895,397017.93
"PE(42:10)",12300000,18600000,15300000,18700000,18500000,17600000
"PE(42:11)",938313.803,1551019.805,1065915.306,1266708.714,1089194.293,995622.253
"PE(42:2)",442483.935,1155916.956,272438.4498,176805.0294,691663.666,732490.387
"PE(42:4)",304206.621,562359.699,356769.876,396621.927,380047.2687,349832.7795
"PE(42:5)",9192498.163,12400000,10500000,8567073.914,8982222.163,8151567.291
"PE(42:6)",18315286.9591,23227275.768,17749807.469,19209383.932,21141353.8471,21027689.2526
"PE(42:7)",6453514.338,7365772.3068,6835569.5224,6926486.6874,8410058.2648,7390500.3139
"PE(42:8)",1180233.671,1306045.096,878765.809,1340874.501,1249815.172,1446565.521
"PE(42:9)",4883106.688,6946404.942,6695667.636,7464156.92,7043973.423,6750078.831
"PE(44:11)",315960.427,70289.1354,294312.877,19307.0664,223016.568,266740.374
"PE(44:12)",555338.181,655058.745,133656.8145,628093.819,530875.983,607721.279
"PE(50:2)",88997.981,325179.849,96347.224,97665.37,161960.262,359138.103
"PG(28:0)",267632.908,319974.163,401278.97,366881.018,367567.998,610113.613
"PG(30:0)",1376692.839,1753437.916,1519429.139,2036770.142,2322498.45,4235612.205
"PG(32:0)",17400000,28700000,27200000,31800000,29900000,35100000
"PG(32:1)",6305656.9563,11874750.268,8868379.9914,11002761.486,10564261.495,13404696.261
