"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"LPC(14:1)",2433095.055,2562081.796,2797618.487,559991.0928,2833446.179,21428.9535
"LPC(16:0)",54342231.773,55609322.465,5.9e+07,52424265.405,55611564.791,57869605.018
"LPC(16:1)",43314563.737,44553519.77,45457355.245,41177959.453,44698982.268,39736964.788
"LPC(16:2)",51531.1929,82906.4793,240953.988,58572.2658,93199.377,153015.7437
"LPC(18:0)",66393627.818,71789893.416,84525735.219,59548281.91,69301291.265,61370189.9
"LPC(18:1)",170800000,172900000,211400000,164100000,183900000,181600000
"LPC(18:2)",10606267.935,10262673.8085,12553183.941,9177921.946,10289724.967,9876440.596
"LPC(20:0)",1514658.305,2175755.508,2585919.192,2272472.792,2664686.459,1384645.24
"LPC(20:1)",8140990.698,9384383.527,12200000,6863703.573,7764270.962,8867587.235
"LPC(20:2)",53740.9572,65360.4576,20553.2304,127197.4572,NA,105098.731
"LPC(20:3)",NA,7113.196,11928.994,NA,NA,7169.555
"LPC(20:4)",20648.0541,19373.0436,18839.486,47798.008,25790.0331,17817.477
"LPC(20:5)",NA,11151.5805,101073.4074,21045.9201,20038.104,39554.529
"LPC(22:1)",1454846.347,1434000.592,1731837.909,1261190.492,1353906.263,1432675.457
"LPC(22:4)",NA,62937.3987,35859.4632,NA,7.157,NA
"LPC(22:5)",76494.129,74252.0385,98618.5386,NA,156820.441,542542.175
"LPC(22:6)",NA,9991.8576,306.7605,152.2719,2085.2859,150.657
"LPC(26:0)",2336319.841,2512105.993,1935960.379,2769676.477,2741745.244,2111307.23
"LPC(28:0)",46500000,39800000,46900000,49900000,45300000,52700000
"LPC(28:1)",6286775.817,6891283.029,6054968.801,5873599.504,6471595.243,6196333.003
"LPC(30:1)",6949071.304,6645409.802,5093528.563,6106682.741,6078470.712,4786637.505
"LPC(32:0)",56700000,56500000,52800000,52100000,51400000,54800000
"LPC(32:1)",63500000,5.8e+07,51700000,56300000,58400000,56600000
"LPC(34:0)",6872840.661,4692582.871,2109699.602,5567469.681,5204951.596,4578621.959
"LPC(34:1)",1.65e+08,1.88e+08,1.81e+08,1.66e+08,1.78e+08,1.7e+08
"LPC(36:0)",2931756.411,2149387.434,881162.912,849003.0267,213308.2233,1312613.465
"LPE(16:0)",4062615.353,4379504.191,3497365.443,2663786.346,2969744.668,3835939.099
"LPE(16:1)",5548553.888,5757539.204,7568986.669,3791613.315,4101331.522,4193445.739
"LPE(18:0)",15300000,14900000,16900000,14700000,1.4e+07,16800000
"LPE(18:1)",20030847.992,20310485.842,27047530.544,18503801.867,18389353.343,22853698.166
"LPE(18:2)",5536028.432,6095116.442,7339794.452,3309259.809,4116631.272,4183748.503
"LPE(20:1)",7270045.313,6293591.902,6487161.255,5390672.95,6762463.811,6315720.863
"LPE(20:4)",3529754.362,4047294.6,3169104.514,4013023.057,3933099.584,4388494.598
"LPE(20:5)",120845.2761,279264.413,64596.0006,334328.462,353299.811,499795.867
"LPE(22:1)",370287.9942,475087.283,337552.47,276974.127,468175.891,363705.096
"LPE(22:5)",1521458.556,159959.6832,1565209.956,1013596.629,1234257.272,64142.0451
"LPE(22:6)",3430093.045,2819467.813,2346470.371,2816093.736,2593182.592,3296944.087
"LPG(18:1)",846226.479,764208.862,815356.433,450285.59,568956.285,547577.317
"LPI(18:0)",449586.694,642282.25,776427.028,111165.3978,297876.06,158074.2864
"LPI(18:1)",390714.21,14202.3411,20778.5466,4908.7803,289052.633,1628.1282
"PA(36:1)",1340039.373,1960585.145,1540130.132,1402152.234,1183747.738,1439106.964
"PA(36:2)",217591.934,173870.095,299786.017,66742.3293,180837.961,136824.076
"PA(38:1)",5627.0193,721431.5622,33495.1221,86442.5061,565188.3594,1031238.9
"PC(28:0)",1291705.877,1128815.883,1508548.37,1148323.302,1041279.627,1777984.946
"PC(28:1)",724119.6072,825287.1366,152026.857,440541.5496,963320.6088,615205.8393
"PC(30:0)",43300000,4.6e+07,44600000,44400000,4.7e+07,40900000
"PC(30:1)",30803829.983,33312055.394,29139968.564,31290856.105,31563403.273,32715946.05
"PC(30:2)",700185.777,950335.57,763906.044,500625.958,1420513.79,706572.56
"PC(32:0)",345900000,348600000,2.77e+08,324200000,290200000,3.26e+08
"PC(32:1)",317500000,326800000,294700000,204800000,299946770.037,3.01e+08
"PC(32:2)",29969012.831,26169584.919,30194784.355,25542779.878,33588219.963,33222688.536
"PC(32:3)",915332.971,595067.811,307639.703,703753.488,960621.755,13912.1421
"PC(32:4)",284953.12,207709.016,338253.5766,478222.878,399254.131,345206.355
"PC(32:5)",5579183.22,876703.2261,611332.1376,3422592.079,707563.7526,7762914.633
"PC(34:0)",165700000,165500000,138500000,178900000,170800000,168700000
"PC(34:1)",1217657422.282,1408489888.255,1324314359.637,1196918438.0822,1242544056.9636,1360025401.049
"PC(34:2)",571668026.138,443299363.121,422426936.96,402928330.054,416125091.448,444438329.728
"PC(34:3)",10924942.631,10802031.649,10425246.459,6883834.2417,12840354.207,8845481.782
"PC(34:4)",788593.9245,1054151.5607,997588.565,1226581.745,1112543.419,1097183.5596
"PC(34:5)",751423.034,823421.435,691796.966,900132.973,927483.441,763489.187
"PC(34:6)",9537834.6247,10014392.812,7752207.4085,12736428.0358,13096868.1604,14032888.1321
"PC(34:7)",4583767.37,3594738.317,3134333.848,1321026.348,1950529.424,24281.919
"PC(36:0)",16573654.916,15214984.269,13576879.865,16199463.152,15293198.922,15703236.516
"PC(36:1)",193240259.719,264974192.542,283589147.928,221361781.8685,277342310.591,269780674.54
"PC(36:2)",308242860.293,329617561.884,304122061.5399,298602703.4721,310921967.87,307412636.297
"PC(36:3)",168516750.892,182776624.414,160024496.599,145202152.365,166127481.211,157849599.263
"PC(36:4)",38690801.222,39882054.807,38332251.749,39072503.425,45556638.885,39380649.594
"PC(36:5)",57209567.826,56655356.144,50770777.298,61567905.261,58454428.218,52377439.084
"PC(36:6)",13276791.5665,14226122.187,13642144.3357,15114168.6962,13310563.0803,14018407.7487
"PC(36:7)",22600000,22200000,20500000,23300000,27600000,22300000
"PC(38:1)",7632235.602,8920976.878,7168940.761,7977173.458,9336175.149,8862029.726
"PC(38:2)",121479720.354,136207996.076,116691479.0021,116655295.5164,120375162.5522,119074512.815
"PC(38:3)",20298208.917,21259707.496,19358769.448,16244312.857,17887884.694,20700000
"PC(38:4)",145514339.386,146971966.9775,140471643.43,117998750.2872,132821679.1969,135569833.0888
"PC(38:5)",151805651.8007,158571027.0215,146052707.5919,138098484.3646,142298021.4861,142821389.0537
"PC(38:6)",54441495.7675,55059883.9694,50109609.5007,51888100.4162,56530817.4145,53266323.934
"PC(38:7)",23009702.472,22613733.4169,19793653.2414,20909687.493,21411628.363,20833097.697
"PC(38:8)",160167.2571,263649.246,112040.1993,227018.2995,105128.757,198601.794
"PC(40:1)",693426.7838,51250.413,938132.8214,911140.999,950387.244,644200.2965
"PC(40:2)",4046405.798,1991430.054,4500068.87,4213216.814,5328099.014,5033436.778
"PC(40:3)",1472.4648,884969.664,876936.398,799716.195,41956.2516,946302.181
"PC(40:4)",9926473.1137,12199326.8713,9767510.2229,10006360.2323,11635062.933,11923132.0031
"PC(40:5)",21740904.944,22876965.9072,19491606.3952,19496078.512,16439861.3758,21995813.1936
"PC(40:6)",62290730.446,65440211.201,60365270.635,60186219.968,63303373.144,60435649.49
"PC(40:7)",58381455.7286,63911661.971,60672340.0766,47408148.7513,54043310.951,56720294.9657
"PC(40:8)",7944844.8059,8157375.2259,7677209.1708,6859172.41,8231041.177,7669255.96
"PC(40:9)",4081049.229,4747711.007,2544733.01,3723018.747,6245450.237,5434815.199
"PC(42:10)",1854307.669,1664321.582,1822458.873,1677498.658,1834571.956,1659216.156
"PC(42:2)",264445.617,256151.1597,74791.653,86649.6612,150567.1992,11984.1624
"PC(42:3)",40458.437,31805.551,10736.418,102908.179,58899.8,29982.308
"PC(42:5)",1312116.035,2227139.444,874450.603,1310272.238,1973057.709,2049584.504
"PC(42:6)",3674742.212,3608399.07,4182518.333,3556516.402,3993622.634,3896187.797
"PC(42:7)",462583.779,401541.737,322616.683,632680.033,405049.046,349124.548
"PC(42:9)",924223.247,741240.494,769291.532,844315.894,936119.162,1135718.904
"PC(44:10)",160337.354,144825.9096,77423.0355,72282.9552,153048.7527,29907.4749
"PC(44:11)",229453.291,139338.522,270009.376,314083.46,185766.767,169050.193
"PC(44:12)",329715.927,330115.59,323599.165,302412.644,475300.402,29079.8502
